   sphuṭārthā	sPuwa arTA
   abhidharmakośavyākhyā	aBiDarma koSa vyAKyA
   I	I
   (dhātunirdeśo nāma prathamaṃ kośasthānam)	(DAtunirdeSaH nAma praTamam koSa sTAnam)
   [Tib. 1b] namo mārabalapramathanāya.	[Tib. 1b] namaH mAra bala pramaTanAya.
   mahābalo jñānasamādhidanto	mahA balaH jQAna samADi dantaH 
   yaḥ pañjaraṃ janmamayaṃ vidārya |	yaH paQjaram janma mayam vidArya |
   viveśa nirvṛtyaṭavīṃ praśāntāṃ	viveSa nirvRti awavIm praSAntAm
   taṃ śāstṛnāgaṃ śirasā namāmi. ||	tam SAstR nAgam SirasA namAmi. ||
   paramārthaśāstrakṛtyā kurvāṇaṃ śāstṛkṛtyam iva loke |	parama arTa SAstra kRtyA kurvANam SAstR kRtyam iva loke |
   yaṃ buddhimatām agryaṃ dvitīyam iva buddham ity āhuḥ. ||	yam budDimatAm agryam dvitIyam iva budDam iti AhuH. ||
   tena vasubaṃdhunāmnā bhaviṣyaparamārthabandhunā jagataḥ |	tena vasubaMDu nAmnA Bavizya parama arTa banDunA jagataH |
   abhidharmapratyāsaḥ kṛto 'yam abhidharmakośākhyaḥ. ||	aBiDarma pratyAsaH kRtaH ayam aBiDarmakoSa AKyaH. ||
   abhidharmabhāṣyasāgarasamuddhṛtasyāsya śāstraratnasya |	aBiDarma BAzya sAgara samudDRtasya asya SAstra ratnasya |
   vyākhyā mayā kṛteyaṃ yathārthanāmā sphuṭārtheti. ||	vyAKyA mayA kRtA iyam yaTArTa nAmA sPuwa arTa iti. ||
   guṇamativasumitrādyair vyākhyākāraiḥ padārthavivṛtir yā |	guNam ati vasu mitra AdyEH vyAKyA AkArEH padArTa vivRtiH yA |
   sukṛtā [Tib. 2a] sābhimatā me likhitā ca tathāyam artha iti. ||	sukRtA [Tib. 2a] sa aBimatA me liKitA ca taTA ayam arTaH iti. ||
   siddhāntārthāpasṛtā kvacitkvacid yā tu taiḥ kṛtā vyākhyā |	sidDAnta arTa apasRtA kvacid kvacid yA tu tEH kRtA vyAKyA |
