   Mṛtyuvañcanatārāsādhana	MRtyu-vaQcana-tArA-sADana
   // namaḥ sitatārāyai //	// namaH sita-tArAyE //
   pūrvavac chūnyatāparyantaṃ vibhāvya	pUrvavat SUnyatA-paryantam viBAvya
   sitāravindamadhyasthāṃ tāṃbhūtāṃ candraviṣṭarām /	sita-aravinda-maDya-sTAm tAMBUtAm candra-vizwarAm /
   ābaddhavajraparyaṅkāṃ varadotpaladhāriṇīm // Mvts_1 //	AbadDa-vajra-paryaFkAm vara-da-utpala-DAriNIm // Mvts_1 //
   śaraccandrakarākārāṃ pṛṣṭhacandrasamāśritām /	Sarad-candra-kara-AkArAm pRzWa-candra-samASritAm /
   sarvālaṅkārasaṃpūrṇāṃ ṣoḍaśābdavapuḥkramām // Mvts_2 //	sarva-alaFkAra-saMpUrNAm zoxaSa-abda-vapuH-kramAm // Mvts_2 //
   dhyātvāryatārāṃ hṛdaye tasyāś cakraṃ sitadyuti /	DyAtvA-arya-tArAm hRdaye tasyAH cakram sita-dyuti /
   aṣṭakoṣṭhakam aṣṭābhir akṣaraiḥ paripūritam // Mvts_3 //	azwa-kozWakam azwABiH akzarEH paripUritam // Mvts_3 //
   oṃhāvyañjanamadhyasthasādhyanāmādyanābhikam /	oMha-avyaQjana-maDya-sTa-sADya-nAma-Adya-nABikam /
   dhyāyād ekāgracittaḥ san ṣaṇ māsān dṛḍhaniścayaḥ // Mvts_4 //	DyAyAt ekAgra-cittaH san zaw mAsAn dRXa-niScayaH // Mvts_4 //
   japed akhinnacittaḥ san mantram enaṃ daśākṣaram //	japet aKinna-cittaH san mantram enam daSa-akzaram //
   tatrāiṣa mantraḥ oṃ tāre tuttāre ture svāhā // Mvts_5 //	tatra-Aiza mantraH om tAre tuttAre ture svAhA // Mvts_5 //
   mṛtyudoṣair na liptaḥ syāt tārāhṛccakrabhāvakaḥ /	mRtyu-dozEH na liptaH syAt tArA-hRt-cakra-BAvakaH /
   lābhī ca sarvasiddhīnāṃ ṣaṇmāsāvadhi tatparaḥ // Mvts_6 //	lABI ca sarva-sidDInAm zaz-mAsa-avaDi tad-paraH // Mvts_6 //
   // mṛtyuvañcanatārāsādhanam //	// mRtyu-vaQcana-tArA-sADanam //
