   PADA MARKERS	PADAH MARKERS
   For a four-pada verse:	FoH a fouH--pada verse:
   For a six-pada verse:	FoH a six-pada verse:
   Śvetāśvatara-Upaniṣad (Śvetāśvataropaniṣad)	ŚvetASvatara--Upa-nizad (ŚvetASvatara-upanizad)
   oṃ brahmavādino vadanti	om brahma-vAdinaH vadanti
   prathamo 'dhyāyaḥ	praTamaH aDyAyaH
   kiṃkāraṇaṃ brahma kutaḥ sma jātā $ jīvāmaḥ kena kva ca saṃpratiṣṭhāḥ &	kiMkAraNam brahma kutas sma jAtAH $ jIvAmaH kena kva ca saMpratizWAH &
   adhiṣṭhitāḥ kena sukhetareṣu % vartāmahe brahmavido vyavasthām //	aDizWitAH kena suKa-itarezu % vartAmahe brahma-vidaH vyavasTAm //
   SvetUp_1.1 //	Svetu-up_1.1 //
   kālaḥ svabhāvo niyatir yadṛcchā $ bhūtāni yoniḥ puruṣeti cintyam &	kAlaH svaBAvaH niyatiH yadRcCA $ BUtAni yoniH puruza-iti cintyam &
   saṃyoga eṣāṃ na tv ātmabhāvād % ātmā hy anīśaḥ sukhaduḥkhahetoḥ //	saMyogaH ezAm na tu Atma-BAvAt % AtmA hi anISaH suKa-duHKa-hetoH //
   SvetUp_1.2 //	Svetu-up_1.2 //
   te dhyānayogānugatā apaśyan $ devātmaśaktiṃ svaguṇair nigūḍhām &	te DyAna-yoga-anugatAH apaSyan $ deva-Atma-Saktim sva-guNEH nigUXAm &
   yaḥ kāraṇāni nikhilāni tāni % kālātmayuktāny adhitiṣṭhaty ekaḥ //	yaH kAraNAni niKilAni tAni % kAla-Atma-yuktAni aDitizWati ekaH //
   SvetUp_1.3 //	Svetu-up_1.3 //
   tam ekanemiṃ trivṛtaṃ ṣoḍaśāntaṃ $ śatārdhāraṃ viṃśatipratyarābhiḥ &	tam eka-nemim trivRtam zoxaSa-antam $ SatArDAram viMSati-pratyarABiH &
   aṣṭakaiḥ ṣaḍbhir viśvarūpaikapāśaṃ % trimārgabhedaṃ dvinimittaikamoham //	azwakEH zaxBiH viSva-rUpa-eka-pASam % tri-mArga-Bedam dvi-nimitta-eka-moham //
   SvetUp_1.4 //	Svetu-up_1.4 //
   pañcasroto'mbuṃ pañcayonyugravaktrāṃ $ pañcaprāṇormiṃ pañcabuddhyādimūlāṃ	paQca-srotaH-ambum paQca-yoni-ugra-vaktrAm $ paQca-prANa-Urmim paQca-budDi-Adi-mUlAm
   pañcāvartāṃ pañcaduḥkhaughavegāṃ % pañcāśadbhedāṃ pañcaparvām adhīmaḥ //	paQca-AvartAm paQca-duHKa-oGa-vegAm % paQcASat-BedAm paQca-parvAm aDImaH //
   SvetUp_1.5 //	Svetu-up_1.5 //
   sarvājīve sarvasaṃsthe bṛhante $ tasmin haṃso bhrāmyate brahmacakre &	sarva-AjIve sarva-saMsTe bRhante $ tasmin haMsaH BrAmyate brahma-cakre &
   pṛthag ātmānaṃ preritāraṃ ca matvā % juṣṭas tatas tenāmṛtatvam eti //	pRTak AtmAnam preritAram ca matvA % juzwaH tatas tena-amRta-tvam eti //
   SvetUp_1.6 //	Svetu-up_1.6 //
   udgītam etat paramaṃ tu brahma $ tasmiṃs trayaṃ svapratiṣṭhākṣaraṃ ca &	udgItam etat paramam tu brahma $ tasmin trayam sva-pratizWA-akzaram ca &
   atrāntaraṃ brahmavido viditvā % līnā brahmaṇi tatparā yonimuktāḥ //	atra-antaram brahma-vidaH viditvA % lInAH brahmaNi tad-parAH yoni-muktAH //
   SvetUp_1.7 //	Svetu-up_1.7 //
   saṃyuktam etat kṣaram akṣaraṃ ca $ vyaktāvyaktaṃ bharate viśvam īśaḥ &	saMyuktam etat kzaram akzaram ca $ vyakta-avyaktam Barate viSvam ISaH &
   anīśaś cātmā badhyate bhoktṛbhāvāj % jñātvā devaṃ mucyate sarvapāśaiḥ //	anISaH ca-AtmA baDyate BoktR-BAvAt % jQAtvA devam mucyate sarva-pASEH //
   SvetUp_1.8 //	Svetu-up_1.8 //
   jñājñau dvāv ajāv īśanīśāv ajā hy $ ekā bhoktṛbhogārthayuktā &	jQa-ajQO dvO ajO ISani-ISO ajAH hi $ ekA BoktR-Boga-arTa-yuktAH &
   anantaś cātmā viśvarūpo hy akartā % trayaṃ yadā vindate brahmam etat //	anantaH ca-AtmA viSvarUpaH hi akartA % trayam yadA vindate brahmam etat //
   SvetUp_1.9 //	Svetu-up_1.9 //
   kṣaraṃ pradhānam amṛtākṣaraṃ haraḥ $ kṣarātmānāv īśate deva ekaḥ &	kzaram praDAnam amRta-akzaram haraH $ kzara-AtmAnO ISate devaH ekaH &
   tasyābhidhyānād yojanāt tattvabhāvād % bhūyaś cānte viśvamāyānivṛttiḥ //	tasya-aBiDyAnAt yojanAt tattva-BAvAt % BUyas ca-ante viSva-mAyA-nivRttiH //
   SvetUp_1.10 //	Svetu-up_1.10 //
   jñātvā devaṃ sarvapāśāpahāniḥ $ kṣīnaiḥ kleśair janmamṛtyuprahāṇiḥ &	jQAtvA devam sarva-pASa-apahAniH $ kzInEH kleSEH janma-mRtyu-prahANiH &
   tasyābhidhyānāt tṛtīyaṃ dehabhede % viśvaiśvaryaṃ kevala āptakāmaḥ //	tasya-aBiDyAnAt tRtIyam dehaBede % viSva-ESvaryam kevalaH Apta-kAmaH //
   SvetUp_1.11 //	Svetu-up_1.11 //
   etaj jñeyaṃ nityam evātmasaṃsthaṃ $ nātaḥ paraṃ veditavyaṃ hi kiṃcit &	etat jQeyam nityam eva-Atma-saMsTam $ na-atas param veditavyam hi kiMcid &
   bhoktā bhogyaṃ preritāraṃ ca matvā % sarvaṃ proktaṃ trividhaṃ brahmam etat	BoktA Bogyam preritAram ca matvA % sarvam proktam triviDam brahmam etat-
   // SvetUp_1.12 //	// SvetUp_1.12 //
   vahner yathā yonigatasya mūrtir $ na dṛśyate naiva ca liṅganāśaḥ &	vahneH yaTA yoni-gatasya mUrtiH $ na dRSyate na-eva ca liFganASaH &
   sa bhūya evendhanayonigṛhyas % tadvobhayaṃ vai praṇavena dehe //	sa BUyas eva-inDana-yoni-gRhyaH % tat-vA-uBayam vE praNavena dehe //
   SvetUp_1.13 //	Svetu-up_1.13 //
   svadeham araṇiṃ kṛtvā $ praṇavaṃ cottarāraṇiṃ &	sva-deham araNim kRtvA $ praNavam ca-uttarAraNim &
   dhyānanirmathanābhyāsād % devaṃ paśyen nigūḍhavat // SvetUp_1.14 //	DyAna-nirmaTana-aByAsAt % devam paSyet nigUXa-vat // SvetUp_1.14 //
   tileṣu tailaṃ dadhanīva sarpir $ āpaḥ srotaḥsv araṇīṣu cāgniḥ &	tilezu tElam daDanI-iva sarpiH $ ApaH srotaHsu araNIzu ca-agniH &
   evam ātmā ātmani gṛhyate 'sau % satyenainaṃ tapasā yo 'nupaśyati //	evam AtmA Atmani gRhyate asO % satyena-enam tapasA yaH anupaSyati //
   SvetUp_1.15 //	Svetu-up_1.15 //
   sarvavyāpinam ātmānaṃ $ kṣīre sarpir ivārpitam &	sarva-vyApinam AtmAnam $ kzIre sarpiH iva-arpitam &
   ātmavidyātapomūlaṃ % tad brahmopaniṣatparaṃ tad brahmopaniṣatparam //	Atma-vidyA-tapaH-mUlam % tat brahma-upanizad-param tat brahma-upanizad-param //
   SvetUp_1.16 //	Svetu-up_1.16 //
   dvitīyo 'dhyāyaḥ	dvitIyaH aDyAyaH
   yuñjānaḥ prathamaṃ manas $ tatvāya savitā dhiyaḥ &	yuQjAnaH praTamam manaH $ tatvAya savitA DiyaH &
   agner jyotir nicāyya % pṛthivyā adhy ābharat // SvetUp_2.1 //	agneH jyotiH nicAyya % pRTivyAH aDi ABarat // SvetUp_2.1 //
   yuktena manasā vayaṃ $ devasya savituḥ save &	yuktena manasA vayam $ devasya savituH save &
   suvargeyāya śaktyā % // SvetUp_2.2 //	suvargeyAya SaktyA % // SvetUp_2.2 //
