   agatitvam atiśraddhā NKv_9a	agati-tvam atiSradDA NKu-_9a
   ajñātā eva gṛhiṇāṃ NKv_42c	ajQAtAH eva gRhiNAm NKu-_42c
   adānam īṣaddānaṃ ca NKv_95a	adAnam Izat-dAnam ca NKu-_95a
   adhyāpanāvṛttayaś ca NKv_87c	aDyApana-AvRttayaH ca NKu-_87c
   adhyāpayanti śāstrāṇi NKv_68a	aDyApayanti SAstrANi NKu-_68a
   anugrahāyate yeṣāṃ NKv_12c	anugrahAyate yezAm NKu-_12c
   anumāneṣv ayaṃ vidhis NKv_4d	anumAnezu ayam viDiH NKu-_4d
   anṛtaṃ cāṭuvādaś ca NKv_32a	anRtam cAwuvAdaH ca NKu-_32a
   antakālam apekṣate NKv_51b	antakAlam apekzate NKu-_51b
   antako 'pi hi jantūnām NKv_51a	antakaH api hi jantUnAm NKu-_51a
   antato 'nnāya vastrāya NKv_36c	antatas annAya vastrAya NKu-_36c
   antato 'śmāpi jīryati NKv_56d	antatas aSmA-api jIryati NKu-_56d
   anyathātvam apathyatas NKv_25d	anyaTAtvam apaTyataH NKu-_25d
   anyonyakṛtasaṃvidas NKv_62b	anyonya-kRta-saMvidaH NKu-_62b
   apatyasaṃbandhavidhiḥ NKv_96c	apatya-saMbanDa-viDiH NKu-_96c
   api sāgaraparyantā NKv_20a	api sAgara-paryantA NKu-_20a
   abhyāsyaṃ lajjamānena NKv_5a	aByAsyam lajjamAnena NKu-_5a
   avajñā prativādini NKv_2b	avajQA prativAdini NKu-_2b
   avilambena saṃsiddhau NKv_11a	avilambena saMsidDO NKu-_11a
   aśrāntakalaho nāma NKv_48c	aSrAnta-kalahaH nAma NKu-_48c
   asaṃbhramo vilajjatvam NKv_2a	asaMBramaH vilajja-tvam NKu-_2a
   aho nimnonnataṃ kiyat NKv_79d	aho nimna-unnatam kiyat NKu-_79d
   aho mahad idaṃ bhūtam NKv_50c	aho mahat idam BUtam NKu-_50c
   ākiṃcanyabalāḍhyānām NKv_56c	AkiMcanya-bala-AXyAnAm NKu-_56c
   ācāro vā vilakṣaṇas NKv_13b	AcAraH vA vilakzaNaH NKu-_13b
   ātmotkarṣo nigamanam NKv_4c	Atma-utkarzaH nigamanam NKu-_4c
   ādeham anuvartate NKv_64d	Adeham anuvartate NKu-_64d
   ānandabāṣparomāñcau NKv_93a	Ananda-bAzpa-romAQcO NKu-_93a
   āmadhyāhnaṃ nadīvāsaḥ NKv_91a	AmaDyAhnam nadI-vAsaH NKu-_91a
   āyuṣo 'nte bhaven na vā NKv_6d	AyuzaH ante Bavet na vA NKu-_6d
   āyuspraśne dīrgham āyur NKv_16a	AyuH-praSne dIrGam AyuH NKu-_16a
   ārogyaṃ vaidyamāhātmyād NKv_25c	Arogyam vEdya-mAhAtmyAt NKu-_25c
   āvṛtya śrīmadenāndhān NKv_62a	AvRtya SrI-madena-anDAn NKu-_62a
   iti pāṭhayatāṃ granthe NKv_8c	iti pAWayatAm granTe NKu-_8c
   īrṣyāyai saṃstavaḥ punas NKv_96b	IrzyAyE saMstavaH punar NKu-_96b
   uccair udghoṣya jetavyaṃ NKv_3a	uccEs udGozya jetavyam NKu-_3a
   uttamarṇābhiśābdhitam NKv_50d	uttamarNa-aBiSAbDitam NKu-_50d
   uttamārṇam avekṣyaiva NKv_52c	uttamArNam avekzya-eva NKu-_52c
   uttamārṇasya vidyate NKv_51d	uttamArNasya vidyate NKu-_51d
   ekataḥ sarvaśāstrāṇi NKv_84a	ekatas sarva-SAstrANi NKu-_84a
   ekaikam arthalābhāya NKv_31c	ekEkam arTa-lABAya NKu-_31c
   ekaikaṃ narakādhikam NKv_49d	ekEkam naraka-aDikam NKu-_49d
