   śikṣāsamuccaye caturthaḥ paricchedaḥ ||	SikzA-samuccaye caturTaH paricCedaH ||
   apare 'pi mahanto 'narthāḥ sūtrânteṣûktāḥ |	apare api mahantaH anarTAH sUtrântA-IzûktAH |
   yathā tāvad ākāśagarbhasūtre |	yaTA tAvat AkASa-garBa-sUtre |
   pañcêmāḥ kulaputra kṣatriyasya mūrddhâbhiṣiktasya	paQcêmAH kula-putra kzatriyasya mUrdDâBiziktasya
   mūlâpattayaḥ |	mUlâpattayaH |
   yābhi-	yABi-
   [ Cambridge MS f35a ---> ]	[ Cambridge M f35aH ---> ]
   r mūlâpattibhiḥ kṣatriyo mūrddhâbhiṣiktaḥ sarvāṇi	r mUlâpattiBiH kzatriyaH mUrdDâBiziktaH sarvANi
   pūrvâvaropitāni kuśalamūlāni jhāṣayati |	pUrvâvaropitAni kuSala-mUlAni JAzayati |
   vastupatitaḥ pārājikaḥ sarvadevamanuṣyamukhebhyo 'pāyagāmī	vastu-patitaH pArAjikaH sarva-deva-manuzya-muKeByaH apAya-gAmI
   bhavati |	Bavati |
   katamāḥ pañca |	katamAH paQca |
   yaḥ kulaputra mūrddhâbhiṣiktaṃ staupikaṃ vastv apaharati	yaH kula-putra mUrdDâBiziktam stOpikam vastu apaharati
   sāṃghikaṃ vā cāturdiśasāṃghikaṃ vā niryātitaṃ vā |	sAMGikam vA cAturdiSa-sAMGikam vA niryAtitam vA |
   svayaṃ vâpaharati hārayati vā |	svayam vâpaharati hArayati vA |
   iyaṃ prathamā mūlâpattiḥ ||	iyam praTamA mUlâpattiH ||
   yaḥ punar dharmaṃ pratikṣipati śrāvakaniryāṇabhāṣitaṃ vā	yaH punar Darmam pratikzipati SrAvaka-niryANa-BAzitam vA
   pratyekabuddhaniryāṇabhāṣitaṃ vā	pratyekabudDa-niryANa-BAzitam vA
   mahāyānaniryāṇabhāṣitaṃ vā pratikṣipati pratiṣedhayatîyaṃ dvitīyā	mahAyAna-niryANa-BAzitam vA pratikzipati pratizeDa-yatîyam dvitIyA
   mūlâpattiḥ ||	mUlâpattiH ||
   yaḥ punar mām uddiśya śirastuṇḍamuṇḍakāṣāyavastraprāvṛtaḥ	yaH punar mAm uddiSya SiraH-tuNxa-muNxa-kAzAya-vastra-prAvRtaH
   śikṣādhārī vā śi-	SikzA-DArI vA Si-
   [ Bendall ed p60 ---> ]	[ Bet-dalt ed p60 ---> ]
   kṣâdhārī vā tasya duḥśīlasya vā	kzâDArI vA tasya duHSIlasya vA
   śīlavato vā kāṣāyāṇi vastrāṇy apaharati apaharāyati |	SIlavataH vA kAzAyANi vastrANi apaharati apaharAyati |
