   Kātyāyanasmṛtisāroddhāraḥ	KAtyAyana-smRti-sAra-udDAraH
   [rājaguṇāḥ]	[rAja-guNAH]
   vinītaḥ śāstrasaṃpannaḥ kośaśauryasamanvitaḥ /	vinItaH SAstra-saMpannaH koSa-SOrya-samanvitaH /
   brahmaṇyo dānaśīlaḥ syāt satyadharmaparo nṛpaḥ // K_001 //	brahmaNyaH dAna-SIlaH syAt satya-Darma-paraH nRpaH // K_001 //
   stambhopatāpapaiśunya- cāpalakrodhavarjitaḥ /	stamBa-upatApa-pESunya cApala-kroDa-varjitaH /
   pragalbhaḥ sannatodagraḥ saṃbhāṣī priyadarśanaḥ // K_002 //	pragalBaH sannata-udagraH saMBAzI priya-darSanaH // K_002 //
   vaśyendriyaṃ jitātmānaṃ dhṛtadaṇḍaṃ vikāriṣu /	vaSya-indriyam jita-AtmAnam DRta-daNxam vikArizu /
   parīkṣyakāriṇaṃ dhīram atyantaṃ śrīr niṣevate // K_003 //	parIkzya-kAriNam DIram atyantam SrIH nizevate // K_003 //
   [rājadharmāḥ]	[rAja-DarmAH]
   śauryavidyārthabāhulyāt prabhutvāc ca viśeṣataḥ /	SOrya-vidyA-arTa-bAhulyAt praBu-tvAt ca viSezataH /
   sadā cittaṃ narendrāṇāṃ moham āyāti kāraṇāt // K_004 //	sadA cittam narendrANAm moham AyAti kAraNAt // K_004 //
   tasmāc cittaṃ praboddhavyaṃ rājadharme sadā dvijaiḥ /	tasmAt cittam prabodDavyam rAja-Darme sadA dvijEH /
   pavitraṃ paramaṃ puṇyaṃ smṛtivākyaṃ na laṅghayet // K_005 //	pavitram paramam puNyam smRti-vAkyam na laFGayet // K_005 //
   vedadhvaniprabhāveṇa devāḥ svarganivāsinaḥ /	veda-Dvani-praBAveNa devAH svarga-nivAsinaH /
   te 'pi tatra pramodante tṛptās tu dvijapūjanāt // K_006 //	te api tatra pramodante tRptAH tu dvija-pUjanAt // K_006 //
   tasmād yatnena kartavyā dvijapūjā sadā nṛpaiḥ /	tasmAt yatnena kartavyA dvija-pUjA sadA nRpEH /
   tena bhūyo 'pi śakratvaṃ narendratvaṃ punaḥ punaḥ // K_007 //	tena BUyas api Sakra-tvam narendra-tvam punar punar // K_007 //
   surādhyakṣaś cyutaḥ svargān nṛparūpeṇa tiṣṭhati /	surADyakzaH cyutaH svargAt nRpa-rUpeNa tizWati /
   kartavyaṃ tena tan nityaṃ yena tattvaṃ samāpnuyāt // K_008 //	kartavyam tena tat nityam yena tattvam samApnuyAt // K_008 //
