   Kṣemendra: Kalāvilāsa	Kzema-indra: Kala-AvilAsa
   asti viśālaṃ kamalālulitapariṣvaṅgamaṅgalāyatanam &	asti viSAlam kamala-Alulita-parizvaFga-maFgala-Ayatanam &
   śrīpativakṣaḥsthalamiva ratnojjvalamujjvalaṃ nagaram // 1.1 //	SrIpati-vakzaH-sTalam-iva ratna-ujjvalam-ujjvalam nagaram // 1.1 //
   maṇibhūbimbitamuktāpralambanivahena yatra śeṣāhiḥ &	maNi-BU-bimbita-muktA-pralamba-nivahena yatra Seza-ahiH &
   bhavanāni bibharti sadā bahudhātmānaṃ vibhajyeva // 1.2 //	BavanAni biBarti sadA bahuDA-AtmAnam viBajya-iva // 1.2 //
   vighno'bhisārikāṇāṃ bhavanagaṇaḥ sphāṭikaprabhāvikaṭaḥ &	viGnaH-aBisArikANAm Bavana-gaNaH sPAwika-praBA-vikawaH &
   yatra virājati rajanītimirapaṭaprakaṭaluṇṭhākaḥ // 1.3 //	yatra virAjati rajanI-timira-pawa-prakawa-luNWAkaH // 1.3 //
   yatra trinayananayanajvalanajvālāvalīśalabhavṛttiḥ &	yatra trinayana-nayana-jvalana-jvAlA-AvalI-SalaBa-vRttiH &
   jīvati mānasajanmā śaśivadanāvadanakāntipīyūṣaiḥ // 1.4 //	jIvati mAnasa-janmA SaSi-vadanAvadana-kAnti-pIyUzEH // 1.4 //
   ratilulitalalitalalanāklamajalalavavāhino muhuryatra &	rati-lulita-lalita-lalanA-klama-jala-lava-vAhinaH muhur-yatra &
   ślathakeśakusumaparimalavāsitadehā vahantyanilāḥ // 1.5 //	SlaTa-keSa-kusuma-parimala-vAsita-dehAH vahanti-anilAH // 1.5 //
   navabisakisalayakavalanakaṣāyakalahaṃsakalaravo yatra &	nava-bisa-kisalaya-kavalana-kazAya-kalahaMsa-kalaravaH yatra &
   kamalavaneṣu prasarati lakṣmyā iva nūpurārāvaḥ // 1.6 //	kamala-vanezu prasarati lakzmyAH iva nUpura-ArAvaH // 1.6 //
   nṛtyanmugdhamayūrā marakatadhārāgṛhāvalī satatam &	nRtyat-mugDa-mayUrA mara-kata-DArA-gRha-AvalI satatam &
   sendrāyudhadhananivahā prāvṛṇmūrteva yatrāste // 1.7 //	sa-indrAyuDa-Dana-nivahA prAvRz-mUrta-iva yatra-Aste // 1.7 //
   śaśikiraṇaprāvaraṇasphāṭikaharmyeṣu hariṇaśāvākṣyaḥ &	SaSi-kiraNa-prAvaraNa-sPAwika-harmyezu hariNa-SAvAkzyaH &
   yatra vibhānti sudhāmbudhidugdhataraṅgitthitā ivāpsarasaḥ // 1.8 //	yatra viBAnti suDA-ambuDi-dugDa-taraFgitTitAH iva-apsarasaH // 1.8 //
   tatrābhūdabhibhūtaprabhūtamāyānikāyaśatadhūrtaḥ &	tatra-aBUt-aBiBUta-praBUta-m-AyAnikAya-Sata-DUrtaH &
   sakalakalānilayānāṃ dhuryaḥ śrīmūladevākhyaḥ // 1.9 //	sakala-kalA-nilayAnAm DuryaH SrI-mUladeva-AKyaH // 1.9 //
   nānādigdeśāgatadhūrtairupajīvyamānamativibhavaḥ &	nAnA-diS-deSA-gata-DUrtEH-upajIvyamAnam-ati-viBavaH &
   sa prāpa vipulasaṃpadam ātmaguṇaiścakravartīva // 1.10 //	sa prApa vipula-saMpadam Atma-guNEH-cakravartI-iva // 1.10 //
   bhuktottaraṃ sahṛdayair āsthānīsaṃsthitaṃ kadācittam &	Bukta-uttaram sahRdayEH AsTAnI-saMsTitam kadAcid-tam &
   abhyetya sārthavāho dattamahārhopahāramaṇikanakaḥ // 1.11 //	aByetya sArTavAhaH datta-mahArha-upahAra-maNi-kanakaH // 1.11 //
   praṇato hiraṇyaguptaḥ sahitaḥ putreṇa candraguptena &	praNataH hiraNyaguptaH sahitaH putreNa candraguptena &
   prāptāsanasatkāraḥ provāca mhūrtaviśrāntaḥ // 1.12 //	prApta-Asana-satkAraH provAca mhUrta-viSrAntaH // 1.12 //
   atiparicayasapratibhā tava purato mādṛśāmiyaṃ vāṇī &	ati-paricaya-sa-pratiBA tava puratas mAdRSAm-iyam vANI &
   grāmyāṅganeva nagare na tathā pragalbhyamāyāti // 1.13 //	grAmya-aFganA-iva nagare na taTA pragalByam-AyAti // 1.13 //
   pihitabṛhaspatidhiṣaṇo ruciraḥ prajñāmarīcinicayaste &	pihita-bRhaspati-DizaNaH ruciraH prajQA-marIci-nicayaH-te &
   tīkṣṇāṃśoriva sahajaḥ proṣitatimirāḥ karotyāśāḥ // 1.14 //	tIkzNa-aMSoH-iva sahajaH prozita-timirAH karoti-ASAH // 1.14 //
