   akhyāter jīvatā param UtAjp_21d	aKyAteH jIvatA param UtAju-_21d
   ato 'nyo nopapadyate UtAjp_17d	atas anyaH na-upapadyate UtAjp_17d
   abhāvena jaḍenātha UtAjp_09c	aBAvena jaxena-aTa UtAjp_09c
   arthasyātmā na yujyate UtAjp_03b	arTasya-AtmA na yujyate UtAjp_03b
   alabdhapariniṣṭhitiḥ UtAjp_10b	alabDa-parinizWitiH UtAjp_10b
   aham ity ātmanā punaḥ UtAjp_11d	aham iti AtmanA punar UtAjp_11d
   ahaṃbhāvanirodhataḥ UtAjp_22b	ahaMBAva-niroDataH UtAjp_22b
   ahaṃbhāvo hi kīrtitaḥ UtAjp_22d	ahaMBAvaH hi kIrtitaH UtAju-_22d
   idam ity asya vicchinna- UtAjp_15a	idam iti asya vicCinna UtAjp_15a
   idam ity ucitaḥ saṃvit UtAjp_11a	idam iti ucitaH saMvid UtAjp_11a
   uktā saiva ca viśrāntiḥ UtAjp_23a	uktA sA-eva ca viSrAntiH UtAjp_23a
   ubhayo 'py eṣa paryanta- UtAjp_17a	uBayaH api eza paryanta UtAjp_17a
   eka evānusandhānād UtAjp_17c	ekaH eva-anusanDAnAt UtAjp_17c
   ekaiva cānusaṃdhānāt UtAjp_25a	ekA-eva ca-anusaMDAnAt UtAjp_25a
   evam apy avabhāsānu- UtAjp_05a	evam api avaBAsa-anu UtAjp_05a
   evam arthakriyābhāso- UtAjp_07a	evam arTa-kriyA-ABAso UtAjp_07a
   evam ātmany asatkalpāḥ UtAjp_13a	evam Atmani asat-kalpAH UtAjp_13a
   katham anyasya bhāvasya UtAjp_10c	kaTam anyasya BAvasya UtAjp_10c
   kathaṃ prāṇena yantraṇā UtAjp_21b	kaTam prANena yantraNA UtAjp_21b
   kathaṃ syād aviśeṣo 'tra UtAjp_06a	kaTam syAt aviSezaH atra UtAjp_06a
   kuryān nānyas tathāpy artho UtAjp_06c	kuryAt na-anyaH taTA-api arTaH UtAjp_06c
   ghaṭate bhāsamānatā UtAjp_27b	Gawate BAsamAna-tA UtAjp_27b
   cānyāprasiddhitaḥ UtAjp_24b	ca-anya-aprasidDitaH UtAjp_24b
   jagannirmātṛteśitā UtAjp_24d	jagat-nirmAtRta-ISitAH UtAju-_24d
   jaḍāḥ prakāśa evāsti UtAjp_13c	jaxAH prakASaH eva-asti UtAjp_13c
   jadājaḍānām apy evaṃ UtAjp_01c	jadA-jaxAnAm api evam UtAjp_01c
   jīve niruddhā tatrāpi UtAjp_20c	jIve nirudDA tatra-api UtAjp_20c
   jñānādisamavāyy api UtAjp_19b	jQAna-Adi-samavAyI api UtAjp_19b
   taj jaḍasya na yujyate UtAjp_26d	tat jaxasya na yujyate UtAju-_26d
