   akārayat kārayitavyadakṣā Ks_7.27c	akArayat kArayitavya-dakzA KH-_7.27c
   akāri tatpūrvanibaddhayā tayā Ks_5.10c	akAri tad-pUrva-nibadDayA tayA KH-_5.10c
   akālasaṃdhyām iva dhātumattām Ks_1.4d	akAla-saMDyAm iva DAtumat-tAm KH-_1.4d
   akiñcanaḥ san prabhavaḥ sa saṃpadāṃ Ks_5.77a	akiQcanaH san praBavaH sa saMpadAm KH-_5.77a
   akṣṇaḥ kṛśānuḥ kila niṣpapāta Ks_3.71d	akzNaH kRSAnuH kila nizpapAta KH-_3.71d
   akhaṇḍitaṃ prema labhasva patyur Ks_7.28a	aKaNxitam prema laBasva patyuH KH-_7.28a
   agamat pākaśāsanaḥ Ks_2.63b	agamat pAkaSAsanaH KH-_2.63b
   agamayad adrisutāsamāgamotkaḥ Ks_6.95b	agamayat adrisutA-samAgama-utkaH KH-_6.95b
   agūḍhasadbhāvam itīṅgitajñayā Ks_5.62a	agUXa-sadBAvam iti-iFgita-jQayA KH-_5.62a
   aṅkam āropayām āsa Ks_6.91c	aFkam AropayAm Asa KH-_6.91c
   aṅkād yayāv aṅkam udīritāśīḥ Ks_7.5a	aFkAt yayO aFkam udIrita-ASIH KH-_7.5a
   aṅgavyayaprārthitakāryasiddhiḥ Ks_3.23c	aFga-vyaya-prArTita-kArya-sidDiH KH-_3.23c
   aṅgulībhir iva keśasaṃcayaṃ Ks_8.63a	aFgulIBiH iva keSa-saMcayam Ks_8.63a
   aṅguṣṭhamūlārpitasūtraśeṣā Ks_7.61d	aFguzWa-mUla-arpita-sUtra-SezA KH-_7.61d
   aṅgaiḥ sphuradbālakadambakalpaiḥ Ks_3.68b	aFgEH sPurat-bAla-kadamba-kalpEH KH-_3.68b
   acchinnāmalasaṃtānāḥ Ks_6.69a	acCinna-amala-saMtAnAH KH-_6.69a
   ajñātabhartṛvyasanā muhūrtaṃ Ks_3.73c	ajQAta-BartR-vyasanAH muhUrtam Ks_3.73c
   aṇimādiguṇopetam Ks_6.75a	aNima-Adi-guNa-upetam KH-_6.75a
   ata āhartum icchāmi Ks_6.28a	atas Ahartum icCAmi KH-_6.28a
   atandritā sā svayam eva vṛkṣakān Ks_5.14a	atandritA sA svayam eva vRkzakAn KH-_5.14a
   atarkitopapannaṃ vo Ks_6.54c	atarkita-upapannam vaH KH-_6.54c
   ataś carācaraṃ viśvaṃ Ks_2.5c	atas carAcaram viSvam Ks_2.5c
   ataḥ param api tvayi Ks_6.66b	atas param api tvayi KH-_6.66b
   atailapūrāḥ suratapradīpāḥ Ks_1.10d	atEla-pUrAH surata-pradIpAH KH-_1.10d
   ato 'tra kiṃcid bhavatīṃ bahukṣamāṃ Ks_5.40a	atas atra kiMcid BavatIm bahu-kzamAm KH-_5.40a
   atra labdhavasatir guṇāntaraṃ Ks_8.76c	atra labDa-vasatiH guNa-antaram Ks_8.76c
   atha tena nigṛhya vikriyām Ks_4.41c	aTa tena nigRhya vikriyAm KH-_4.41c
   atha te munayaḥ sarve Ks_6.15a	aTa te munayaH sarve KH-_6.15a
   atha te munayo divyāḥ Ks_6.47a	aTa te munayaH divyAH KH-_6.47a
   atha taiḥ paridevitākṣarair Ks_4.25a	aTa tEH paridevita-akzarEH KH-_4.25a
   atha madanavadhūr upaplavāntaṃ Ks_4.46a	aTa madana-vaDUH upaplava-antam Ks_4.46a
   atha mohaparāyaṇā satī Ks_4.1a	aTa moha-parAyaNA satI KH-_4.1a
   atha mauligatasyendor Ks_6.25a	aTa mOli-gatasya-indoH Ks_6.25a
   athavā sumahaty eṣā Ks_6.24a	aTavA su-mahati ezA KH-_6.24a
   atha vibudhagaṇāṃs tān indumaulir visṛjya Ks_7.94a	aTa vibuDa-gaNAn tAn indumOliH visRjya KH-_7.94a
   atha viśvasya saṃhartā Ks_6.23c	aTa viSvasya saMhartA KH-_6.23c
   atha viśvātmane gaurī Ks_6.1a	aTa viSvAtmane gOrI KH-_6.1a
   atha sarvasya dhātāraṃ Ks_2.3a	aTa sarvasya DAtAram KH-_2.3a
   atha sa lalitayoṣidbhrūlatācāruśṛṅgaṃ Ks_2.64a	aTa sa lalita-yozit-BrU-latA-cAru-SRFgam KH-_2.64a
   atha sā punar eva vihvalā Ks_4.4a	aTa sA punar eva vihvalA KH-_4.4a
   athāgrahaste mukulīkṛtāṅgulau Ks_5.63a	aTa-agra-haste mukulIkRta-aFgulO KH-_5.63a
   athāṅgirasam agraṇyam Ks_6.65a	aTa-aFgirasam agraNyam Ks_6.65a
   athāṅgulibhyāṃ haritālam ārdraṃ Ks_7.23a	aTa-aFguliByAm haritAlam Ardram KH-_7.23a
   athājināṣāḍhadharaḥ pragalbhavāg Ks_5.30a	aTa-ajina-AzAXa-DaraH pragalBa-vAc KH-_5.30a
   athānurūpābhiniveśatoṣiṇā Ks_5.7a	aTa-anurUpa-aBiniveSa-toziNA KH-_5.7a
   athāvamānena pituḥ prayuktā Ks_1.21a	aTa-avamAnena pituH prayuktA KH-_1.21a
   athāha varṇī vidito maheśvaras Ks_5.65a	aTa-Aha varNI viditaH maheSvaraH Ks_5.65a
   athendriyakṣobham ayugmanetraḥ Ks_3.69a	aTa-indriya-kzoBam ayugma-netraH KH-_3.69a
   athopaninye giriśāya gaurī Ks_3.65a	aTa-upaninye giriSAya gOrI KH-_3.65a
   athopayantāram alaṃ samādhinā Ks_5.45c	aTa-upayantAram alam samADinA KH-_5.45c
   athorudeśād avatārya pādam Ks_3.11a	aTa-Uru-deSAt avatArya pAdam KH-_3.11a
   atho vayasyāṃ paripārśvavartinīṃ Ks_5.51c	aTo vayasyAm paripArSva-vartinIm KH-_5.51c
   athauṣadhīnām adhipasya vṛddhau Ks_7.1a	aTa-OzaDInAm aDipasya vRdDO KH-_7.1a
