   Anityatā-sūtram	Anitya-tA--sUtram
   om namaḥ sarvajñāya //	om namaH sarvajQAya //
   1. evam mayā śrutam, ekasmin samaye bhagavān śrāvastyāṃ viharati sma (As	1. evam mayA Srutam, ekasmin samaye BagavAn SrAvastyAm viharati sma (As
   31) jetavane 'nāthapiṇḍasyārāme mahatā bhikṣusaṃghena sārdham	31) jetavane anATapiNxasya-ArAme mahatA Bikzu-saMGena sArDam
   ardhatrayodaśabhir bhikṣuśataiḥ //	arDa-trayodaSaBiH Bikzu-SatEH //
   2. tatra khalu bhagavān bhikṣūn āmantrayate sma / anityatā bhikṣavaḥ	2. tatra Kalu BagavAn BikzUn Amantrayate sma / anitya-tA BikzavaH
   sarvasaṃskārā adhruvā anāsvāsikā vipariṇāmadharmānaḥ / yad yāvad bhikṣavaḥ	sarva-saMskArAH aDruvA anAsvAsikAH vipariNAma-DarmAnaH / yat yAvat BikzavaH
   sarvebhyaḥ saṃskārebhyo 'laṃ nirvetum alaṃ viraktum alaṃ vimoktuṃ //	sarveByaH saMskAreByaH alam nirvetum alam viraktum alam vimoktum //
   3. sarveṣām sattvānāṃ sarveṣāṃ bhūtānāṃ sarveṣāṃ prāṇinām āmaraṇāntaṃ hi	3. sarvezAm sattvAnAm sarvezAm BUtAnAm sarvezAm prANinAm AmaraNa-antam hi
   jīvitaṃ maraṇaparyavasānaṃ nāsti jātasyāmaraṇaṃ //	jIvitam maraNa-paryavasAnam na-asti jAtasya-amaraNam //
   4. ye 'pi te bhikṣavo gṛhapatayo mahāsālakulā brāhmaṇamahāsālakulā	4. ye api te BikzavaH gRhapatayaH mahAsAla-kulA brAhmaNa-mahA-sAla-kulA
   kṣatriyo mahāsālakulā āsāṃ mahādhanā mahābhogāḥ prabhūtamaṇimā	kzatriyaH mahA-sAla-kulAH AsAm mahADanAH mahA-BogAH praBUta-maNimA
   niṣkamuktāvaiḍūryaśaṃkhaśilāpravālajātarūparajatavittopakaraṇāḥ	nizka-muktA-vExUrya-SaMKa-SilA-pravAla-jAtarUpa-rajata-vitta-upakaraNAH
   prabhūtadhanadhānyakoṣṭhāgārasannicayāḥ	praBUta-Dana-DAnya-kozWa-AgAra-sannicayAH
   prabhūtadāsidāsakarmakarapauruṣeyāḥ prabhūtamitrāmātyajñātisālohitās,	praBUta-dAsi-dAsa-karmakara-pOruzeyAH praBUta-mitra-amAtya-jQAti-sAlohitAs,
   teṣām api maraṇāntaṃ jīvitaṃ maraṇaparyavasānaṃ nāsti jātasyāmaraṇaṃ //	tezAm api maraNa-antam jIvitam maraNa-paryavasAnam na-asti jAtasya-amaraNam //
