   śrīḥ	SrIH
   āpastambaśulbasūtraṃ kapardibhāṣyasahitam	Apastamba Sulba sUtram kapardi BAzya sahitam
   uktā yajñāḥ /	uktAH yajQAH /
   teṣāṃ agnyāyatanāni niyatapramāṇāni niyatadeśāni /	tezAm agni AyatanAni niyata pramANAni niyata deSAni /
   teṣāmāyāmavistārānvaktukāma āha  vihāra yogāniti  	tezAm AyAma vistArAn vaktu kAmaH Aha   vihAra yogAn iti  
   vihārayogān vyākhyāsyāmaḥ || ĀpŚus_1.1 ||	vihAra yogAn vyAKyAsyAmaH || ĀpŚuH _1.1 ||
   vihiyante 'sminnagnaya iti vihārāḥ prāgvaṃśādayo gārha patyādayaś ca /	vihiyante asmin= agnayaH iti vihArAH prAc vaMSa AdayaH gArha pati AdayaH ca /
   yujyate 'neneti yogaḥ rajjuviśeṣaḥ /	yujyate anena iti yogaH rajju viSezaH /
   vihārāṇāṃ yogo vihārayogaḥ /	vihArANAm yogaH vihAra yogaH /
   viharaṇameva vā vihāraḥ /	viharaNam eva vA vihAraH /
   teṣāṃ yogo vihārayogaḥ /	tezAm yogaH vihAra yogaH /
   tasya kṛtsnaṃ pratipādanamityarthaḥ /	tasya kRtsnam pratipAdanam iti arTaH /
   yogāniti bahuvacanaṃ bahubhiḥ prakārairdarśayitum /	yogAn iti bahuvacanam bahuBiH prakArEH darSayitum /
   darśanaṃ ca prādhānya pratipacyartham /	darSanam ca prADAnya pratipacI arTam /
   yathā rathādayo niyatāṅgapramāṇā ekasiminn aṅge 'pi mātrayā vihīyamāne	yaTA raTa AdayaH niyata aFga pramANAH ekasimin aFge api mAtrayA vihIyamAne
   samyakū na gacchanti evamagnyāyata nādīnyapi mātrayā vihīyamānāni	samyakU na gacCanti evam agnyAyata na AdIni api mAtrayA vihIyamAnAni
   sādhanabhāvaṃ na gacchanti tasmādyatnena sampādanīyāni. sarvatra vijñāyata	sADana BAvam na gacCanti tasmAt yatnena sampAdanIyAni. sarvatra vijQAyata
   iti śrutīnāmupanyāsātsarvathā āyāmādaya iktaireva	iti SrutInAm upanyAsAt sarvaTA AyAma AdayaH iktEH eva
   margaiḥsamyaksampādanīyāḥ /	margEH samyak sampAdanIyAH /
   āyatanānāṃ bhreṣe ca prāyaśvittena bhavitavyam /	AyatanAnAm Breze ca prAya Svittena Bavitavyam /
   amumevārthaṃ pradarśayituṃ śulbāntare "athātaḥ' śabdau prayuktau  "athāto	amum eva arTam pradarSayitum Sulba antare "aTAtaH a SabdO prayuktO  "aTa atas 
   vihārayogān' iti /	vihAra yogAn a iti /
   āditastāvaddiśāṃ grahaṇaṃ vaktavyamanenāyāryeṇa noktam /	Aditas tAvat diSAm grahaNam vaktavyam anenAyAryeNa na uktam /
   tacchulbāntarato grāhyam /	tat Sulba antarataH grAhyam /
   ""kṛttikāḥ khalvimāḥ prācīṃ diśaṃ na paricahati /	""kRttikAH Kalu imAH prAcIm diSam na paricahati /
   tāsāṃ darśanena māpayedityekam /	tAsAm darSanena mApayet iti ekam /
   śroṇādarśa nena māpayedityekam /	SroNAdarSa nena mApayet iti ekam /
   citnāsvātyorantarālenetyaparam /	citnA svAtyoH antarAlena iti aparam /
   "iti bhagapatā bodhāyanena prāgvaṃśamānamadhikṛtyoktam /	"iti BagapatA boDAyanena prAc vaMSa mAnam aDikRtya uktam /
   kṛttikādayo yatra nilīyante sā prācī digiti citrāsvātyor madhye	kRttikA AdayaH yatra nilIyante sA prAcI diS iti citrA svAtyoH maDye
   udakamapasthāpya pradibimbaṃ dṛṣṭva grāhyam /	udakam apasTApya pradibimbam dRzwva grAhyam /
   atha vā yatra devayajanaṃ, mṛjjalena taṃ deśaṃ samīkṛtya madhye śaṅkuṃ	aTa vA yatra deva yajanaM, mRd jalena tam deSam samIkRtya maDye SaFkum
   nihatya śaṅkupramāṇayā ravjjā maṇḍalaṃ parilikhya śaṅkucchā yāgraṃ	nihatya SaFku pramANayA ravjjA maNxalam pariliKya SaFkucCA yAgram
   pūrvāhne yatra maṇḍalalekhāṃ spṛśati tatra śaṅkuṃ nihatya nirgamavelāyāṃ	pUrvAhne yatra maNxala leKAm spRSati tatra SaFkum nihatya nirgama velAyAm
   cāparahṇe /	ca aparahNe /
   tau pūrvāparau /	tO pUrva aparO /
   sūkṣmamicchan śvobhūte pūrvāhte śaṅkucchāyāgrarekhāyāmeva lakṣaṇaṃ kṛtvā	sUkzmam icCan Svas BUte  pUrva Ahte SaFkucCAya agra reKAyAm eva lakzaNam kRtvA
   śaṅkulakṣaṇayorantarālaṃ pratīcyāṃ diśi yaḥśaṅkuḥ taṃ pratsapasārayet	SaFku lakzaNayoH antarAlam pratIcyAm diSi yaHSaFkuH tam pratsapasArayet 
   upakramadeśaṃ prati /	upakrama deSam prati /
   āpastambaśulbasūtravyākhyā karavindīyā	Apastamba Sulba sUtra vyAKyA karavindIyA
   omityekākṣārākhyeyaṃ vande vāṅnasātigam /	om iti ekAkzAra AKyeyam vande vAc nasa atigam /
   paśyanti kavayo yaddhi tadviṣṇoḥ paramaṃ padam /	paSyanti kavayaH yat hi tat vizNoH paramam padam /
   lakṣmīsahāyamatasīkusumacchavi śāśvatam /	lakzmI sahAyam atasI kusuma= Cavi SASvatam /
   jyotirmeṃ hṛdaye bhūyātāsadā rājīvalocanam //	jyotiH mem hRdaye BUyAta asadA rAjIva locanam //
   āpastambāya munaye namo vedārthabhūmayo /	ApastambAya munaye namaH veda arTa BUmayaH /
   yatsūtrasaktāstiṣṭhante yajñaśrutikumārikāḥ /	yat sUtra saktAH tizWante yajQa Sruti kumArikAH /
   tatsūtraśulbavyākhyeyamakṣarārthāvabodhinī /	tad sUtra Sulba vyAKyeyam akzara arTa avaboDinI /
   karavindādhipenādya kriyate bhāṣyakṛnmate //	karavinda aDipena adya kriyate BAzya kRt mate //
   yajñavyākhyāpratijñāṃ kurvatā bhagavatā'pastambena vyākhyeyatayā	yajQa vyAKyA pratijQAm kurvatA BagavatA apastambena vyAKyeya tayA
   haviryajñāḥ somayajñāḥ pākayajñāś ca pratijñātā vyākhyātāś ca /	haviH yajQAH soma yajQAH pAkayajQAH ca pratijQAtAH vyAKyAtAH ca /
   tatra tāvadaiṣṭikasaumikapāśubandhikadārvīhaumikāḥ samaviṣama	tatra tAvat Ezwika sOmika pASu banDika dArvI hOmikAH samavizama
   dhanirmaṇḍalacaturaśratrayaśranānāśrayo	DaniH maNxala caturaSra traya SranAn ASrayaH 
   gārhapatyāyatanaprabhṛticityeṣṭakāparyantā	gArhapatya Ayatana praBRti citya izwakA paryantA
   niyataparimaṇadeśaviśeṣāstatratatroktāḥ, te 'pi mātavyā iti tadvimānaṃ	niyata parimaNa deSa viSezAH tatra tatra uktAH, te api mAtavyAH iti tat vimAnam
   prati sādhanabhūtaravjjādīnāṃ sādhanabhūtasyaitāvatī rajjuretāvataḥ	prati sADana BUta ravjja AdInAm sADana BUtasya etAvatI rajjuH etAvataH
   kṣetrasya karaṇīti svarūpamātreṇa jñātumaśakyatvāttatpratipādanamapaśyaṃ	kzetrasya karaNi iti sva rUpa mAtreNa jQAtum aSakyatvAt tad pratipAdanam apaSyam
   kartavyamiti yajñavyākhyānānantaraṃ vihārayogavyākhyā kriyate  	kartavyam iti yajQa vyAKyAna anantaram vihAra yoga vyAKyA kriyate  
   vihāro viharaṇam /	vihAraH viharaNam /
   yogastatsādhanam /	yogaH tad sADanam /
   vihārāṇāṃ yogāḥ	vihArANAm yogAH
   vihārayogāstānvyākhyāsyāmaḥ pratipādayiṣyāmaḥ /	vihAra yogAH tAn vyAKyAsyAmaH pratipAdayizyAmaH /
   vipūrvo haratiḥ	vipUrvaH haratiH
   krīḍāprajvalanabandhanasaṃcaraṇavimānādyanekārthakaḥ /	krIxA prajvalana banDana saMcaraNa vimAna Adi aneka arTakaH /
   tatkriyāviśeṣasambandhādeva deśādiṣu tatratatrārthe vihāravyapadeśaḥ /	tad kriyA viSeza sambanDAt eva deSa Adizu tatra tatra arTe vihAra vyapadeSaH /
   atra tuvimānavācī /	atra tuvi mAn avAcI /
   yujiś ca dvividhaḥ  samādhivācī	yujiH ca dviviDaH  samADi vAcI
   saṃbandhavācī ca /	saMbanDa vAcI ca /
   atra tu samādhivācī /	atra tu samADi vAcI /
   vedyādeḥsamyagavasthānaṃ samādhiḥ, "sa samāviḥ' ityatra vakṣyate /	vedya AdeH samyak avasTAnam samADiH, "sa samAviH a iti atra vakzyate /
   yujyante ebhiriti yogāḥ, viharaṇopāyabhūtā ravjjādayaḥ /	yujyante eBiH iti yogAH, viharaNa upAya BUtAH ravjja AdayaH /
   "pṛṣṭhyāntayoḥ' ityādinā vimātavyasya vedyādikṣetrasya śroṇyaṃsānāṃ	"pRzWyA antayoH a ityAdinA vimAtavyasya vedya Adi kzetrasya SroNi aMsAnAm
   vividhasaṃpādanāvacchedo viharaṇam /	viviDa saMpAdana avacCedaH viharaNam /
   tatsādhanabhūtā ravjjādayo vihārayogāḥ, tānvacākhyāsyāmaḥ /	tad sADana BUtAH ravjja AdayaH vihAra yogAH, tAnvacA AKyAsyAmaH /
   vyārūyānaṃ nāma sati sandehe balavatā hetunopapādya vivaraṇaṃ, yathā 	vyArUyAnam nAma sati sandehe balavatA hetunA upapAdya vivaraNan, yaTA 
   "sama caturaśrā anupapadatvācchabdasya mānārtheṣu yathākāmiśabdārthasya	"sama caturaSrAH anupapada tvAt Sabdasya mAna arTezu yaTAkAmi Sabda arTasya
   viśayitvāt, ityevamādikam /	viSayitvA at, iti evam Adikam /
   nanu kuto vihārasya bhāvavā citvaṃ, kuto vā tasya vimānaparyāyatvaṃ, kuto	nanu kutas vihArasya BAvavA citvan, kutas vA tasya vimAna paryAya tvan, kuto
   viharaṇasya vedyādisaṃbandhaḥ, kuto vā tatra ravjjādīnāṃ karaṇatvaṃ, kuto	viharaNasya vedya Adi saMbanDaH, kutas vA tatra ravjja AdInAm karaNa tvan, kuto
   vā	vA
   yujeḥsamādhivacanatā, kathaṃ vā ravjjādiṣu yogavāyavahāraḥ? ucyate  "uktaṃ	yujeH samADi vacana tA, kaTam vA ravjja Adizu yogavAyavahAraH? ucyate  "uktam
   viharaṇaṃ "vyākhyātaṃ viharaṇam' iti bhāvapratyayanirdeśāt bhāvavacano	viharaNam "vyAKyAtam viharaNam a iti BAva pratyaya nirdeSAt BAva vacanaH 
   vihāraśabdaḥ	vihAra SabdaH
   "tadekaravjjā viharaṇaṃ' "ravjjā vā vimāya' iti ravjjakārye	"tad eka ravjjA viharaNama "ravjjA vA vimAya a iti ravjja kArye
   vimānaviharaṇayoratra	vimAna viharaNayoH atra
   darśanādubhayoḥ paryāya tvām /	darSanAt uBayoH paryAya tvAm /
   "etāvanti jñeyāni vediviharaṇāni bhavanti' ityanena viharaṇasya	"etAvanti jQeyAni vedi viharaNAni Bavanti a iti anena viharaNasya
   vedyādisambandhaḥ /	vedya Adi sambanDaH /
   "āgantucaturthamāyāmaśvākṣṇayārajjuḥ pramāṇamātrī rajjuṃ' iti tatra tatra	"a Agantu caturTa mAyAm aSva akzNayA rajjuH pramANa mAtrI rajjuma iti tatra tatra
   karaṇīṣu rajju vyapadeśitvavaśāt pārśvamānī tiryaṅbhānīdi	karaNIzu rajju vyapadeSitva vaSAt pArSva mAnI tiryaFBAni idi
   karaṇyaṣṭādaśakaraṇīti tatratatra rutrīliṅganirdeśāt rajjveti tṛtīyāśruteś	karaNi azwAdaSa karaNI iti tatra tatra rutrI liFga nirdeSAt rajjvA iti tRtIya aSruteH 
   ca	ca
   rajjūnāṃ viharaṇe sādhanatvaṃ ata eva hetoretatkarma śulbamityācakṣate /	rajjUnAm viharaNe sADana tvam atas eva hetoH etat karma Sulbam iti Acakzate /
   ācāryā etaṃ grantharāśiṃ "sa samādhiḥ' "athāparo yogaḥ' iti vakṣyanti /	AcAryAH etam granTa rASim "sa samADiHa "aTa aparaH yogaHa iti vakzyanti /
   tena jñāyate yujeḥsamādhivacanatā /	tena jQAyate yujeH samADi vacana tA /
   yujerarthasya samādherviharaṇasādhyatvāt /	yujeH arTasya samADeH viharaNa sADya tvAt /
   viharaṇasādhanānyapi yogasādhanāni bhavantīti ravjjādayo yogā ityucyante /	viharaNa sADanAni api yoga sADanAni Bavanti iti ravjja AdayaH yogAH iti ucyante /
   vi hārayogaparatāṃ jñāpayituṃ viharaṇasādhaneṣu yogavyavahāraḥ /	vi hAra yoga para tAm jQApayitum viharaNa sADanezu yoga vyavahAraH /
   yogagrahaṇaṃ kimarthaṃ ? sādhanatvapratītyarthamityuktam /	yoga grahaNam kim arTam ? sADanatva prati iti arTam iti uktam /
   evaṃ tarhi na vaktavyaṃ darśapūrṇamāsau vyākhyāsyāma ityādiṣu	evam tarhi na vaktavyam darSa pUrNamAsO vyAKyAsyAmaH ityAdizu
   pratijñānantaraṃ sādhanānyeva vyākhyeyatayāvagamyante /	pratijQA anantaram sADanAni eva vyAKyeyatayOvagamyante /
   evaṃ tarhi yogagrahaṇaṃ mānasādhaneṣu prādhānyakhyāpanārthaṃ /	evam tarhi yoga grahaNam mAna sADanezu prADAnya KyApana arTam /
   kiṃ tat prādhānyam ? yadyapi padaveṇvādīni mānasādhanāni santi, tadhāpi	kim tat prADAnyam ? yadi api pada veNu AdIni mAna sADanAni santi, taDA api
   tairvimāne bahu prayatnasādhyā samyagvedyādikṣetrasamādhisiddhiḥ,	tEH vimAne bahu prayatna sADyA samyak vedya Adi kzetra samADi sidDiH,
   pajjusīrādibhir vimāne tasyāḥ siddhirīṣatkarītyetadatra prādhānyaṃ /	pajju sIra AdiBiH vimAne tasyAH sidDiH Izat karI iti etat atra prADAnyam /
   nanu ravjjādīnāṃ viharaṇasādhanatvaṃ lokato 'pi setsyati,	nanu ravjja AdInAm viharaNa sADana tvam lokataH api setsyati,
   kimarthamidamucyate vihārayogānvyākhyāsyāma iti? ucyate  satyaṃ setsyati /	kimarTam idam ucyate vihAra yogAn vyAKyAsyAmaH iti? ucyate  satyam setsyati /
   tathāpi	taTA api
   kālavaddeśasyāpyaṅgatvāduktapramāṇasya deśasya tilamātrapra māṇādapi	kAla vat deSasya api aFga tvAt ukta pramANasya deSasya tila mAtra pra mANAt api
   nyūnādhikabhāve	nyUna aDika BAve
   satyaṅgavaiguṇyaṃ syāditi manyamāna ācāryo	sati aFga vEguNyam syAt iti manyamAnaH AcAryaH 
   ravjjādīnāmasandigdhamīṣatkaramupāyabhāvaṃ svayameva pratipādayitumidaṃ	ravjja AdInAm asandigDam Izat karam upAya BAvam svayam eva pratipAdayitum idam
   brūte /	brUte /
   ato nyūnādhikabhāve pariharaṇīye sati pramādādasāmatharyādvā yadi bhreṣa	atas nyUna aDika BAve pariharaNIye sati pramAdAt asAm aTaryAt vA yadi Breza
   upajāyate tatrāvaśyaṃ prāyāśvittaṃ kartavyamityetadarthamidamucyate	upajAyate tatra avaSyam prAya ASvittam kartavyam iti etat arTam idam ucyate
   "vihārayogānvyākhyāsyāmaḥ' iti /	"vihAra yogAn vyAKyAsyAmaHa iti /
   athavā vihriyanta iti vihārāḥ /	aTavA vihriyante iti vihArAH /
   yogāś ca tatsaṃpādanopāyabhūtāsta eva rajjvādayaḥ /	yogAH ca tad saMpAdana upAya BUtAH te eva rajju AdayaH /
   atra kecinniyatadiksaṃyogādīnāṃ vedyādīnāmajñātadigviśeṣaiḥ	atra kecid niyata diS saMyoga AdInAm vedya AdInAm ajQAta diS viSezEH
   puruṣairviharaṇaṃ kartum aśakyamiti digviśeṣajñāpanārthamādāveva diśaṃ	puruzEH viharaNam kartum aSakyam iti diS viSeza jQApana arTam AdO= eva diSam
   lakṣaṇīkurvanti /	lakzaNIkurvanti /
   yathā'ha bhagavān kātyāyanaḥ   "same śaṅkuṃ nikhāya śaṅkusaṃmitayā ravjjā	yaTA aha BagavAn kAtyAyanaH  "same SaFkum niKAya SaFku saMmitayA ravjjA
   maṇḍalaṃ parilikhya yatra lekhayoḥśaṅkagravacchāyā nipatati sā prācī /	maNxalam pariliKya yatra leKayoH SaFka grava= CAyA nipatati sA prAcI /
   tatra śaṅkuṃ nikhāya tadanantaraṃ ravjjābhyasya pāśau kṛtvā śakṅvoḥ pāśau	tatra SaFkum niKAya tad anantaram ravjjA aByasya pASO kRtvA SakFvoH pASO
   pratimucya lakṣaṇena dakṣiṇāpāyamya madhyamaśaṅkurevamuttarataḥsodīcī''	pratimucya lakzaNena dakziNA apAyamya maDyama SaFkuH evam uttaratas sA udIcI aa
   iti /	iti /
   asyārthaḥ  atha yatra śucau deśe devayajanaṃ kīraṣyan bhavati taṃ deśaṃ	asya arTaH  aTa yatra SucO deSe deva yajanam kIrazyan Bavati tam deSam
   jalena samīkṛtya madhye śaṅkuṃ nihatya śaṅkusaṃmitāmekataḥ pāśāṃ rajjuṃ	jalena samIkRtya maDye SaFkum nihatya SaFku saMmitAm ekatas pASAm rajjum
   kṛtvā śakṅau pratimucya tayā maṇḍalaṃ parilirūya maṇḍalarekhāyāṃ pūrvāhne	kRtvA SakFO pratimucya tayA maNxalam parilirUya maNxala reKAyAm pUrvAhne
   yatra śakṅvagracchāyā nipatati tatra binduṃ kuryāt tau pūrvaparau bindū sā	yatra SakFvagra= CAyA nipatati tatra bindum kuryAt tO pUrva parO bindU sA
   ca pracī dik /	ca pracI diS /
   bindvordvayoḥśaṅkuṃ nikhāya tadantaradviguṇāṃ rajjumubhayataḥpāśāṃ kṛtvā	bindvoH dvayoH SaFkum niKAya tad antara dviguNAm rajjum uBayatas pASAm kRtvA
   madhye lakṣaṇaṃ kṛtvā śakṅvoḥ pāśau pratimucya lakṣaṇena dakṣiṇāpāyamya	maDye lakzaNam kRtvA SakFvoH pASO pratimucya lakzaNena dakziNa apAyamya
   lakṣaṇe śaṅkuṃ kuryād evam uttarato 'pi lakṣaṇenāpāyamya śaṅkuṃ kuryāt /	lakzaNe SaFkum kuryAt evam uttaratas api lakzaNena apAyamya SaFkum kuryAt /
   tau śaṅkū dakṣiṇottarau sā udīcī digiti /	tO SaFkU dakziNa uttarO sA udIcI diS iti /
   tathā jyotirjñāne /	taTA jyotiH jQAne /
   iṣṭamaṇḍalamadhyasthaśaṅkucchāyāgravṭattayoḥ /	izwa maNxala maDya sTa SaFkucCAyA agra vwat tayoH /
   yogābhyāṃ kṛtamatsyena jñeye yāmyottare diśau' iti /	yogAByAm kRta matsyena jQeye yAmya uttare diSO a iti /
   evamanyairapi bahuprakāraṃ diśāṃ grahaṇaṃ tatra tatroktamiti	evam anyEH api bahu prakAram diSAm grahaNam tatra tatra uktam iti
   prasiddhatvādevācāryeṇeha noktaṃ /	prasidDa tvAt eva AcAryeNa iha na uktam /
   pramīyate 'neneti vyutpacyā pārśvamānyādīnāṃ pramāṇatve siddhe pramāṇāmiti	pramIyate anena iti vyutpacyA pArSva mAnya AdInAm pramANa tve sidDe pramANAm iti
   paribhāṣyate //	pariBAzyate //
   āpastambaśulbasūtravyākhyā	Apastamba Sulba sUtra vyAKyA
   sundararājīyā	sundara rAjIyA
   āpastambena yo 'yaṃ vyaraci bhagavatā śulbasaṃjño gabhīraḥ praśno 'rthaṃ	Apastambena yaH ayam vyaraci BagavatA Sulba saMjQaH gaBIraH praSnaH arTam
   tasya bhāṣyaprabhṛtiṣu kathitaṃ vīkṣya kṛtsnam /	tasya BAzya praBRtizu kaTitam vIkzya kRtsnam /
   saṃkṣipyobdodhanārthaṃ kuśikakulanidhermādhavāryasya yaṣṭuḥ putraḥ	saMkzipya ubdoDana arTam kuSika kula niDeH mADava Aryasya yazwuH putraH
   śulbapradīpaṃ vivaraṇamadhunā sundaro nirmimīte //	Sulba pradIpam vivaraNam aDunA sundaraH nirmimIte //
   vihāro viharaṇaṃ, caturaśrādirūpeṇa bhmeḥ karaṇam /	vihAraH viharaNan, caturaSra Adi rUpeNa BmeH karaNam /
   tasya yogāḥ upāyāḥ /	tasya yogAH upAyAH /
   kapardibhāṣyam	kapardi BAzyam
   yāvadāyāmaṃ pramāṇam || ĀpŚus_1.2a ||	yAvat AyAmam pramANam || ĀpŚuH _1.2aH ||
   yāvadāyāmamityavyayībhāvaḥ /	yAvat AyAmam iti avyayIBAvaH /
   yāvadavadhāraṇa iti /	yAvat avaDAraNaH iti /
   kimatrāvadhāryate? āyāmaḥ /	kim atra avaDAryate? AyAmaH /
   āyāma eva pramāṇamiti na, tiryaṅbhānyakṣṇayā rajjū /	AyAmaH eva pramANam iti na, tiryaFBAni akzNayA rajjU /
   tābhyāmapi piharaṇasya śakyatvāt /	tAByAm api piharaNasya Sakya tvAt /
   pramāṇasaṃjñāyāḥ prayojanaṃ "pramāṇaṃ tṛtīyena vardhayedityāyāma	pramANa saMjQAyAH prayojanam "pramANam tRtIyena varDayet iti AyAma
   saṃprajñānārtham /	saMprajQAna arTam /
   karavindīyā vyākhya	karavindIyA vyAKya
   yāvamāṇama.	yAvamANam a.
   yāvacchabdaḥ parimāṇavācī, āyāmaśabdo vistārapratiyogivacanaḥ /	yAvat SabdaH parimANa vAcI, AyAma SabdaH vistAra pratiyogi vacanaH /
   "yāvadavadhāraṇe iti samāsaḥ /	"yAvat avaDAraNe iti samAsaH /
   yāvānāyāmastāvat pramāṇaṃ bhavati, kimatrāvadhāryate?	yAvAn AyAmaH tAvat pramANam Bavati, kim atra avaDAryate?
   āyāmaparimāṇameva pramāṇamiti /	AyAma parimANam eva pramANam iti /
   tadatrā'yāmasya dviguṇatvāttadāśrayabhūtarajjvādipramāṇam iti /	tat atrA ayAmasya dviguNa tvAt tad ASraya BUta rajju Adi pramANam iti /
   asya pramāṇaṃ tiryagādiṣu prayojanam,	asya pramANam tiryak Adizu prayojanam,
   kapardibhāṣyam	kapardi BAzyam
   tadardhamabhyasyāparasmiṃstṛtīye ṣaḍbhāgone lakṣaṇaṃ karoti || ĀpŚus_1.2b	tad arDam aByasya aparasmin= tRtIye zaz BAga Une lakzaNam karoti || ĀpŚuH _1.2b
   taditi pramāṇaṃ rāmṛśyate /	tat iti pramANam rAmRSyate /
   tadardhaṃ abhyasya prakṣipya pramāṇasyopari	tad arDam aByasya prakzipya pramANasya upari
   aparasmiṃstṛtīye ṣaḍbhāgone lakṣaṇaṃ karoti /	aparasmin= tRtIye zaz BAga Une lakzaNam karoti /
   abhyāsasahitaṃ pramāṇaṃ ubhayataḥ pāśau kṛtvāparasmin bhāge tṛtīye	aByAsa sahitam pramANam uBayatas pASO kRtvA aparasmin BAge tRtIye
   lakṣaṇaṃ tirañjanaṃ karoti /	lakzaNam tiraQjanam karoti /
   āyāmasya ṣaḍbhāgone lakṣaṇaṃ kuryāt //	AyAmasya zaz BAga Une lakzaNam kuryAt //
   pṛṣṭhyāntayorantau niyamya lakṣaṇena dakṣiṇāpāyamya nimitaṃ karoti ||	pRzWyA antayoH antO niyamya lakzaNena dakziNA apAyamya nimitam karoti ||
   ĀpŚus_1.2c ||	ĀpŚuH _1.2t ||
   pṛṣṭhe bhavā pṛṣṭhyā /	pRzWe BavA pRzWyA /
   tasyā antayoḥśaṅkū nihatya tayoḥ pāśau pratimucya lakṣaṇena dakṣiṇāpāyamya	tasyAH antayoH SaFkU nihatya tayoH pASO pratimucya lakzaNena dakziNa apAyamya
   nimittaṃ karoti, lakṣaṇena prasārya yathā ṣaḍbhāgonā tiryaṅbhānī	nimittam karoti, lakzaNena prasArya yaTA zaz BAga UnA tiryaFBAnI
   śiṣṭākṣṇayā rajjuḥ evamapasārayati /	Sizwa akzNayA rajjuH evam apasArayati /
   nimittaṃ nihanyāt //	nimittam nihanyAt //
   karavindīyā vyākhyā	karavindIyA vyAKyA
   tadardha karoti.	tad arDa karoti.
   idānīṃ tāvadaiṣṭikasaumikapāśubandhikānāṃ prāyeṇa	idAnIm tAvat Ezwika sOmika pASu banDikAnAm prAyeNa
   dīrghacaturaśratvāttadanurūpaṃviharaṇamucyate  	dIrGa caturaSra tvAt tad anurUpaMviharaNam ucyate  
   pramāṇamityeva tacchabdenāyāmabhūtaṃ pramāṇaṃ parāmṛśyate /	pramANam iti eva tad Sabdena AyAm a BUtam pramANam parAmRSyate /
   tasyārdhaṃ tadardhaṃ, abhyasanamuparikṣepaḥ, aparasmina paścāddhāvi	tasya arDam tad arDaM, aByasanam upari kzepaH, aparasminaH paScAt hAvi
   nyāgantau, tṛtīye pramāṇārdhābhyāṃ saha tṛtīye, ṣaḍbhāgone  ṣaṣṭho	nyAgantO, tRtIye pramANa arDAByAm saha tRtIye, zaz BAga Une   zazWaH 
   bhāgaḥṣaḍbhāgaḥ tena bhāgena hīne tasminneva tṛtīye, lakṣaṇaṃ lakṣyate	BAgaH zaz BAgaH tena BAgena hIne tasmin= eva tRtIye, lakzaNam lakzyate
   yena tallakṣaṇaṃ vimātavyakṣetrasya koṭiparijñānopāyabhūtaṃ cihnaṃ karoti	yena tad lakzaNam vimAtavyakzetrasya kowi parijQAna upAya BUtam cihnam karoti
   kuryāt, pṛṣṭhyāntayoḥ  vimātavyakṣetrasya madhyaṃ pṛṣṭhaṃ, kuta	kuryAt, pRzWyA antayoH   vimAtavya kzetrasya maDyam pRzWaM, kuta
   etadavagamyate?	etat avagamyate?
   tadavayaveṣu śroṇyaṃsapārśvavyapadeśādyathā śroṇyaṃsadeśapārśvānāṃ madhyaṃ	tad avayavezu SroNi aMsa pArSva vyapadeSAt yaTA SroNi aMsa deSa pArSvAnAm maDyam
   pṛṣṭhaṃ epamidamapīti! tatra bhavā rekhā pṛṣṭhyā /	pRzWam epam idam api iti! tatra BavA reKA pRzWyA /
   tadantayoḥśaṅkuṃ nikhāya rajjvantau pāśau kṛtvā tayorniyamya pratimucya	tad antayoH SaFkum niKAya rajju antO pASO kRtvA tayoH niyamya pratimucya
   lakṣaṇena cihnena dakṣiṇāpāyamya  dakṣiṇato 'pakṛṣya rajjuṃ tatra nimittaṃ	lakzaNena cihnena dakziNa apAyamya  dakziNatas apakRzya rajjum tatra nimittam
   kṣetrakoṭijñānahetuṃ śaṅkuṃ kuryāt /	kzetra kowi jQAna hetum SaFkum kuryAt /
   kapardibhāṣyam	kapardi BAzyam
   evamuttarato viparyasyetarataḥ sa samādhiḥ || ĀpŚus_1.2d ||	evam uttaratas viparyasya itarataH sa samADiH || ĀpŚuH _1.2d ||
   evamudagapasārya pūrvavatkuryāt /	evam udak apa sArya pUrvavat kuryAt /
   viparyasyetarataḥ pūrvesmācchaṅkāḥ pāśamunmucyāparasmin śakṅau pratimuñcet	viparyasya itarataH pUrva ismAt SaFkAH pASam unmucya aparasmin SakFO pratimuQcet 
   aparasmāc chaṅkāḥ pāśamunmucya pūrvasminpratimuñcet /	aparasmAt SaFkAH pASam unmucya pUrvasmin pratimuQcet /
   sa viparyāsaḥ /	sa viparyAsaH /
   taṃ kṛtvetarataḥ aṃsau tenaiva prathamakṛtena ṣaḍbhāgonena lakṣaṇena	tam kRtvA itarataH aMsO tena eva praTama kRtena zaz BAga Unena lakzaNena
   dakṣiṇamaṃsaṃ udagapasāryottaramaṃsamiti sa samādhiḥ /	dakziNam aMsam udagapasArya uttaram aMsam iti sa samADiH /
