   EINLEITUNG (nidānam)	EINLEITUNu (nidAnam)
   I	I
   s(i)ddham*	s(i)dDam*
   niṣkrāntā anupasaṃpannāḥ samagraḥ saṃghaḥ saṃnipatitaḥ kiṃ saṃghasya	nizkrAntAH anupasaMpannAH samagraH saMGaH saMnipatitaH kim saMGasya
   karaṇīyam anāgatānām āyuṣmantaś chandaṃ pariśuddhiṃ cārocayata ārocite ca	karaNIyam anAgatAnAm AyuzmantaH Candam pariSudDim ca-arocayataH Arocite ca
   pravedayataḥ	pravedayataH
   nirgatam āyuṣmanto grīṣmād ekarātrono māsaḥ saikarātrās trayo māsā	nirgatam AyuzmantaH grIzmAt eka-rAtra-UnaH mAsaH sa-ekarAtrAH trayaH mAsA
   avaśiṣṭāḥ /	avaSizwAH /
   II	II
   ākramate jarāmaraṇaṃ pralujyati śāstuḥ śāsanam	Akramate jarA-maraNam pralujyati SAstuH SAsanam
   vilupyate jīvitendriyaṃ / nirgacchati saddharmaḥ sīdati pratip...ir jāyate	vilupyate jIvita-indriyam / nirgacCati sadDarmaH sIdati pratip...iH jAyate
   śaithilyaṃ / vivṛyante apāyadvārā / pithīyante amṛtadvārā cchidyate	SETilyam / vivRyante apAya-dvArAH / piTIyante amRta-dvArA cCidyate
   dharmasetur bhidyate dharmapotaḥ saṃsīdati dharmaplavo / niśāmyate	Darma-setuH Bidyate Darma-potaH saMsIdati Darma-plavaH / niSAmyate
   dharmolkā /	Darma-ulkA /
   utpāṭyate dharmavṛkṣaḥ prapatati dharmadhvajaḥ ucchrapyate māradhvajaḥ	utpAwyate DarmavRkzaH prapatati Darma-DvajaH ucCrapyate mAraDvajaH
   śuṣyate dharmasamudro vikīryate jñānasumerur astaṃgacchaṃti vādiśārdūlā +	Suzyate Darma-samudraH vikIryate jQAna-sumeruH astaMgacCaMti vAdi-SArdUlAH +
   + karṇādhārāḥ satpathopadeśakāḥ	+ karNa-ADArAH sat-paTa-upadeSakAH
   acirād dhi manuṣyāṇāṃ mṛgasaṃjñā [bh]. .i + + + ti tasmāt sarvair	acirAt Di manuzyANAm mRga-saMjQA [B]. .i + + + ti tasmAt sarvEH-
   āyuṣmadbhir udvignaiḥ saṃvegam āpannaiḥ	AyuzmadBiH udvignEH saMvegam ApannEH
   tasyānuttaradaśabaladharadharmarājacakravartinaḥ	tasya-anuttara-daSa-bala-Dara-Darma-rAja-cakravartinaH
   paurāṇasucaritakarmavipākanirjātasya	pOrANa-su-carita-karma-vipAka-nirjAtasya
   mṛṣāvādapaiśunyapāruṣyābaddhapralāpavivarjitasya satyānuvartivaca[na] + +	mRzA-vAda-pESunya-pAruzya-AbadDa-pralApa-vivarjitasya satya-anuvarti-vaca[-na] + +
   + māsāvavādānuśāsanaṃ śrotavyam	+ mAsO=-avAda-anuSAsanam Srotavyam
   apramādenāyuṣmadbhir yogaḥ karaṇīyaḥ apramādādhigatā hi tathāgatānām	apramAdena-AyuzmadBiH yogaH karaNIyaH apramAda-aDigatAH hi taTAgatAnAm
   arhatāṃ samyaksaṃbuddhānāṃ bodhir ye cāpy anye kuśalā dharmā bodhapakṣyāḥ	arhatAm samyaksaMbudDAnAm boDiH ye ca-api anye kuSalAH DarmAH boDa-pakzyAH
   III	III
   PrMoSū_Einl.III.1:	PrMA-uSU_Einl.III.1:
        śāsayatīti hi śāstraṃ proktaṃ samyak ca śāsayaty eṣaḥ	SAsayati-iti hi SAstram proktam samyak ca SAsayati ezaH
           mokṣāya prātimokṣas tasmāc chāstraṃ pravaram etat (1) /	mokzAya prAtimokzaH tasmAt SAstram pravaram etat (1) /
   PrMoSū_Einl.III.2:	PrMA-uSU_Einl.III.2:
       kāryākāryam avācyaṃ vācyaṃ yac caiva bhikṣuṇā yuktam	kArya-akAryam avAcyam vAcyam yat ca-eva BikzuNA yuktam
           tad iha nikhilena muninā prakāśitaṃ prātimokṣe 'smiṃ 2 /	tat iha niKilena muninA prakASitam prAtimokze asmim 2 /
   PrMoSū_Einl.III.3:	PrMA-uSU_Einl.III.3:
       duścaritād vārayati trividhāt trividhe śubhe niyojayati /	duScaritAt vArayati triviDAt triviDe SuBe niyojayati /
         bṛṃhayati kuśalapakṣaṃ kṣapayati doṣāṃ guṇasapatnāṃ 3 /	bRMhayati kuSala-pakzam kzapayati dozAm guNa-sapatnAm 3 /
   PrMoSū_Einl.III.4:	PrMA-uSU_Einl.III.4:
       mithyājīvam anāryaṃ vināśayati durgatipraṇetāram	miTyA-jIvam anAryam vinASayati durgati-praNetAram
         svargāpavargamārgaṃ viśodhayati cānupūrveṇa 4 /	svarga-apavarga-mArgam viSoDayati ca-AnupUrveNa 4 /
   PrMoSū_Einl.III.5:	PrMA-uSU_Einl.III.5:
       yāvat sthāsyaty eṣaḥ prakāśitas tena lokanāthena /	yAvat sTAsyati ezaH prakASitaH tena lokanATena /
         tāvat sthāsyati dharmo loke 'smiṃ śākyasiṃhasya 5 /	tAvat sTAsyati DarmaH loke asmim SAkya-siMhasya 5 /
   PrMoSū_Einl.III.6:	PrMA-uSU_Einl.III.6:
       tasmād ātmahitārthaṃ sthityarthaṃ śāsanasya caiva ciram /	tasmAt Atma-hita-arTam sTiti-arTam SAsanasya ca-eva ciram /
         śṛṇuta muhūrtam avahitā vakṣyāmi prātimokṣam aham 6 / //	SRNuta muhUrtam avahitAH vakzyAmi prAtimokzam aham 6 / //
   IV	IV
   śṛṇotu bhadantaḥ saṃghaḥ adya saṃghasya poṣathaḥ pāṃcadaśikaḥ sacet	SRNotu BadantaH saMGaH adya saMGasya pozaTaH pAMcadaSikaH saced-
   saṃghasya prāptakālaḥ kṣamate ājñā ca saṃghasya yat samagraḥ saṃgho 'dya	saMGasya prApta-kAlaH kzamate AjQA ca saMGasya yat samagraH saMGaH adya
   poṣathaṃ kuryāt prātimokṣasūtram uddiśed eṣā jñaptiḥ poṣathaṃ vayam	pozaTam kuryAt prAtimokza-sUtram uddiSet ezA jQaptiH pozaTam vayam
   āyuṣmaṃtaḥ kariṣyāmaḥ prātimokṣasūtram uddekṣyāmas tat sarve saṃtaḥ śṛṇuta	AyuzmaMtaH karizyAmaH prAtimokza-sUtram uddekzyAmaH tat sarve saMtaH SRNuta
   sādhu ca suṣṭhu ca manasikuruta	sADu ca suzWu ca manasikuruta
   yasya vaḥ syāt saty āpattiḥ sāviṣkartavyā asatyām āpattau tūṣṇīṃ	yasya vaH syAt sati ApattiH sa-AvizkartavyA asatyAm ApattO tUzNIm
   bhavitavyaṃ tūṣṇīṃbhāvena vayam āyuṣmantaḥ pariśuddhā iti vedayiṣyāmo	Bavitavyam tUzNIMBAvena vayam AyuzmantaH pariSudDAH iti vedayizyAmaH-
   yathā ca pratyekapṛṣṭasya bhikṣor vyākaraṇaṃ bhavaty evam evaivaṃrūpāyāṃ	yaTA ca pratyeka-pRzwasya BikzoH vyAkaraNam Bavati evam eva-evaMrUpAyAm
   bhikṣupariṣadi yāvat trir apy anuśrāvaṇā bhavati /	Bikzu-parizadi yAvat tris api anuSrAvaNA Bavati /
   yaḥ punar bhikṣur evaṃrūpāyāṃ bhikṣupariṣadi yāvat trir apy anuśrāvyamāṇe	yaH punar BikzuH evaMrUpAyAm Bikzu-parizadi yAvat tris api anuSrAvyamANe
