   atha saptaviṃśo 'dhyāyaḥ	aTa saptaviMSaH aDyAyaH
   śrībhagavānuvāca    	SrI BagavAn uvAca    
   evaṃ kṛtvā yathāśāstraṃ divyamabjaja vai purā /	evam kRtvA yaTASAstram divyam abja ja vE purA /
   pitryaṃ tadanu vai kuryāt vidhidṛṣṭena karmaṇā // Paus_27.1 //	pitryam tadanu vE kuryAt viDi dRzwena karmaNA // POH _27.1 //
   pauṣkarauvāca   	pOzkara OvAca   
   jñātum icchāmi bhagavān tvacchāsanasthitaiḥ /	jQAtum icCAmi BagavAn tvad SAsana sTitEH /
   samuddiśya pitṛśrāddhaṃ kāryam ācāryapūrvakaiḥ // Paus_27.2 //	samuddiSya pitR SrAdDam kAryam AcArya pUrvakEH // POH _27.2 //
   keṣāṃ keṣāṃ ca tat kāryaṃ kasya kasya ca kīdṛśam /	kezAm kezAm ca tat kAryam kasya kasya ca kIdRSam /
   vidadhāti pañca pañcaiva (?kathaṃcaiva)samyaṅnirvartitaṃ hi yat //	vidaDAti paQca paQca eva (? kaTaMca eva) samyak nirvartitam hi yat //
   Paus_27.3 //	POH _27.3 //
   śrī bhagavānuvāca    	SrI BagavAn uvAca    
   kartavyatvena vai kuryāt karmasanyāsināṃ sadā /	kartavya tvena vE kuryAt karma sanyAsinAm sadA /
   nirvāṇadīkṣitānāṃ ca bhaktānām api cābjaja // Paus_27.4 //	nirvANa dIkzitAnAm ca BaktAnAm api ca abjajaH // POH _27.4 //
   anirdiṣṭakramāṇāṃ ca caturthāśramiṇāṃ tu vai /	anirdizwa kramANAm ca caturTa ASramiNAm tu vE /
   bhagavad padalipsūnāṃ jñānināṃ ca tathaiva hi // Paus_27.5 //	Bagavat pada lipsUnAm jQAninAm ca taTA eva hi // POH _27.5 //
   prītaye manyasiddhānāṃ sādhakānāṃ tu pauṣkara /	prItaye manya sidDAnAm sADakAnAm tu pOzkara /
   śubhajanmāptaye śaśvanmanyasāmukhyasiddhaye // Paus_27.6 //	SuBa janma Aptaye SaSvat manyasAmuKya sidDaye // POH _27.6 //
   kāryaṃ tatputrakāṇāṃ tu kṛpayā deśikādikaiḥ /	kAryam tad putrakANAm tu kRpayA deSikA AdikEH /
   kuryād vai samayajñānāṃ nityaṃ saddharmavṛddhaye // Paus_27.7 //	kuryAt vE samaya jQAnAm nityam sat Darma vRdDaye // POH _27.7 //
   bhūyaḥ sujanmalābhāya sadvidhādhigamāya ca /	BUyas su janma lABAya sadviDA aDigamAya ca /
   bāndhavānāmāto 'nyeṣāṃ bhaktānām evam eva hi // Paus_27.8 //	bAnDava anAm AtaH anyezAm BaktAnAm evam eva hi // POH _27.8 //
   sadyo duṣkṛtaśāntyarthaṃ kṛpayā nityam ācaret /	sadyas duzkRta SAnti arTam kRpayA nityam Acaret /
   kartānā (?vā)karmasaṃnyāsī parivṛddho vratāśrayī // Paus_27.9 //	kartAnA (?vA)karma saMnyAsI parivRdDaH vrata ASrayI // POH _27.9 //
   na nivāṇapadaṃnīto dīkṣāyāṃ bhogalālasa /	na nivANa padaMnItaH dIkzAyAm Boga lAlasaH /
   tīvrabhāvaṃ vinā yastu na siddho manyasevanāt // Paus_27.10 //	tIvra BAvam vinA yaH tu na sidDaH manya sevanAt // POH _27.10 //
