   | śrīḥ |	| SrIH |
   śrīrājānakamammaṭācāryaviracitaḥ	SrI-rAjAnaka-mammawA-cArya-viracitaH
   śabdavyāpāravicāraḥ	Sabda-vyApAra-vicAraH
   iha heyopādeyānāṃ hānopādāne pramāṇād eva | tac ca niścayātmatayā	iha heya-upAdeyAnAm hAna-upAdAne pramANAt eva | tat ca niScaya-Atma-tayA
   prāmānyaṃ bhajate | niścayaś ca śabdasāhityenārthaṃ viṣayīkaroti |	prAmAnyam Bajate | niScayaH ca Sabda-sAhityena-arTam vizayIkaroti |
   śabdasya cārthapratītipratipattilakṣaṇakāryānyathānupapattyā kārakatvāt	Sabdasya ca-arTa-pratIti-pratipatti-lakzaNa-kAryAni-aTa-anupapattyA kAraka-tvAt-
   kalpyamāno vyāparo 'bhidhādiśabdapratipādyo nānāprakāra iti	kalpyamAnaH vyAparaH aBiDAdi-Sabda-pratipAdyaH nAnA-prakAraH iti
   tatparīkṣārthaṃ śabdavyāpāravicārātmakaṃ prakaraṇam idam ārabhyate |	tad-parIkzA-arTam Sabda-vyApAra-vicAra-Atmakam prakaraNam idam AraByate |
   vyāpāraś ca śṛṅgagrāhikayā darśayituṃ na yujyate iti viṣayamukhena	vyApAraH ca SRFga-grAhikayA darSayitum na yujyate iti vizaya-muKena
   pradarśyate --	pradarSyate --
        jātiḥ kriyā guṇaḥ saṃjñā vācyo 'rthaḥ samitadhvaniḥ |	jAtiH kriyA guNaH saMjQA vAcyaH arTaH samita-DvaniH |
   agṛhītasaṅketasya śabdasyārthapratipatter abhāvāt saṅketasahāya eva śabdo	agRhIta-saFketasya Sabdasya-arTa-pratipatteH aBAvAt saFketa-sahAyaH eva SabdaH-
   'rthaṃ pratipādayati | tena samitaḥ saṅketito dhvaniḥ śabdo yatra yo	arTam pratipAdayati | tena samitaH saFketitaH DvaniH SabdaH yatra yaH-
   'rthaḥ | pūrvam upalabhyatvān na tu viśrāntidhāmatvān mukhya iti prasiddho	arTaH | pUrvam upalaBya-tvAt na tu viSrAnti-DAma-tvAt muKyaH iti prasidDaH-
