   (Vaidya 98)	(VEdyaH 98)
   Prajñāpāramitāhṛdayasutram | [vistaramātṛkā]	PrajQApAramitA-hRdaya-sutram | [vistara-mAtRkA]
   | namaḥ sarvajñāya ||	| namaH sarvajQAya ||
   evaṃ mayā śrutam | ekasmin samaye bhagavān rājagṛhe viharati sma	evam mayA Srutam | ekasmin samaye BagavAn rAjagRhe viharati sma
   gṛdhrakūṭe parvate mahatā bhikṣusaṃghena sārdhaṃ mahatā ca	gRDrakUwe parvate mahatA Bikzu-saMGena sArDam mahatA ca
   bodhisattvasaṃghena | tena khalu samayena bhagavān gambhīrāvasaṃbodhaṃ	boDisattva-saMGena | tena Kalu samayena BagavAn gamBIrO=-asaMboDam
   nāma samādhiṃ samāpannaḥ | tena ca samayena āryāvalokiteśvaro bodhisattvo	nAma samADim samApannaH | tena ca samayena Arya-avalokita-ISvaraH boDisattvaH-
   mahāsattvo gambhīrāyāṃ prajñāpāramitāyāṃ caryāṃ caramāṇaḥ evaṃ	mahAsattvaH gamBIrAyAm prajQApAramitAyAm caryAm caramANaH evam
   vyavalokayati sma | pañca skandhāṃstāṃśca svabhāvaśūnyaṃ vyavalokayati ||	vyavalokayati sma | paQca skanDAn=-tAn=-ca svaBAva-SUnyam vyavalokayati ||
   athāyuṣmān śāriputro buddhānubhāvena āryāvalokiteśvaraṃ	aTa-AyuzmAn SAriputraH budDa-anuBAvena Arya-avalokita-ISvaram
   bodhisattvametadavocat - yaḥ kaścit kulaputro [vā kuladuhitā vā asyāṃ]	boDisattvam-etat-avocat  yaH kaScid kula-putraH [vA kula-duhitA vE asyAM]
   gambhīrāyāṃ prajñāpāramitāyāṃ caryāṃ cartukāmaḥ, kathaṃ śikṣitavyaḥ?	gamBIrAyAm prajQApAramitAyAm caryAm cartu-kAmaH, kaTam SikzitavyaH?
   evamukte āryāvalokiteśvaro bodhisattvo mahāsattvaḥ āyuṣmantaṃ	evam-ukte Arya-avalokita-ISvaraH boDisattvaH mahAsattvaH Ayuzmantam
