   BhP_05.01.001/0 rājovāca	BhP_05.01.001/0 rAjA-uvAca
   BhP_05.01.001/1 priyavrato bhāgavatāatmārāmaḥ kathaṃ mune	Bhu-_05.01.001/1 priyavrataH BAgavatAa-tma-ArAmaH kaTam mune
   BhP_05.01.001/2 gṛhe 'ramata yan-mūlaḥ karma-bandhaḥ parābhavaḥ	Bhu-_05.01.001/2 gRhe aramata yan-mUlaH karma--banDaH parABavaH
   BhP_05.01.002/1 na nūnaṃ mukta-saṅgānāṃ tādṛśānāṃ dvijarṣabha	Bhu-_05.01.002/1 na nUnam mukta-saFgAnAm tAdRSAnAm dvijarzaBa
   BhP_05.01.002/2 gṛheṣv abhiniveśo 'yaṃ puṃsāṃ bhavitum arhati	Bhu-_05.01.002/2 gRhezu aBiniveSaH ayam puMsAm Bavitum arhati
   BhP_05.01.003/1 mahatāṃ khalu viprarṣe uttamaśloka-pādayoḥ	Bhu-_05.01.003/1 mahatAm Kalu vipra-Rze uttamaSloka--pAdayoH
   BhP_05.01.003/2 chāyā-nirvṛta-cittānāṃ na kuṭumbe spṛhā-matiḥ	Bhu-_05.01.003/2 CAyA--nirvRta--cittAnAm na kuwumbe spRhA-matiH
   BhP_05.01.004/1 saṃśayo 'yaṃ mahān brahman dārāgāra-sutādiṣu	Bhu-_05.01.004/1 saMSayaH ayam mahAn brahman dAra-AgAra--suta-Adizu
   BhP_05.01.004/2 saktasya yat siddhir abhūt kṛṣṇe ca matir acyutā	Bhu-_05.01.004/2 saktasya yat sidDiH aBUt kRzNe ca matiH acyutA
   BhP_05.01.005/0 śrī-śuka uvāca	BhP_05.01.005/0 SrI-SukaH uvAca
   BhP_05.01.005/1 bāḍham uktaṃ bhagavata uttamaślokasya	Bhu-_05.01.005/1 bAXam uktam BagavataH uttamaSlokasya
   śrīmac-caraṇāravinda-makaranda-rasa āveśita-cetaso	SrImac-caraNa-aravinda-makaranda--rasaH AveSita--cetasaH-
   bhāgavata-paramahaṃsa-dayita-kathāṃ kiñcid antarāya-vihatāṃ svāṃ śivatamāṃ	BAgavata-paramahaMsa--dayita--kaTAm kiQcid antarAya--vihatAm svAm SivatamAm
   padavīṃ na prāyeṇa hinvanti	padavIm na prAyeNa hinvanti
   BhP_05.01.006/1 yarhi vāva ha rājan sa rāja-putraḥ priyavrataḥ	Bhu-_05.01.006/1 yarhi vAva ha rAjan sa rAja--putraH priyavrataH
   parama-bhāgavato nāradasya caraṇopasevayāñjasāvagata-paramārtha-satattvo	parama--BAgavataH nAradasya caraNa-upasevaya-aQjasA-avagata--parama-arTa--sa-tattvaH-
   brahma-satreṇa dīkṣiṣyamāṇo	brahma-satreNa dIkzizyamANaH-
   'vani-tala-paripālanāyāmnāta-pravara-guṇa-gaṇaikānta-bhājanatayā	avani-tala--paripAlana-AyAmnAta--pravara--guNa--gaNa-ekAnta--BAjana-tayA
   sva-pitropāmantrito bhagavati vāsudeva evāvyavadhāna-samādhi-yogena	sva--pitra-upAmantritaH Bagavati vAsudevaH eva-avyavaDAna--samADi---yogena
   samāveśita-sakala-kāraka-kriyā-kalāpo naivābhyanandad yadyapi tad	samAveSita-sakala--kAraka-kriyA--kalApaH na-eva-aByanandat yadi-api tat-
   apratyāmnātavyaṃ tad-adhikaraṇa ātmano 'nyasmād asato 'pi parābhavam	apratyAmnAtavyam tat--aDikaraNaH AtmanaH anyasmAt asataH api parABavam
   anvīkṣamāṇaḥ	anvIkzamANaH
   BhP_05.01.007/1 atha ha bhagavān ādi-deva etasya guṇa-visargasya	Bhu-_05.01.007/1 aTa ha BagavAn Adi-devaH etasya guNa--visargasya
   paribṛṃhaṇānudhyāna-vyavasita-sakala-jagad-abhiprāya ātma-yonir	paribRMhaNa-anuDyAna--vyavasita-sakala--jagat--aBiprAyaH Atma-yoniH-
   akhila-nigama-nija-gaṇa-pariveṣṭitaḥ sva-bhavanād avatatāra	aKila--nigama--nija--gaNa--parivezwitaH sva-BavanAt avatatAra
   BhP_05.01.008/1 sa tatra tatra gagana-tala uḍu-patir iva vimānāvalibhir	Bhu-_05.01.008/1 sa tatra tatra gagana-talaH uxu-patiH iva vimAna-AvaliBiH-
   anupatham amara-parivṛḍhair abhipūjyamānaḥ pathi pathi ca varūthaśaḥ	anupaTam amara--parivRXEH aBipUjyamAnaH paTi paTi ca varUTaSas-
   siddha-gandharva-sādhya-cāraṇa-muni-gaṇair upagīyamāno	sidDa--ganDarva--sADya--cAraNa--muni--gaNEH upagIyamAnaH-
   gandha-mādana-droṇīm avabhāsayann upasasarpa	ganDa-mAdana--droNIm avaBAsayan upasasarpa
   BhP_05.01.009/1 tatra ha vā enaṃ devarṣir haṃsa-yānena pitaraṃ bhagavantaṃ	Bhu-_05.01.009/1 tatra ha vE enam devarziH haMsa-yAnena pitaram Bagavantam
   hiraṇya-garbham upalabhamānaḥ sahasaivotthāyārhaṇena saha pitā-putrābhyām	hiraNya-garBam upalaBamAnaH sahasA-eva-utTAya-arhaNena saha pitA-putrAByAm
   avahitāñjalir upatasthe	avahita-aQjaliH upatasTe
   BhP_05.01.010/1 bhagavān api bhārata tad-upanītārhaṇaḥ sūkta-vākenātitarām	Bhu-_05.01.010/1 BagavAn api BArata tad--upanIta-arhaNaH sUkta--vAkena-atitarAm
   udita-guṇa-gaṇāvatāra-sujayaḥ priyavratam ādi-puruṣas taṃ	udita-guNa--gaNa-avatAra--su-jayaH priyavratam Adi-puruzaH tam
