   ṣaṣṭha ucchvāsaḥ	zazWaH ucCvAsaH
   uccityoccitya bhuvi prahitanigūḍhātmadūtanītānām /	uccitya-uccitya Buvi prahita-nigUXa-Atma-dUta-nItAnAm /
   vijigīṣuriva kṛtāntaḥ śūrāṇāṃ saṃgrahaṃ kurute // 6.1 //	vijigIzuH-iva kRtAntaH SUrANAm saMgraham kurute // 6.1 //
   visrabdhaghātadoṣa- svavadhāya khalasya vīralopakaraḥ /	visrabDa-GAta-doza sva-vaDAya Kalasya vIralopa-karaH /
   navatarubhaṅgadhvaniriva harinidrātaskaraḥ kariṇaḥ // 6.2 //	nava-taru-BaFga-DvaniH-iva hari-nidrA-taskaraH kariNaH // 6.2 //
   atha prathamapretapiṇḍabhuji bhukte dvijanmani,	aTa praTama-preta-piNxa-Buji Bukte dvijanmani,
   gateṣūdvejanīyeṣvaśaucadivaseṣu, cakṣurdāhadāyini dīyamāne dvijebhyaḥ	gatezu-udvejanIyezu-aSOca-divasa-izu, cakzuH-dAha-dAyini dIyamAne dvijeByaH
   śayanāsanacāmarātapattrāmatrapattraśastrādike nṛpanikaṭopakaraṇakalāpe,	Sayana-Asana-cAmarAtapattrAm-atra-pattra-Sastra-Adike nRpa-nikawa-upakaraNa-kalApe,
   nīteṣu tīrthasthānāni saha janahṛdayaiḥ kīkaseṣu, kalpitaśokaśalye	nItezu tIrTa-sTAnAni saha jana-hRdayEH kIkasezu, kalpita-Soka-Salye
   sudhānicayacite citācaityacihne, vanāya visarjite mahāvijiti rājagajendre,	suDA-nicaya-cite citA-cEtya-cihne, vanAya visarjite mahAvijiti rAja-gaja-indre,
   krameṇa ca mandaṣvākrandeṣu, viralībhavatsu ca vilāpeṣu, viśrāmyatyaśruṇi,	krameNa ca mandazu-Akrandezu, viralIBavatsu ca vilApa-izu, viSrAmyati-aSruNi,
   śithilībhavatsu upadeśaśravaṇakṣameṣu śrotreṣu; anurodhāvadhānayogyeṣu	SiTilIBavatsu upadeSa-SravaNa-kzamezu Srotra-izu; anuroDa-avaDAna-yogyezu
   hṛdayeṣu, gaṇanīyeṣu nṛpaguṇeṣu, pradeśavṛttitāmāśrayati śoke, kṛteṣu	hRdaya-izu, gaNanIyezu nRpa-guNezu, pradeSa-vRtti-tAm-ASrayati Soke, kRtezu
   kaviruditakeṣu, jāte ca svapnāvaśeṣadarśane hṛdayāvaśeṣāvasthāne	kavi-ruditakezu, jAte ca svapna-avaSeza-darSane hRdayO=-aSeza-avasTAne
   citrāvaśeṣākṛtau kāvyāvaśeṣanāmni naranāthe, devo harṣaḥ	citra-avaSeza-AkRtO kAvya-avaSeza-nAmni nara-nATe, devaH harzaH
   kadācidutsṛṣṭavyāpāraḥ	kadAcid-utsRzwa-vyApAraH
   puñjībhūtavṛddhabandhuvargāgresareṇāvanatamūkamukhena mahājanena	puQjIBUta-vRdDa-banDu-varga-agresareNa-avanata-mUka-muKena mahA-janena
   maulenākāla ātmānaṃ veṣṭyamānamadrākṣīt /	mOlena-akAle AtmAnam vezwyamAnam-adrAkzIt /
   dṛṣṭvā cākaronmanasikimanyadāryamāgatamāvedayatyayaṃ śokaparābhūto	dRzwvA ca-akarot-manasi-kim-anya-dAryam-Agatam-Avedayati-ayam Soka-parABUtaH-
   lokākaraḥ' iti /	lokAkaraH-a iti /
   vepamānahṛdayaśca papraccha praviśantamadhikatarapracāramanyatamaṃ puruṣam	vepamAna-hRdayaH-ca papracCa praviSantam-aDikatara-pracAram-anyatamam puruzam
   "aṅga! kathaya /	"aFga! kaTaya /
   kimāryaḥ prāptaḥ' iti /	kim-AryaH prAptaH-a iti /
   sa mandamabravīt--"deva! yathādiśasi dvāri' iti śrutvā ca	sa mandam-abravIt--"deva! yaTA-diSasi dvAri-a iti SrutvA ca
   sodaryasnehanihitaniratiśayamanyumṛdūkṛtamanāḥ kathamapi na vavāma	sodarya-sneha-nihita-niratiSaya-manyu-mRdUkRta-manAH kaTam-api na vavAma
   bāṣpavāripravāhotpīḍena saha jīvitam /	bAzpa-vAri-pravAha-utpIxena saha jIvitam /
   anantaraṃ ca dvārapālapramuktena prathamapraviṣṭena parijanenevākrandena	anantaram ca dvArapAla-pramuktena praTama-pravizwena parijanena-iva-Akrandena
   kathyamānam, dūradrutāgamanamuṣitabāhulyena vicchinnacchatradhāreṇa	kaTyamAnam, dUra-druta-Agamana-muzita-bAhulyena vicCinna=-Catra-DAreNa
   lambitāmbaravāhinā bhraṣṭabhṛṅgāragrāhiṇā cyutācamanadhāriṇā	lambita-ambara-vAhinA Brazwa-BRFgAra-grAhiNA cyuta-Acamana-DAriNA
