   pāṇḍitavaraśrīvāmanaviracitāni	pANxita-vara-SrI-vAmana-viracitAni
   kāvyālaṅkārasūtrāṇi	kAvya-alaFkAra-sUtrANi
   svavṛttisametāni	sva-vRtti-sametAni
   śārīraṃ nāma prathamādhikaraṇam /	SArIram nAma praTama-aDikaraNam /
   prathamo 'dhyāyaḥ /	praTamaH aDyAyaH /
   praṇamya paramaṃ jyotirvāmanena kavipriyā /	praNamya paramam jyotiH-vAmanena kavi-priyA /
   kāvyālaṅkārasūtrāṇāṃ teṣāṃ vṛttirvidhīyate //	kAvya-alaFkAra-sUtrANAm tezAm vRttiH-viDIyate //
   kāvyaṃ grāhyamalaṅkārāt // VKal_1,1.1 //	kAvyam grAhyam-alaFkArAt // VKat-_1,1.1 //
   saundaryamalaṅkāraḥ // VKal_1,1.2 //	sOndaryam-alaFkAraH // VKat-_1,1.2 //
   sa doṣaguṇālaṅkārahānādānābhyām // VKal_1,1.3 //	sa doza-guNa-alaFkAra-hAna-AdAnAByAm // VKat-_1,1.3 //
   śāstrataste // VKal_1,1.4 //	SAstrataH-te // VKat-_1,1.4 //
   kāvyaṃ saddṛṣṭādṛṣṭārtham, prītikīrtihetutvāt // VKal_1,1.5 //*	kAvyam sat-dRzwa-adRzwa-arTam, prIti-kIrti-hetu-tvAt // VKat-_1,1.5 //*
   dvitīyo 'dhyāyaḥ /	dvitIyaH aDyAyaH /
   arocakinaḥ satṛṇābhyavahāriṇaśca kavayaḥ // VKal_1,2.1 //	arocakinaH satRNAByavahAriNaH-ca kavayaH // VKat-_1,2.1 //
   pūrve śiṣyāḥ, vivekitvāt // VKal_1,2.2 //*	pUrve SizyAH, viveki-tvAt // VKat-_1,2.2 //*
   netare, tadviparyayāt // VKal_1,2.3 //*	na-itare, tad-viparyayAt // VKat-_1,2.3 //*
   na śāstramadravyeṣvarthavat // VKal_1,2.4 //	na SAstram-adravyezu-arTa-vat // VKat-_1,2.4 //
   na katakaṃ paṅkaprasādanāya // VKal_1,2.5 //	na katakam paFka-prasAdanAya // VKat-_1,2.5 //
   rītirātmā kāvyasya // VKal_1,2.6 //	rItiH-AtmA kAvyasya // VKat-_1,2.6 //
   viśiṣṭā padaracanā rītiḥ // VKal_1,2.7 //	viSizwA pada-racanA rItiH // VKat-_1,2.7 //
   viśeṣo guṇātmā // VKal_1,2.8 //	viSezaH guNa-AtmA // VKat-_1,2.8 //
   sā tridhā --- vaidarbhī gauḍīyā pāñcālī ceti // VKal_1,2.9 //	sA triDA -- vEdarBI gOxIyA pAQcAlI ca-iti // VKat-_1,2.9 //
   vidarbhādiṣu dṛṣṭatvāttatsamākhyā // VKal_1,2.10 //	vidarBa-Adizu dRzwa-tvAt-tad-samAKyA // VKat-_1,2.10 //
   samagraguṇopetā vaidarbhī // VKal_1,2.11 //	samagra-guNa-upetA vEdarBI // VKat-_1,2.11 //
   ojaḥkāntimatī gauḍīyā // VKal_1,2.12 //	ojaH-kAntimatI gOxIyAH // VKat-_1,2.12 //
   mādhuryasaukumāryopapannā pāñcālī // VKal_1,2.13 //	mADurya-sOkumAryA-upapannA pAQcAlI // VKat-_1,2.13 //
   tāsāṃ pūrvā grāhyā, guṇasākalyāt // VKal_1,2.14 //*	tAsAm pUrvA grAhyA, guNa-sAkalyAt // VKat-_1,2.14 //*
   na punaritare, stokaguṇatvāt // VKal_1,2.15 //*	na punar-itare, stoka-guNa-tvAt // VKat-_1,2.15 //*
   tadārohaṇārthamitarābhyāsa ityeke // VKal_1,2.16 //	tad-ArohaNa-arTam-itara-aByAsaH iti-eke // VKat-_1,2.16 //
   tattu na; atattvaśīlasya tattvāniṣpatteḥ // VKal_1,2.17 //*	tat-tu na; atattva-SIlasya tattva-anizpatteH // VKat-_1,2.17 //*
   na śaṇasūtravānābhyāse trasarasūtravānavaicitryalābhaḥ // VKal_1,2.18 //	na SaNa-sUtra-vAn-AByAse trasara-sUtra-vAn-avEcitrya-lABaH // VKat-_1,2.18 //
   sāpi samāsābhāve śuddhavaidarbhī // VKal_1,2.19 //	sA-api samAsa-aBAve SudDa-vEdarBI // VKat-_1,2.19 //
   tasyāmarthaguṇasaṃpadāsvādyā // VKal_1,2.20 //	tasyAm-arTa-guNa-saMpad-Asu-AdyA // VKat-_1,2.20 //
   tadupārohādarthaguṇaleśo 'pi // VKal_1,2.21 //	tad-upArohAt-arTa-guNa-leSaH api // VKat-_1,2.21 //
   sāpi vaidarbhī, tātsthyāt // VKal_1,2.22 //*	sA-api vEdarBI, tAtsTyAt // VKat-_1,2.22 //*
   tṛtīyo 'dhyāyaḥ /	tRtIyaH aDyAyaH /
   loko vidyā prakīrṇa ca kāvyāṅgāni // VKal_1,3.1 //	lokaH vidyA prakIrNa ca kAvya-aFgAni // VKat-_1,3.1 //
   lokavṛttaṃ lokaḥ // VKal_1,3.2 //	loka-vRttam lokaH // VKat-_1,3.2 //
   śabdasmṛtyabhidhānakośacchandovicitikalākāmaśāstradaṇḍanītipūrvā vidyāḥ //	Sabda-smRti-aBiDAna-koSa=-CandaH-viciti-kalA-kAma-SAstra-daNxa-nIti-pUrvAH vidyAH //
   VKal_1,3.3 //	VKat-_1,3.3 //
   śabdasmṛteḥ śabdaśuddhiḥ // VKal_1,3.4 //	Sabda-smRteH Sabda-SudDiH // VKat-_1,3.4 //
   abhidhānakośāt padārthaniścayaḥ // VKal_1,3.5 //	aBiDAna-koSAt padArTa-niScayaH // VKat-_1,3.5 //
   chandovicitervṛttasaṃśayacchedaḥ // VKal_1,3.6 //	CandaH-viciteH-vRtta-saMSaya=-CedaH // VKat-_1,3.6 //
   kalāśāstrebhyaḥ kalātattvasya saṃvit // VKal_1,3.7 //	kalA-SAstreByaH kalA-tattvasya saMvid // VKat-_1,3.7 //
