   BhG 7.1	Bhu 7.1
   śrī-bhagavān uvāca	SrI--BagavAn uvAca
   mayy āsakta-manāḥ pārtha yogaṃ yuñjan mad-āśrayaḥ |	mayi Asakta-manAH pArTa yogam yuQjan mad--ASrayaH |
   asaṃśayaṃ samagraṃ māṃ yathā jñāsyasi tac chṛṇu ||1||	asaMSayam samagram mAm yaTA jQAsyasi tat SRNu ||1||
   śrīdharaḥ -	SrIDaraH -
   vijñeyam ātmanas tattvaṃ saṃyogaṃ samudīritam |	vijQeyam AtmanaH tattvam saMyogam samudIritam |
   bhajanīyam athedānīm aiśvaraṃ rūpam īryate ||	BajanIyam aTa-idAnIm ESvaram rUpam Iryate ||
   pūrvādhyāyānte mad-gatenāntarātmanā yo māṃ bhajate sa me yuktatamo mataḥ	pUrva-aDyAya-ante mad-gatena-antarAtmanA yaH mAm Bajate sa me yuktatamaH mataH
   ity uktam | atra kīdṛśas tvaṃ yasya bhaktiḥ kartavyety apekṣāyāṃ	iti uktam | atra kIdRSaH tvam yasya BaktiH kartavyA-iti apekzAyAm
   sva-svarūpaṃ nirupayiṣyan śrī-bhagavān uvāca mayīti | mayi parameśvara	sva--svarUpam nirupayizyan SrI--BagavAn uvAca mayi-iti | mayi parameSvara
   āsaktam abhiniviṣṭaṃ mano yasya saḥ | mad-āśrayo 'ham evāśrayo yasya |	Asaktam aBinivizwam manaH yasya saH | mad--ASrayaH aham eva-ASrayaH yasya |
   ananya-śaraṇaḥ san | yogaṃ yuñjann abhyasan asaṃśayaṃ yathā bhavaty evam |	ananya-SaraNaH san | yogam yuQjan aByasan asaMSayam yaTA Bavati evam |
   māṃ samagraṃ vibhūti-balaiśvaryādi-sahitaṃ yathā jñāsyasi tad idaṃ mayā	mAm samagram viBUti-bala-ESvarya-Adi--sahitam yaTA jQAsyasi tat idam mayA
   vakṣyamāṇaṃ śṛṇu ||1||	vakzyamANam SRNu ||1||
   madhusūdanaḥ -	maDusUdanaH -
   yad-bhaktiṃ na vinā muktir yaḥ sevyaḥ sarva-yoginām |	yat--Baktim na vinA muktiH yaH sevyaH sarva-yoginAm |
   taṃ vande paramānanda-ghanaṃ śrī-nanda-nandanam ||	tam vande parama-Ananda-Ganam SrI-nanda-nandanam ||
   evaṃ karma-saṃnyāsātmaka-sādhana-pradhānena prathama-ṣaṭkena jñeyaṃ	evam karma-saMnyAsa-Atmaka--sADana--praDAnena praTama--zawkena jQeyam
   tvaṃ-pada-lakṣyaṃ sa-yogaṃ vyākhyāyādhunā	tvaM-pada-lakzyam sa-yogam vyAKyAya-aDunA
   dhyeya-brahma-pratipādana-pradhānena madhyamena ṣaṭkena tat-padārtho	Dyeya--brahma--pratipAdana--praDAnena maDyamena zawkena tat--padArTaH-
   vyākhyātavyaḥ | tatrāpi --	vyAKyAtavyaH | tatra-api --
   yoginām api sarveṣāṃ madgatenāntarātmanā |	yoginAm api sarvezAm mad-gatena-antarAtmanA |
   śraddhāvān bhajate yo māṃ sa me yuktatamo mataḥ || [Gītā 6.47]	SradDAvAn Bajate yaH mAm sa me yuktatamaH mataH || [GItAH 6.47]
   iti prāg-uktasya bhagavad-bhajanasya vyākhyānāya saptamo 'dhyāya ārabhyate	iti prAk--uktasya Bagavat--Bajanasya vyAKyAnAya saptamaH aDyAyaH AraByate
   | tatra kīdṛśaṃ bhagavato rūpaṃ bhajanīyaṃ kathaṃ vā tad-gato 'ntarātmā	| tatra kIdRSam BagavataH rUpam BajanIyam kaTam vA tad--gataH antarAtmA
   syād ity etad-dvayaṃ praṣṭavyam arjunenāpṛṣṭam api parama-kāruṇikatayā	syAt iti etat--dvayam prazwavyam arjunena-ApRzwam api parama-kAruNika-tayA
   svayam eva vivakṣuḥ śrī-bhagavān uvāca mayīti |	svayam eva vivakzuH SrI--BagavAn uvAca mayi-iti |
   mayi parameśvare sakala-jagad-āyatanatvādivividha-vibhūti-bhāgini āsaktaṃ	mayi parameSvare sakala--jagat--Ayatana-tva-Adi-viviDa--viBUti--BAgini Asaktam
   viṣayāntara-parihāreṇa sarvadā niviṣṭaṃ mano yasya tava sa tvam | ataeva	vizaya-antara--parihAreNa sarvadA nivizwam manaH yasya tava sa tvam | ataeva
   mad-āśrayo mad-eka-śaraṇaḥ | rājāśrayo bhāryādy-āsakta-manāś ca	mad--ASrayaH mad--eka-SaraNaH | rAja-ASrayaH BAryA-Adi--a-asakta-manAH ca
   rāja-bhṛtyaḥ prasiddho mumukṣus tu mad-āśrayo mad-āsakta-manāś ca | tvaṃ	rAja-BRtyaH prasidDaH mumukzuH tu mad--ASrayaH mad--Asakta-manAH ca | tvam
   tvad-vidho vā yogaṃ yuñjan manaḥ-samādhānaṃ ṣaṣṭhokta-prakāreṇa kurvan |	tvad--viDaH vA yogam yuQjan manaH--samADAnam zazWa-ukta--prakAreNa kurvan |
   asaṃśayaṃ yathā bhavaty evaṃ samagraṃ	asaMSayam yaTA Bavati evam samagram
   sarva-vibhūti-bala-śaktyaiśvaryādi-sampannaṃ māṃ yathā yena prakāreṇa	sarva--viBUti-bala--Sakti-ESvarya-Adi--sampannam mAm yaTA yena prakAreNa
   jñāsyasi tac chṛṇūcyamānaṃ mayā ||1||	jQAsyasi tat SRNUcyamAnam mayA ||1||
   viśvanāthaḥ -	viSvanATaH -
   kadā sad-ānanda-bhuvo mahāprabhoḥ	kadA sad-Ananda--BuvaH mahA-praBoH
   kṛpāmṛtābdheś caraṇau śrayāmahe |	kRpA-amRta-abDeH caraNO SrayAmahe |
   yathā tathā projjhita-mukti-tat-pathā	yaTA taTA projJita--mukti-tat--paTA
   bhakty-adhvanā prema-sudhām ayāmahe ||	Bakti--aDvanA prema--suDAm ayAmahe ||
   saptame bhajanīyasya śrī-kṛṣṇaiśvaryam ucyate |	saptame BajanIyasya SrI--kRzNA-ESvaryam ucyate |
   na bhajante bhajante ye te cāpy uktāś caturvidhāḥ ||	na Bajante Bajante ye te ca-api uktAH caturviDAH ||
   prathamenādhyāya-ṣaṭkenāntaḥ-karaṇa-śuddhy-artha-kaniṣkām akarma-sāpekṣau	praTamena-aDyAya--zawkena-antaH--karaNa--SudDi--arTa-ka-nizkAm akarma--sApekzO
   mokṣa-phala-sādhakau jñāna-yogāv uktau | idānīm anena	mokza--Pala--sADakO jQAna--yogO uktO | idAnIm anena
   dvitīyādhyāya-ṣaṭkena karma-jñānādi-vimiśra-śravaṇān	dvitIya-aDyAya--zawkena karma--jQAna-Adi--vimiSra--SravaNAn
   niṣkāmatva-sakāmatvābhyāṃ ca sālokyādi-sādhakas tathā sarva-mukhyaḥ	nizkAma-tva--sa-kAma-tvAByAm ca sAlokya-Adi-sADakaH taTA sarva-muKyaH
   karma-jñānādi-nirapekṣa eva premavat	karma--jQAna-Adi-nirapekzaH eva prema-vat-
   pārṣadatva-lakṣaṇa-mukti-phala-sādhakas tathā yat karmabhir yat tapasā	pArzada-tva--lakzaNa-mukti-Pala--sADakaH taTA yat karmaBiH yat tapasA
   jñāna-vairāgyataś ca yat ity ādau, sarvaṃ mad-bhakti-yogena mad-bhakto	jQAna-vErAgyataH ca yat iti AdO, sarvam mad-Bakti-yogena mad-BaktaH-
   labhate 'ñjasā, svargāpavargaṃ mad-dhāma [BhP 1.20.32-33] ity ādy-ukter	laBate aQjasA, svarga-apavargam mad-DAma [Bhj 1.20.32-33] iti Adi--ukteH-
   vināpi sādhanānantaraṃ svargāpavargādi-nikhila-sādhakaś ca paramaḥ	vinA-api sADana-anantaram svarga-apavarga-Adi-niKila--sADakaH ca paramaH
   svatantraḥ sarva-sukaro 'pi sarva-duṣkaraḥ śrīmad-bhakti-yoga ucyate |	svatantraH sarva-sukaraH api sarva-duzkaraH SrI-mat--Bakti-yogaH ucyate |
   nanu tam eva viditvā atimṛtyum eti [ŚvetU 6.15] iti śruteḥ | jñānaṃ vinā	nanu tam eva viditvA atimRtyum eti [ŚvetU 6.15] iti SruteH | jQAnam vinA
   kevalayā bhaktyaiva kathaṃ mokṣaḥ brūṣe ? maivaṃ, tvam eva tat padārthaṃ	kevalayA BaktyA-eva kaTam mokzaH brUze ? mA-evaM, tvam eva tat padArTam
   paramātmānam eva viditvā sākṣād anubhūya, na tu tvaṃ-padārthaṃ ātmānaṃ	paramAtmAnam eva viditvA sAkzAt anuBUya, na tu tvaM-pada-arTam AtmAnam
   nāpi prakṛtiṃ nāpi vastu-mātraṃ viditvā mṛtyum atyeti ity asyāḥ śruter	na-api prakRtim na-api vastu--mAtram viditvA mRtyum atyeti iti asyAH SruteH-
   arthaḥ | tatra sita-śarkarā-rasa-grahaṇe yathā rasanaiva kāraṇaṃ na tu	arTaH | tatra sita--SarkarA--rasa---grahaNe yaTA rasanA-eva kAraNam na tu
   cakṣuḥ-śrotrādikaṃ tathaiva guṇātītasya brahmaṇe grahaṇaṃ sambhavet, na tu	cakzuH-Srotra-Adikam taTA-eva guNa-atItasya brahmaNe grahaNam samBavet, na tu
   dehādy-atiriktātma-jñānena sāttvikena | bhaktyāham ekayā grāhyaḥ [BhP	deha-Adi--atirikta-Atma--jQAnena sAttvikena | BaktyA-aham ekayA grAhyaH [BhP
   11.14.11] iti bhagavad-ukter iti | bhaktyā mām abhijānāti yāvān yaś cāsmi	11.14.11] iti Bagavat--ukteH iti | BaktyA mAm aBijAnAti yAvAn yaH ca-asmi
   tattvataḥ [Gītā 18.55] ity atra sa-viśeṣaṃ pratipādayiṣyāmaḥ |	tattvataH [GItA 18.55] iti atra sa-viSezam pratipAdayizyAmaH |
   jñāna-yogayor mukti-sādhanatva-prasiddhis tu	jQAna--yogayoH mukti--sADana-tva--prasidDiH tu
   tatrastha-guṇī-bhūta-bhakti-prabhāvād eva | tayā vinā tayor	tatrasTa-guNI--BUta--Bakti--praBAvAt eva | tayA vinA tayoH-
   akiñcitkaratvasya bahuśaḥ śravaṇāt |	akiQcitkara-tvasya bahuSas SravaNAt |
   kiṃ ca, asyāṃ śrutau viditvā ity anantaram eva-kārasyāprayogād eva |	kim ca, asyAm SrutO viditvA iti anantaram eva-kArasya-aprayogAt eva |
   yoga-vyavacchedābhāve jñāpite sati, tasmād eva paramātmano viditāt kvacid	yoga--vyavacCeda-aBAve jQApite sati, tasmAt eva paramAtmanaH viditAt kvacid-
   aviditād api mokṣa ity artho labhyate | tataś ca bhakty-utthena nirguṇena	aviditAt api mokzaH iti arTaH laByate | tatas ca Bakti--utTena nirguNena
   paramātma-jñānena mokṣaḥ | kvacit tu bhakty-utthaṃ taj-jñānaṃ vināpi	paramAtma--jQAnena mokzaH | kvacid tu Bakti--utTam tat--jQAnam vinA-api
   kevalena bhakti-mātreṇa mokṣa ity arthaḥ paryavasyati | yathā	kevalena Bakti--mAtreNa mokzaH iti arTaH paryavasyati | yaTA
   matsyaṇḍikā-piṇḍād rasanā-doṣeṇālabdha-svādād api bhuktāt tad-eka-nāśyo	matsyaNxikA--piNxAt rasanA--dozeNa-alabDa--svAdAt api BuktAt tad--eka-nASyaH-
   vyādhir naśyaty evātra na sandehaḥ | matsyaṇḍikāni te khaṇḍa-vikārā	vyADiH naSyati eva-atra na sandehaH | matsyaNxikAni te KaNxa-vikArA
   śarkarāsite ity amaraḥ | śrīmad-uddhavenoktam -	SarkarA-site iti amaraH | SrImat--udDavena-uktam -
   nanv īśvaro 'nubhajato 'viduṣo 'pi sākṣāc	nanu ISvaraH anuBajataH aviduzaH api sAkzAt-
   chreyas tanoty agada-rāja ivopayuktaḥ [BhP 10.47.56] iti |	CreyaH tanoti agada--rAjaH iva-upayuktaH [Bhj 10.47.56] iti |
   ekādaśe 'py uktaṃ - yat karmabhir yat tapasā jñāna-vairāgyataś ca yat ity	ekAdaSe api uktam  yat karmaBiH yat tapasA jQAna--vErAgyataH ca yat iti-
   ādau sarvaṃ mad-bhakti-yogena mad-bhakto labhate 'ñjasā [BhP 11.20.31-32]	AdO sarvam mad-Bakti-yogena mad-BaktaH laBate aQjasA [Bhj 11.20.31-32]
   iti | ataeva yan-nāma-sakṛc-chravaṇāt pukkaso 'pi vimucyate saṃsārāt ity	iti | ataeva yan-nAma-sakRc--SravaNAt pukkasaH api vimucyate saMsArAt iti-
   ādau bahuśo vākyair bhaktyaiva mokṣaḥ pratipādyata iti |	AdO bahuSas vAkyEH BaktyA-eva mokzaH pratipAdyate iti |
   atha prakṛtam anusarāmaḥ |	aTa prakRtam anusarAmaH |
   yoginām api sarveṣāṃ madgatenāntarātmanā |	yoginAm api sarvezAm mad-gatena-antarAtmanA |
   śraddhāvān bhajate yo māṃ sa me yuktatamo mataḥ || [Gītā 6.47]	SradDAvAn Bajate yaH mAm sa me yuktatamaH mataH || [GItAH 6.47]
   iti tvad-vākyena tvan-manaskatve sati tvaj-jana-viṣayaka-śraddhāvattvam	iti tvad--vAkyena tu-an-manaska-tve sati tu-aj--jana--vizaya-ka-SradDAvat-tvam
   iti tvayā sva-bhakta-viśeṣa-lakṣaṇam eva kṛtam ity avagamyate | kintu sa	iti tvayA sva--Bakta--viSeza--lakzaNam eva kRtam iti avagamyate | kintu sa
   ca kīdṛśo bhaktas tadīya-jñāna-vijñānayor adhikārī bhavatīty apekṣāyām āha	ca kIdRSaH BaktaH tadIya--jQAna--vijQAnayoH aDikArI Bavati-iti apekzAyAm Aha
   mayy āsakteti dvābhyām | yadyapi -	mayi AsaktA-iti dvAByAm | yadi-api -
   bhaktiḥ pareśānubhavo viraktir	BaktiH pareSa-anuBavaH viraktiH-
   anyatra caiṣa trika eka-kālaḥ |	anyatra ca-eza trikaH eka-kAlaH |
   prapadyamānasya yathāśnataḥ syus	prapadyamAnasya yaTA-aSnataH syuH-
   tuṣṭiḥ puṣṭiḥ kṣud-apāyo 'nu-ghāsam || [BhP 11.2.42]	tuzwiH puzwiH kzuD--a-pAyaH anu-GAsam || [Bhj 11.2.42]
   ity ukter bhajan-prakramata eva mad-anubhava-kramo 'pi bhavati, tad apy	iti ukteH Bajan--prakramataH eva mad--anuBava--kramaH api Bavati, tat api-
   eka-grāsa-mātra-bhojinas tathā tuṣṭi-puṣṭī na spaṣṭe bhavataḥ, kintu	eka--grAsa--mAtra-BojinaH taTA tuzwi--puzwI na spazwe BavataH, kintu
   bahutara-grāsa-bhojina eva | tathaiva mayi śyāmasundare pītāmbare āsaktam	bahutara--grAsa--BojinaH eva | taTA-eva mayi SyAma-sundare pIta-ambare Asaktam
   āsakti-bhūmikārūḍhaṃ mano yasya tathābhūta eva tvaṃ māṃ jñāsyasi | yathā	Asakti-BUmikA-ArUXam manaH yasya taTABUtaH eva tvam mAm jQAsyasi | yaTA
   spaṣṭam anubhaviṣyasi, tat śṛṇu kīdṛśaṃ yogaṃ mayā saha saṃyogaṃ yuñjan	spazwam anuBavizyasi, tat SRNu kIdRSam yogam mayA saha saMyogam yuQjan
   śanaiḥ śanaiḥ prāpnuvan mad-āśrayaḥ | mām eva, na tu jñāna-karmādikam	SanEs SanEs prApnuvan mad--ASrayaH | mAm eva, na tu jQAna--karma-Adikam
   āśrayamāṇo 'nanya-bhakta ity arthaḥ |	ASrayamANaH ananya-BaktaH iti arTaH |
   atrāsaṃśayaṃ samagram iti padābhyāṃ madīya-nirviśeṣa-brahma-svarūpa-jñānaṃ	atra-asaMSayam samagram iti padAByAm madIya--nirviSeza--brahma--svarUpa--jQAnam
   kleśo 'dhikataras teṣām avyaktāsaktacetasām |	kleSaH aDikataraH tezAm avyakta-Asakta-cetasAm |
   avyaktā hi gatir duḥkhaṃ dehavadbhir avāpyate || [Gītā 12.5]	avyaktA hi gatiH duHKam dehavadBiH avApyate || [GItAH 12.5]
