   kṛṣṇāmṛtamahārṇavaḥ	kRzNAmRta-mahA-arNavaH
   oṃ.	oM.
   arcitaḥ saṃsmṛto dhyātaḥ kīrtitaḥ kathitaḥ śrutaḥ	arcitaH saMsmRtaH DyAtaH kIrtitaH kaTitaH SrutaH
   yo dadāty amṛtatvaṃ hi sa māṃ rakṣatu keśavaḥ. // MKm_1 //	yaH dadAti amRta-tvam hi sa mAm rakzatu keSavaH. // MKm_1 //
   tāpatrayeṇa saṃtaptaṃ yad etad akhilaṃ jagat	tApa-trayeNa saMtaptam yat etat aKilam jagat-
   vakṣyāmi śāntaye hy asya kṛṣṇāmṛtamahārṇavam. // MKm_2 //	vakzyAmi SAntaye hi asya kRzNAmRta-mahA-arNavam. // MKm_2 //
   te narāḥ paśavo loke kiṃ teṣāṃ jīvane phalam	te narAH paSavaH loke kim tezAm jIvane Palam
   yair na labdhā harer dīkṣā nārcito vā janārdanaḥ. // MKm_3 //	yEH na labDA hareH dIkzA na-arcitaH vA janArdanaH. // MKm_3 //
   saṃsāre 'smin mahāghore janmarogabhayākule	saMsAre asmin mahA-Gore janma-roga-Baya-Akule
   ayam eko mahābhāgaḥ pūjyate yad adhokṣajaḥ. // MKm_4 //	ayam ekaH mahABAgaH pUjyate yat aDokzajaH. // MKm_4 //
   sa nāma sukṛtī loke kulaṃ tena hy alaṃkṛtam	sa nAma sukRtI loke kulam tena hi alaMkRtam
   ādhāraḥ sarvabhūtānāṃ yena viṣṇuḥ prasāditaḥ. // MKm_5 //	ADAraH sarva-BUtAnAm yena vizNuH prasAditaH. // MKm_5 //
   yajñānāṃ tapasāṃ caiva śubhānāṃ caiva karmaṇāṃ	yajQAnAm tapasAm ca-eva SuBAnAm ca-eva karmaNAm
   tadviśiṣṭaphalaṃ nṛṇāṃ sadaivārādhanaṃ hareḥ. // MKm_6 //	tad-viSizwa-Palam nRNAm sadA-eva-ArADanam hareH. // MKm_6 //
   kalau kalimaladhvaṃsisarvapāpaharaṃ harim	kalO kali-mala-DvaMsi-sarva-pApa-haram harim
   ye 'rcayanti narā nityaṃ te 'pi vandyā yathā hariḥ. // MKm_7 //	ye arcayanti narAH nityam te api vandyAH yaTA hariH. // MKm_7 //
   nāsti śreyaskaraṃ nṛṇāṃ viṣṇor ārādhanān mune	na-asti Sreyaskaram nRNAm vizNoH ArADanAt mune
   yuge 'smiṃs tāmase loke satataṃ pūjyate nṛbhiḥ. // MKm_8 //	yuge asmin tAmase loke satatam pUjyate nRBiH. // MKm_8 //
   arcite sarvadeveśe śaṅkacakragadādhare	arcite sarva-deva-ISe SaFka-cakra-gadA-Dare
   arcitāḥ sarvadevāḥ syur yataḥ sarvagato hariḥ. // MKm_9 //	arcitAH sarva-devAH syuH yatas sarva-gataH hariH. // MKm_9 //
   svarcite sarvalokeśe surāsuranamaskṛte	su-arcite sarva-loka-ISe sura-asura-namaskRte
   keśave kaṃsakeśighne na yāti narakaṃ naraḥ. // MKm_10 //	keSave kaMsa-keSi-Gne na yAti narakam naraH. // MKm_10 //
   sakṛd abhyarcya govindaṃ bilvapatreṇa mānavaḥ	sakRt aByarcya govindam bilva-patreNa mAnavaH
   muktibhāgī nirātaṅkī viṣṇuloke ciraṃ vaset. // MKm_11 //	mukti-BAgI nirAtaFkI vizNu-loke ciram vaset. // MKm_11 //
   sakṛd abhyarcito yena heḷayā 'pi namaskṛtaḥ	sakRt aByarcitaH yena he?ayA api namaskRtaH
   sa yāti paramaṃ sthānaṃ yat surair api durlabham. // MKm_12 //	sa yAti paramam sTAnam yat surEH api durlaBam. // MKm_12 //
   Nāradaḥ:	NAradaH:
   samastalokanāthasya devadevasya śārṅgiṇaḥ	samasta-loka-nATasya devadevasya SArFgiNaH
   sākṣād bhagavato viṣṇoḥ pūjanaṃ janmanaḥ phalam. // MKm_13 //	sAkzAt BagavataH vizNoH pUjanam janmanaH Palam. // MKm_13 //
   Pulastyaḥ:	PulastyaH:
   bhaktyā dūrvāṅkuraiḥ pumbhiḥ pūjitaḥ puruṣottamaḥ	BaktyA dUrvA-aFkurEH pumBiH pUjitaH puruzottamaH
   harir dadāti hi phalaṃ sarvayajñaiś ca durlabham. // MKm_14 //	hariH dadAti hi Palam sarva-yajQEH ca durlaBam. // MKm_14 //
   vidhinā devadeveśaḥ śaṅkhacakradharo hariḥ	viDinA devadeveSaH SaFKa-cakra-DaraH hariH
   phalaṃ dadāti sulabhaṃ salilenāpi pūjitaḥ. // MKm_15 //	Palam dadAti sulaBam salilena-api pUjitaH. // MKm_15 //
   narake pacyamānas tu yamena paribhāṣitaḥ	narake pacyamAnaH tu yamena pariBAzitaH
   kiṃ tvayā nārcito devaḥ keśavaḥ kleśanāśanaḥ. // MKm_16 //	kim tvayA na-arcitaH devaH keSavaH kleSa-nASanaH. // MKm_16 //
   Dharmaḥ:	DharmaH:
   narasiṃho hṛṣīkeśaḥ puṇḍarīkanibhekṣaṇaḥ	narasiMhaH hRzIkeSaH puNxarIka-niBa-IkzaNaH
   smaraṇān muktido nṛṇāṃ sa tvayā kiṃ na pūjitaḥ. // MKm_17 //	smaraNAt mukti-daH nRNAm sa tvayA kim na pUjitaH. // MKm_17 //
   dravyāṇām apy abhāve tu salilenāpi pūjitaḥ	dravyANAm api aBAve tu salilena-api pUjitaH
   yo dadāti svakaṃ sthānaṃ sa tvayā kiṃ na pūjitaḥ. // MKm_18 //	yaH dadAti svakam sTAnam sa tvayA kim na pUjitaH. // MKm_18 //
   garbhasthitāmṛtā vā 'pi muṣitāste sudūṣitāḥ	garBa-sTita-amRtAH vA api muzitAH-te su-dUzitAH
   na prāptā yair harer dīkṣā sarvaduḥkhavimocanī. // MKm_19 //	na prAptA yEH hareH dIkzA sarva-duHKa-vimocanI. // MKm_19 //
   Mārkaṇḍeyaḥ:	MArkaNxeyaH:
   sakṛd abhyarcito yena devadevo janārdanaḥ	sakRt aByarcitaH yena devadevaH janArdanaH
   yat kṛtaṃ tatkṛtaṃ tena samprāptaṃ paramaṃ padam. // MKm_20 //	yat kRtam tat-kRtam tena samprAptam paramam padam. // MKm_20 //
   dharmārthakāmamokṣāṇāṃ nānyopāyas tu vidyate	Darma-arTa-kAma-mokzANAm na-anya-upAyaH tu vidyate
   satyaṃ bravīmi deveśa hṛṣīkeśārcanāhate. // MKm_21 //	satyam bravImi deveSa hRzIkeSa-arcana-Ahate. // MKm_21 //
   tasya yajñavarāhasya viṣṇor amitatejasaḥ	tasya yajQavarAhasya vizNoH amita-tejasaH
   praṇāmaṃ ye 'pi kurvanti teṣām api namo namaḥ. // MKm_22 //	praNAmam ye api kurvanti tezAm api namaH namaH. // MKm_22 //
   Marīciḥ:	MarIciH:
   anārādhitagovindair naraiḥ sthānaṃ nṛpātmaja	anArADita-govindEH narEH sTAnam nRpa-Atmaja
   na hi samprāpyate śreṣṭhaṃ tasmād ārādhayācyutam. // MKm_23 //	na hi samprApyate SrezWam tasmAt ArADaya-acyutam. // MKm_23 //
   Atriḥ:	AtriH:
   paraḥ parāṇāṃ puruṣas tuṣṭo yasya janārdanaḥ	paraH parANAm puruzaH tuzwaH yasya janArdanaH
   sa cā 'pnoty akṣayaṃ sthānam etat satyaṃ mayoditam. // MKm_24 //	sa cA apnoti akzayam sTAnam etat satyam mayA-uditam. // MKm_24 //
