   Bhk_1	Bhj-_1
   Bhk_1.1-1 abhūn nṛpo vibudha-sakhaḥ paraṃ-tapaḥ śrutā'nvito daśa-ratha	Bhc-_1.1-1 aBUt nRpaH vibuDa--saKaH paraM-tapaH SrutA-anvitaH daSa-raTa
   ityudāhṛtaḥ,	iti-udAhRtaH,
   Bhk_1.1-2 guṇair varaṃ bhuvana-hitac-chalena yaṃ sanā-tanaḥ	Bhj-_1.1-2 guNEH varam Buvana-hita-c-Calena yam sanA-tanaH
   pitaramupāgamat svayam.	pitaram-upAgamat svayam.
   Bhk_1.2-1 so'dhyaiṣṭa vedāṃs, tri-daśānayaṣṭa, pit npārīt, samamaṃsta	Bhk-_1.2-1 saH-aDyEzwa vedAMs, tri-daSAna-yazwa, pid npArIt, sama-maMsta
   bandhūn,	banDUn,
   Bhk_1.2-2 vyajeṣṭa ṣaḍ-vargamaraṃsta nītau, sa-mūla-ghātaṃ nyavadhīdarīṃś	Bhc-_1.2-2 vyajezwa zaz--vargam-araMsta nItO, sa--mUla-GAtam nyavaDIdarInS
   ca.	ca.
   Bhk_1.3-1 vasūni toyaṃ ghana-vad vyakārīt, sahā''sanaṃ	Bhc-_1.3-1 vasUni toyam Gana-vat vyakArIt, sahA-aasanam
   gotra-bhidā'dhyavātsīt,	gotra-BidA-aDyavAtsIt,
   Bhk_1.3-2 na tryambakādanyamupāsthitā'sau, yaśāṃsi sarveṣu-bhṛtāṃ	Bhc-_1.3-2 na tryambakAt-anyam-upAsTitA-asO, yaSAMsi sarva-izu-BRtAm
   nirāstat.	nirAH-tat.
   Bhk_1.4-1 puṇyo mahā-brahma-samūha-juṣṭaḥ saṃtarpaṇo nāka-sadāṃ vareṇyaḥ	Bhc-_1.4-1 puNyaH mahA--brahma--samUha--juzwaH saMtarpaNaH nAka-sadAm vareNyaH
   Bhk_1.4-2 jajvāla loka-sthitaye sa rājā yathā'dhvare vahnirabhipraṇītaḥ.	Bhc-_1.4-2 jajvAla loka-sTitaye sa rAjA yaTA-aDvare vahniH-aBipraNItaH.
   Bhk_1.5-1 sa puṇya-kīrtiḥ śata-manyu-kalpo mahendra-loka-pratimāṃ	Bhk-_1.5-1 sa puNya-kIrtiH Sata-manyu-kalpaH mahA-indra---loka--pratimAm
   samṛddhyā	samRdDyA
   Bhk_1.5-2 adhyāsta sarvartu-sukhāmayodhyā- madhyāsitāṃ	Bhc-_1.5-2 aDyAsta sarva-Rtu--suKAm-ayoDyA maDya-asitAm
   brahmabhiriddha-bodhaiḥ.	brahmaBiH-idDa--boDEH.
   Bhk_1.6-1 nirmāṇa-dakṣasya samīhiteṣu sīmeva padmā''sana-kauśalasya	Bhc-_1.6-1 nirmANa--dakzasya samIhitezu sImA-iva padmA-aasana--kOSalasya
   Bhk_1.6-2 ūrdhva-sphurad-ratna-gabhastibhir yā sthitā'vahasyeva puraṃ	Bhc-_1.6-2 UrDva--sPurat--ratna--gaBastiBiH yA sTitA-avahasi-a-iva puram
   maghonaḥ.	maGonaH.
   Bhk_1.7-1 sad-ratna-muktā-phala-vajra-bhāñji vicitra-dhātūni sa-kānanāni	Bhc-_1.7-1 sad-ratna-muktA--Pala--vajra--BAQji vicitra--DAtUni sa-kAnanAni
   Bhk_1.7-2 strībhir yutānyapsarasāmivaughair meroḥ śirāṃsīva gṛhāṇi yasyām.	Bhc-_1.7-2 strIBiH yutAni-apsarasAm-iva-oGEH meroH SirAMsi-iva gRhANi yasyAm.
   Bhk_1.8-1 antar-niviṣṭojjvala-ratna-bhāso gavākṣa-jālairabhiniṣpatantyaḥ	Bhj-_1.8-1 antar--nivizwa-ujjvala--ratna-BAsaH gavAkza--jAlEH-aBinizpatantyaH
   Bhk_1.8-2 himā'dri-ṭaṅkādiva bhānti yasyāṃ gaṅgā'mbu-pāta-pratimā	Bhc-_1.8-2 himA-adri--waFkAt-iva BAnti yasyAm gaFgA-ambu--pAta--pratimA
   gṛhebhyaḥ	gRheByaH
   Bhk_1.9-1 dharmyāsu kāmā'rtha-yaśas-karīṣu matāsu loke'dhigatāsu kāle	Bhk-_1.9-1 DarmyAsu kAmA-arTa--yaSas-karIzu matAsu loke-aDigatAsu kAle
   Bhk_1.9-2 vidyāsu vidvāniva so'bhireme patnīṣu rājā tisṛṣūttamāsu.	Bhc-_1.9-2 vidyAsu vidvAn-iva saH-aBireme patnIzu rAjA tisRzu-uttamAsu.
   Bhk_1.10-1 putrīyatā tena varā'ṅganābhi- rānāyi vidvān kratuṣu kriyāvān	Bhc-_1.10-1 putrIyatA tena varA-aFganABi rAnAyi vidvAn kratuzu kriyAvAn
   Bhk_1.10-2 vipaktrima-jñāna-gatir manasvī mānyo muniḥ svāṃ puramṛṣya	Bhc-_1.10-2 vipaktri-ma--jQAna--gatiH manasvI mAnyaH muniH svAm puramRzya
   śṛṅgaḥ	SRFgaH
   Bhk_1.11-1 aihiṣṭa taṃ kārayituṃ kṛtā''tmā kratuṃ nṛpaḥ putra-phalaṃ	Bhc-_1.11-1 Ehizwa tam kArayitum kRtA-aatmA kratum nRpaH putra--Palam
   munīndram,	muni-indram,
   Bhk_1.11-2 jñānā''śayas tasya tato vyatānīt sa karmaṭhaḥ karma	Bhc-_1.11-2 jQAnA-aaSayaH tasya tatas vyatAnIt sa karmaWaH karma
   sutā'nubandham.	sutA-anubanDam.
   Bhk_1.12-1 rakṣāṃsi vedīṃ parito nirāstha- daṅgānyayākṣīdbhitaḥ pradhānam,	Bhc-_1.12-1 rakzAMsi vedIm paritas nirAsTa daFga-anyayAkzIdBitaH praDAnam,
   Bhk_1.12-2 śeṣāṇyahauṣīt suta-saṃpade ca, varaṃ vareṇyo nṛpateramārgīt.	Bhc-_1.12-2 SezANi-ahOzIt suta--saMpade ca, varam vareNyaH nRpateH-amArgIt.
   Bhk_1.13-1 niṣṭāṃ gate daktrima-sabhaya-toṣe vihitrime karmaṇi	Bhc-_1.13-1 nizwAm gate daktrima--saBaya--toze vihitrime karmaNi
   rāja-patnyaḥ	rAja--patnyaH
   Bhk_1.13-2 prāśur hutocchiṣṭamudāra-vaṃśyās tisraḥ prasotuṃ caturaḥ	Bhk-_1.13-2 prASuH huta-ucCizwam-udAra--vaMSyAH tisraH prasotum caturaH
   su-putrān.	su-putrAn-.
   Bhk_1.14-1 kausalyayā'sāvi sukhena rāmaḥ prāk, kekayī-to bharatas	Bhc-_1.14-1 kOsalyayA-asAvi suKena rAmaH prAk, kekayI-taH Barata-s
   tato'bhūt,	tatas-aBUt,
   Bhk_1.14-2 prāsoṣṭa śatru-ghnamudāra-ceṣṭa- mekā sumitrā saha lakṣmaṇena.	Bhc-_1.14-2 prAsa-uzwa Satru-Gnam-udAra--cezwa mekA sumitrA saha lakzmaNena.
   Bhk_1.15-1 ārcīd dvi-jātīn paramā'rtha-vindā- nudejayān bhūta-gaṇān	Bhc-_1.15-1 ArcIt dvi-jAtIn paramA-arTa-vindA nu-dejayAn BUta--gaNAn
   nyaṣedhīt,	nyazeDIt,
   Bhk_1.15-2 vidvānupāneṣṭa ca tān sva-kāle yatir vaśiṣṭo yamināṃ variṣṭhaḥ.	Bhk-_1.15-2 vidvAn-upAnezwa ca tAn sva--kAle yatiH vaSizwaH yaminAm varizWaH.
   Bhk_1.16-1 vedo'ṅgavāṃstaurakhilo'dhyagāyi śastrāṇyupāyaṃsata jitvarāṇi,	Bhc-_1.16-1 vedaH-aFgavAn=-tOraKilaH-aDyagAyi SastrANi-upAyaMsata jitvarANi,
   Bhk_1.16-2 te bhinna-vṛttīnyapi mānasāni samaṃ janānāṃ guṇino'dhyavātsuḥ,	Bhc-_1.16-2 te Binna-vRttIni-api mAnasAni samam janAnAm guNinaH-aDyavAtsuH,
   Bhk_1.17-1 tato-bhyagād gādhi-sutaḥ kṣitīndraṃ	Bhc-_1.17-1 tatas--ByagAt gADi-sutaH kziti-indram
   rakṣobhirabhyāhata-karma-vṛttiḥ	rakzoBiH-aByAhata-karma-vRttiH
   Bhk_1.17-2 rāmaṃ varītuṃ parirakṣaṇā-rthaṃ, rājā''jihat taṃ	Bhc-_1.17-2 rAmam varItum parirakzaNa-A-rTaM, rAjA-aajihat tam
   madhuparka-pāṇiḥ.	maDuparka-pANiH.
   Bhk_1.18-1 aiṣīḥ punar-janma-jayāya yat tvaṃ, rūpā''di-bodhān nyavṛtac ca	Bhc-_1.18-1 EzIH punar-janma-jayAya yat tvaM, rUpA-aadi-boDAt nyavRtat ca
   yat te,	yat te,
   Bhk_1.18-2 tattvānyabuddhāḥ pratinūni yena, dhyānaṃ nṛpas	Bhk-_1.18-2 tattva-ani-abudDAH pratinUni yena, DyAnam nRpas
   tacchivamityavādīt.	tat-Sivam-iti-avAdIt.
   Bhk_1.19-1 ākhyan munis tasya śivaṃ samādher, vighnanti rakṣāṃsi vane	Bhc-_1.19-1 AKyan muniH tasya Sivam samADer, viGnanti rakzAMsi vane
   kratūṃśca,	kratUn=-ca,
   Bhk_1.19-2 tāni dviṣad-vīrya-nirākariṣṇus tṛṇeḍhu rāmaḥ saha lakṣmaṇena.	Bhc-_1.19-2 tAni dvizat--vIrya--nirAkarizNuH tRNeXu rAmaH saha lakzmaNena.
   Bhk_1.20-1 sa śuśruvāṃstad-vacanaṃ mumoha rājā'sahiṣṇuḥ suta-viprayogam,	Bhk-_1.20-1 sa SuSruvAn=-tat--vacanam mumoha rAjA-asahizNuH suta--viprayogam,
   Bhk_1.20-2 ahaṃyunā'tha kṣiti-paḥ śubhaṃyu- rūce vacas tāpasa-kuñjareṇa.	Bhc-_1.20-2 ahaMyunA-aTa kziti-paH SuBaMyu rUce vacaH tApa-sa-kuQjareNa.
   Bhk_1.21-1 mayā tvamāpthāḥ śaraṇaṃ bhayeṣu, vayaṃ tvayā'pyāpsmahi	Bhc-_1.21-1 mayA tvam-ApTAH SaraNam Bayezu, vayam tvayA-api-Apsmahi
   dharma-vṛddhyai,	Darma--vRdDyE,
   Bhk_1.21-2 kṣatraṃ dvija-tvaṃ ca parasparā'rthaṃ, śaṅkāṃ kṛthā mā,	Bhc-_1.21-2 kzatram dvija--tvam ca parasparA-arTaM, SaFkAm kRTAH mA,
   prahiṇu-sva-sūnum.	prahiNu--sva--sUnum.
   Bhk_1.22-1 ghāniṣyate tena mahān vipakṣaḥ, sthāyiṣyate yena raṇe purastāt,	Bhc-_1.22-1 GAnizyate tena mahAn vipakzaH, sTAyizyate yena raNe purastAt,
   Bhk_1.22-2 mā māṃ mahā''tman paribhūr-yogye na mad-vidho nyasyati	Bhc-_1.22-2 mA mAm mahA-aatman pariBUH---yogye na mad-viDaH nyasyati
   bhāramagryam.	BAram-agryam.
   Bhk_1.23-1 krudhyan kulaṃ dhakṣyati vipra-vahnir, yāsyan sutas tapsyati	Bhc-_1.23-1 kruDyan kulam Dakzyati vipra-vahnir, yAsyan sutaH tapsyati
   māṃ sa-manyum,	mAm sa-manyum,
   Bhk_1.23-2 itthaṃ nṛpaḥ pūrvamavāluloce, tato'nujajñe gamanaṃ sutasya.	Bhk-_1.23-2 itTam nRpaH pUrvam-avAlu-loce, tatas-anujajQe gamanam sutasya.
   Bhk_1.24-1 āśīrbhirabhyarcya muniḥ kṣitīndraṃ prītaḥ pratasthe	Bhc-_1.24-1 ASIrBiH-aByarcya muniH kziti-indram prItaH pratasTe
   punarāśramāya,	punar-ASramAya,
   Bhk_1.24-2 taṃ pṛṣṭha-taḥ praṣṭhamiyāya namro hiṃsreṣu-dīptā''pta-dhanuḥ	Bhc-_1.24-2 tam pRzWa-taH prazWam-iyAya namraH hiMsra-izu--dIptA-aapta-DanuH
   kumāraḥ.	kumAraH.
   Bhk_1.25-1 prayāsyataḥ puṇya-vanāya jiṣṇo- rāmasya rociṣṇu-mukhasya	Bhk-_1.25-1 prayAsyataH puNya-vanAya jizNo rAmasya rocizNu-muKasya
   ghṛṣṇuḥ	GRzNuH
   Bhk_1.25-2 trai-māturaḥ kṛtsna-jitā'stra-śastraḥ sadhryaṅ rataḥ śreyasi	Bhj-_1.25-2 trE-m-AturaH kRtsna-jitA-astra-SastraH saDryaF rataH Sreyasi
   lakṣmaṇo'bhūt.	lakzmaNaH-aBUt-.
   Bhk_1.26-1 iṣu-mati raghu-siṃhe dandaśūkāñ jighāṃsau dhanuraribhira-sahyaṃ	Bhc-_1.26-1 izu-mati raGu-siMhe dandaSUkAn jiGAMsO DanuH-ariBiH-a-sahyam
   muṣṭi-pīḍaṃ dadhāne	muzwi--pIxam daDAne
   Bhk_1.26-2 vrajati, pura-taruṇyo baddha-citrā'ṅgulitre kathamapi	Bhc-_1.26-2 vrajati, pura-taruNyaH badDa--citrA-aFgulitre kaTam-api
   guru-śokān mā rudan māṅgalikyaḥ	guru-SokAn mA rudan mAFgalikyaH
   Bhk_1.27-1 atha jagaduranīcai-rāśiṣas tasya viprās, tumula-kala-ninādaṃ	Bhc-_1.27-1 aTa jagat-uranIcE-rASizaH tasya viprAs, tumula--kala--ninAdam
   tūryamājaghnuranye,	tUryam-AjaGnuH-anye,
   Bhk_1.27-2 abhimata-phala-śaṃsī cāru pusphora bāhus, taruṣu cukuvuruccaiḥ	Bhc-_1.27-2 aBimata--Pala-SaMsI cAru pusPora bAhus, taruzu cukuvuH-uccEs-
   pakṣiṇaś cā'nukūlāḥ.	pakziNaH cA-anukUlAH.
   Bhk_2	Bhj-_2
   Bhk_2.1-1 vanaspatīnāṃ sarasāṃ nadīnāṃ tejasvināṃ kāntibhṛtāṃ diśāṃ ca	Bhc-_2.1-1 vanaspatInAm sarasAm nadInAm tejasvinAm kAnti-BRtAm diSAm ca
   Bhk_2.1-2 niryāya tasyāḥ sa puraḥ samantā cchriyaṃ dadhānāṃ śaradaṃ	Bhc-_2.1-2 niryAya tasyAH sa puras samantA cSriyam daDAnAm Saradam
   dadarśa.	dadarSa.
   Bhk_2.2-1 taraṅga-saṅgāc capalaiḥ palāśair jvālā-śriyaṃ sā'tiśayāṃ	Bhc-_2.2-1 taraFga--saFgAt capalEH palASEH jvAlA--Sriyam sA-atiSayAM
   dadhanti	daDanti
   Bhk_2.2-2 sa-dhūma-dīptā'gni-rucīni rejus tāmrotpalānyākula-ṣaṭ-padāni.	Bhk-_2.2-2 sa-DUma--dIptA-agni-rucIni rejuH tAmra-utpalAni-Akula---zaw--padAni.
   Bhk_2.3-1 bimbā''gatais tīra-vanaiḥ samṛddhiṃ nijāṃ vilokyā'pahṛtāṃ	Bhc-_2.3-1 bimbA-aagatEH tIra-vanEH samRdDim nijAm vilokyA-apahRtAm
   payobhiḥ	payoBiH
   Bhk_2.3-2 kūlāni sā''marṣatayeva tenuḥ saroja-lakṣmīṃ sthala-padma-hāsaiḥ.	Bhc-_2.3-2 kUlAni sA-aamarza-tayA-iva tenuH saroja--lakzmIm sTala--padma--hAsEH.
   Bhk_2.4-1 niśā-tuṣārair nayanā'mbu-kalpaiḥ	Bhc-_2.4-1 niSA-tuzArEH nayanA-ambu--kalpEH
   patrā-'nta-paryāgaladaccha-binduḥ	patrA--anta--paryAgala-dacCa-binduH
   Bhk_2.4-2 upārurodeva nadat-pataṅgaḥ kumudvatīṃ tīra-tarur dinā''dau.	Bhk-_2.4-2 upArurodeva nadat--pataFgaH kumudvatIm tIra-taruH dinA-aadO.
   Bhk_2.5-1 vanāni toyāni ca netra-kalpaiḥ puṣpaiḥ sarojaiś ca	Bhc-_2.5-1 vanAni toyAni ca netra--kalpEH puzpEH sarojEH ca
   nilīna-bhṛṅgaiḥ	nilIna--BRFgEH
