   Śikṣāsamuccayakārikā (Śsk)	ŚikzA samuccaya kArikA (Śsk)
   yadā mama pareṣāṃ ca bhayaṃ duḥkhaṃ ca na priyam /	yadA mama parezAm ca Bayam duHKam ca na priyam /
   tadātmanaḥ ko viśeṣo yattaṃ rakṣāmi netaram // Śsk_1 //	tad A AtmanaH kaH viSezaH yattam rakzAmi na itaram // Śsc _1 //
   duḥkhāntaṃ kartukāmena sukhāntaṃ gantumicchatā /	duHKAntam kartu kAmena suKa antam gantum icCatA /
   śraddhāmūlaṃ dṛḍhīkṛtya bodhau kāryā matirdṛḍhā // Śsk_2 //	SradDA mUlam dRXIkRtya boDO kAryA matiH dRXA // Śsc _2 //
   (śikṣādaro) mahāyānādbodhisattvasya saṃvaraḥ /	(SikzA daro) mahAyAnAt boDisattvasya saMvaraH /
   marmasthānānyato vidyādyenānāpattiko bhavet // Śsk_3 //	marma sTAnAni atas vidyA Adi ena anApattikaH Bavet // Śsc _3 //
   ātmabhāvasya bhogānāṃ tryadhvavṛtteḥ śubhasya ca /	Atma BAvasya BogAnAm tri aDva vRtteH SuBasya ca /
   utsargaḥ sarvasattvebhyastadrakṣā śuddhivardhanam // Śsk_4 //	utsargaH sarva sattveByaH tad rakzA SudDi varDanam // Śsc _4 //
   paribhogāya sattvānāmātmabhāvādi dīyate /	pariBogAya sattvAnAm Atma BAva Adi dIyate /
   arakṣite kuto bhogaḥ ki dattaṃ yanna bhujyate // Śsk_5 //	arakzite kutas BogaH ki dattam yat na Bujyate // Śsc _5 //
   tasmātsattvopabhogārthamātmabhāvādi pālayet /	tasmAt sattva upaBoga arTam Atma BAva Adi pAlayet /
   kalyāṇamitrānutsargāt sūtrāṇāṃ ca sadekṣaṇāt // Śsk_6 //	kalyANa mitra anutsargAt sUtrANAm ca sadA IkzaNAt // Śsc _6 //
   tatrātmabhāve kā rakṣā yadanarthavivarjanam /	tatra Atma BAve kA rakzA yat anarTa vivarjanam /
   kenaitallabhyate sarvaṃ niṣphalaspandavarjanāt // Śsk_7 //	kena etat laByate sarvam nizPala spanda varjanAt // Śsc _7 //
   etatsidhyetsadā smṛtyā smṛtistīvrādarādbhavet /	etat siDyet sadA smRtyA smRtiH tIvra AdarAt Bavet /
   ādaraḥ śamamāhātmyaṃ jñātvātāpena jāyate // Śsk_8 //	AdaraH Sama mAhAtmyam jQAtvA tApena jAyate // Śsc _8 //
   samāhito yathābhūtaṃ prajānātītyavadanmuniḥ /	samAhitaH yaTABUtam prajAnAti iti avadat muniH /
   śamācca na caleccitaṃ bāhyaceṣṭā nivartanāt // Śsk_9 //	SamAt ca na calet citam bAhya cezwAH nivartanAt // Śsc _9 //
   sarvatrāpacalo mandamatisnigdhābhibhāṣaṇāt /	sarvatra apacalaH manda mati snigDa aBiBAzaNAt /
   āvavarjayejjanaṃ bhavyamādeyaścāpi jāyate // Śsk_10 //	Avavarjayet janam Bavyam AdeyaH ca api jAyate // Śsc _10 //
   anādeyaṃ tu taṃ lokaḥ paribhūya jināṅkuram /	anAdeyam tu tam lokaH pariBUya jinAFkuram /
   bhasmacchanno yathā vahniḥ pacyeta narakādiṣu // Śsk_11 //	Basma= CannaH yaTA vahniH pacyeta naraka Adizu // Śsc _11 //
   ratnameghe jinenoktastena saṅkṣepasaṃvaraḥ /	ratna meGe jinena uktaH tena saFkzepa saMvaraH /
   yenāprasādaḥ sattvānāṃ tadyatnena vivarjayet // Śsk_12 //	yena aprasAdaH sattvAnAm tat yatnena vivarjayet // Śsc _12 //
   eṣā rakṣātmabhāvasya bhaiṣajyavasānādibhiḥ /	ezA rakzA Atma BAvasya BEzajya vasA nAdiBiH /
