   Bhikṣuṇā avalokitasiṃhena samudbhāvitaḥ	BhikzuNA avalokita siMhena samudBAvitaH
   Dharmasamuccayaḥ	Dharma samuccayaH
   prathamam udānam	praTamam udAnam
   (jitadharmakāyavargāḥ parivarto hyanityatā /	(jita Darma kAya vargAH parivartaH hi anitya tA /
   apramādaḥ kāmatṛṣṇe strī ca madyena te daśa // ) //	apramAdaH kAma tRzNe strI ca madyena te daSa // ) //
   (1) jitavargaḥ	(1) jita vargaH
   maṅgalācaraṇam	maFgala AcaraNam
   // om namo buddhāya //	// om namaH budDAya //
   prahīṇasarvāsrava nirmalaśrīryaḥ kleśajambālanimagnalokam /	prahINa sarva Asrava nirmala SrIH yaH kleSa jambAla nimagna lokam /
   kṛpāguṇenodaharatsamena praṇamyate 'smai tribhavottamāya // Dhs_1.1 //	kRpA guNena udaharat samena praNamyate asmE tri Bava uttamAya // DhH _1.1 //
   granthakārapratijñā	granTakAra pratijQA
   saddharma smṛtyupasthānasūtravaipulyasāgarāt /	sat Darma smRti upasTAna sUtra vEpulya sAgarAt /
   gāthāḥ samuddhariṣyāmi lokalocanatatparāḥ // Dhs_1.2 //	gATAH samudDarizyAmi loka locana tatparAH // DhH _1.2 //
   mokṣasyāyatanāni ṣaṭ	mokzasya AyatanAni zax 
   apramādastathā śraddhā vīryārambhastathā dhṛtiḥ /	apramAdaH taTA SradDA vIrya AramBaH taTA DRtiH /
   jñānābhyāsaḥ saṃtāśleṣo mokṣasyāyatanāni ṣaṭ // Dhs_1.3 //	jQAna aByAsaH saMtASlezaH mokzasya AyatanAni zax // DhH _1.3 //
   nava śāntisamprāptihetavaḥ	nava SAnti samprApti hetavaH
   dānaṃ śīlaṃ damaḥ kṣāntirmaitrībhūteṣvahiṃsatā /	dAnam SIlam damaH kzAntiH mEtrI BUtezu ahiMsatA /
   karuṇāmuditopekṣā śāntisamprāptihetavaḥ // Dhs_1.4 //	karuNAm udita upekzA SAnti samprApti hetavaH // DhH _1.4 //
   narakasyāgrahetavaḥ	narakasya agra hetavaH
   cāpalyaṃ pāpasaṃśleṣaḥ krūratā vitathaṃ vacaḥ /	cApalyam pApa saMSlezaH krUra tA vitaTam vacaH /
   mithyādṛṣṭiḥ pramādaśca narakasyāgrahetavaḥ // Dhs_1.5 //	miTyAdRzwiH pramAdaH ca narakasya agra hetavaH // DhH _1.5 //
   preteṣu ṣaṭ udbhavakāraṇāni	pretezu zaw udBava kAraNAni
   mātsaryamīrṣyā kaṭuvākyatā hi pramādasevā viratiḥ śubhācca /	mAtsaryam IrzyA kawu vAkyatA hi pramAda sevA viratiH SuBAt ca /
   tattveṣvabhidroharataṃ manaśca preteṣu panthāna ihodbhavanti // Dhs_1.6 //	tattvezu aBidroha ratam manaH ca pretezu panTAnaH iha udBavanti // DhH _1.6 //
   tiryagyonau udbhavasādhanāni	tiryagyonO udBava sADanAni
   ajñānasevā jaḍa (tā) ca buddheḥ saddharmanāśaḥ priyamaithunatvam /	ajQAna sevA jaxaH (tA) ca budDeH sadDarma nASaH priya mETuna tvam /
   āhāraśaktiḥ prabalā ca nidrā tiryaggatau ca pravadanti hetum // Dhs_1.7 //	AhAra SaktiH prabalA ca nidrA tiryak gatO ca pravadanti hetum // DhH _1.7 //
   karmaphalam	karma Palam
   aśubhaṃ trividhaṃ kṛtvā kāyavāṅmanasāṃ mahat /	aSuBam triviDam kRtvA kAya vAc manasAm mahat /
   uttarottarasambaddhaṃ karmaṇā sampradṛśyate // Dhs_1.8 //	uttarottara sambadDam karmaNA sampradRSyate // DhH _1.8 //
   bālānāmapi sambaddhamuttarottarameva tat /	bAlAnAm api sambadDam uttarottaram eva tat /
   śubhañca trividhaṃ kṛtvā sādhavo yānti nirvṛtim // Dhs_1.9 //	SuBaQca triviDam kRtvA sADavaH yAnti nirvRtim // DhH _1.9 //
   tasmāt karmaphalaṃ matvā pramādasya ca varjanam /	tasmAt karma Palam matvA pramAdasya ca varjanam /
   śreyase kriyate buddheretat sukhamanuttamam // Dhs_1.10 //	Sreyase kriyate budDeH etat suKam anuttamam // DhH _1.10 //
   dānaśīlavato nityaṃ sarvasattvānukampinaḥ /	dAna SIlavataH nityam sarva sattva anukampinaH /
   siddhayanti sarvaśastulyāstasmācchīlaparo bhavet // Dhs_1.11 //	sidDayanti sarvaSas tulyAH tasmAt SIla paraH Bavet // DhH _1.11 //
   kasya kāryasiddhiḥ bhavati?	kasya kArya sidDiH Bavati?
   maitrīkaruṇāyuktasya gatākāṃkṣasya dehinaḥ /	mEtrI karuNA yuktasya gatAkAMkzasya dehinaH /
   parānugrahayuktasya kāryasiddhirdhruvaṃ sthitā // Dhs_1.12 //	para anugraha yuktasya kArya sidDiH Druvam sTitAH // DhH _1.12 //
   santuṣṭasyāpramattasya sarvasattvahitaiṣiṇaḥ /	santuzwasya apramattasya sarva sattva hita eziNaH /
   rāgadveṣavimuktasya kāryasiddhirdhruvaṃ sthitā // Dhs_1.13 //	rAga dveza vimuktasya kArya sidDiH Druvam sTitAH // DhH _1.13 //
   mitrāmitraprahīṇasya samacittasya dehinaḥ /	mitra amitra prahINasya sama cittasya dehinaH /
   apāyagatibhinnasya kāryasiddhirdhruvaṃ sthitā // Dhs_1.14 //	apAya gati Binnasya kArya sidDiH Druvam sTitAH // DhH _1.14 //
   evaṃ ca tasya dhīrasya dharmadānaratasya ca /	evam ca tasya DIrasya Darma dAna ratasya ca /
   mātsaryerṣyāpramuktasya kāryasiddhirdhruvaṃ sthitā // Dhs_1.15 //	mAtsarya IrzyA pramuktasya kArya sidDiH Druvam sTitAH // DhH _1.15 //
   saṃvarasthasya śāntasya gurupūjāratasya ca /	saMvara sTasya SAntasya guru pUjA ratasya ca /
   kāryākāryavidhijñasya kāryasiddhirdhruvaṃ sthitā // Dhs_1.16 //	kArya akArya viDi jQasya kArya sidDiH Druvam sTitAH // DhH _1.16 //
   aśaṭhasyātidakṣasya priyavākyasya nityaśaḥ /	aSaWasya ati dakzasya priya vAkyasya nityaSas /
   dhyānādhyayanaśaktasya kāryasiddhirdhruvaṃ sthitā // Dhs_1.17 //	DyAna aDyayana Saktasya kArya sidDiH Druvam sTitAH // DhH _1.17 //
   deśakālavidhijñasya sādhyāsādhyaṃ vijānataḥ /	deSa kAla viDi jQasya sADya asADyam vijAnataH /
   śakyopāyavidhijñasya kāryasiddhirdhruvaṃ sthitā // Dhs_1.18 //	SakyA upAya viDi jQasya kArya sidDiH Druvam sTitAH // DhH _1.18 //
   krodhādivijayasādhanamukhena dharmatāsvarūpanirūpaṇam	kroDa Adi vijaya sADana muKena DarmatA svarUpa nirUpaNam
   akrodhena hataḥ krodhaḥ kṣamayā krūratā jitā /	akroDena hataH kroDaH kzamayA krUra tA jitAH /
   dharmeṇa nirjito 'dharmaḥ prabhayā vijitaṃ tamaḥ // Dhs_1.19 //	DarmeNa nirjitaH aDarmaH praBayA vijitam tamaH // DhH _1.19 //
   satyādeḥ praśaṃsā	satya AdeH praSaMsA
   mṛṣāvākyaṃ satyahataṃ paiśunyaṃ ca samādhinā /	mRzA vAkyam satya hatam pESunyam ca samADinA /
   pārūṣyaṃ mārdava jitaṃ abaddhaṃ bandhanā jitam // Dhs_1.20 //	pArUzyam mArdava jitam abadDam banDanAH jitam // DhH _1.20 //
   prāṇātipāto maitryā ca steyaṃ dānaiḥ sadā jitam /	prANa atipAtaH mEtryA ca steyam dAnEH sadA jitam /
   ayoniśomanaskāro yonijena sadā jitaḥ // Dhs_1.21 //	ayoni Soma naskAraH yoni jena sadA jitaH // DhH _1.21 //
   avidyā vidyayā jitā divasena tathā kṣapā /	avidyA vidyayA jitAH divasena taTA kzapA /
   śuklapakṣeṇa ca kṛṣṇapakṣo (hi) sarvaśo jitaḥ // Dhs_1.22 //	Sukla pakzeNa ca kRzNa pakzaH (hi) sarvaSas jitaH // DhH _1.22 //
   mithyākāmeṣvavijito buddhayā tattvavicārayā /	miTyA kAmezu avijitaH budDayA tattva vicArayA /
   āryāṣṭāṅgena mārgeṇa yonijena sadā jitaḥ // Dhs_1.23 //	Arya azwa aFgena mArgeNa yoni jena sadA jitaH // DhH _1.23 //
   vaiśāradyaiścaturbhiśca kadarya jitameva tat /	vESAradyEH caturBiH ca kadarya jitam eva tat /
   vismṛtiśca hatā smṛtyā kṣaṇenātmānameva ca // Dhs_1.24 //	vismRtiH ca hatA smRtyA kzaNena AtmAnam eva ca // DhH _1.24 //
   araṇyavāsaniyatairjitā rāgavaśā narāḥ /	araNya vAsa niyatEH jitAH rAga vaSAH narAH /
   meruṇā parvatā jitā (vṛkṣeṇa) vanamālikā // Dhs_1.25 //	meruNA parvatA jitAH (vRkzeNa) vanamAlikAH // DhH _1.25 //
   samudreṇa jitā sarve tīrthā (hi) jalasambhavāḥ /	samudreNa jitA sarve tIrTAH (hi) jala samBavAH /
   ādityatejovijitā sarve ca grahatārakāḥ // Dhs_1.26 //	Aditya tejaH vijitA sarve ca graha tArakAH // DhH _1.26 //
   nityā jitā anityena dāridrayaṃ dānasampadā /	nityAH jitAH anityena dAridrayam dAna sampadA /
   śāṭhyaṃ na mārdava jitaṃ satyenānṛtiko hataḥ // Dhs_1.27 //	SAWyam na mArdava jitam satyena anRtikaH hataH // DhH _1.27 //
   bhūtena nirjito 'bhūto vahninā tarusampadaḥ /	BUtena nirjitaH aBUtaH vahninA taru sampadaH /
   pipāsā vijitā toyairjighitsā bhojanaistathā // Dhs_1.28 //	pipAsA vijitA toyEH jiGitsA BojanEH taTA // DhH _1.28 //
   vīryapraśaṃsā	vIrya praSaMsA
   siṃhena vijitāḥ sarve mṛgāḥ sattvādhikāśca ye /	siMhena vijitAH sarve mRgAH sattva aDikAH ca ye /
   santāpena mahecchā ca jitā nityaṃ prakīrtyate // Dhs_1.29 //	santApena mahA icCA ca jitA nityam prakIrtyate // DhH _1.29 //
   dayā praśasyate nityamadayā naiva śasyate /	dayA praSasyate nitya madayA na eva Sasyate /
   vīryeṇa nirjitaṃ sarva kausīdyaṃ mohavardhanam // Dhs_1.30 //	vIryeNa nirjitam sarve kOsIdyam moha varDanam // DhH _1.30 //
   tattvadarśipuruṣapraśaṃsā jñānādhikaiḥ sadā dāntaiḥ	tattva darSi puruza praSaMsA jQAna aDikEH sadA dAntEH
   puruṣaistattvada(rśi)bhiḥ /	puruzEH tattva da(rSi)BiH /
   vijitāḥ krūrakarmāṇo mithyāvādādhikā narāḥ // Dhs_1.31 //	vijitAH krUra karmANaH miTyA vAda aDikAH narAH // DhH _1.31 //
   buddhena nirjitāḥ sarve tīrthyāḥ kuṭilavādinaḥ /	budDena nirjitAH sarve tIrTyAH kuwila vAdinaH /
   asurā vijitā devairdharmateyaṃ vyavasthitā // Dhs_1.32 //	asurAH vijitAH devEH DarmatA iyam vyavasTitAH // DhH _1.32 //
   // iti jitavargaḥ prathamaḥ //	// iti jita vargaH praTamaH //
   (2) dharmopadeśavargaḥ	(2) Darma upadeSa vargaH
   guruḥ kīdṛgbhavet?	guruH kIdRS Bavet?
   yo hi deśayate dharma kṣemaṃ nirvāṇagāminam /	yaH hi deSayate Darma kzemam nirvANa gAminam /
   sa sarvabandhanacchettā gururbhavati dehinām // Dhs_2.1 //	sa sarva banDana= CettA guruH Bavati dehinAm // DhH _2.1 //
   chittvā mohamayaṃ pāśaṃ yo hi deśayate śivam /	CittvA moha mayam pASam yaH hi deSayate Sivam /
   sanmārgadeśakaḥ prokto durmārgavinivārakaḥ // Dhs_2.2 //	sat mArga deSakaH proktaH durmArga vinivArakaH // DhH _2.2 //
   dharmasya pravaratvam yena dharmeṇa manujāstaranti bhavasāgaram /	Darmasya pravara tvam yena DarmeNa manujAH taranti Bava sAgaram /
