   Pramāṇavārtikam	PramANa-vArtikam
   prathamaḥ paricchedaḥ	praTamaH paricCedaH
   pramāṇasiddhiḥ	pramANa-sidDiH
   vidhūtakalpanājālagambhīrodāramūrtaye /	viDUta-kalpanA-jAla-gamBIra-udAra-mUrtaye /
   namaḥ samantabhadrāya samantaspharaṇatviṣe // Pramāṇav_1.1 //	namaH samantaBadrAya samanta-sParaNa-tvize // PramANav_1.1 //
   prāyaḥ prākṛtasaktirapratibalaprajño janaḥ kevalam /	prAyas prAkRta-saktiH-apratibala-prajQaH janaH kevalam /
   nānarthyeva subhāṣitaiḥ parigato vidveṣṭyapīrṣyāmalaiḥ /	na-anarTyeva su-BAzitEH parigataH vidvezwi-api-Irzya-amalEH /
   tenāyaṃ na paropakāra iti naścintāpi cetaściram	tena-ayam na para-upakAraH iti naH-cintA-api cetaH-ciram
   sūktābhyāsavivardhitavyasanamityatrānubaddhaspṛham // Pramāṇav_1.2 //	sUkta-aByAsa-vivarDita-vyasanam-iti-atra-anubadDa-spRham // PramANa=-_1.2 //
   pramāṇamavisaṃvādi jñānamarthakriyāsthitiḥ /	pramANam-avisaMvAdi jQAnam-arTa-kriyA-sTitiH /
   avisaṃvādanaṃ śābde 'pyabhiprāyanivedanāt // Pramāṇav_1.3 //	avisaMvAdanam SAbde api-aBiprAya-nivedanAt // PramANa=-_1.3 //
   vaktṛvyāapāraviṣayo yo 'rtho buddhau prakāśate /	vaktRvyAa-pAra-vizayaH yaH arTaH budDO prakASate /
   prāmāṇyaṃ tatra śabdasya nāthatattvanibandhanam // Pramāṇav_1.4 //	prAmANyam tatra Sabdasya nATa-tattva-nibanDanam // PramANa=-_1.4 //
   gṛhītagrahaṇānneṣṭaṃ sāṃvṛtam dhīpramāṇatā /	gRhIta-grahaNAt-na-izwam sAMvRtam DI-pramANa-tA /
   pravṛttestatpradhānatvāt heyopādeyavastuni // Pramāṇav_1.5 //	pravRtteH-tad-praDAna-tvAt heya-upAdeya-vastuni // PramANa=-_1.5 //
   viṣayākārabhedācca dhiyo 'dhigamabhedataḥ /	vizaya-AkAra-BedAt-ca DiyaH aDigama-BedataH /
   bhāvādevāsya tadbhāve svarūpasya svato gatiḥ // Pramāṇav_1.6 //	BAvAt-eva-asya tad-BAve svarUpasya svatas gatiH // PramANav_1.6 //
   prāmāṇyaṃ vyavahāreṇa śāstraṃ mohanirvatanam /	prAmANyam vyavahAreNa SAstram moha-nirvatanam /
   ajñātārthaprakāśo vā svarūpādhigateḥ param // Pramāṇav_1.7 //	ajQAta-arTa-prakASaH vA svarUpa-aDigateH param // PramANa=-_1.7 //
   prāptaṃ sāmānyavijñānamavijñāte svalakṣaṇe /	prAptam sAmAnya-vijQAnam-avijQAte sva-lakzaNe /
   yajjñānamityabhiprāyāt svalakṣaṇavicārataḥ // Pramāṇav_1.8 //	yat-jQAnam-iti-aBiprAyAt sva-lakzaNa-vicArataH // PramANa=-_1.8 //
   tadvat pramāṇaṃ bhagavānabhūtavinivṛttaye /	tadvat pramANam BagavAn-aBUta-vinivRttaye /
   bhūtoktiḥ sādhanāpekṣā tato yuktā pramāṇatā // Pramāṇav_1.9 //	BUta-uktiH sADana-apekzA tatas yuktA pramANatA // PramANa=-_1.9 //
   nityaṃ pramāṇaṃ naivāsti prāmāṇyādvastusadgateḥ /	nityam pramANam na-eva-asti prAmANyAt-vastu-sat-gateH /
   jñeyānityatayā tasyā adhrauvyātkramajanmanām // Pramāṇav_1.10 //	jQeya-anityatayA tasyAH aDrOvyAt-krama-janmanAm // PramANa=-_1.10 //
   nityādutpattiviśleṣādapekṣāyā ayogataḥ /	nityAt-utpatti-viSlezAt-apekzAyAH ayogataH /
   kathañcinnoparkāyatvāt anitye 'pyapramāṇatā // Pramāṇav_1.11 //	kaTaQcid-noparkAya-tvAt anitye api-apramANa-tA // PramANa=-_1.11 //
   sthitvāpravṛttiḥ saṃsthānaviśeṣārthakriyādiṣu /	sTitvA-pravRttiH saMsTAna-viSeza-arTa-kriyA-Adizu /
   iṣṭasiddhirasiddhirvā dṛṣṭānte saṃśayo 'thavā // Pramāṇav_1.12 //	izwa-sidDiH-asidDiH-vA dRzwAnte saMSayaH aTavA // PramANa=-_1.12 //
   siddhaṃ yādṛgadhiṣṭhātṛbhāvābhāvānuvṛttimat /	sidDam yAdRS-aDizWAtR-BAva-aBAva-anuvRttimat /
   sanniveśādi tadyuktaṃ tasmād yadanumīyate // Pramāṇav_1.13 //	sanniveSa-Adi tat-yuktam tasmAt yat-anumIyate // PramANa=-_1.13 //
   vastubhede prasiddhasya śabdasāmyādabhedinaḥ /	vastu-Bede prasidDasya Sabda-sAmyAt-aBedinaH /
   na yuktānumitiḥ pāṇḍudravyādiva hutāśane // Pramāṇav_1.14 //	na yuktA-anumitiH pANxu-dravyAt-iva hutASane // PramANa=-_1.14 //
   anyathā kumbhakāreṇa mṛdvikārasya kasyacit /	anyaTA kumBakAreNa mRd-vikArasya kasyacid /
   ghaṭādeḥ karaṇāt sidhyed valmīkasyāpi tatkṛtiḥ // Pramāṇav_1.15 //	Gawa-AdeH karaNAt siDyet valmIkasya-api tad-kRtiH // PramANa=-_1.15 //
   sādhyenānugamāt kārye sāmānyenāpi sādhane /	sADyena-anugamAt kArye sAmAnyena-api sADane /
   sambandhibhedād bhedoktidoṣaḥ kāryasamo mataḥ // Pramāṇav_1.16 //	sambanDi-BedAt Beda-ukti-dozaH kArya-samaH mataH // PramANa=-_1.16 //
   jātyantare prasiddhasya śabdasāmānyadarśanāt /	jAti-antare prasidDasya Sabda-sAmAnya-darSanAt /
   na yuktaṃ sādhanaṃ gotvād vāgādīnāṃ viṣāṇavat // Pramāṇav_1.17 //	na yuktam sADanam go-tvAt vAc-AdInAm vizANa-vat // PramANa=-_1.17 //
   vivakṣāparatantratvānna śabdāḥ santi kutra vā /	vivakzA-paratantra-tvAt-na SabdAH santi kutra vA /
   tadbhāvādarthasiddhau tu sarva sarvasya sidhyati // Pramāṇav_1.18 //	tad-BAvAt-arTa-sidDO tu sarve sarvasya siDyati // PramANa=-_1.18 //
   etena kāpilādīnām acaitanyādi cintitam /	etena kApila-AdInAm acEtanya-Adi cintitam /
   anityādeśca caitanyaṃ maraṇāt tvagapohataḥ // Pramāṇav_1.19 //	anitya-AdeH-ca cEtanyam maraNAt tvac-apohataH // PramANa=-_1.19 //
   vastusvarūpe siddhe 'yaṃ nyāyaḥ siddhe viśeṣaṇam /	vastu-svarUpe sidDe ayam nyAyaH sidDe viSezaNam /
   abādhakamasiddhāvapyākāśāśrayavad dhvaneḥ // Pramāṇav_1.20 //	abADakam-asidDO=-api-AkASa-ASraya-vat DvaneH // PramANa=-_1.20 //
   asiddhāvapi śabdasya śiddhe vastuni sidhyati /	asidDO=-api Sabdasya SidDe vastuni siDyati /
   aulūkyasya yathā bauddhenoktaṃ mūrtyādisādhanam // Pramāṇav_1.21 //	OlUkyasya yaTA bOdDena-uktam mUrti-Adi-sADanam // PramANa=-_1.21 //
   tasyaiva vyabhicārādau śabde 'pyavyabhicāriṇa /	tasya-eva vyaBicAra-AdO Sabde api-avyaBicAriNa /
   doṣavat sādhanaṃ jñeyaṃ vastuno vastusiddhitaḥ // Pramāṇav_1.22 //	dozavat sADanam jQeyam vastunaH vastu-sidDitaH // PramANa=-_1.22 //
   yathā tatkāraṇaṃ vastu tathaiva tadakāraṇam /	yaTA tad-kAraNam vastu taTA-eva tat-akAraNam /
   yadā tatkāraṇaṃ kena mataṃ neṣṭamakāraṇam // Pramāṇav_1.23 //	yadA tad-kAraNam kena matam na-izwam-akAraNam // PramANa=-_1.23 //
   śastrauṣadhābhisambandhāccaitrasya vraṇarohaṇe /	Sastra-OzaDa-aBisambanDAt-cEtrasya vraNa-rohaNe /
   asambaddhasya kiṃ sthāṇoḥ kāraṇatvaṃ na kalpyate // Pramāṇav_1.24 //	asambadDasya kim sTANoH kAraNa-tvam na kalpyate // PramANa=-_1.24 //
   svabhāvabhedena vinā vyāpāro 'pi na yujyate /	svaBAva-Bedena vinA vyApAraH api na yujyate /
   nityasyāvyatirekitvāt sāmarthya ca duranvayam // Pramāṇav_1.25 //	nityasya-avyatireki-tvAt sAmarTya ca duranvayam // PramANa=-_1.25 //
   yeṣu satsu bhavatyeva yattebhyo 'nyasya kalpane /	yezu satsu Bavati-eva yat-teByaH anyasya kalpane /
   taddhetutvena sarvatra hetunāmanavasthitiḥ // Pramāṇav_1.26 //	tad-hetu-tvena sarvatra hetunAm-anavasTitiH // PramANa=-_1.26 //
