   Sudhanakinnaryavadāna	SuDana-kinnarya-vadAna
   from: Kṣemendra: Avadānakalpalatā (Avadāna 64) = KAvk_64	from: Kzema-indra: AvadAna-kalpa-latA (a-avadAnaH 64)  KAvc-_64
   abhinavakisalayakomalamanasām api kuliśakaṭhinadhairyāṇām /	aBinava-kisalaya-komala-manasAm api kuliSa-kaWina-DEryANAm /
   mahatāṃ maṇivimalānāṃ api bhavati na rāgasaṃkrāntiḥ // KAvk_64.1 //	mahatAm maNi-vimalAnAm api Bavati na rAga-saMkrAntiH // KAvc-_64.1 //
   śākyālaye darśanam eva pitrā sarvānukampī bhṛśam arthyamānaḥ	SAkya-Alaye darSanam eva pitrA sarva-anukampI BRSam arTyamAnaH
   yadā yadānandasudhārasendur viveśa śāstā nijarājadhānīṃ // KAvk_64.2 //	yadA yad-Ananda-suDA-rasenduH viveSa SAstA nija-rAjaDAnIm // KAvc-_64.2 //
   tadā tadā harmyagatā mṛgākṣī karṇāvataṃsīkṛtanetrakāntiḥ /	tadA tadA harmya-gatA mRgAkzI karNa-avataMsIkRta-netra-kAntiH /
   kāntyā diśāṃ vismayam ullikhantaṃ yaśodharā taṃ dayitaṃ vilokya //	kAntyA diSAm vismayam ulliKantam yaSoDarA tam dayitam vilokya //
   KAvk_64.3 //	KAvc-_64.3 //
   tatsaṃgamāliṅganayor nirāśā bhrāntākhilāśā viṣamūrcchiteva /	tad-saMgama-AliFganayoH nirASAH BrAnta-aKila-ASA viza-mUrcCitA-iva /
   dhṛtiṃ vayasyām iva vārayantīṃ nirasya saudhāt tanum utsasarja //	DRtim vayasyAm iva vArayantIm nirasya sODAt tanum utsasarja //
   KAvk_64.4 //	KAvc-_64.4 //
   yadā yadā pallavapeśalāṅgī dehaṃ samutsṛṣṭavatī satī sā /	yadA yadA pallava-peSala-aFgI deham samutsRzwavatI satI sA /
   tadā tadā manmathamohitāṃ tāṃ dayārdracakṣur bhagavān rarakṣa // KAvk_64.5	tadA tadA manmaTa-mohitAm tAm dayA-ArdracakzuH BagavAn rarakzaH // Ka-avc-_64.5
   tataḥ kadā cid bhagavān vanānte tatkautukād bhikṣugaṇena pṛṣṭaḥ /	tatas kadA cit BagavAn vana-ante tad-kOtukAt Bikzu-gaNena pRzwaH /
   jagāda dantadyuticandrikābhir nivārayan rāgam ivādharasya // KAvk_64.6 //	jagAda danta-dyuti-candrikABiH nivArayan rAgam iva-aDarasya // Ka-avc-_64.6 //
   yaśodharā madviraheṇa nityaṃ karoti yat sāhasam etad ārtā /	yaSoDarA mad-viraheNa nityam karoti yat sAhasam etat ArtAH /
   haranti dhairyaṃ vitaranti mohaṃ eṣa svabhāvaḥ smaravibhramāṇāṃ //	haranti DEryam vitaranti moham eza svaBAvaH smara-viBramANAm //
   KAvk_64.7 //	KAvc-_64.7 //
   mayāpi tasyā viraheṇa pūrvaṃ janmāntare māravimohitena /	mayA-api tasyAH viraheNa pUrvam janma-antare mAra-vimohitena /
   saṃsaktasaṃtāpanimittabhūtaḥ khedaḥ prabhūtavyaśano 'nubhūtaḥ // KAvk_64.8	saMsakta-saMtApa-nimitta-BUtaH KedaH praBUta-vyaSanaH anuBUtaH // Ka-avc-_64.8
   purā jitāmarapure satpure hastināpure /	purA jita-amara-pure sat-pure hastinApure /
   rājā dhanābhidhāno 'bhūn nidhānaṃ guṇasaṃpadāṃ // KAvk_64.9 //	rAjA Dana-aBiDAnaH aBUt niDAnam guNa-saMpadAm // KAvc-_64.9 //
   bhujenāliṅgitā bhūmiḥ kṛtā kaṇṭhe sarasvatī /	Bujena-AliFgitA BUmiH kRtA kaNWe sarasvatI /
   lakṣmīḥ prasādhitā yena kīrtir eva pravāsitā // KAvk_64.10 //	lakzmIH prasADitAH yena kIrtiH eva pravAsitA // Ka-avc-_64.10 //
   rāmāyāṃ tasya jāyāyāṃ tanayaḥ sudhanābhidhaḥ /	rAmAyAm tasya jAyAyAm tanayaH suDana-aBiDaH /
   abhavat sahasaṃjātanidhānaśataviśrutaḥ // KAvk_64.11 //	aBavat saha-saMjAta-niDAna-Sata-viSrutaH // Ka-avc-_64.11 //
   sarvavidyākumudinīvikāsarasikaḥ sadā /	sarva-vidyA-kumudinI-vikAsa-rasikaH sadA /
   kalāvān nirmalarucir yaḥ pūrṇendur ivābabhau // KAvk_64.12 //	kalAvAn nirmala-ruciH yaH pUrNa-induH iva-AbaBO // Ka-avc-_64.12 //
   babhūva tasya bhūbhartur bhūpatir bhūmyanantaraḥ /	baBUva tasya BUBartuH BUpatiH BUmi-anantaraH /
   mānī mahendrasenākhyaḥ prakhyātapṛthuvikramaḥ // KAvk_64.13 //	mAnI mahA-indrasena-AKyaH praKyAta-pRTu-vikramaH // Ka-avc-_64.13 //
   tena duḥsahadaṇḍena sarvasarvasvahāriṇā /	tena duHsaha-daNxena sarva-sarva-sva-hAriNA /
   akālakālakalpena pīḍitāḥ śuśucuḥ prajāḥ // KAvk_64.14 //	akAla-kAla-kalpena pIxitAH SuSucuH prajAH // Ka-avc-_64.14 //
   tasyādharmapravṛttasya nivṛttasukṛtotsave /	tasya-aDarma-pravRttasya nivRtta-sukRta-utsave /
   tīvropatāpasaṃtapte pure na vavṛṣur ghanāḥ // KAvk_64.15 //	tIvra-upatApa-saMtapte pure na vavRzuH GanAH // Ka-avc-_64.15 //
   pratikūle mahīpāle tatra durbhikṣaviplavaḥ /	pratikUle mahIpAle tatra durBikza-viplavaH /
   babhūva vyasaneṣv eva bhavanti vyasanodayāḥ // KAvk_64.16 //	baBUva vyasanezu eva Bavanti vyasana-udayAH // Ka-avc-_64.16 //
   tataḥ kleśaviśeṣārtāḥ sarve puranivāsinaḥ /	tatas kleSa-viSeza-ArtAH sarve pura-nivAsinaH /
   kupativyasanodvegād ekībhūtā vyacintayan // KAvk_64.17 //	kupati-vyasana-udvegAt ekIBUtAH vyacintayan // Ka-avc-_64.17 //
   rājñā doṣākareṇeyaṃ jaḍena janatā param /	rAjQA doza-AkareNa-iyam jaxena janatA param /
   pratyagrakarapātena nalinīva nimīlitā // KAvk_64.18 //	pratyagra-kara-pAtena nalinI-iva nimIlitAH // Ka-avc-_64.18 //
   eṣa durvyasanī nityam asatyāmātyasaṃmataḥ /	eza durvyasanI nityam asatya-amAtya-saMmataH /
   asmān nipīḍya puṣṇāti viṭaceṭakagāyanān // KAvk_64.19 //	asmAt nipIxya puzNAti viwa-cewaka-gAyanAn // Ka-avc-_64.19 //
   kaṣṭā tatrāpy anāvṛṣṭiḥ pāpaśāpena bhūpateḥ /	kazwA tatra-api anAvRzwiH pApa-SApena BUpateH /
