   PADA MARKERS	PADAH MARKERS
   For a four pada verse:	FoH a fouH  pada verse:
   For a six pada verse:	FoH a six pada verse:
   praviśya tu mahāraṇyaṃ $ daṇḍakāraṇyam ātmavān &	praviSya tu mahA araNyam $ daNxaka araNyam AtmavAn &
   dadarśa rāmo durdharṣas % tāpasāśramamaṇḍalam // Ram_3,1.1 //	dadarSa rAmaH durDarzaH % tApasa ASrama maNxalam // Ram_3,1.1 //
   kuśacīraparikṣiptaṃ $ brāhmyā lakṣmyā samāvṛtam &	kuSa cIra parikziptam $ brAhmyA lakzmyA samAvRtam &
   yathā pradīptaṃ durdharṣaṃ % gagane sūryamaṇḍalam // Ram_3,1.2 //	yaTA pradIptam durDarzam % gagane sUrya maNxalam // Ram_3,1.2 //
   śaraṇyaṃ sarvabhūtānāṃ $ susaṃmṛṣṭājiraṃ sadā &	SaraNyam sarva BUtAnAm $ su saMmRzwa ajiram sadA &
   pūjitaṃ copanṛttaṃ ca % nityam apsarasāṃ gaṇaiḥ // Ram_3,1.3 //	pUjitam ca upanRttam ca % nityam apsarasAm gaNEH // Ram_3,1.3 //
   viśālair agniśaraṇaiḥ $ srugbhāṇḍair ajinaiḥ kuśaiḥ &	viSAlEH agni SaraNEH $ sruc BANxEH ajinEH kuSEH &
   samidbhis toyakalaśaiḥ % phalamūlaiś ca śobhitam // Ram_3,1.4 //	samidBiH toya kalaSEH % Pala mUlEH ca SoBitam // Ram_3,1.4 //
   āraṇyaiś ca mahāvṛkṣaiḥ $ puṇyaiḥ svāduphalair vṛtam &	AraNyEH ca mahA vRkzEH $ puNyEH svAdu PalEH vRtam &
   balihomārcitaṃ puṇyaṃ % brahmaghoṣanināditam // Ram_3,1.5 //	bali homa arcitam puNyam % brahma Goza ninAditam // Ram_3,1.5 //
   puṣpair vanyaiḥ parikṣiptaṃ $ padminyā ca sapadmayā &	puzpEH vanyEH parikziptam $ padminyA ca sa padmayA &
   phalamūlāśanair dāntaiś % cīrakṛṣṇājināmbaraiḥ // Ram_3,1.6 //	Pala mUla aSanEH dAntEH % cIra kRzNa ajina ambarEH // Ram_3,1.6 //
   sūryavaiśvānarābhaiś ca $ purāṇair munibhir vṛtam &	sUrya vESvAnara ABEH ca $ purANEH muniBiH vRtam &
   puṇyaiś ca niyatāhāraiḥ % śobhitaṃ paramarṣibhiḥ // Ram_3,1.7 //	puNyEH ca niyata AhArEH % SoBitam parama RziBiH // Ram_3,1.7 //
   tad brahmabhavanaprakhyaṃ $ brahmaghoṣanināditam &	tat brahma Bavana praKyam $ brahma Goza ninAditam &
   brahmavidbhir mahābhāgair % brāhmaṇair upaśobhitam // Ram_3,1.8 //	brahma vidBiH mahABAgEH % brAhmaNEH upaSoBitam // Ram_3,1.8 //
   tad dṛṣṭvā rāghavaḥ śrīmāṃs $ tāpasāśramamaṇḍalam &	tat dRzwvA rAGavaH SrImAn $ tApasa ASrama maNxalam &
   abhyagacchan mahātejā % vijyaṃ kṛtvā mahad dhanuḥ // Ram_3,1.9 //	aByagacCat mahA tejAH % vijyam kRtvA mahat DanuH // Ram_3,1.9 //
   divyajñānopapannās te $ rāmaṃ dṛṣṭvā maharṣayaḥ &	divya jQAna upapannAH te $ rAmam dRzwvA mahA RzayaH &
   abhyagacchaṃs tadā prītā % vaidehīṃ ca yaśasvinīm // Ram_3,1.10 //	aByagacCan tadA prItA % vEdehIm ca yaSasvinIm // Ram_3,1.10 //
   te taṃ somam ivodyantaṃ $ dṛṣṭvā vai dharmacāriṇaḥ &	te tam somam iva udyantam $ dRzwvA vE Darma cAriNaH &
   maṅgalāni prayuñjānāḥ % pratyagṛhṇan dṛḍhavratāḥ // Ram_3,1.11 //	maFgalAni prayuQjAnAH % pratyagRhNan dRXa vratAH // Ram_3,1.11 //
   rūpasaṃhananaṃ lakṣmīṃ $ saukumāryaṃ suveṣatām &	rUpa saMhananam lakzmIm $ sOkumAryam su veza tAm &
   dadṛśur vismitākārā % rāmasya vanavāsinaḥ // Ram_3,1.12 //	dadRSuH vismita AkArAH % rAmasya vana vAsinaH // Ram_3,1.12 //
   vaidehīṃ lakṣmaṇaṃ rāmaṃ $ netrair animiṣair iva &	vEdehIm lakzmaNam rAmam $ netrEH animizEH iva &
   āścaryabhūtān dadṛśuḥ % sarve te vanacāriṇaḥ // Ram_3,1.13 //	AScarya BUtAn dadRSuH % sarve te vana cAriNaH // Ram_3,1.13 //
   atrainaṃ hi mahābhāgāḥ $ sarvabhūtahite ratāḥ &	atra enam hi mahABAgAH $ sarva BUta hite ratAH &
   atithiṃ parṇaśālāyāṃ % rāghavaṃ saṃnyaveśayan // Ram_3,1.14 //	atiTim parNa SAlAyAm % rAGavam saMnyaveSayan // Ram_3,1.14 //
   tato rāmasya satkṛtya $ vidhinā pāvakopamāḥ &	tatas rAmasya satkRtya $ viDinA pAvaka upamAH &
   ājahrus te mahābhāgāḥ % salilaṃ dharmacāriṇaḥ // Ram_3,1.15 //	AjahruH te mahABAgAH % salilam Darma cAriNaH // Ram_3,1.15 //
   mūlaṃ puṣpaṃ phalaṃ vanyam $ āśramaṃ ca mahātmanaḥ &	mUlam puzpam Palam vanyam $ ASramam ca mahAtmanaH &
   nivedayitvā dharmajñās % tataḥ prāñjalayo 'bruvan // Ram_3,1.16 //	nivedayitvA Darma jQAH % tatas prAQjalayaH abruvan // Ram_3,1.16 //
   dharmapālo janasyāsya $ śaraṇyaś ca mahāyaśāḥ &	DarmapAlaH janasya asya $ SaraNyaH ca mahA yaSAH &
   pūjanīyaś ca mānyaś ca % rājā daṇḍadharo guruḥ // Ram_3,1.17 //	pUjanIyaH ca mAnyaH ca % rAjA daNxa DaraH guruH // Ram_3,1.17 //
   indrasyeva caturbhāgaḥ $ prajā rakṣati rāghava &	indrasya iva catur BAgaH $ prajAH rakzati rAGava &
   rājā tasmād varān bhogān % bhuṅkte lokanamaskṛtaḥ // Ram_3,1.18 //	rAjA tasmAt varAn BogAn % BuFkte loka namaskRtaH // Ram_3,1.18 //
   te vayaṃ bhavatā rakṣyā $ bhavadviṣayavāsinaḥ &	te vayam BavatA rakzyAH $ Bavat vizaya vAsinaH &
   nagarastho vanastho vā % tvaṃ no rājā janeśvaraḥ // Ram_3,1.19 //	nagara sTaH vana sTaH vA % tvam naH rAjA janeSvaraH // Ram_3,1.19 //
   nyastadaṇḍā vayaṃ rājañ $ jitakrodhā jitendriyāḥ &	nyasta daNxAH vayam rAjan $ jita kroDAH jita indriyAH &
   rakṣitavyās tvayā śaśvad % garbhabhūtās tapodhanāḥ // Ram_3,1.20 //	rakzitavyAH tvayA SaSvat % garBa BUtAH tapoDanAH // Ram_3,1.20 //
   evam uktvā phalair mūlaiḥ $ puṣpair vanyaiś ca rāghavam &	evam uktvA PalEH mUlEH $ puzpEH vanyEH ca rAGavam &
   anyaiś ca vividhāhāraiḥ % salakṣmaṇam apūjayan // Ram_3,1.21 //	anyEH ca viviDa AhArEH % sa lakzmaNam apUjayan // Ram_3,1.21 //
   tathānye tāpasāḥ siddhā $ rāmaṃ vaiśvānaropamāḥ &	taTA anye tApasAH sidDAH $ rAmam vESvAnara upamAH &
   nyāyavṛttā yathānyāyaṃ % tarpayāmāsur īśvaram // Ram_3,1.22 //	nyAya vRttAH yaTAnyAyam % tarpayAmAsuH ISvaram // Ram_3,1.22 //
   kṛtātithyo 'tha rāmas tu $ sūryasyodayanaṃ prati &	kRta AtiTyaH aTa rAmaH tu $ sUryasya udayanam prati &
   āmantrya sa munīn sarvān % vanam evānvagāhata // Ram_3,2.1 //	Amantrya sa munIn sarvAn % vanam eva anvagAhata // Ram_3,2.1 //
   nānāmṛgagaṇākīrṇaṃ $ śārdūlavṛkasevitam &	nAnA mRga gaNa AkIrNam $ SArdUla vRka sevitam &
   dhvastavṛkṣalatāgulmaṃ % durdarśasalilāśayam // Ram_3,2.2 //	Dvasta vRkza latA gulmam % durdarSa salila ASayam // Ram_3,2.2 //
