   vaitathyaprakaraṇam	vEtaTya-prakaraNam
   START MandUpK 2.1	START Mandu-upK 2.1
   jñāte dvaitaṃ na vidyata ityuktam,"ekamevādvitīyam"(chā.u.6 / 2 / 1)	jQAte dvEtam na vidyate iti-uktam-,"ekam-eva-advitIyam-"(CA.u.6 / 2 / 1)
   ityādi śrutibhyaḥ /	ityAdi SrutiByaH /
   āgamamātraṃ tat /	Agama-mAtram tat /
   tatropapattyāpi dvaitasya vaitathyaṃ śakyate 'vadhārayitum iti dvitīyaṃ	tatra-upapattyA-api dvEtasya vEtaTyam Sakyate avaDArayitum iti dvitIyam
   prakaraṇam ārabhyate	prakaraNam AraByate
   vaitathyaṃ sarvabhāvānāṃ svapna āhur manīṣiṇaḥ /	vEtaTyam sarva-BAvAnAm svapne AhuH manIziNaH /
   antaḥsthānāt tu bhāvānāṃ saṃvṛtatvena hetunā // MandUpK_2.1 //	antar-sTAnAt tu BAvAnAm saMvRta-tvena hetunA // Mandu-upK_2.1 //
   MandUpKC_2.1	Mandu-upKC_2.1
   vitathasya bhāvo vaitathyam, asatyatvam ityarthaḥ /	vitaTasya BAvaH vEtaTyam, asatya-tvam iti-arTaH /
   kasya? sarveṣāṃ bāhyādhyātmikānāṃ bhāvānāṃ padārthānāṃ svapna	kasya? sarvezAm bAhya-ADyAtmikAnAm BAvAnAm padArTAnAm svapna
   upalabhyamānānām, āhuḥ kathayanti, manīṣiṇaḥ pramāṇakuśalāḥ /	upalaByamAnAnAm, AhuH kaTayanti, manIziNaH pramANa-kuSalAH /
   vaitathye hetumāhāntaḥsthānāt, antaḥ śarīrasya madhye sthānaṃ yeṣām /	vEtaTye hetum-Aha-antar-sTAnAt, antar SarIrasya maDye sTAnam yezAm /
   tatra hi bhāvopalabhyante parvatahastyādayo na bahiḥ śarīrāt /	tatra hi BAva-upalaByante parvata-hasti-AdayaH na bahis SarIrAt /
   tasmāt te vitathā bhavitum arhanti /	tasmAt te vitaTAH Bavitum arhanti /
   nanvapavarakādyantarupalabhyamānair ghaṭādibhiranaikāntiko hetur	nanu-apavaraka-Adi-antar-upalaByamAnEH Gawa-AdiBiH-anEkAntikaH hetuH-
   ityāśaṅkyāha saṃvṛtatvena hetuna iti /	iti-ASaFkya-Aha saMvRta-tvena hetunaH iti /
