   vīṇāśikhatantra	vINA-SiKa-tantra
   oṃ namo mahābhairavāya	om namaH mahABEravAya
   kailāsaśikhare ramye $ nānāratnopaśobhite &	kElAsa-SiKare ramye $ nAnA-ratna-upaSoBite &
   nānādrumalatākīrṇe % siddhacāraṇasevite // VT_1 //	nAnA-druma-latA-AkIrNe % sidDa-cAraNa-sevite // VT_1 //
   tatra devaḥ suraśreṣṭhaḥ $ krīḍate umayā saha &	tatra devaH suraSrezWaH $ krIxate umayA saha &
   stūyamāno mahāsiddhair % mahākālādibhir gaṇaiḥ // VT_ 2 //	stUyamAnaH mahA-sidDEH % mahAkAla-AdiBiH gaNEH // VT_ 2 //
   ṛṣibhiś ca mahābhāgair $ bhṛgvādyaiḥ surasattamaiḥ &	RziBiH ca mahABAgEH $ BRgu-AdyEH sura-sattamEH &
   teṣāṃ madhye samutthāya % devī vacanam abravīt // VT_3 //	tezAm maDye samutTAya % devI vacanam abravIt // VT_3 //
   śrutaṃ sammohanaṃ tantraṃ $ tathā nayottaraṃ mahat &	Srutam sammohanam tantram $ taTA naya-uttaram mahat &
   śiraśchedaṃ ca deveśa % tvatprasādāt sudurlabham // VT_4 //	SiraH-Cedam ca deveSa % tvad-prasAdAt su-durlaBam // VT_4 //
   vratasādhyāni caitāni $ yāgasādhyāni vai punaḥ &	vrata-sADyAni ca-etAni $ yAga-sADyAni vE punar &
   anyasārā yato loke % prāyo draviṇavarjitāḥ // VT_5 //	anya-sArAH yatas loke % prAyas draviNa-varjitAH // VT_5 //
   ebhyo 'pi cottaraṃ yasmāt $ kevalaṃ jñānasiddhidam &	eByaH api ca-uttaram yasmAt $ kevalam jQAna-sidDi-dam &
   sarvakāmapradaṃ deva % yathāvad bījapañcakaṃ // VT_6 //	sarva-kAma-pradam deva % yaTAvat bIja-paQcakam // VT_6 //
   uttaraṃ hṛdayaṃ hy eṣāṃ $ bhaktāya dātum arhasi // VT_7 //	uttaram hRdayam hi ezAm $ BaktAya dAtum arhasi // VT_7 //
   śrī īśvara uvāca	SrI ISvaraH uvAca
   yan na kasyacid ākhyātaṃ $ śukrādīnāṃ ca yoginām &	yat na kasyacid AKyAtam $ Sukra-AdInAm ca yoginAm &
   subhaktasya vinītasya % gopitaṃ vai guhasya ca // VT_8 //	su-Baktasya vinItasya % gopitam vE guhasya ca // VT_8 //
   catuḥṣaṣṭiḥ samākhyātāḥ $ śiṣyās tantreṣu ye mayā &	catuHzazwiH samAKyAtAH $ SizyAH tantrezu ye mayA &
   teṣām api na cākhyātaṃ % brahmaviṣṇupuraḥsaraiḥ // VT_9 //	tezAm api na ca-AKyAtam % brahma-vizNu-puraHsarEH // VT_9 //
   tad ahaṃ sampravakṣyāmi $ cintāratnam ivāparam &	tat aham sampravakzyAmi $ cintA-ratnam iva-aparam &
   tantraṃ vīṇāśikhaṃ nāma % nirvyājenāśusiddhidam // VT_10 //	tantram vINASiKam nAma % nirvyAjena-ASu-sidDi-dam // VT_10 //
   devītumburusaṃyuktaṃ $ vīṇādhārasusaṃsthitam &	devI-tumburu-saMyuktam $ vINA-DAra-su-saMsTitam &
   śikhāyogena iṣyante % tena vīṇāśikhā smṛtā // VT_11 //	SiKA-yogena izyante % tena vINA-SiKA smRtAH // VT_11 //
   yāgam ādau pravakṣyāmi $ tantrasāraṃ sudurlabham &	yAgam AdO pravakzyAmi $ tantra-sAram su-durlaBam &
   tenaiva varadā devyo % nityaṃ devi bhavanti hi // VT_12 //	tena-eva vara-dAH devyaH % nityam devi Bavanti hi // VT_12 //
   gṛhayāgam idaṃ devi $ yo jānātīha sādhakaḥ &	gRha-yAgam idam devi $ yaH jAnAti-iha sADakaH &
   vratahomād ṛte cāsmin % susiddhiṃ labhate param // VT_13 //	vrata-homAt Rte ca-asmin % su-sidDim laBate param // VT_13 //
   śiṣyāṇām āditaḥ kuryād $ yāgaṃ kṛtvā parigraham &	SizyANAm Aditas kuryAt $ yAgam kRtvA parigraham &
   nānyathā darśayet tantraṃ % na cāsau siddhim āpnuyāt // VT_14 //	na-anyaTA darSayet tantram % na ca-asO sidDim ApnuyAt // VT_14 //
   caturthyām atha pañcamyāṃ $ navamyām ekādaśīṣu ca &	caturTyAm aTa paQcamyAm $ navamyAm ekAdaSIzu ca &
   grahaṇe vāpi kartavyā % sarvadā cārkasomayoḥ // VT_15 //	grahaNe vA-api kartavyA % sarvadA ca-arka-somayoH // VT_15 //
   caturthyāṃ yajanaṃ śreṣṭhaṃ $ saubhāgyakaraṇaṃ mahat &	caturTyAm yajanam SrezWam $ sOBAgya-karaNam mahat &
   śrīkāmo yajanaṃ kuryāt % pañcamyāṃ susamāhitaḥ // VT_16 //	SrI-kAmaH yajanam kuryAt % paQcamyAm su-samAhitaH // VT_16 //
   saṃgrāme vijayārthī vā $ pararāṣṭravimardanam &	saMgrAme vijaya-arTI vA $ para-rAzwra-vimardanam &
   navamyāṃ pārthivaṃ yāgaṃ % kurvīta bhaginīpriyam // VT_17 //	navamyAm pArTivam yAgam % kurvIta BaginI-priyam // VT_17 //
   ekādaśyāṃ yajed yas tu $ śivaloke mahīyate &	ekAdaSyAm yajet yaH tu $ Siva-loke mahIyate &
   sugupte nirjane deśe % saridvāpītaṭe 'pi vā // VT_18 //	su-gupte nirjane deSe % sarit-vApI-tawe api vA // VT_18 //
   kṛtvādau bhūmisaṃśuddhiṃ $ sāvitryā deśikottamaḥ &	kRtvA-AdO BUmi-saMSudDim $ sAvitryAH deSikA-uttamaH &
   kṛtvā pūjāṃ prakurvīta % śiṣyāṇām adhivāsanam // VT_19 //	kRtvA pUjAm prakurvIta % SizyANAm aDivAsanam // VT_19 //
   carukaṃ sādhane paścāt $ sāvitryā dāpayed budhaḥ &	carukam sADane paScAt $ sAvitryAH dApayet buDaH &
   śiṣyāṇāṃ dantakāṣṭhaṃ ca % sakṣīraṃdvādaśāṅgulam // VT_20 //	SizyANAm dantakAzWam ca % sa-kzIraMdvAdaSa-aFgulam // VT_20 //
   ācamya śiṣyam āhūya $ pañcatattvapariṣkṛtam &	Acamya Sizyam AhUya $ paQca-tattva-parizkRtam &
   sāvitryā prokṣayed bhūyas % tattvajaptaṃ yathoditam // VT_21 //	sAvitryA prokzayet BUyas % tattva-japtam yaTA-uditam // VT_21 //
   pramārjayetkuśāgreṇa $ tasyāṅgāni samālabhet &	pramArjayet-kuSa-agreNa $ tasya-aFgAni samAlaBet &
   ālabhyaiva tu sāvitryā % kṣālayet sakalaṃ kramāt // VT_22 //	AlaBya-eva tu sAvitryAH % kzAlayet sakalam kramAt // VT_22 //
   yāgabhūmau svaśiṣyāṃs tu $ svapec ca kuśasaṃstare &	yAga-BUmO sva-SizyAn tu $ svapet ca kuSa-saMstare &
   rakṣāṃ sadā śatair bījaiḥ % kṛtvā dhyātvā ca tāḥ kramāt // VT_23 //	rakzAm sadA SatEH bIjEH % kRtvA DyAtvA ca tAH kramAt // VT_23 //
   tataḥ prabhāte vimale $ mukhaṃ prakṣālya sādhakaḥ &	tatas praBAte vimale $ muKam prakzAlya sADakaH &
   iṣṭāniṣṭāṃ gurau ceṣṭāṃ % praṇipatya nivedayet // VT_24 //	izwa-anizwAm gurO cezwAm % praNipatya nivedayet // VT_24 //
   iṣṭāniṣṭān viditvā tu $ deśikaḥ sādhakasya tu &	izwa-anizwAn viditvA tu $ deSikaH sADakasya tu &
   ādau deśe same bhūmau % vivikte śalyavarjite // VT_25 //	AdO deSe same BUmO % vivikte Salya-varjite // VT_25 //
   maṇḍalaṃ saṃlikhet prājño $ yathāvad vidhipūrvakam &	maNxalam saMliKet prAjQaH $ yaTAvat viDi-pUrvakam &
   caturhastaṃ caturdvāram % athavā caikahastakam // VT_26 //	catur-hastam catur-dvAram % aTavA ca-eka-hastakam // VT_26 //
   maṇḍalam saṃlikhed divyam $ śālicūrṇena sūjjvalam &	maNxalam saMliKet divyam $ SAli-cUrNena sUjjvalam &
   tatra madhye likhet padmaṃ % catuḥpattraṃ sakarṇikam // VT_27 //	tatra maDye liKet padmam % catur-pattram sa-karNikam // VT_27 //
   śvetāsṛ kpītakṛ ṣṇāni $ kamalasya dalāni tu &	Sveta-asR kpIta-kR zNAni $ kamalasya dalAni tu &
   prāg ārabhya yathānyāyaṃ % saumyeśāntāni lekhayet // VT_28 //	prAk AraBya yaTAnyAyam % sOmya-ISa-antAni leKayet // VT_28 //
   karṇikāṃ ca tathā madhye $ śabalāṃ deśikottamaḥ &	karNikAm ca taTA maDye $ SabalAm deSika-uttamaH &
   caturmūrtiṃ caturvarṇaṃ % svena bijena tumburum // VT_29 //	catur-mUrtim catur-varNam % svena bijena tumburum // VT_29 //
   caturvarṇam īśvaraṃ dhyāyen $ niviṣṭam karṇikodare &	catur-varNam ISvaram DyAyet $ nivizwam karNikA-udare &
   tataḥ sitāṃ svabījena % jayāṃ prāgdale vinyaset // VT_30 //	tatas sitAm sva-bIjena % jayAm prAk-dale vinyaset // VT_30 //
   bandhūkakusumaprakhyāṃ $ vijayāṃ dakṣiṇe dale &	banDUka-kusuma-praKyAm $ vijayAm dakziNe dale &
   svacchacāmīkaraprakhyām % ajitāṃ paścime dale // VT_31 //	svacCa-cAmIkara-praKyAm % ajitAm paScime dale // VT_31 //
   bhinnāñjanacayaprakhyām $ uttare cāparājitām &	BinnAQjana-caya-praKyAm $ uttare ca-aparAjitAm &
   vinyasya pūjāṃ kurvīta % svaiḥ svair bījair yathākramam // VT_32 //	vinyasya pUjAm kurvIta % svEH svEH bIjEH yaTAkramam // VT_32 //
   puṣpadhūpaiś ca balibhir $ yathākālāntaraiḥ śubhaiḥ &	puzpa-DUpEH ca baliBiH $ yaTA-kAla-antarEH SuBEH &
   sadvitānapatākāḍhyaṃ % sragmālālaṃkṛtaṃ puram // VT_33 //	sat-vitAna-patAkA-AXyam % sragmAla-alaMkRtam puram // VT_33 //
   pradīptadīpakair dikṣu $ samantād avabhāsitam &	pradIpta-dIpakEH dikzu $ samantAt avaBAsitam &
   nānābhakṣyānnapānaiś ca % svādubhir vyañjanais tathā // VT_34 //	nAnA-Bakzya-anna-pAnEH ca % svAduBiH vyaQjanEH taTA // VT_34 //
   phalair nānāvidhaiś caiva $ paritaḥ paryavasthitaiḥ &	PalEH nAnAviDEH ca-eva $ paritas paryavasTitEH &
   kalaśair vāripūrṇaiś ca % daśadikṣu vyavasthitaiḥ // VT_35 //	kalaSEH vAri-pUrNEH ca % daSa-dikzu vyavasTitEH // VT_35 //
   cūtapallavasaṃvītaiḥ $ sragmālālaṃkṛtaiḥ śubhaiḥ &	cUta-pallava-saMvItEH $ sragmAla-alaMkRtEH SuBEH &
   evaṃ yaṣṭvā yathānyāyaṃ % śiṣyān āprokṣya vāriṇā // VT_36 //	evam yazwvA yaTAnyAyam % SizyAn Aprokzya vAriNA // VT_36 //
   sāvitryā mukham āsādya $ vāsasā sakalīkṛtān &	sAvitryAH muKam AsAdya $ vAsasA sakalIkRtAn &
   svaiḥ svair bījair nyaset puṣpān % śiṣyāṇāṃ karayor dvayoḥ // VT_37 //	svEH svEH bIjEH nyaset puzpAn % SizyANAm karayoH dvayoH // VT_37 //
   jayāt praveśayen māyāṃ $ maṇḍalaṃ deśikottamaḥ &	jayAt praveSayet mAyAm $ maNxalam deSika-uttamaH &
   praveśya tatra śiṣyaṃ tu % dvitricatuḥpañca eva vā // VT_38 //	praveSya tatra Sizyam tu % dvi-tri-catur-paQcaH eva vA // VT_38 //
   tato 'gnikāryaṃ kurvīta $ maṇḍalāt paścime bahiḥ &	tatas agni-kAryam kurvIta $ maNxalAt paScime bahis &
   ullikhyoddhṛtya sāvitryā % kuśān saṃstīrya sarvataḥ // VT_39 //	ulliKya-udDRtya sAvitryAH % kuSAn saMstIrya sarvatas // VT_39 //
   astrabījena cābhyukṣya $ gandhatoyena deśikaḥ &	astra-bIjena ca-aByukzya $ ganDa-toyena deSikaH &
   vahnim ādāya tenaiva % sāvitryā pūjayet tataḥ // VT_40 //	vahnim AdAya tena-eva % sAvitryA pUjayet tatas // VT_40 //
   tatas tattvatrayaṃ nyasya $ vahner eva yathākramam &	tatas tattva-trayam nyasya $ vahneH eva yaTAkramam &
   niruddhamāyātasmāttam % aṅkuśena nirodhayet // VT_41 //	nirudDa-mAyAtasmAt-tam % aFkuSena niroDayet // VT_41 //
   māyayācchādayet paścād $ astreṇaiva prabodhayet &	mAyayA-AcCAdayet paScAt $ astreNa-eva praboDayet &
   homadravyasya sarvasya % kuryāt tenaiva śodhanam // VT_42 //	homa-dravyasya sarvasya % kuryAt tena-eva SoDanam // VT_42 //
   tataś ca sarpiṣo homaṃ $ vidhivat kārayed budhaḥ &	tatas ca sarpizaH homam $ viDivat kArayet buDaH &
   svabījair eva tad dhutvā % dīkṣāṃ śiṣyasya kārayet // VT_43 //	sva-bIjEH eva tat DutvA % dIkzAm Sizyasya kArayet // VT_43 //
   saṃyojya vidhivad bījair $ mahābhūteṣu pañcasu &	saMyojya viDivat bIjEH $ mahABUtezu paQcasu &
   sakale tattvaṃ saṃyojya % pariṣṭhāpya pare 'dhvani // VT_44 //	sakale tattvam saMyojya % parizWApya pare aDvani // VT_44 //
   niyoktavyaṃ tatas tatra $ yatrāsavāṃsvaraparam? &	niyoktavyam tatas tatra $ yatra-Asa-vAMsvara-param? &
   eṣā dīkṣā ya thānyāyaṃ % bhuktimuktiphalapradā // VT_45 //	ezA dIkzA yaH TAnyAyam % Bukti-mukti-Pala-pradA // VT_45 //
   tair eva pañcabhis tattvaṃ $ sakale sakalātmikā &	tEH eva paQcaBiH tattvam $ sakale sakala-AtmikA &
   niṣkale niṣkalā proktā % sādhikārādhvanaḥ purā // VT_46 //	nizkale nizkalA proktA % sADikAra-aDvanaH purA // VT_46 //
   dīkṣayitvā tataḥ śiṣyān $ sādhikārapare sthitān &	dIkzayitvA tatas SizyAn $ sADikAra-pare sTitAn &
   abhiṣicya svabījais tu % bījān tebhyaḥ pradāpayet // VT_47 //	aBizicya sva-bIjEH tu % bIjAn teByaH pradApayet // VT_47 //
   nivedya samayān tasya $ hṛnmudrāṅgulidarśanāt &	nivedya samayAn tasya $ hRd-mudrA-aFguli-darSanAt &
   anujñāṃ sādhakendrasya % tasya dadyān mahātmanā // VT_48 //	anujQAm sADaka-indrasya % tasya dadyAt mahAtmanA // VT_48 //
   tataḥ svavidyānaivedyaṃ $ bhakṣayet sādhakottamaḥ &	tatas sva-vidyA-nEvedyam $ Bakzayet sADaka-uttamaH &
   devyaḥ prītā bhavanty eva % avaśiṣṭaṃ jale kṣipet // VT_49 //	devyaH prItAH Bavanti eva % avaSizwam jale kzipet // VT_49 //
   ācāryaṃ pūjayed bhaktyā $ sarvasvenāpare vidhā? &	AcAryam pUjayet BaktyA $ sarva-svena-apare viDA? &
   praṇāmaiḥ śaktidānaiś ca % yena vā tuṣyate guruḥ // VT_50 //	praNAmEH Sakti-dAnEH ca % yena vA tuzyate guruH // VT_50 //
   sragvī sitoṣṇīṣī caiva $ sarvālaṃkārabhūṣitaḥ &	sragvI sita-uzNIzI ca-eva $ sarva-alaMkAra-BUzitaH &
   uccāsanasthaḥ prāgvaktraḥ % kalpayet koṣamaṇḍale // VT_51 //	ucca-Asana-sTaH prAc-vaktraH % kalpayet koza-maNxale // VT_51 //
   gośakṛdbhasmaliptas tu $ śucau janavivarjite &	go-SakRt-Basma-liptaH tu $ SucO jana-vivarjite &
   susame bhūmideśe tu % prastāraṃ prastarec chuciḥ // VT_52 //	su-same BUmi-deSe tu % prastAram prastaret SuciH // VT_52 //
   caturasram ataḥ kṛtvā $ prastārarekham ujjvalam &	catur-asram atas kRtvA $ prastAra-reKam ujjvalam &
   kuryād ekonapañcāśat % koṣṭhakān tu samān śubhān // VT_53 //	kuryAt ekonapaQcASat % kozWakAn tu samAn SuBAn // VT_53 //
   śatārdhārdhāsanāsīnaṃ $ pañcavargāntabindukam &	Sata-arDa-arDa-Asana-AsInam $ paQcavarga-anta-bindukam &
   śikhāsambhinnamūrdhāntaṃ % kaṣākhyaṃ madhyakoṣṭhake // VT_54 //	SiKA-samBinna-mUrDa-antam % kazAKyam maDya-kozWake // VT_54 //
   vidigdikṣaṃsthakoṣṭheṣu $ tatpārśve bahir aṣṭasu &	vidiS-dikzaMsTa-kozWezu $ tad-pArSve bahis azwasu &
   yaśavargān nyased devi % aiśānyādiṣu tatkramāt // VT_55 //	yaSa-vargAn nyaset devi % ESAnI-Adizu tad-kramAt // VT_55 //
   āgneyādiṣu koṣṭheṣu $ napuṃsakacatuṣṭayam &	Agneya-Adizu kozWezu $ napuMsaka-catuzwayam &
   aiśānyādikramād devi % bījadvādaśakaṃ nyaset // VT_56 //	ESAnya-Adi-kramAt devi % bIja-dvAdaSakam nyaset // VT_56 //
   tṛtīyapaṭktikoṣṭheṣu $ caturthe pañcaviṃśakam &	tRtIya-pawkti-kozWezu $ caturTe paQcaviMSakam &
   aiśānyādiṣu koṣṭheṣu % bījāni kramaśo nyaset // VT_57 //	ESAnya-Adizu kozWezu % bIjAni kramaSas nyaset // VT_57 //
   prastāram evaṃ prastārya $ svaravarṇaṃ ca śobhane &	prastAram evam prastArya $ svara-varNam ca SoBane &
   bījaṣoḍaśakaṃ caiva % proddharet tu yathākramam // VT_58 //	bIja-zoxaSakam ca-eva % prodDaret tu yaTAkramam // VT_58 //
   kādipaṭktiṃ purākṛtya $ kramād vyastasamastakam &	kAdi-pawktim purA-AkRtya $ kramAt vyasta-samastakam &
   koṣṭhaikādaśabījena % saṃyuktaṃ pañcaviṃśakam // VT_59 //	kozWa-ekAdaSa-bIjena % saMyuktam paQcaviMSakam // VT_59 //
   ātmatattvam iti khyātaṃ $ vidyākhyaṃ catustriṃśakam &	Atma-tattvam iti KyAtam $ vidyA-AKyam catustriMSakam &
   śivatattvaṃ tu deveśi % triṃśakoṣṭheṣu saṃyutam // VT_60 //	Siva-tattvam tu deveSi % triMSa-kozWezu saMyutam // VT_60 //
   tattvatritayam etad dhi $ nyāsaṃ ca samudāhṛtam &	tattva-tritayam etat Di $ nyAsam ca samudAhRtam &
   binduyuktāny aśesāṇi % nyastavyāni yathākramam // VT_61 //	bindu-yuktAni aSesANi % nyastavyAni yaTAkramam // VT_61 //
   atra-siddhiḥ sthitā devi $ vijñeyā sādhakottamaiḥ &	atra--sidDiH sTitA devi $ vijQeyA sADaka-uttamEH &
   pañcaviṃśatikoṣṭhasthaṃ % prathamaṃ bījam ucyate // VT_62 //	paQcaviMSati-kozWa-sTam % praTamam bIjam ucyate // VT_62 //
   dvisaptakoṣṭhakaṃ bījaṃ $ dvitīyaṃ samudāhṛtam &	dvi-sapta-kozWakam bIjam $ dvitIyam samudAhRtam &
   tṛtīyam aṣṭakoṣṭhasthaṃ % binduyoniḥ caturthakam // VT_63 //	tRtIyam azwakozWa-sTam % bindu-yoniH caturTakam // VT_63 //
   caturviṃśatikoṣṭhasthaṃ $ pañcamaṃ bījam ucyate &	caturviMSati-kozWa-sTam $ paQcamam bIjam ucyate &
   bījāni devadevīnāṃ % nirṇītāni yathākramam // VT_64 //	bIjAni deva-devInAm % nirNItAni yaTAkramam // VT_64 //
   kālabaddhānilair bījaiḥ $ kalāyatheṣṭhayā yutam &	kAla-badDa-anilEH bIjEH $ kalA-yaTezWayA yutam &
   [em. Sanderson: kālavahnyanilair bījaiḥ kalayā ṣaṣṭhayā yutam]	[em. SandeH-son: kAla-vahni-anilEH bIjEH kalayA zazWayA yutam]
   ardhendu binduśikhayā % saṃnibhāni krameṇa tu // VT_65 //	arDa-indu bindu-SiKayA % saMniBAni krameNa tu // VT_65 //
   [em. Sanderson: ardhendubinduśikhayā saṃbhinnāni yathākramam]	[em. SandeH-son: arDa-indu-bindu-SiKayA saMBinnAni yaTAkramam]
   bījapañcakam uddhṛtya $ kathitaṃ devi te kramāt &	bIja-paQcakam udDRtya $ kaTitam devi te kramAt &
   kūṭasthās tu smṛtā bījāḥ % pañca caiva varānane // VT_66 //	kUwasTAH tu smRtAH bIjAH % paQca ca-eva varAnane // VT_66 //
   bījapañcakam abhyasya $ sarvakāmaphalapradam &	bIja-paQcakam aByasya $ sarva-kAma-Pala-pradam &
   yajanaṃ sampravakṣyāmi % sarvasiddhipradāyakam // VT_67 //	yajanam sampravakzyAmi % sarva-sidDi-pradAyakam // VT_67 //
   karasaṃskāram ādau tu $ kṛtvānena krameṇa tu &	kara-saMskAram AdO tu $ kRtvA-anena krameNa tu &
   vakṣyamāṇena cānena % digbandhaśodhyam eva hi // VT_68 //	vakzyamANena ca-anena % digbanDa-SoDyam eva hi // VT_68 //
