   (Gv 1)	(Gu 1)
   // Gaṇḍavyūhasūtram //	// GaNxavyUha sUtram //
   1 // nidānaparivartaḥ /	1 // nidAna parivartaH /
   // om namaḥ sarvabuddhabodhisattvebhyaḥ //	// om namaH sarva budDa boDisattveByaH //
   evaṃ mayā śrutam / ekasmin samaye bhagavān śrāvastyāṃ viharati sma	evam mayA Srutam / ekasmin samaye BagavAn SrAvastyAm viharati sma
   jetavane 'nāthapiṇḍadasyārāme mahāvyūhe kūṭāgāre sārdhaṃ	jetavane anATapiNxadasya ArAme mahA vyUhe kUwAgAre sArDam
   pañcamātrairbodhisattvasahasraiḥ	paQca mAtrEH boDisattva sahasrEH
   samantabhadramañjuśrībodhisattvapūrvaṃgamaiḥ / yaduta jñānottarajñāninā ca	samantaBadra maQju SrI boDisattva pUrvaMgamEH / yat uta jQAna uttara jQAninA ca
   bodhisattvena mahāsattvena / sattvottarajñāninā ca / asaṅgottarajñāninā ca	boDisattvena mahAsattvena / sattva uttara jQAninA ca / asaFga uttara jQAninA ca
   / kusumottarajñāninā ca / sūryottarajñāninā ca / candrottarajñāninā ca /	/ kusumottara jQAninA ca / sUrya uttara jQAninA ca / candrottara jQAninA ca /
   vimalottarajñāninā ca / vajrottarajñāninā ca / virajottarajñāninā ca /	vimala uttara jQAninA ca / vajra uttara jQAninA ca / viraja uttara jQAninA ca /
   vairocanottarajñāninā (Gv 2) ca / bodhisattvena mahāsattvena //	vErocana uttara jQAninA (Gu 2) ca / boDisattvena mahAsattvena //
   jyotirdhvajena ca / merudhvajena ca / ratnadhvajena ca / asaṅgadhvajena ca	jyotiH Dvajena ca / meru Dvajena ca / ratna Dvajena ca / asaFga Dvajena ca
   / kusumadhvajena ca / vimaladhvajena ca / sūryadhvajena ca /	/ kusuma Dvajena ca / vimala Dvajena ca / sUryaDvajena ca /
   ruciradhvajena ca / virajadhvajena ca / vairocanadhvajrena ca	rucira Dvajena ca / viraja Dvajena ca / vErocana Dvajrena ca
   bodhisattvena mahāsattvena // ratnatejasā ca / mahātejasā ca /	boDisattvena mahAsattvena // ratna tejasA ca / mahA tejasA ca /
   jñānavajratejasā ca / vimalatejasā ca / dharmasūryatejasā ca /	jQAna vajra tejasA ca / vimala tejasA ca / Darma sUrya tejasA ca /
   puṇyaparvatatejasā ca / jñānāvabhāsatejasā ca / samantaśrītejasā ca /	puNya parvata tejasA ca / jQAna avaBAsa tejasA ca / samantaSrI tejasA ca /
   samantaprabhatejasā ca / samantaprabhaśrītejasā ca bodhisattvena	samanta praBa tejasA ca / samanta praBa SrI tejasA ca boDisattvena
   mahāsattvena // dhāraṇīgarbheṇa ca / gaganagarbheṇa ca / padmagarbheṇa ca	mahAsattvena // DAraNI garBeNa ca / gagana garBeNa ca / padma garBeNa ca
   / ratnagarbheṇa ca / sūryagarbheṇa ca / guṇaviśuddhigarbheṇa ca /	/ ratna garBeNa ca / sUrya garBeNa ca / guNa viSudDi garBeNa ca /
   dharmasamudragarbheṇa ca / vairocanagarbheṇa ca / nābhigarbheṇa ca /	Darma samudra garBeNa ca / vErocana garBeNa ca / nABi garBeNa ca /
   padmaśrīgarbheṇa ca bodhisattvena mahāsattvena // sunetreṇa ca /	padma SrI garBeNa ca boDisattvena mahAsattvena // sunetreNa ca /
   viśuddhanetreṇa ca / vimalanetreṇa ca / asaṅganetreṇa ca /	viSudDa netreNa ca / vimala netreNa ca / asaFga netreNa ca /
   samantadarśananetreṇa ca / suvilokitanetreṇa ca / avalokitanetreṇa ca /	samanta darSana netreNa ca / su vilokita netreNa ca / avalokita netreNa ca /
   utpalanetreṇa ca / vajranetreṇa ca / ratnanetreṇa ca / gagananetreṇa ca /	utpala netreNa ca / vajra netreNa ca / ratna netreNa ca / gagana netreNa ca /
   samantanetreṇa ca bodhisattvena mahāsattvena // devamukuṭena ca /	samantanetreNa ca boDisattvena mahAsattvena // deva mukuwena ca /
   dharmadhātupratibhāsamaṇimukuṭena ca / bodhimaṇḍamukuṭena ca /	DarmaDAtu pratiBAsa maNi mukuwena ca / boDimaNxa mukuwena ca /
   digvairocanamukuṭena ca / sarvabuddhasaṃbhūtagarbhamaṇimukuṭena ca /	diS vErocana mukuwena ca / sarva budDa saMBUta garBa maNi mukuwena ca /
   sarvalokadhātūdgatamukuṭena ca / samantavairocanamukuṭena ca /	sarva loka DAtu udgata mukuwena ca / samanta vErocana mukuwena ca /
   anabhibhūtamukuṭena ca / sarvatathāgatasiṃhāsanasaṃpratiṣṭhitamaṇimukuṭena	anaBiBUta mukuwena ca / sarva taTAgata siMhAsana saMpratizWita maNi mukuwena
   ca / samantadharmadhātugaganapratibhāsamukuṭena ca bodhisattvena	ca / samanta Darma DAtu gagana pratiBAsa mukuwena ca boDisattvena
   mahāsattvena // brahmendracuḍena ca / nāgendracūḍena ca /	mahAsattvena // brahma indra cuxena ca / nAga indra cUxena ca /
   sarvabuddhanirmāṇapratibhāsacūḍena ca / bodhimaṇḍacūḍena ca /	sarva budDa nirmANa pratiBAsa cUxena ca / boDimaNxa cUxena ca /
   sarvapraṇidhānasāgaranirghoṣamaṇirājacūḍena ca /	sarva praNiDAna sAgara nirGoza maNi rAja cUxena ca /
   sarvatathāgataprabhāmaṇḍalapramuñcanamaṇiratnanigarjitacūḍena ca /	sarva taTAgata praBA maNxala pramuQcana maNi ratna nigarjita cUxena ca /
