   Mahāmantrānusāriṇī	MahAmantra-anusAriNI
   C.0.1. oṃ namo bhagavatyai āryamahāmantrānusāriṇyai / namo vidyārājāya /	C.0.1. om namaH BagavatyE Arya-mahA-mantra-anusAriNyE / namaH vidyA-rAjAya /
   namaḥ samantabuddhānāṃ //	namaH samantabudDAnAm //
   C.1.1.a. evaṃ mayā śrutam ekasmin samaye bhagavān rājagṛhe viharati sma /	C.1.1.a. evam mayA Srutam ekasmin samaye BagavAn rAjagRhe viharati sma /
   veṇuvane karandakanivāpe /	veNu-vane karandaka-nivApe /
   C.1.1.b. evaṃ mayā śrutam ekasmin samaye bhagavān vaiśālyṃ viharati sma /	C.1.1.b. evam mayA Srutam ekasmin samaye BagavAn vESAlym viharati sma /
   markaṭahradatīrekū ṭāgāraśālāyaṃ	markawa-hradatI-rekU wAgAra-SAlAyam
   C.1.2. tatra bhagavān āyuṣmantam ānandam āmantrayate sma / āgamayānanda	C.1.2. tatra BagavAn Ayuzmantam Anandam Amantrayate sma / Agamaya-Ananda
   yena vaiśālīti / evaṃ bhadante ty āyuṣmān ānando bhagavataḥ pratyaśrauṣīt	yena vESAlI-iti / evam Badante ti AyuzmAn AnandaH BagavataH pratyaSrOzIt-
   / atha bhagavān vṛjiṣu janapadeṣu janapadacārikāñ caran vaiśālīm anuprāpto	/ aTa BagavAn vRjizu janapadezu janapada-cArikAn caran vESAlIm anuprAptaH-
   vaiśālyāṃ viharaty āmrapālīvane /	vESAlyAm viharati Amra-pAlI-vane /
   C.1.3. tatra bhagavān āyuṣmantam ānandam āmantrayate sma / gacchānanda	C.1.3. tatra BagavAn Ayuzmantam Anandam Amantrayate sma / gacCa-Ananda
   vaiśālīṃ gatvā indrakīle pādaṃ sthāpayitvā imāni mahāmantrānusāriṇī	vESAlIm gatvA indrakIle pAdam sTApayitvA imAni mahA-mantra-anusAriNI
   mantrapadāni bhāṣasva / imāś ca gāthāḥ /	mantra-padAni BAzasva / imAH ca gATAH /
   C.2.1. visarata visarata visarata visarata visarata /	C.2.1. visarata visarata visarata visarata visarata /
   C.2.2. buddho lokānukampaka ājñāpayati / sarvabuddhānumatena /	C.2.2. budDaH loka-anukampakaH AjQApayati / sarva-budDa-anumatena /
   sarvapratyekabuddhānumatena / sarvārhadānumatena (AFGH:	sarva-pratyekabudDa-anumatena / sarva-arha-dAnumatena (a-aFGH:
   sarvabhūtānumatena) sarvaśaikṣānumatena / sarvaśrāvakānumatena /	sarva-BUta-anumatena) sarva-SEkzA-anumatena / sarva-SrAvaka-anumatena /
   sarvasatyavākyānumatena / pratyekabrahmānumatena / brahmānumatena /	sarva-satya-vAkya-anumatena / pratyeka-brahma-anumatena / brahma-anumatena /
   kāmeśvarānumatena / indrānumatena / devānumatena / asurendrānumatena /	kAmeSvara-anumatena / indra-anumatena / deva-anumatena / asura-indra-anumatena /
   sarvāsurānumatena / asurapreṣyānumatena / sarvabhūtānumatena /	sarva-asura-anumatena / asura-prezya-anumatena / sarva-BUta-anumatena /
   C.2.3. visarata visarata visarata visarata visarata /	C.2.3. visarata visarata visarata visarata visarata /
   C.2.4. buddho lokānukampaka ājñāpayati / mūmcata mūmcata mūmcata mūmcata /	C.2.4. budDaH loka-anukampakaH AjQApayati / mUmcata mUmcata mUmcata mUmcata /
   mā tiṣṭhantu / ītir vyupaśāmyatu / nirgacchata nirgacchata nirgacchata /	mA tizWantu / ItiH vyupaSAmyatu / nirgacCata nirgacCata nirgacCata /
   C.2.5. buddhaḥ praviśati mahādevo devātidevo devaguruḥ sendrakāś ca devāḥ	C.2.5. budDaH praviSati mahAdevaH deva-atidevaH deva-guruH sa-indrakAH ca devAH
   sabrahmakāḥ saprajāpatikāś catvāraś ca lokapālāḥ praviśanti anekāni ca	sa-brahmakAH sa-prajApatikAH catvAraH ca lokapAlAH praviSanti anekAni ca
   devatāsahasrāṇy asurendrāś ca / anekāni ca asurasahasrāṇi prativasanti /	devatA-sahasrANi asura-indrAH ca / anekAni ca asura-sahasrANi prativasanti /
   bahūni ca bhūtasahasrāṇi bhagavato 'bhiprasannāni pravekṣyanti	bahUni ca BUta-sahasrANi BagavataH aBiprasannAni pravekzyanti
   sarvasatvānām arthe /	sarva-satvAnAm arTe /
   C.2.6. te vo mānarthaṃ kariṣyanti / nirgacchata nirgacchata nirgacchata	C.2.6. te vaH mA-anarTam karizyanti / nirgacCata nirgacCata nirgacCata
   nirgacchata / kṣiptaṃ palāyata / yadi yūyaṃ duṣṭacittā na palāyeta naśyeta	nirgacCata / kziptam palAyata / yadi yUyam duzwa-cittA na palAyeta naSyeta
   / ye maitracittā nāparādhukāmā rakṣāṃ cānuvartayitukāmās te tiṣṭhantu	/ ye mEtra-cittAH na-aparADu-kAmAH rakzAm ca-anuvartayitu-kAmAH te tizWantu
   mataṃ ca praviśantu /	matam ca praviSantu /
   C.2.7. buddho lokānukampaka evam ājñāpayati /	C.2.7. budDaH loka-anukampakaH evam AjQApayati /
   C.2.8. sumuru 4 suru 4 huru 4 mu 4 praviśati / muru 8 miri 6 muru miri 13	C.2.8. su-muru 4 suru 4 huru 4 mu 4 praviSati / muru 8 miri 6 muru miri 13
   muru mirīti 6 ri 6 rī 6 miri 6 tiri hasa miri ti mirī ri miri kartā karaṃ	muru mirI-iti 6 ri 6 rI 6 miri 6 tiri hasa miri ti mirI ri miri kartA karam
   kartā kaṃkarā karakacā / kaṃkarā 8 kaṃkaro caṃkariti kurīśe / kaṃkari 3	kartA kaMkarA karakacA / kaMkarAH 8 kaMkaraH caMkariti kurISe / kaMkari 3
