   BhP_07.01.001/0 śrīrājovāca	BhP_07.01.001/0 SrI-rAjA-uvAca
   BhP_07.01.001/1 samaḥ priyaḥ suhṛdbrahman bhūtānāṃ bhagavān svayam	Bhu-_07.01.001/1 samaH priyaH suhRd-brahman BUtAnAm BagavAn svayam
   BhP_07.01.001/2 indrasyārthe kathaṃ daityān avadhīdviṣamo yathā	Bhu-_07.01.001/2 indrasya-arTe kaTam dEtyAn avaDIt-vizamaH yaTA
   BhP_07.01.002/1 na hyasyārthaḥ suragaṇaiḥ sākṣān niḥśreyasātmanaḥ	Bhu-_07.01.002/1 na hi-asya-arTaH sura-gaNEH sAkzAt niHSreyasa-AtmanaH
   BhP_07.01.002/2 naivāsurebhyo vidveṣo nodvegaścāguṇasya hi	Bhu-_07.01.002/2 na-eva-asureByaH vidvezaH na-udvegaH-ca-aguNasya hi
   BhP_07.01.003/1 iti naḥ sumahābhāga nārāyaṇaguṇān prati	Bhu-_07.01.003/1 iti naH su-mahABAga nArAyaNa-guNAn prati
   BhP_07.01.003/2 saṃśayaḥ sumahān jātastadbhavāṃśchettumarhati	Bhu-_07.01.003/2 saMSayaH su-mahAn jAtaH-tad-BavAn=-Cettum-arhati
   BhP_07.01.004/0 śrīṛṣiruvāca	BhP_07.01.004/0 SrIRziH-uvAca
   BhP_07.01.004/1 sādhu pṛṣṭaṃ mahārāja hareścaritamadbhutam	Bhu-_07.01.004/1 sADu pRzwam mahA-rAja hareH-caritam-adButam
   BhP_07.01.004/2 yadbhāgavatamāhātmyaṃ bhagavadbhaktivardhanam	Bhu-_07.01.004/2 yat-BAgavata-mAhAtmyam Bagavat-Bakti-varDanam
   BhP_07.01.005/1 gīyate paramaṃ puṇyamṛṣibhirnāradādibhiḥ	Bhu-_07.01.005/1 gIyate paramam puNyam-RziBiH-nArada-AdiBiH
   BhP_07.01.005/2 natvā kṛṣṇāya munaye kathayiṣye hareḥ kathām	Bhu-_07.01.005/2 natvA kRzNAya munaye kaTayizye hareH kaTAm
   BhP_07.01.006/1 nirguṇo 'pi hyajo 'vyakto bhagavān prakṛteḥ paraḥ	BhP_07.01.006/1 nirguNaH api hi-ajaH avyaktaH BagavAn prakRteH paraH
   BhP_07.01.006/2 svamāyāguṇamāviśya bādhyabādhakatāṃ gataḥ	Bhu-_07.01.006/2 sva-mAyA-guNam-AviSya bADya-bADaka-tAm gataH
   BhP_07.01.007/1 sattvaṃ rajastama iti prakṛternātmano guṇāḥ	Bhu-_07.01.007/1 sattvam rajaH-tamaH iti prakRteH-na-AtmanaH guNAH
   BhP_07.01.007/2 na teṣāṃ yugapadrājan hrāsa ullāsa eva vā	Bhu-_07.01.007/2 na tezAm yugapad-rAjan hrAsaH ullAsaH eva vA
   BhP_07.01.008/1 jayakāle tu sattvasya devarṣīn rajaso 'surān	Bhu-_07.01.008/1 jaya-kAle tu sattvasya deva-rzIn rajasaH asurAn
   BhP_07.01.008/2 tamaso yakṣarakṣāṃsi tatkālānuguṇo 'bhajat	Bhu-_07.01.008/2 tamasaH yakza-rakzAMsi tad-kAla-anuguNaH aBajat-
   BhP_07.01.009/1 jyotirādirivābhāti saṅghātān na vivicyate	BhP_07.01.009/1 jyotiH-AdiH-iva-ABAti saFGAtAt na vivicyate
   BhP_07.01.009/2 vidantyātmānamātmasthaṃ mathitvā kavayo 'ntataḥ	Bhu-_07.01.009/2 vidanti-AtmAnam-Atma-sTam maTitvA kavayaH antatas-
   BhP_07.01.010/1 yadā sisṛkṣuḥ pura ātmanaḥ paro rajaḥ sṛjatyeṣa pṛthak	Bhu-_07.01.010/1 yadA sisRkzuH puras AtmanaH paraH rajaH sRjati-eza pRTak-
   svamāyayā	sva-mAyayA
   BhP_07.01.010/2 sattvaṃ vicitrāsu riraṃsurīśvaraḥ śayiṣyamāṇastama	Bhu-_07.01.010/2 sattvam vicitrAsu riraMsuH-ISvaraH SayizyamANaH-tama
   īrayatyasau	Irayati-asO
   BhP_07.01.011/1 kālaṃ carantaṃ sṛjatīśa āśrayaṃ pradhānapumbhyāṃ naradeva	Bhu-_07.01.011/1 kAlam carantam sRjati-ISaH ASrayam praDAna-pumByAm naradeva
   satyakṛt	satya-kRt-
