   (Vaidya 97)	(VEdyaH 97)
   Prajñāpāramitāhṛdayasūtram | [saṃkṣiptamātṛkā ||]	PrajQApAramitA-hRdaya-sUtram | [saMkzipta-mAtRkAH ||]
   namaḥ sarvajñāya ||	namaH sarvajQAya ||
   āryāvalokiteśvarabodhisattvo gambhīrāyāṃ prajñāpāramitāyāṃ caryāṃ caramāṇo	Arya-avalokita-ISvara-boDisattvaH gamBIrAyAm prajQApAramitAyAm caryAm caramANaH-
   vyavalokayati sma | pañca skandhāḥ, tāṃśca svabhāvaśūnyān paśyati sma ||	vyavalokayati sma | paQca skanDAH, tAn=-ca svaBAva-SUnyAn paSyati sma ||
   iha śāriputra rūpaṃ śūnyatā, śūnyataiva rūpam | rūpānna pṛthak śūnyatā,	iha SAriputra rUpam SUnyatA, SUnyatA-eva rUpam | rUpAt-na pRTak SUnyatA,
   śūnyatāyā na pṛthag rūpam | yadrūpaṃ sā śūnyatā, yā śūnyatā tadrūpam ||	SUnyatAyAH na pRTak rUpam | yat-rUpam sA SUnyatA, yA SUnyatA tad-rUpam ||
   evameva vedanāsaṃjñāsaṃskāravijñānāni ||	evam-eva vedanA-saMjQA-saMskAra-vijQAnAni ||
   ihaṃ śāriputra sarvadharmāḥ śūnyatālakṣaṇā anutpannā aniruddhā amalā na	iham SAriputra sarva-DarmAH SUnyatA-lakzaNAH anutpannAH anirudDAH amalAH na
   vimalā nonā na paripūrṇāḥ | tasmācchāriputra śūnyatāyāṃ na rūpam, na	vimalAH na-UnAH na paripUrNAH | tasmAt-SAriputra SUnyatAyAm na rUpam, na
   vedanā, na saṃjñā, na saṃskārāḥ, na vijñānāni | na	vedanA, na saMjQA, na saMskArAH, na vijQAnAni | na
   cakṣuḥśrotraghrāṇajihvākāyamanāṃsi, na	cakzuH-Srotra-GrANa-jihvA-kAyamanAMsi, na
   rūpaśabdagandharasaspraṣṭavyadharmāḥ | na cakṣurdhāturyāvanna manodhātuḥ	rUpa-Sabda-ganDa-rasa-sprazwavya-DarmAH | na cakzuH-DAtuH-yAvat-na manaH-DAtuH
   na vidyā nāvidyā na vidyākṣayo nāvidyākṣayo yāvanna jarāmaraṇaṃ na	na vidyA na-avidyA na vidyA-kzayaH na-avidyA-kzayaH yAvat-na jarA-maraNam na
   jarāmaraṇakṣayo na duḥkhasamudayanirodhamārgā na jñānaṃ na prāptitvam ||	jarA-maraNa-kzayaH na duHKa-samudaya-niroDa-mArgAH na jQAnam na prApti-tvam ||
   bodhisattvasya(śca?) prajñāpāramitāmāśritya viharati cittāvaraṇaḥ |	boDisattvasya(H-ca?) prajQApAramitAm-ASritya viharati citta-AvaraNaH |
   cittāvaraṇanāstitvādatrasto viparyāsātikrānto niṣṭhanirvāṇaḥ |	citta-AvaraNa-nAstitvAt-atrastaH viparyAsa-atikrAntaH nizWa-nirvANaH |
   tryadhvavyavasthitāḥ sarvabuddhāḥ prajñāpāramitāmāśritya anuttarāṃ	tri-aDva-vyavasTitAH sarva-budDAH prajQApAramitAm-ASritya anuttarAm
   samyaksaṃbodhimabhisaṃbuddhāḥ ||	samyaksaMboDim-aBisaMbudDAH ||
   tasmājjñātavyaḥ prajñāpāramitāmahāmantro mahāvidyāmantro 'nuttaramantro	tasmAt-jQAtavyaH prajQApAramitA-mahA-mantraH mahAvidyA-mantraH anuttara-mantraH-
   'samasamamantraḥ sarvaduḥkhapraśamanaḥ satyamamithyatvāt	asama-sama-mantraH sarva-duHKa-praSamanaH satyam-amiTya-tvAt
   prajñāpāramitāyāmukto mantraḥ | tadyathā - gate gate pāragate pārasaṃgate	prajQApAramitAyAm-uktaH mantraH | tat-yaTA  gate gate pAra-gate pAra-saMgate
   bodhi svāhā ||	boDi svAhA ||
   iti prajñāpāramitāhṛdayasūtraṃ samāptam ||	iti prajQApAramitA-hRdaya-sUtram samAptam ||
