   namas+buddhāya	namas+budDAya
   nānākavīndravacanāni manoharāṇi saṃkhyāvatām+paramakaṇṭhavibhūṣaṇāni /	nAnA kavIndra vacanAni manoharANi saMKyA avatAm+parama kaNWa viBUzaNAni /
   ākampakāni śirasas+ca mahākavīnām+teṣām+samuccayam+anargham+aham+vidhāsye	AkampakAni Sirasas+ca mahA kavInAm +tezAm +samuccayam+anarGam +aham +viDAsye
   // VidSrk_0.1 *(1) //	// Vit Srj _0.1 *(1) //
   sugatavrajyā	sugata vrajyA
   ābāhūdgatamaṇḍalāgrarucayas+saṃnaddhavakṣaḥsthalās+	AbAhu udgata maNxala agra rucayas+ saMnadDa vakzaH sTalAs+
   soṣmāṇas+vraṇinas+vipakṣahṛdayapronmāthinas+karkaśās+ /	sa UzmANas+vraNina s+ vipakza hRdaya pronmATina s+ karkaSAs+ /
   utsṛṣṭāmbaradṛṣṭavigrahabharās+yasya smarāgresarās+	utsRzwa ambara dRzwa vigraha BarAs+yasya smara agresarAs+
   mārās+māravadhūstanās+ca na dadhus+kṣobham+sa vas+avyāt+jinas+ //	mArA s+mAra vaDUH tanAs+ca na daDu s+kzoBam+sa vas+a vyAt+ jinas+ //
   VidSrk_1.1 *(2) //	Vit Srj _1.1 *(2) //
   aśvaghoṣasya	aSva Gozasya
   namrās+pādanakheṣu yasya daśasu brahmeśakṛṣṇās+trayas+	namrA s+pAda naKezu yasya daSasu brahma ISa kRzNAs+trayas+
   te devās+pratibimbanāt+tridaśatām+suvyaktam+āpedire /	te devAs+ pratibimbanAt+ tridaSa tAm+su vyaktam+Apedire /
   sa trailokyagurus+sudustarabhavākūpārapāraṃgatas+	sa trElokya guru s+su dustara Bava akUpAra pAraMgata s+
   māravyūhajayapragalbhasubhaṭas+śāstā tava stāt+mude // VidSrk_1.2 *(3) //	mAra vyUha jaya pragalBa su Bawa s+SAstA tava stAt+m ude // Vit Srj _1.2 *(3) //
   vasukalpasya	vasu kalpasya
   kāmakrodhau dvayam+api padam+pratyanīkam+vaśitve	kAma kroDO dvayam +api padam +pratyanIkam +vaSi tve
   hatvā+anaṅgam+kim+iva hi ruṣā sādhitam+tryambakeṇa /	hatvA a+anaFgam +kim+iva hi ruzA sADitam+tryambakeNa /
   yas+tu kṣāntyā śamayati śatam+manmathādyān+arātīn+	yas+tu kzAntyA Samayati Satam+manmaTa adyAn +arAtIn +
