   Madhusūdanasarasvatī: Siddhāntabindu	MaDusUdana-sarasvatI: SidDAnta-bindu
   atha siddhāntabindu	aTa sidDAnta-bindu
   upodghātaḥ	upodGAtaH
        śrīśaṅkarācāryanavāvatāraṃ	SrI-SaFkara-AcArya-nava-avatAram
        viśveśvaraṃ viśvaguruṃ praṇamya /	viSveSvaram viSva-gurum praNamya /
        vedāntaśāstraśravaṇālasānāṃ	vedAnta-SAstra-SravaNa-alasAnAm
        bodhāya kurve kam api prayatnam //	boDAya kurve kam api prayatnam //
   iha khalu sākṣātparamparayā vā sarvān eva jīvān samuddidhīrṣur bhagavān	iha Kalu sAkzAt-paramparayA vA sarvAn eva jIvAn samuddiDIrzuH BagavAn
   śrīmacchaṅkaro 'nātmabhyo vivekenātmānaṃ nityaśuddhabuddhamuktasvabhāvaṃ	SrImat-SaFkaraH anAtmaByaH vivekena-AtmAnam nitya-SudDa-budDa-mukta-svaBAvam
   saṃkṣepeṇa bodhayituṃ daśaślokīṃ praṇināya /	saMkzepeNa boDayitum daSaSlokIm praNinAya /
   nanv idaṅkārāspadebhyo 'nātmabhyo vivekenāhaṅkārāspadam ātmānaṃ sarvo loko	nanu idaFkAra-AspadeByaH anAtmaByaH vivekena-ahaFkAra-Aspadam AtmAnam sarvaH lokaH-
   'ham asmīti pratyeti duḥkhaṃ cānubhavati / tena jñātajñāpakatvān	aham asmi-iti pratyeti duHKam ca-anuBavati / tena jQAta-jQApaka-tvAn
   niṣprayojanakatvāc ca ātmatattvapratipādanaṃ vyartham iti cet, na,	nizprayojanaka-tvAt ca Atma-tattva-pratipAdanam vyarTam iti cet, na,
   cidbhāsyatvena lakṣaṇena idaṅkārāspadānām api dehendriyamanasāṃ	cit-BAsya-tvena lakzaNena idaFkAra-AspadAnAm api deha-indriya-manasAm
   pratibhāsato 'haṅkārāspadatvena tadavivekāt tena viśuddhe 'py ātmani	pratiBAsataH ahaFkAra-Aspada-tvena tad-avivekAt tena viSudDe api Atmani
   duḥkhitvādyabhimānāt śāstrīyeṇaiva brahmatmaikyajñānena samūlasya tasya	duHKi-tvA-Adi-aBimAnAt SAstrIyeNa-eva brahma-tmA-Ekya-jQAnena sa-mUlasya tasya
   nivṛtteḥ / tasmād ajñātajñāpakatvāt saprayojanakatvāc	nivRtteH / tasmAt ajQAta-jQApaka-tvAt sa-prayojanaka-tvAt-
