   (Vaidya 165)	(VEdyaH 165)
   Bhaiṣajyaguruvaidūryaprabharājasūtram |	BhEzajya-guru-vEdUrya-praBa-rAja-sUtram |
   oṃ namaḥ sarvajñāya | namo bhagavate bhaiṣajyaguruvaidūryaprabharājāya	om namaH sarvajQAya | namaH Bagavate BEzajya-guru-vEdUrya-praBarAjAya
   tathāgatāya ||	taTAgatAya ||
   evaṃ mayā śrutam | ekasmin samaye bhagavān janapadacaryāṃ caramāṇo	evam mayA Srutam | ekasmin samaye BagavAn janapada-caryAm caramANaH-
   'nupūrveṇa yena vaiśālī mahānagarī tenānuprāpto 'bhūt | tatra khalu	anupUrveNa yena vESAlI mahA-nagarI tena-anuprAptaH aBUt | tatra Kalu
   bhagavān vaiśālyāṃ viharati sma vādyasvaravṛkṣamūle mahatā bhikṣusaṃghena	BagavAn vESAlyAm viharati sma vAdya-svara-vRkza-mUle mahatA Bikzu-saMGena
   sārdham aṣṭabhirbikṣusahasraiḥ ṣaṭtriṃśadbhiś ca bodhisattvasahasraiḥ	sArDam azwaBiH-bikzu-sahasrEH zawtriMSadBiH ca boDisattva-sahasrEH
   sārdhaṃ rājāmātyabrāhmaṇagṛhapatisaṃhatyā	sArDam rAja-amAtya-brAhmaNa-gRhapati-saMhatyA
   devanāgayakṣagandharvāsuragaruḍakinnaramahoragamanuṣyāmanuṣyaparṣadā ca	deva-nAga-yakza-ganDarva-asura-garuxa-kinnara-mahA-uraga-manuzya-amanuzya-parzadA ca
   parivṛtaḥ puraskṛto dharmaṃ deśayati sma | atha khalu mañjuśrīr	parivRtaH puraskRtaH Darmam deSayati sma | aTa Kalu maQju-SrIH-
   dharmarājaputro buddhānubhāvenotthāyāsanād ekaṃsam uttarāsaṅgaṃ kṛtvā	DarmarAja-putraH budDa-anuBAvena-utTAya-AsanAt ekaMsam uttarAsaFgam kRtvA
   dakṣiṇaṃ jānumaṇḍalaṃ pṛthivyāṃ pratiṣṭhāpya yena bhagavāṃs tenāñjaliṃ	dakziNam jAnu-maNxalam pRTivyAm pratizWApya yena BagavAn tena-aQjalim
   praṇamya bhagavantam etad avocat - deśayatu bhagavaṃs teṣāṃ tathāgatānāṃ	praNamya Bagavantam etat avocat  deSayatu Bagavan tezAm taTAgatAnAm
   nāmāni, teṣāṃ pūrvapraṇidhānavistaravibhaṅgam | vayaṃ śrutvā	nAma-ani, tezAm pUrva-praNiDAna-vistara-viBaFgam | vayam SrutvA
   sarvakarmāvaraṇāni viśodhayema paścime kāle paścime samaye	sarva-karma-AvaraNAni viSoDayema paScime kAle paScime samaye
   saddharmapratirūpake vartamāne sattvānām anugraham upādāya | atha bhagavān	sat-Darma-pratirUpake vartamAne sattvAnAm anugraham upAdAya | aTa BagavAn
   mañjuśriye kumārabhūtāya sādhukāram adāt - sādhu sādhu mañjuśrīḥ,	maQju-Sriye kumAra-BUtAya sADu-kAram adAt  sADu sADu maQjuSrIH,
   mahākāruṇikas tvaṃ mañjuśrīḥ | tvam aprameyāṃ karuṇāṃ janayitvā	mahAkAruNikaH tvam maQjuSrIH | tvam aprameyAm karuNAm janayitvA
   samādhesase(?) nānākarmāvaraṇenāvṛtānāṃ sattvānām arthāya hitāya sukhāya	samADa-Isase(?) nAnA-karma-AvaraNena-AvRtAnAm sattvAnAm arTAya hitAya suKAya
   devamanuṣyāṇāṃ ca hitārthāya | tena hi tvaṃ mañjuśrīḥ śṛṇu, sādhu ca	deva-manuzyANAm ca hita-arTAya | tena hi tvam maQjuSrIH SRNu, sADu ca
   suṣṭhu ca manasi kuru, bhāṣiṣye | evaṃ bhagavan, iti mañjuśrīḥ kumārabhūto	suzWu ca manasi kuru, BAzizye | evam Bagavan, iti maQjuSrIH kumAra-BUtaH-
   bhagavataḥ pratyaśrauṣīt | bhagavāṃs tasyaitad avocat -	BagavataH pratyaSrOzIt | BagavAn tasya-etat avocat -
   asti mañjuśrīḥ pūrvasmin digbhāge ito buddhakṣetrād	asti maQjuSrIH pUrvasmin digBAge itas budDa-kzetrAd
   daśagaṅgānadīvālukāsamāni buddhakṣetrāṇy atikramya vaidūryanirbhāsā nāma	daSagaFgA-nadI-vAlukA-samAni budDa-kzetrANi atikramya vEdUrya-nirBAsA nAma
   lokadhātuḥ | tatra bhaiṣajyaguruvaidūryaprabho nāma tathāgato 'rhan	lokaDAtuH | tatra BEzajya-guru-vEdUrya-praBaH nAma taTAgataH arhan
   samyaksaṃbuddho viharati vidyācaraṇasaṃpannaḥ sugato lokavid anuttaraḥ	samyaksaMbudDaH viharati vidyA-caraNa-saMpannaH sugataH loka-vid anuttaraH
   puruṣadamyasārathiś ca śāstā devānāṃ manuṣyāṇāṃ ca buddho bhagavān| tasya	puruza-damya-sAraTiH ca SAstA devAnAm manuzyANAm ca budDaH BagavAn| tasya
   khalu punar mañjuśrīḥ bhagavato bhaiṣajyaguruvaidūryaprabhasya	Kalu punar maQjuSrIH BagavataH BEzajya-guru-vEdUrya-praBasya
   tathāgatasya pūrvaṃ bodhisattvacārikāṃ carata imāni dvādaśa	taTAgatasya pUrvam boDisattva-cArikAm carataH imAni dvAdaSa
   mahāpraṇidhānāny abhūvan | katamāni dvādaśa mahāpraṇidhānāni? prathamaṃ	mahApraNiDAnAni aBUvan | katamAni dvAdaSa mahA-praNiDAnAni? praTamam
   tasya mahāpraṇidhānam abhūt yadāham anāgate 'dhvani anuttarāṃ	tasya mahA-praNiDAnam aBUt yadA-aham anAgate aDvani anuttarAm
   samyaksaṃbodhim abhisaṃbudhyeyam, tadā mama śarīraprabhayā	samyaksaMboDim aBisaMbuDyeyam, tadA mama SarIra-praBayA
   aprameyāsaṃkhyeyāparimāṇā lokadhātavo bhrājeraṃs tapyeran viroceran |	aprameya-asaMKyeya-aparimANAH lokaDAtavaH BrAjeran tapyeran viroceran |
   yathā cāhaṃ dvātriṃśadbhir mahāpuruṣalakṣaṇaiḥ samanvāgataḥ, aśītibhiś	yaTA ca-aham dvAtriMSadBiH mahApuruza-lakzaNEH samanvAgataH, aSItiBiH-
   cānuvyañjanair alaṃkṛtadehaḥ, tathaiva sarvasattvā bhaveyuḥ || (dvitīyaṃ	ca-anuvyaQjanEH alaMkRta-dehaH, taTA-eva sarva-sattvAH BaveyuH || (dvitIyam
   tasya mahāpraṇidhānam abhūt - yadāham anāgate 'dhvani anuttarāṃ	tasya mahA-praNiDAnam aBUt  yadA-aham anAgate aDvani anuttarAm
   samyaksaṃbodhim abhisaṃbudhyeyam, tadā bodhiprāptasya ca me kāyaḥ	samyaksaMboDim aBisaMbuDyeyam, tadA boDi-prAptasya ca me kAyaH
   anarghavaidūryamaṇir iva antarbahiratyantapariśuddho vimalaprabhāsaṃpannaḥ	anarGa-vEdUrya-maNiH iva antar-bahis-atyanta-pariSudDaH vimala-praBA-saMpannaH
   syāt | vipulakāyas tadupamena śriyā tejasā ca pratyupasthitaḥ syāt |	syAt | vipula-kAyaH tad-upamena SriyA tejasA ca pratyupasTitaH syAt |
   tasyāṃśujālāni raviśaśikarānatikrameyuḥ te ca ye kecit sattvā lokadhātau	tasya-aMSu-jAlAni ravi-SaSi-kara-anatikrameyuH te ca ye kecid sattvAH lokaDAtO
   jātāś ca, ye cāpi puruṣāḥ, te tamisrāyāṃ ratrāvandhakāre nānādiśaṃ	jAtAH ca, ye ca-api puruzAH, te tamisrAyAm ratrO=-anDakAre nAnA-diSam
   gaccheyuḥ | sarvadikṣu mama ābhayāṃ spṛṣṭāḥ kuśalāni ca) karmāṇi kurvīran	gacCeyuH | sarva-dikzu mama ABayAm spRzwAH kuSalAni ca) karmANi kurvIran
   || tṛtīyaṃ tasya mahāpraṇidhānam abhūt - (BhgSū, Vaidya 166) yadāham	|| tRtIyam tasya mahA-praNiDAnam aBUt  (Bhj-SU, VEdyaH 166) yadA-aham
   anāgate - - - - - - tadā bodhiprāptasya ca me ye sattvā	anAgate       tadA boDi-prAptasya ca me ye sattvA
   aprameyaprajñopāyabalādhānena aparimāṇasya sattvadhātor akṣayāyopabhogāya	aprameya-prajQA-upAya-bala-ADAnena aparimANasya sattva-DAtoH akzayAya-upaBogAya
   paribhogāya syuḥ | kasyaci(t) sattvasya kenacid vaikalyaṃ na syāt ||	pariBogAya syuH | kasyaci(t) sattvasya kenacid vEkalyam na syAt ||
   caturthaṃ tasya mahāpraṇidhānam abhūt - yadāham anāgate - - - tadā	caturTam tasya mahA-praNiDAnam aBUt  yadA-aham anAgate    tadA
   bodhiprāpto 'haṃ ye kumārgapratipannāḥ sattvāḥ śrāvakamārgapratipannāḥ	boDi-prAptaH aham ye kumArga-pratipannAH sattvAH SrAvaka-mArga-pratipannAH
   pratyekabuddhamārgapratipannāś ca, te sattvā anuttare bodhimārge mahāyāne	pratyekabudDa-mArga-pratipannAH ca, te sattvAH anuttare boDi-mArge mahAyAne
   niyojayeran || pañcamaṃ tasya mahāpraṇidhānam abhūt - yadāham anāgate - -	niyojayeran || paQcamam tasya mahA-praNiDAnam aBUt  yadA-aham anAgate  -
   - tadā bodhiprāptasya ca me ye sattvā mama śāsane brahmacaryaṃ careyuḥ, te	 tadA boDi-prAptasya ca me ye sattvAH mama SAsane brahmacaryam careyuH, te
   sarve akhaṇḍaśīlāḥ syuḥ susaṃvṛtāḥ | mā ca kasyaci(t) śīlavipannasya mama	sarve aKaNxa-SIlAH syuH su-saMvRtAH | mA ca kasyaci(t) SIla-vipannasya mama
   nāmadheyaṃ śrutvā kvacid durgatigamanaṃ syāt || ṣaṣṭhaṃ tasya	nAmaDeyam SrutvA kvacid durgati-gamanam syAt || zazWam tasya
   mahāpraṇidhānam abhūt - yadāham anāgate - - - tadā bodhiprāptasya ca me ye	mahA-praNiDAnam aBUt  yadA-aham anAgate    tadA boDi-prAptasya ca me ye
   sattvā hīnakāyā vikalendriyā durvarṇā jaḍaiḍamūkā laṃgāḥ kubjāḥ śvitrāḥ	sattvAH hIna-kAyAH vikala-indriyAH durvarNAH jaxa-examUkAH laMgAH kubjAH SvitrAH
   kuṇḍā andhā badhirā unmattā ye cānye śarīrasthavyādhayaḥ, te mama	kuNxAH anDAH baDirAH unmattAH ye ca-anye SarIra-sTa-vyADayaH, te mama
   nāmadheyaṃ śrutvā sarve sakalendriyāḥ suparipūrṇagātrā bhaveyuḥ ||	nAmaDeyam SrutvA sarve sakala-indriyAH su-paripUrNa-gAtrAH BaveyuH ||
   saptamaṃ tasya mahāpraṇidhānam abhūt - yadāham anāgate - - - tadā	saptamam tasya mahA-praNiDAnam aBUt  yadA-aham anAgate    tadA
   bodhiprāptasya ca me ye nānāvyādhiparipīḍitāḥ sattvā atrāṇā aśaraṇā	boDi-prAptasya ca me ye nAnA-vyADi-paripIxitAH sattvAH atrANAH aSaraNA
   bhaiṣajyopakaraṇavirahitā anāthā daridrā duḥkhitāḥ, sace(t) teṣāṃ mama	BEzajya-upakaraNa-virahitAH anATAH daridrAH duHKitAH, sa-ce(t) tezAm mama
   nāmadheyaṃ karṇapuṭe nipatet, teṣāṃ sarvavyādhayaḥ praśameyuḥ, nīrogāś ca	nAmaDeyam karNa-puwe nipatet, tezAm sarva-vyADayaH praSameyuH, nIrogAH ca
   nirupadravāś ca te syur yāva bodhiparyavasānam || aṣṭamaṃ tasya	nirupadravAH ca te syuH yAva boDi-paryavasAnam || azwamam tasya
   mahāpraṇidhānam abhūt - yadāham anāgate - - - tadā yaḥ kaścin mātṛgrāmo	mahA-praNiDAnam aBUt  yadA-aham anAgate    tadA yaH kaScid mAtR-grAmaH-
   nānāśtrīdoṣaśataiḥ saṃkliṣṭaṃ strībhāvaṃ vijugupsitaṃ mātṛgrāmayoniṃ ca	nAnA-StrI-doza-SatEH saMklizwam strI-BAvam vijugupsitam mAtR-grAma-yonim ca
   parimoktukāmo mama nāmadheyaṃ dhārayet, tasya mātṛgrāmasya na strībhāvo	parimoktu-kAmaH mama nAmaDeyam DArayet, tasya mAtR-grAmasya na strI-BAvaH-
   bhavet yāva bodhiparyavasānam || navamaṃ tasya mahāpraṇidhānam abhūt -	Bavet yAva boDi-paryavasAnam || navamam tasya mahA-praNiDAnam aBUt -
   yadāham anāgate - - - tadā bodhiprāpte 'haṃ sarvasattvān	yadA-aham anAgate    tadA boDi-prApte aham sarva-sattvAn
   mārapāśabandhanabaddhān nānādṛṣṭigahanasaṃkaṭaprāptān	mAra-pASa-banDana-badDAn nAnA-dRzwi-gahana-saMkawa-prAptAn
   sarvamārapāśadṛṣṭigatibhyo vinivartya samyagdṛṣṭau niyojya ānupūrveṇa	sarva-mAra-pASa-dRzwi-gatiByaH vinivartya samyak-dRzwO niyojya AnupUrveNa
   bodhisattvacārikāṃ saṃdarśayeyam || daśamaṃ tasya mahāpraṇidhānam abhūta -	boDisattva-cArikAm saMdarSayeyam || daSamam tasya mahA-praNiDAnam aBUta -
   - yadāham anāgate - - - tadā bodhiprāptasya ca me ye kecit sattvā	 yadA-aham anAgate    tadA boDi-prAptasya ca me ye kecid sattvA
   rājādhibhayabhītāḥ, ye vā bandhanabaddhāvaruddhāḥ vadhārhā anekamāyābhir	rAja-aDi-Baya-BItAH, ye vA banDana-badDa-avarudDAH vaDa-arhA aneka-mAyABiH-
