   akāyo nirguṇo hyātmā Dka_52c	akAyaH nirguNaH hi-AtmA DkaH-_52c
   agnikāryādikāryaṃ ca Dka_62c	agni-kArya-Adi-kAryam ca DkaH-_62c
   aṇimādiguṇāvāptir Dka_80a	aNima-Adi-guNa-avAptiH DkaH-_80a
   ato hi nirbhayo vidvān Dka_4a	atas hi nirBayaH vidvAn Dke-_4a
   adṛśyamagrāhyamacintyarūpam Dka_59d	adRSyam-agrAhyam-acintya-rUpam DkaH-_59d
   adhomārgapradāyakāḥ Dka_67b	aDas-mArga-pradAyakAH DkaH-_67b
   anādivijñānamajaṃ purāṇaṃ Dka_59a	anAdi-vijQAnam-ajam purANam Dke-_59a
   anicchannapi medhāvī Dka_12c	anicCan=-api meDAvI DkaH-_12c
   anenaiva śarīreṇa Dka_78c	anena-eva SarIreNa DkaH-_78c
   antarbhāvavinirmuktaṃ Dka_38c	antarBAva-vinirmuktam DkaH-_38c
   abhilāṣo na kartavya Dka_73c	aBilAzaH na kartavya DkaH-_73c
   aśarīraṃ yadātmānaṃ Dka_51a	aSarIram yadA-AtmAnam Dke-_51a
   asadbhūtamidaṃ sarvaṃ Dka_22c	asat-BUtam-idam sarvam DkaH-_22c
   asmitākalayā yuktaṃ Dka_13a	asmitA-kalayA yuktam Dke-_13a
   asmitārahitaṃ cetaś Dka_13c	asmitA-rahitam cetaH DkaH-_13c
   ahaṅkāraparityāgāt Dka_46c	ahaFkAra-parityAgAt DkaH-_46c
   ahamasmādyasambhinnaṃ Dka_28c	aham-asma-AdyasamBinnam DkaH-_28c
   ahamaṃśena yacchūnyaṃ Dka_15a	aham-aMSena yat-SUnyam Dke-_15a
   ahameko na me kaścin Dka_49a	aham-ekaH na me kaScid Dke-_49a
   ahameva paraṃ brahma Dka_50a	aham-eva param brahma DkaH-_50a
   ākāśamiva sarvaṃ tu Dka_29a	AkASam-iva sarvam tu Dke-_29a
   ācāraṃ kathyamānaṃ tu Dka_61c	AcAram kaTyamAnam tu DkaH-_61c
   ātmārāmo bhavedyogī Dka_74a	Atma-ArAmaH Bavet-yogI Dke-_74a
   āmastakaṃ pādatalāvasānaṃ Dka_54a	Amastakam pAda-tala-avasAnam Dke-_54a
   ārambhataḥ kriyānāśe Dka_45c	AramBataH kriyA-nASe DkaH-_45c
   āśrayālambanaṃ cittaṃ Dka_35a	ASraya-Alambanam cittam Dke-_35a
   āśrayāśrayivijñānaṃ Dka_43c	ASraya-ASrayi-vijQAnam DkaH-_43c
   āśrayo dvandvamityuktaṃ Dka_44a	ASrayaH dvandvam-iti-uktam Dke-_44a
   iti syānniścito mukto Dka_50c	iti syAt-niScitaH muktaH DkaH-_50c
   indriyārthe kadācana Dka_73d	indriya-arTe kadAcana DkaH-_73d
   īdṛśaṃ jñāninaṃ dṛṣṭvā Dka_82a	IdRSam jQAninam dRzwvA DkaH-_82a
   īrṣyāṃ paiśunyadambhe ca Dka_77a	IrzyAm pESunya-damBe ca Dke-_77a
   īśo 'hamevāsya carācarasya Dka_55a	ISaH aham-eva-asya carAcarasya DkaH-_55a
   ekāntikaṃ sukhaṃ yatra Dka_11a	ekAntikam suKam yatra Dke-_11a
   etairnāsti parā muktiś Dka_67c	etEH-na-asti parA muktiH DkaH-_67c
   kathayāmi tavādhunā Dka_2b	kaTayAmi tava-aDunA DkaH-_2b
   kathitaṃ mokṣasiddhaye Dka_61b	kaTitam mokza-sidDaye DkaH-_61b
   kartavyaṃ śivapūjanam Dka_71b	kartavyam Siva-pUjanam DkaH-_71b
   kalahāśca vivarjayet Dka_75d	kalahAH-ca vivarjayet DkaH-_75d
   kāmakrodhau bhayaṃ śokaṃ Dka_77c	kAma-kroDO Bayam Sokam DkaH-_77c
   kālajñānaṃ varānane Dka_3b	kAla-jQAnam varAnane DkaH-_3b
   kālajñānaṃ varārohe Dka_84e	kAla-jQAnam varArohe DkaH-_84e
   kāṣṭhapāṣāṇapūjanam Dka_72d	kAzWa-pAzANa-pUjanam DkaH-_72d
   kimanyat paripṛcchasi Dka_84f	kim-anyat paripRcCasi DkaH-_84f
   kubhāṣitasubhāṣitān Dka_76b	ku-BAzita-su-BAzitAn DkaH-_76b
   kurute karmasañcayam Dka_21b	kurute karma-saQcayam DkaH-_21b
   kuryāt svasthaṃ punaḥ punaḥ Dka_33d	kuryAt svasTam punar punar DkaH-_33d
