   akalpabālasthavira- Brh_1,1.148a	akalpa-bAla-sTavira Brh_1,1.148a
   akalpādīn api śanair Brh_1,1.154c	akalpa-AdIn api SanEs Brh_1,1.154c
   akāraṇe rakṣaṇe ca Brh_1,1.82a	akAraNe rakzaNe ca Br=-_1,1.82a
   akāle 'pi bṛhaspatiḥ Brh_1,3.9d	akAle api bRhaspatiH Br=-_1,3.9d
   akāle vāhayet tu yaḥ Brh_1,21.21b	akAle vAhayet tu yaH Br=-_1,21.21b
   akurvan svāmine dāpyo Brh_1,19.53c	akurvan svAmine dApyaH Br=-_1,19.53c
   akṛtaḥ sa tu vijñeyo Brh_1,10.60c	akRtaH sa tu vijQeyaH Br=-_1,10.60c
   akriyākāriṇaś caiva Brh_1,22.3a	akriyA-kAriNaH ca-eva Br=-_1,22.3a
   akriyā dūṣaṇaṃ striyāḥ Brh_1,25.11b	akriyA dUzaNam striyAH Brh_1,25.11b
   akrodhalobhāḥ śāstrajñāḥ Brh_1,1.62c	akroDa-loBAH SAstra-jQAH Br=-_1,1.62c
   akṣarāṇāṃ vihanyate Brh_1,6.46b	akzarANAm vihanyate Br=-_1,6.46b
   agṛhīte samaṃ dāpyo Brh_1,16.6c	agRhIte samam dApyaH Br=-_1,16.6c
   agnivarṇaṃ tu tac coro Brh_1,8.80c	agni-varNam tu tat coraH Br=-_1,8.80c
   agniṃ prajāpatiṃ ceṣṭvā Brh_1,26.76a	agnim prajApatim ca-izwvA Brh_1,26.76a
   agner vidhiṃ pravakṣyāmi Brh_1,8.53a	agneH viDim pravakzyAmi Br=-_1,8.53a
   agneḥ paścimabhāge tu Brh_1,8.22c	agneH paScima-BAge tu Br=-_1,8.22c
   aṅkayitvā bhagāṅgena Brh_1,24.14c	aFkayitvA Baga-aFgena Br=-_1,24.14c
   aṅkito 'yaṃ prakīrtitaḥ Brh_1,7.18d	aFkitaH ayam prakIrtitaH Br=-_1,7.18d
   aṅgacchedārhakas tv ardhaṃ Brh_1,9.19c	aFga=-Ceda-arhakaH tu arDam Brh_1,9.19c
   aṅgacchede tadardhaṃ tu Brh_1,29.3c	aFga=-Cede tad-arDam tu Br=-_1,29.3c
   aṅgād aṅgāt saṃbhavati Brh_1,26.127a	aFgAt aFgAt saMBavati Brh_1,26.127a
   aṅgāvabhedane caiva Brh_1,21.15a	aFga-avaBedane ca-eva Br=-_1,21.15a
   aṅgulīgranthibhedasya Brh_1,22.9a	aFgulI-granTi-Bedasya Br=-_1,22.9a
   aṅguṣṭhāṅguliyogena Brh_1,8.72c	aFguzWa-aFguli-yogena Br=-_1,8.72c
   ajaghanyo jaghanyajaḥ Brh_1,8.21d	ajaGanyaH jaGanya-jaH Br=-_1,8.21d
   ajekapād [ajaikapād?] ahirbudhnyā Brh_1,8.23a	ajekapAd [aja-ekapAd?] ahirbuDnyAH Br=-_1,8.23a
   ajeyatvaṃ lokapaṅktiḥ Brh_1,1.50c	ajeya-tvam loka-paFktiH Br=-_1,1.50c
   ajñātiḥ śavadahakaḥ Brh_1,29.10d	ajQAtiH Sava-dahakaH Br=-_1,29.10d
   ajñātauṣadhimantras tu Brh_1,22.10a	ajQAta-ozaDi-mantraH tu Br=-_1,22.10a
   ajñānatimiropetān Brh_1,1.96c	ajQAna-timira-upetAn Br=-_1,1.96c
   atas tu viparītena Brh_1,26.35c	atas tu viparItena Br=-_1,26.35c
   ataḥ parīkṣyam ubhayam Brh_1,6.57a	atas parIkzyam uBayam Br=-_1,6.57a
   ataḥ putrena jātena Brh_1,10.116a	atas putrena jAtena Brh_1,10.116a
   atikrānte saptarātre Brh_1,2.4c	atikrAnte sapta-rAtre Br=-_1,2.4c
   ato 'nyathā bhāvanīyāḥ Brh_1,5.24c	atas anyaTA BAvanIyAH Br=-_1,5.24c
   ato 'rvāk puṇyadoṣas tu Brh_1,18.7a	atas arvAk puNya-dozaH tu Br=-_1,18.7a
   atyārāt parakuḍyasya Brh_1,19.49c	atyArAt para-kuxyasya Br=-_1,19.49c
   atra purvaś caturvargo Brh_1,15.22a	atra purvaH caturvargaH Brh_1,15.22a
   atra sākṣī tvam asmākam Brh_1,5.12c	atra sAkzI tvam asmAkam Br=-_1,5.12c
   atha pañcatvam āpanno Brh_1,6.53a	aTa paQcatvam ApannaH Br=-_1,6.53a
   adagdhaś cec chuddhim iyād Brh_1,8.79c	adagDaH ced SudDim iyAt Br=-_1,8.79c
   adaṇḍyān daṇḍayan rājā Brh_1,1.77a	adaNxyAn daNxayan rAjA Brh_1,1.77a
   adattabhoktā daṇḍyaḥ syāt Brh_1,14.18a	adatta-BoktA daNxyaH syAt Br=-_1,14.18a
   adattasya ca kathyate Brh_1,14.1d	adattasya ca kaTyate Br=-_1,14.1d
