   Vigrahavyāvartanī-kārikā ||	Vigraha-vyAvartanI--kArikAH ||
   sarveṣāṃ bhāvānāṃ sarvatra na vidyate svabhāvaś cet |	sarvezAm BAvAnAm sarvatra na vidyate svaBAvaH ced |
   tvadvacanam asvabhāvaṃ na nivartayituṃ svabhāvam alam || NagVvy_01	tvad-vacanam asvaBAvam na nivartayitum svaBAvam alam || NagVvI-_01
   atha savabhāvam etad vākyaṃ pūrvā hatā pratijñā te |	aTa savaBAvam etat vAkyam pUrvA hatA pratijQA te |
   vaiṣamikatvaṃ tasmin viśeṣahetuś ca vaktavyaḥ || NagVvy_02	vEzamika-tvam tasmin viSeza-hetuH ca vaktavyaH || NagVvI-_02
   mā śabdavad ity etat syāt te buddhir na caitad upapannam |	mA Sabda-vat iti etat syAt te budDiH na ca-etat upapannam |
   śabdena hy atra satā bhaviṣyato vāraṇaṃ tasya || NagVvy_03	Sabdena hi atra satA BavizyataH vAraNam tasya || NagVvI-_03
   pratiṣedhapratiṣedho 'py evam iti mataṃ bhavet tad asad eva |	pratizeDa-pratizeDaH api evam iti matam Bavet tat asat eva |
   evaṃ tava pratijñā lakṣaṅato dūṣyate na mama || NagVvy_04	evam tava pratijQA lakzaFataH dUzyate na mama || NagVvI-_04
   pratyakṣeṇa hi tāvad yady upalabhya vinivartayasi bhāvān |	pratyakzeNa hi tAvat yadi upalaBya vinivartayasi BAvAn |
   tan nāsti pratyakṣaṃ bhāvā yenopalabhyante || NagVvy_05	tat na-asti pratyakzam BAvAH yena-upalaByante || NagVvI-_05
   anumānaṃ pratyuktaṃ pratyakṣeṇāgamopamāne ca |	anumAnam pratyuktam pratyakzeNa-Agama-upamAne ca |
   anumānāgamasādhyā ye 'rthā dṛṣṭāntasādhyāś ca || NagVvy_06	anumAna-Agama-sADyAH ye arTAH dRzwAnta-sADyAH ca || NagVvI-_06
   kuśalānāṃ dharmāvasthāvidaś ca manyante |	kuSalAnAm Darma-avasTA-vidaH ca manyante |
   kuśalaṃ janāḥ svabhāvaṃ śeṣeṣv apy eṣa viniyogaḥ || NagVvy_07	kuSalam janAH svaBAvam Sezezu api eza viniyogaH || NagVvI-_07
   nairyāṇikasvabhāvo dharmā nairyāṇikāś ca ye teṣām |	nEryANika-svaBAvaH DarmAH nEryANikAH ca ye tezAm |
   dharmāvasthoktānām evaṃ anairyāṇikādīnām || NagVvy_08	Darma-avasTA-uktAnAm evam anEryANikA-AdInAm || NagVvI-_08
