   BhG 11.1	Bhu 11.1
   arjuna uvāca	arjunaH uvAca
   mad-anugrahāya paramaṃ guhyam adhyātma-saṃjñitam |	mad--anugrahAya paramam guhyam aDyAtma--saMjQitam |
   yat tvayoktaṃ vacas tena moho 'yaṃ vigato mama ||1||	yat tvayA-uktam vacaH tena mohaH ayam vigataH mama ||1||
   śrīdharaḥ :	SrIDaraH :
   vibhūti-vaibhavaṃ procya kṛpayā parayā hariḥ |	viBUti--vEBavam procya kRpayA parayA hariH |
   didṛkṣor arjunasyātha viśva-rūpam adarśayat ||	didRkzoH arjunasya-aTa viSva-rUpam adarSayat ||
   pūrvādhyāyānte viṣṭabhyāham idaṃ kṛtsnam ekāṃśena sthito jagat iti	pUrva-aDyAya-ante vizwaBya-aham idam kRtsnam eka-aMSena sTitaH jagat iti
   viśvātmakaṃ pārameśvaraṃ rūpam utkṣiptam | tad-didṛkṣuḥ pūrvoktam	viSva-Atmakam pArameSvaram rUpam utkziptam | tad--didRkzuH pUrva-uktam
   abhinandann arjuna uvāca mad-anugrahāyeti caturbhiḥ | mad-anugrahāya	aBinandan arjunaH uvAca mad--anugrahAya-iti caturBiH | mad--anugrahAya
   śoka-nivṛttaye | paramaṃ paramātma-niṣṭhaṃ guhyaṃ gopyam api	Soka-nivRttaye | paramam paramAtma--nizWam guhyam gopyam api
   adhyātma-saṃjñitam ātmānātma-viveka-viṣayam | yat tvayoktaṃ vacaḥ aśocyān	aDyAtma--saMjQitam AtmAnAtma--viveka--vizayam | yat tvayA-uktam vacaH aSocyAn
   anvaśocas tvam ity ādi ṣaṣṭhādhyāya-paryantaṃ yad vākyam | tena mamāyaṃ	anvaSocaH tvam iti Adi zazWa-aDyAya--paryantam yat vAkyam | tena mama-ayam
   mohaḥ - ahaṃ hantā ete hanyante ity ādi lakṣaṇo bhramaḥ | vigato vinaṣṭaḥ	mohaH  aham hantAH ete hanyante iti Adi lakzaNaH BramaH | vigataH vinazwaH
   | ātmanaḥ kartṛtvādy-abhāvokteḥ ||1||	| AtmanaH kartR-tva-Adi--a-BAva-ukteH ||1||
   madhusūdanaḥ : pūrvādhyāye nānā-vibhūtīr uktvā viṣṭabhyāham idaṃ kṛtsnam	maDusUdanaH : pUrva-aDyAye nAnA-viBUtIH uktvA vizwaBya-aham idam kRtsnam
   ekāṃśena sthito jagat iti viśvātmakaṃ pārameśvaraṃ rūpaṃ bhagavatābhihitaṃ	eka-aMSena sTitaH jagat iti viSva-Atmakam pArameSvaram rUpam BagavatA-aBihitam
   śrutvā paramotkaṇṭhitas tat-sākṣātkartum icchan pūrvoktam abhinandan mad	SrutvA parama-utkaNWitaH tat-sA-akzAt-kartum icCan pUrva-uktam aBinandat mad
   iti | mad-anugrahāya śoka-nivṛtty-upakārāya paramaṃ	iti | mad--anugrahAya Soka-nivRtty-upakArAya paramam
   niratiśaya-puruṣārtha-paryavasāyi guhyaṃ gopyaṃ yasmai kasmaicid vaktum	niratiSaya--puruza-arTa--paryavasAyi guhyam gopyam yasmE kasmEcid vaktum
   anarham api | adhyātma-saṃjñitam adhyātmam iti śabditam	anarham api | aDyAtma--saMjQitam aDyAtmam iti Sabditam
   ātmānātma-viveka-viṣayam aśocyān anvaśocas tvam ity	AtmAnAtma--viveka--vizayam aSocyAn anvaSocaH tvam iti-
