   oṃ	om
   svātantryākhyaguṇeritena satataṃ saṅkṣobhyamāṇān nijād	svAtantrya AKya guNa Iritena satatam saFkzoByamANAn nijAt 
   icchāmandarakeṇa sārabharitād rūpād alolāt sadā /	icCA mandarakeNa sAra BaritAt rUpAt alolAt sadA /
   svāntaḥsthaṃ svamayaṃ svabhinnasadṛśaṃ tattvāliratnoccayam	sva antaHsTam sva mayam sva Binna sadRSam tattva ali ratna uccayam
   bodhāhvaḥ pratibhāsayan parasarinnātho jayaty adbhutaḥ // *1 //	boDAhvaH pratiBAsayan para sarit nATaH jayati adButaH // *1 //
   śuddhaṃ sphāṭikadarpaṇena sadṛśaṃ nityaṃ svaśaktyutthitair	SudDam sPAwika darpaNena sadRSam nityam sva Sakti utTitEH 
   acchatvāt svamayīkṛtam bahuvidhair bāhyāntaraiḥ svair malaiḥ /	acCatvAt sva mayIkRtam bahuviDEH bAhya antarEH svEH malEH /
   śaktyaitān api sarvadātmani layīkurvāṇam ādyaṃ śivam	SaktyA etAn api sarvadA Atmani layIkurvANam Adyam Sivam
   bodhāhvam praṇato 'smi devam anaghaṃ ṣaṭkośadāvānalam // *2 //	boDAhvam praNataH asmi devam anaGam zaz koSa dAva analam // *2 //
   bodhābodhavibhedabhāsanaparam bodhānvitair bodhitam	boDA boDa viBeda BAsana param boDa anvitEH boDitam
   bodhābodhavihīnamūrtim amalam bodhaikasāraṃ vibhum /	boDA boDa vihIna mUrtim amalam boDa eka sAram viBum /
   bodhābodhavibhedagopanakaraṃ svasmiṃs tu tasyāpy anu	boDA boDa viBeda gopana karam svasmin tu tasya api anu
   bodhaṃ taṃ śaraṇaṃ śrayāmi satataṃ sadbodhasamprāptaye // *3 //	boDam tam SaraNam SrayAmi satatam sat boDa samprAptaye // *3 //
   svacchatvāśrayamātṛbhāvabhajanād vaiḍūryanāmārhatām	svacCa tva ASraya mAtR BAva BajanAt vExUrya nAma arha tAm
   āsādyānv avatāranāmakalanām etyācchameyāspadām /	AsAdyAnu avatAra nAma kalanAm etyAt Sameya AspadAm /
   tattvaṃ svam prakaṭaṃ vidhāya ca tataḥ svam bhāvam evāgato	tattvam svam prakawam viDAya ca tatas svam BAvam eva AgataH 
   yas tasmai satataṃ svabhāvagurave nairguṇyadhāmne namaḥ // *4 //	yaH tasmE satatam svaBAva gurave nErguNya DAmne namaH // *4 //
   acchācchasvavimarśane 'pi kuśalo vaiḍūryanāmnāśrito	acCa acCa sva vimarSane api kuSalaH vExUrya nAmnA ASritaH 
   yāto 'to 'nv avatārabhāvam amalaṃ tattvopadeśecchayā /	yAtaH atas anu avatAra BAvam amalam tattva upadeSa icCayA /
   śiṣyāṇām upadiśya tattvam atha yaḥ svaṃ rūpam evāgatas	SizyANAm upadiSya tattvam aTa yaH svam rUpam eva Agata s
   tasmai śrīnidhaye prakāśagurave sadbodhadātre namaḥ // *5 //	tasmE SrIniDaye prakASa gurave sat boDa dAtre namaH // *5 //
   dehādristhamanodrumotthakalanāśākhālisandhyantarād	deha adri sTa manaH druma utTa kalanA SAKAli sanDi antarAt 
   draṣṭuṃ jāḍyaharaṃ vimarśavibhavād unmeṣarūpaṃ ravim /	drazwum jAxya haram vimarSa viBavAt unmeza rUpam ravim /
   lagnā ye satataṃ tadekamayatām paśyanta ātmany atho	lagnAH ye satatam tat ekamaya tAm paSyantaH Atmani aTo
   saṃsāre 'pi ca tatprakāśavaśato bhāte 'stu tebhyo namaḥ // *6 //	saMsAre api ca tad prakASa vaSataH BAte astu teByaH namaH // *6 //
   apūrvaṃ sāmarthyaṃ kim api hṛdayāgocara idam	apUrvam sAmarTyam kim api hRdaya agocaraH idam
   paricchedātītaṃ jayati laghumukhyam bhagavataḥ /	paricCeda atItam jayati laGu muKyam BagavataH /
   vivṛttyākhye karmaṇy atimahati vākpatyaviṣaye	vivRtti AKye karmaNi ati mahati vAc patya vizaye
   yadāviṣṭo 'muṣminn api bhajati mūko 'py adhikṛtim // *7 //	yadA AvizwaH amuzmin api Bajati mUkaH api aDikRtim // *7 //
   svataḥsiddhāl labdham paramagahanaṃ yat svajanakād	svatas sidDAt labDam parama gahanam yat sva janakAt 
   rahasyaṃ saṅkṣepān niratiśayam ābhyantaram alam /	rahasyam saFkzepAt niratiSayam AByantaram alam /
   tad etat sarveṣu prakaṭayitum evātra vihito	tat etat sarvezu prakawayitum eva atra vihitaH 
   mayāsāv udyogo na nijadhiṣaṇākhyāpanadhiyā // *8 //	mayA asO udyogaH na nija DizaNa AKyApana DiyA // *8 //
   svabhāvenaivāndhāḥ katicid apare roṣatamasā	svaBAvena eva anDAH katicid apare roza tamasA
   pareṣāṃ nāpekṣā bhavati ca nijālokavibhavāt /	parezAm na apekzA Bavati ca nija Aloka viBavAt /
   ato vyākhyādīpe 'prakaṭa iva nātrāsty adhikṛto	atas vyAKyA dIpe aprakawaH iva na atra asti aDikRtaH 
   bhaved vā ko 'pīti bhramata iha yatnas tu racitaḥ // *9 //	Bavet vA kaH api iti BramataH iha yatnaH tu racitaH // *9 //
   avatārakaṇṭhaputraḥ pautro vaiḍūryakaṇṭhapādānām /	avatAra kaNWa putraH pOtraH vExUrya kaNWa pAdAnAm /
   bhāskarakaṇṭho racayati vidvatkaṇṭhe vibhūṣaṇaṃ vyākhyām // *10 //	BAskara kaNWaH racayati vidvat kaNWe viBUzaNam vyAKyAm // *10 //
   śaktyādīnām abhāve me pravṛttasya pade pade /	Sakti AdInAm aBAve me pravRttasya pade pade /
   skhalitāni bhaviṣyanti santu santo 'valambanam // *11 //	sKalitAni Bavizyanti santu santaH avalambanam // *11 //
   nutvā gaṇeśaṃ vibudheśavandyaṃ vāgdevatāṃ ca pratibhāsvarūpām /	nutvA gaNeSam vibuDa ISa vandyam vAgdevatAm ca pratiBA svarUpAm /
