   Maitrāyaṇī Saṃhitā	MEtrAyaNI  SaMhitA
   [Page I,1]	[Pa ge I,1]
   iṣe tvā subhūtāya vāyavaḥ stha devo vaḥ savitā prārpayatu śreṣṭhatamāya	ize tvA suBUtAya vAyavaH sTa devaH vaH savitA prArpayatu SrezWatamAya
   karmaṇe, āpyāyadhvam aghnyā devebhyā indrāya bhāgam, mā vaḥ stena īśata	karmaNe, ApyAyaDvam aGnyA deveByAH indrAya BAgam, mA vaH stenaH ISata
   māghaśaṃso dhurvā asmin gopatau syāta bahvīs, yajamānasya paśūn pāhi	mAGa SaMsaH DurvA asmin gopatO syAta bahvIs, yajamAnasya paSUn pAhi
   //MS_1,1.1//	//n= _1,1.1//
   goṣad asi pratyuṣṭaṃ rakṣaḥ pratyuṣṭārātiḥ //	gozat asi pratyuzwam rakzaH pratyuzwa arAtiH //
        preyam agād dhiṣaṇā barhir acha manunā kṛtā svadhayā vitaṣṭā /	preyam agAt DizaNA barhiH aCa manunA kRtA svaDayA vitazwA /
        tayāvahante kavayaḥ purastāt //	tayA avahante kavayaH purastAt //
   devānāṃ pariṣūtam asi viṣṇoḥ stupas, atisṛṣṭo gavāṃ bhāgas, devasya tvā	devAnAm parizUtam asi vizNoH stupas, atisRzwaH gavAm BAgas, devasya tvA
   savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyāṃ barhir devasadanaṃ dāmi	savituH prasave aSvinoH bAhuByAm pUzNaH hastAByAm barhiH deva sadanam dAmi
   [Page I,2]	[Pa ge I,2]
   atas tvaṃ barhiḥ śatavalśaṃ viroha sahasravalśā vi vayaṃ ruhema //	atas tvam barhiH Sata valSam viroha sahasra valSAH vi vayam ruhema //
   ayupitā yonis, adityā rāsnāsi, indrāṇyāḥ saṃnahanam, pūṣā te granthiṃ	ayupitA yoni s, adityAH rAsnA asi, indrANyAH saMnahanam, pUzA te granTim
   grathnātu sa te māsthāt, indrasya tvā bāhubhyām udyache bṛhaspater	graTnAtu sa te mA AsTAt, indrasya tvA bAhuByAm udyaCe bRhaspateH 
   mūrdhnāharāmi, urv antarikṣaṃ vīhi, adityās tvā pṛṣṭhe sādayāmi	mUrDnA AharAmi, uru antarikzam vIhi, adityAH tvA pRzWe sAdayAmi
   //MS_1,1.2//	//n= _1,1.2//
   śundhadhvaṃ daivyāya karmaṇe vasūnāṃ pavitram asi śatadhāraṃ sahasradhāram	SunDaDvam dEvyAya karmaNe vasUnAm pavitram asi Sata DAram sahasra DAram
   achidratanu //	aCidra tanu //
   dyaur asi pṛthivy asi mātariśvano gharmaḥ //	dyOH asi pRTivI asi mAtariSvanaH GarmaH //
   viśvahotur dhāmant sīda //	viSva hotuH DAmand sIda //
   poṣāya tvā, adityā rāsnāsi kām adhukṣaḥ sā viśvāyur astv asau kām adhukṣaḥ	pozAya tvA, adityAH rAsnA asi kAm aDukzaH sA viSvAyuH astu asO kAm aDukzaH
   sā viśvabhūr astv asau kām adhukṣaḥ sā viśvakarmāstv asau hutaḥ stokas,	sA viSvaBUH astu asO kAm aDukzaH sA viSvakarmA astu asO hutaH stoka s,
   huto drapsas, agne pāhi vipruṣaḥ supacā devebhyo havyaṃ paca, agnaye tvā	hutaH drapsas, agne pAhi vipruzaH supacAH deveByaH havyam paca, agnaye tvA
   bṛhate nākāya svāhā dyāvāpṛthivībhyām indrāya tvā bhāgaṃ somenātanacmi	bRhate nAkAya svAhA dyAvApRTivIByAm indrAya tvA BAgam somena Atanacmi
   viṣṇo havyaṃ rakṣasva, āpo jāgṛta //MS_1,1.3//	vizNo havyam rakzasva, ApaH jAgRta //n= _1,1.3//
   veṣāya vām, karmaṇe vām, sukṛtāya vām, devīr āpo 'greguvo 'greṇīyo 'gre	vezAya vAm, karmaNe vAm, sukRtAya vAm, devIH ApaH agreguvaH agreNIyaH agre
   'sya yajñasya preta, agraṃ yajñaṃ nayatāgraṃ yajñapatim, yuṣmān indro	asya yajQasya preta, agram yajQam nayatA agram yajQapatim, yuzmAn indraH 
   'vṛṇīta vṛtratūrye yūyam indram avṛṇīdhvaṃ vṛtratūrye prokṣitāḥ stha	avRNIta vRtra tUrye yUyam indram avRNIDvam vRtra tUrye prokzitAH sTa
   saṃsīdantāṃ daivīr viśas, vānaspatyāsi varṣavṛddham asi, urv antarikṣaṃ	saMsIdantAm dEvIH viSas, vAnaspatyA asi varza vRdDam asi, uru antarikzam
   vīhi pratyuṣṭaṃ rakṣaḥ pratyuṣṭārātir dhūr asi dhvara dhvarantaṃ yo asmān	vIhi pratyuzwam rakzaH pratyuzwa arAtiH DUH asi Dvara Dvarantam yaH asmAn
   dhvarāt, yaṃ vayaṃ dhvarāma taṃ dhvara //MS_1,1.4//	DvarAt, yam vayam DvarAma tam Dvara //n= _1,1.4//
   [Page I,3]	[Pa ge I,3]
   devānām asi vahnitamaṃ sasnitamaṃ papritamaṃ juṣṭatamaṃ devahūtamam	devAnAm asi vahnitamam sa snitamam papritamam juzwatamam devahUtamam
   ahrutam asi havirdhānam, dṛṃhasva mā hvār viṣṇoḥ kramo 'si, uru vātāya	ahrutam asi havirDAnam, dRMhasva mA hvAr vizNoH kramaH asi, uru vAtAya
   mitrasya vaś cakṣuṣā prekṣe devasya vaḥ savituḥ prasave 'śvinor bāhubhyāṃ	mitrasya vaH cakzuzA prekze devasya vaH savituH prasave aSvinoH bAhuByAm
   pūṣṇo hastābhyām, yachantu pañca gopīthāya vo nārātaye, agnaye vo juṣṭān	pUzNaH hastAByAm, yaCantu paQca gopITAya vaH nArAtaye, agnaye vaH juzwAn
   nirvapāmi, amuṣmai vo juṣṭān idaṃ devānām idam u naḥ saha dṛṃhantāṃ duryāḥ	nirvapAmi, amuzmE vaH juzwAn idam devAnAm idam u naH saha dRMhantAm duryAH
   svāhā dyāvāpṛthivībhyām, nir varuṇasya pāśād amukṣi svar abhivyakśaṃ	svAhA dyAvApRTivIByAm, niH varuNasya pASAt amukzi svar aBivyakSam
   jyotir vaiśvānaram urv antarikṣaṃ vīhi, adityā va upasthe sādayāmi	jyotiH vESvAnaram uru antarikzam vIhi, adityA vaH upasTe sAdayAmi
   //MS_1,1.5//	//n= _1,1.5//
        devo vaḥ savitotpunātv achidreṇa pavitreṇa /	devaH vaH savitA utpunAtu aCidreNa pavitreNa /
        vasoḥ sūryasya raśmibhiḥ //	vasoH sUryasya raSmiBiH //
   agnaye vo juṣṭān prokṣāmi, amuṣmai vo juṣṭān yad vo 'śuddha ālebhe tañ	agnaye vaH juzwAn prokzAmi, amuzmE vaH juzwAn yat vaH aSudDaH AleBe taQ
   śundhadhvam adityās tvag asi, avadhūtaṃ rakṣas, avadhūtārātis, adityās	SunDaDvam adityAH tvac asi, avaDUtam rakzas, avaDUta arAti s, adityA aH 
   tvag asi prati tvādityās tvag vettu pṛthugrāvāsi vānaspatyaḥ prati	tvac asi prati tu A AdityAH tvac vettu pRTu grAvA asi vAnaspatyaH prati
   tvādityās tvag vettu, agner jihvāsi vāco visarjanam āyuṣe vas,	tu AdityAH tvac vettu, agneH jihvA asi vAcaH visarjanam Ayuze vas,
   bṛhadgrāvāsi vānaspatyas, devebhyo havyaṃ śamīṣva suśami śamīṣva kuṭarur	bRhadgrAvA asi vAnaspatyas, deveByaH havyam SamIzva suSami SamIzva kuwaruH 
   asi madhujihvas tvayā vayaṃ saṃghātaṃsaṃghātaṃ jeṣma, iṣam āvada, ūrjam	asi maDujihvaH tvayA vayam saMGAtaMsaMGAtam jezma, izam Avada, Urjam
   āvada rāyaspoṣam āvada //MS_1,1.6//	Avada rAyaspozam Avada //n= _1,1.6//
   [Page I,4]	[Pa ge I,4]
   varṣavṛddham asi prati tvā varṣavṛddhaṃ vettu parāpūtaṃ rakṣaḥ	varza vRdDam asi prati tvA varza vRdDam vettu parApUtam rakzaH
   parāpūtārātiḥ praviddho rakṣasāṃ bhāgas, adityās tvag asi, avadhūtaṃ	parApUta arAtiH pravidDaH rakzasAm BAgas, adityAH tvac asi, avaDUtam
   rakṣas, avadhūtārātis, adityās tvag asi prati tvādityās tvag vettu	rakzas, avaDUta arAti s, adityAH tvac asi prati tu A AdityAH tvac vettu
   dhiṣaṇāsi pārvatī prati tvādityās tvag vettu dhiṣaṇāsi pārvatī prati tvā	DizaNA asi pArvatI prati tu A AdityAH tvac vettu DizaNA asi pArvatI prati tvA
   pārvatī vettu, adityāḥ skambho 'si dhānyam asi dhinuhi devān prāṇāya tvā,	pArvatI vettu, adityAH skamBaH asi DAnyam asi Dinuhi devAn prANAya tvA,
   apānāya tvā vyānāya tvā dīrghām anu prasṛtiṃ saṃspṛśethām āyuṣe vas,	apAnAya tvA vyAnAya tvA dIrGAm anu prasRtim saMspRSeTAm Ayuze vas,
   mitrasya vaś cakṣuṣāvekṣe devo vaḥ savitā hiraṇyapāṇir upagṛhṇātu	mitrasya vaH cakzuzA avekze devaH vaH savitA hiraNya pANiH upagRhNAtu
   //MS_1,1.7//	//n= _1,1.7//
   nirdagdhaṃ rakṣas, nirdagdhārātiḥ samudraṃ mā dhāk, dhruvam asi pṛthivīṃ	nirdagDam rakzas, nirdagDa arAtiH samudram mA DAk, Druvam asi pRTivIm
   dṛṃha, apāgne 'gnim āmādaṃ jahi niḥ kravyādaṃ nudasva, agne devayajanaṃ	dRMha, apAgne agnim AmAdam jahi niH kravyAdam nudasva, agne deva yajanam
   vaha dharuṇam asi, antarikṣaṃ dṛṃha dhartram asi divaṃ dṛṃha dharmāsi	vaha DaruNam asi, antarikzam dRMha Dartram asi divam dRMha Darma asi
   viśvā viśvāni dṛṃha cid asi paricid asi viśvāsu dikṣu sīda sajātān asmai	viSvA viSvAni dRMha cit asi paricid asi viSvAsu dikzu sIda sajAtAn asmE
   yajamānāya pariveśaya sajātā imaṃ yajamānaṃ pariviśantu vasūnāṃ rudrāṇām	yajamAnAya pariveSaya sajAtAH imam yajamAnam pariviSantu vasUnAm rudrANAm
   ādityānāṃ bhṛgūṇām aṅgirasāṃ gharmasya tapasā tapyadhvam //	AdityAnAm BRgUNAm aFgirasAm Garmasya tapasA tapyaDvam //
        yāni gharme kapālāny upacinvanti vedhasaḥ /	yAni Garme kapAlAni upacinvanti veDasaH /
        pūṣṇas tāny api vrata indravāyū vimuñcatām //MS_1,1.8//	pUzNaH tAni api vrataH indra vAyU vimuQcatAm //n= _1,1.8//
   devasya vaḥ savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyāṃ saṃvapāmi	devasya vaH savituH prasave aSvinoH bAhuByAm pUzNaH hastAByAm saMvapAmi
   [Page I,5]	[Pa ge I,5]
        devo vaḥ savitotpunātv achidreṇa pavitreṇa /	devaH vaH savitA utpunAtu aCidreNa pavitreNa /
        vasoḥ sūryasya raśmibhiḥ //	vasoH sUryasya raSmiBiH //
        sam āpā oṣadhībhir gachantāṃ sam oṣadhayo rasena /	sam ApAH ozaDIBiH gaCantAm sam ozaDayaH rasena /
        saṃ revatīr jagatīḥ śivāḥ śivābhiḥ samasṛkṣatāpaḥ //	sam revatIH jagatIH SivAH SivABiH sama sRkza tApaH //
   sīdantu viśas, janayatyai tvā gharmo 'si viśvāyus, gharma gharme śrayasva,	sIdantu viSas, janayatyE tvA GarmaH asi viSvAyus, Garma Garme Srayasva,
