   oṃ namo ratnatrayāya	om namaH ratnatrayAya
   p.1.1/.evaṃ mayā śrutam/ ekasin samaye bhagavān śrāvastyāṃ viharati sma/	p.1.1/.evam mayA Srutam/ ekasin samaye BagavAn SrAvastyAm viharati sma/
   jetavane +anāthapiṇḍadasya^ārāme/	jetavane +anATapiNxadasya^ArAme/
   p.1.2/.atha^āyuṣmān ānandaḥ pūrvāhṇe nivāsya pātra^cīvaram ādāya śrāvastīṃ	p.1.2/.aTa^AyuzmAn AnandaH pUrvAhNe nivAsya pAtra^cIvaram AdAya SrAvastIm
   mahā^nagarīṃ piṇḍāya prāvikṣat/ atha^āyuṣmān ānandaḥ śrāvastīṃ piṇḍāya	mahA^nagarIm piNxAya prAvikzat/ aTa^AyuzmAn AnandaH SrAvastIm piNxAya
   caritvā kṛta^bhakta^kṛtyo yenānyatamam udapānaṃ tena^upasaṃkrāntaḥ/	caritvA kRta^Bakta^kRtyaH yena anyatamam udapAnam tena^upasaMkrAntaH/
   p.1.3/.tena khalu samayena tasminn udapāne prakṛtir nāma mātaṅga^dārikā	p.1.3/.tena Kalu samayena tasmin udapAne prakRtiH nAma mAtaFga^dArikA
   udakam uddharate sma/ atha^āyuṣmān ānandaḥ prakṛtiṃ mātaṅga^dārikām etad	udakam udDarate sma/ aTa^AyuzmAn AnandaH prakRtim mAtaFga^dArikAm etat 
   avocat/ dehi me bhagini pānīyaṃ pāsyāmi/	avocat/ dehi me Bagini pAnIyam pAsyAmi/
   p.1.4/.evaṃ kite prakṛtir mātaṅga^dārikāyuṣmantam ānandam idam avocat/	p.1.4/.evam kite prakRtiH mAtaFga^dArikA Ayuzmantam Anandam idam avocat /
   mātaṅga^dārikāham asmi bhadantānanda/ na^ahaṃ te bhagini kulaṃ vā jātiṃ vā	mAtaFga^dArikA aham asmi Badanta Ananda/ na^aham te Bagini kulam vA jAtim vA
   pṛcchāmi/ api tu sacette parityaktaṃ pānīyaṃ dehi pāsyāmi/	pRcCAmi/ api tu saced te parityaktam pAnIyam dehi pAsyAmi/
