   bhagavandevadeveśa lokanātha jagatpate /	Bagavan-devadeveSa lokanATa jagatpate /
   mantratantraṃ tvayā proktaṃ vistarādvastusādhanam // Stk_1.1 //	mantra-tantram tvayA proktam vistarAt-vastu-sADanam // Stc-_1.1 //
   alpāyuṣastvime martyā alpavīryālpabuddhayaḥ /	alpa-AyuzaH-tu-ime martyAH alpa-vIrya-alpabudDayaH /
   alpasattvālpavittāśca lobhamohāsamanvitāḥ // Stk_1.2 //	alpa-sattva-alpa-vittAH-ca loBa-moha-asamanvitAH // Stc-_1.2 //
   alpagranthaṃ mahārthaṃ ca padārthānīkasaṃkulam /	alpa-granTam mahA-arTam ca padArTa-anIka-saMkulam /
   vaktumarhasi devaiṣāṃ prasādārthaṃ mama prabho // Stk_1.3 //	vaktum-arhasi deva-ezAm prasAda-arTam mama praBo // Stc-_1.3 //
   athātaḥ sampravakṣyāmi śāstraṃ paramadurlabham /	aTa-atas sampravakzyAmi SAstram parama-durlaBam /
   nāmnā tu vātulāttantrād dadhno ghṛtamivoddhṛtam // Stk_1.4 //	nAmnA tu vA-atulAt-tantrAt daDnaH GRtam-iva-udDRtam // Stc-_1.4 //
   nādākhyaṃ yatparaṃ bījaṃ sarvabhūteṣvavasthitam /	nAda-AKyam yat-param bIjam sarva-BUtezu-avasTitam /
   muktidaṃ paramaṃ kiṃ ca divyasiddhipradāyakam // Stk_1.5 //	mukti-dam paramam kim ca divya-sidDi-pradAyakam // Stc-_1.5 //
   tadviditvā mahāsena deśikaḥ pāśahā bhavet /	tat-viditvA mahAsena deSikaH pASa-hA Bavet /
   āgopālāṅganā bālā mlecchāḥ prākṛtabhāṣiṇaḥ // Stk_1.6 //	AgopAla-aFganAH bAlAH mlecCAH prAkRta-BAziNaH // Stc-_1.6 //
   antarjalagatāḥ sattvāste api nityaṃ bruvanti tam /	antar-jala-gatAH sattvAH-te api nityam bruvanti tam /
   sthūlaṃ sūkṣmaṃ paraṃ jñātvā karma kuryādyathepsitam // Stk_1.7 //	sTUlam sUkzmam param jQAtvA karma kuryAt-yaTA-Ipsitam // Stc-_1.7 //
   sthūlaṃ śabda iti proktaṃ sūkṣmaṃ cintāmayaṃ bhavet /	sTUlam SabdaH iti proktam sUkzmam cintA-mayam Bavet /
   cintayā rahitaṃ yattu tatparaṃ parikīrtitam // Stk_1.8 //	cintayA rahitam yat-tu tat-param parikIrtitam // Stc-_1.8 //
   sāntaṃ sarvagataṃ śūnyaṃ mātrādvādaśake sthitam /	sa-antam sarva-gatam SUnyam mAtrA-dvAdaSake sTitam /
   brahmāṇi hrasvāḥ proktāni dīrghā hyaṅgāni ṣaṇmukha // Stk_1.9 //	brahmANi hrasvAH proktAni dIrGAH hi-aFgAni zaNmuKaH // Stc-_1.9 //
   anusvāro bhavennetraṃ sarveṣāṃ copari sthitaḥ /	anusvAraH Bavet-netram sarvezAm ca-upari sTitaH /
   savisargaṃ bhavedastram anusvāravivarjitam // Stk_1.10 //	sa-visargam Bavet-astram anusvAra-vivarjitam // Stc-_1.10 //
   ṣaṣṭhaṃ trayodaśāntaṃ ca pañcame viniyojayet /	zazWam trayodaSa-antam ca paQcame viniyojayet /
   śivaṃ tattu vijānīyān mantramūrtiṃ sadāśivam // Stk_1.11 //	Sivam tat-tu vijAnIyAt mantra-mUrtim sadASivam // Stc-_1.11 //
