   bhikṣuṇī vinaya	BikzuNI  vinaya
   STORY OF MAHĀPRAJĀPATĪ GAUTAMĪ	STORY Oc MAHĀPRAt ĀPATĪ GAUTAMĪ
   1. oṃ namo buddhāya | āryamahāsāṃghikānāṃ lokottaravādināṃ	1. om namaH budDAya | Arya mahA sAMGikAnAm loka uttara vAdinAm
   madhy' udeśikānāṃ pāṭhena bhikṣuṇīvinaya	maDy a u deSikAnAm pAWena BikzuNI vinaya
   syādiḥ |	sya AdiH |
   bhagavān samyaksambuddho yadarthaṃ samudāgato tadartham abhisambhāvayitvā	BagavAn samyaksambudDaH yad arTam samudAgataH tad arTam aBisamBAvayitvA
   śākyeṣu viharati śākyānāṃ kapilavastusmin nyagrodhārāme śāstā devānāñ ca	SAkyezu viharati SAkyAnAm kapilavastusmin nyagroDa ArAme SAstA devAnAn ca
   manuṣyānāñ ca buddho bhagavān satkṛtogurukṛto mānitaḥ pūjito arcito	manuzyAnAn ca budDaH BagavAn satkRta uguru kRtaH mAnitaH pUjitaH arcitaH 
   apacāyito lābhāgrayaśo 'graprāpto lābhī	apacAyitaH lABa agra yaSo  agra prAptaH lABI
   cīvarapiṇḍapātaśayanāsanaglānapratyayabhaiṣajyapariṣkārānān | tatra	cIvara piNxapAta Sayana Asana glAna pratyaya BEzajya parizkArAnAn | tatra
   cānupalipto padmam iva jalena puṇyabhāgīyān satvān puṇyehi niveśayamāno	ca anupaliptaH padmam iva jalena puNya BAgIyAn satvAn puNya ihi niveSayamAnaH 
   phalabhāgīyān satvān phalehi pratiṣṭhāpayamāno vāsanābhāgīyān satvān	Pala BAgIyAn satvAn Pala ihi pratizWApayamAnaH vAsanA BAgIyAn satvAn
   vāsanāyām avasthāpayamāno amṛtam analpakena devamanuṣyān samvibhajanto	vAsanAyAm avasTApayamAnaH amRtam analpakena deva manuzyAn samviBajantaH 
   prāṇikoṭiniyutaśatasahasrāṇy amṛtaṃ anuprāpayanto	prANi kowi niyuta Sata sahasrANi amRtam anuprApayantaH 
   anavarāgrajātijarāmaraṇasaṃsārakāntāranarakavidurgān mahāprapātād	anavara agra jAti jarA maraNa saMsAra kAntAra naraka vidurgAt mahA prapAtAt 
   abhyuddharitvā kṣeme śive same sthale abhaye nirvāṇe pratiṣṭhāpayamāno	aByudDaritvA kzeme Sive same sTale aBaye nirvANe pratizWApayamAnaH 
   āvarjayitvā	AvarjayitvA
   aṅgamagadhavṛjimallikāśikośalakurupañcālacedivatsamatsyaśūrasenaśividaśārṇa	aFga magaDa vRjima llikA aSi koSala kuru paQcAla cedi vatsa matsya SUrasena Sivi daSa arNa
   cāsvakiavanti |	ca asvakiavanti |
   jñāne dṛṣṭaparākramo svayāṃbhūḥ divyehi vihārehi viharanto brāhmehi	jQAne dRzwa parAkramaH svayA aMBUH divya ihi vihAra ihi viharantaH brAhma Ihi
   vihārehi āryehi vihārehi aniñjehi vihārehi viharanto brāhmehi vihārehi	vihAra ihi Aryehi vihAra ihi aniQjehi vihAra ihi viharantaH brAhma ihi vihAra Ihi
   āryehi vihārehi aniñjehi vihārehi sātatye hi vihārehi buddho	Aryehi vihAra ihi aniQjehi vihAra ihi sAtatye hi vihAra ihi budDaH 
   buddhavihārehi jino jinavihārehi jānako jānakavihārehi sarvajño	budDa vihAra ihi jinaH jina vihAra ihi jAnakaH jAnaka vihAra ihi sarvajQaH 
   sarvajñavihārehi cetovasiparamapāramipraptāś ca punar buddhā bhagavanto	sarvajQa vihAra ihi cetaH vasi parama pArami praptAH ca punar budDAH BagavantaH 
   yehi yehi vihārehi ākāṅkṣanti tehi tehi vihārehi viharanti vihārakuśalāś	yehi yehi vihAra Ihi AkAFkzanti tehi tehi vihAra ihi viharanti vihAra kuSalAS
   ca punar buddhā bhagavantaḥ |	ca punar budDAH BagavantaH |
   2. atha khalu mahāprajāpatī gautamī cchandāya cchandakapālāya	2. aTa Kalu mahA prajApatI gOtamI cCandAya cCanda kapAlAya
   dāsacchandāye cchandakamātare ca pañcahi ca śākiyānīśatehi sārdhaṃ yena	dAsa= CandAye cCandaka mAtare ca paQca hi ca SAki yAnI Satehi sArDam yena
   bhagavāṃs tenopasaṃkramitvā bhagavataḥ pādau śirasā vanditvā ekānte	BagavAn tena upasaMkramitvA BagavataH pAdO SirasA vanditvA ekAnte
   asthāsi ekāntasthitā mahāprajāpatī gautamī bhagavantam etad avocat |	asTA asi ekAnta sTitA mahA prajApatI gOtamI Bagavantam etat avocat |
   durlabho bhagavan buddhotpādo durlabhā saddharmadeśanā | bhagavāṃs	durlaBaH Bagavan budDa utpAdaH durlaBA sadDarma deSanA | BagavAn= 
   caitarhi loke utpanno tathāgato 'rhan samyaksambuddho dharmo ca deśayati	ca etarhi loke utpannaH taTAgataH arhan samyaksambudDaH DarmaH ca deSayati
   aupasamiko pārinivāṇiko sugatapravedito amṛtasya prāptaye nirvāṇasya	OpasamikaH pArinivANikaH sugata praveditaH amRtasya prAptaye nirvANasya
   sākṣātkriyāya samvartati | sādhu bhagavan mātṛgrāmo pi labheya	sAkzAt kriyAya samvartati | sADu Bagavat mAtR grAmaH pi laBeya
   tathāgatapravedite dharmavinaye pravrajyām upasampadaṃ bhikṣuṇibhāvaṃ |	taTAgata pravedite Darma vinaye pravrajyAm upasampadam BikzuNi BAvam |
   bhagavān āha | mā te gautami rocatu tathāgatapravedite dharmavinaye	BagavAn Aha | mA te gOtami rocatu taTAgata pravedite Darma vinaye
