   akṛtrimāhamāmarśa- Aprp_1a	akRtrima-aham-AmarSa Aprp_1a
   akṣādiśāntavarṇātmā- Aprp_15c	akza-Adi-SAnta-varNa-AtmA Aprp_15c
   agre iti viniścayāt Aprp_42b	agre iti viniScayAt Aprp_42b
   athavā manasātīte Aprp_45c	aTavA manasA-atIte Aprp_45c
   anuttarānandaśāktis Aprp_33c	anuttara-Ananda-SAktiH Aprp_33c
   anuttarecche unmeṣe Aprp_31c	anuttara-icCe unmeze Aprp_31c
   ayam eva hi saṃsārī Aprp_22c	ayam eva hi saMsArI Aprp_22c
   avabhāsaikatānānāṃ Aprp_11c	avaBAsa-eka-tAnAnAm Aprp_11c
   asataḥ kiṃ satas tābhyāṃ Aprp_5a	asataH kim sataH tAByAm Aprp_5a
   ahami pralayaṃ kurvann Aprp_49a	ahami pralayam kurvan Aprp_49a
   ahaṃkārādijanmabhūḥ Aprp_25d	ahaMkAra-Adi-janma-BUH Aprp_25d
   ahaṃkārādipañcakam Aprp_17b	ahaMkAra-Adi-paQcakam Aprp_17b
   ahaṃ mamedam ity etad Aprp_26a	aham mama-idam iti etat Aprp_26a
   ākāśādyavakāśādi- Aprp_28c	AkASa-Adi-avakASa-Adi Aprp_28c
   ācchādyāhantayā sthitam Aprp_19d	AcCAdya-AhantayA sTitam Aprp_19d
   ādarśavimalābhoge Aprp_13c	AdarSa-vimalA-Boge Aprp_13c
   ādau śuddhātmakaṃ tattvaṃ Aprp_14c	AdO SudDa-Atmakam tattvam Aprp_14c
   ānandeśanam ūnatā(?) Aprp_31d	Ananda-ISanam Una-tA(?) Aprp_31d
   āsāṃ rūpam idaṃ bhavet Aprp_35d	AsAm rUpam idam Bavet Aprp_35d
   iccheśanāntarārūḍhā Aprp_32c	icCeSana-antara-ArUXAH Aprp_32c
   icchaiva sāparimlānā Aprp_19a	icCA-eva sa-aparimlAnAH Aprp_19a
   iti vidyā nigadyate Aprp_21b	iti vidyA nigadyate Aprp_21b
   iti ṣaḍadhikatriṃśadbhedaprasaktajagattanuḥ Aprp_50a	iti zaz-aDika-triMSat-Beda-prasakta-jagat-tanuH Aprp_50a
   itthaṃ cidātmakaṃ sarvaṃ Aprp_14a	itTam cit-Atmakam sarvam Aprp_14a
   itthaṃ parasyāṃ saṃvittau Aprp_45a	itTam parasyAm saMvittO Aprp_45a
   ity āhus tattvavādinyaḥ Aprp_41c	iti AhuH tattva-vAdinyaH Aprp_41c
   ity etat tattvam īritam Aprp_29d	iti etat tattvam Iritam Aprp_29d
   ity eṣā tāttvikī matiḥ Aprp_11b	iti ezA tAttvikI matiH Aprp_11b
   idantāhantayor aikyam Aprp_21a	idanta-AhantayoH Ekyam Aprp_21a
   idamaḥ pratiyoginaḥ Aprp_49b	idamaH pratiyoginaH Aprp_49b
   idaṃ sarvaṃ sad evāsīd Aprp_42a	idam sarvam sat eva-AsIt Aprp_42a
   iyaṃ devī parā śaktiḥ Aprp_30a	iyam devI parA SaktiH Aprp_30a
   īśo vidyeti bhidyate Aprp_15b	ISaH vidyA-iti Bidyate Aprp_15b
   uktaṃ triśaktisaṃghaṭṭāt Aprp_34c	uktam tri-Sakti-saMGawwAt Aprp_34c
   upekṣāyām avasthānaṃ Aprp_6c	upekzAyAm avasTAnam Aprp_6c
   ūrdhvādhaḥ sṛṣṭivapuṣi Aprp_44c	UrDva-aDas sRzwi-vapuzi Aprp_44c
   etat sa pariśiṣyate Aprp_43b	etat sa pariSizyate Aprp_43b
   kadā cin na nivartate Aprp_8d	kadA cit na nivartate Aprp_8d
   kartavyaṃ nānyad ity eṣā Aprp_25a	kartavyam na-anyat iti ezA Aprp_25a
   kalahātītagocare Aprp_46b	kalaha-atIta-gocare Aprp_46b
   kalādyātmatayā mataḥ Aprp_23d	kalA-Adi-Atma-tayA mataH Aprp_23d
   kalāvidyārāgakāla- Aprp_16a	kalA-vidyA-rAga-kAla Aprp_16a
   kalāṣoḍaśakākārā Aprp_36c	kalA-zoxaSaka-AkArAH Aprp_36c
   kādi vyomādipañcakam Aprp_18b	kAdi vyoma-Adi-paQcakam Aprp_18b
   kāraṇaṃ niścayātmanaḥ Aprp_26d	kAraNam niScaya-AtmanaH Aprp_26d
   kāraṇaṃ bhūtapañcakam Aprp_28d	kAraNam BUta-paQcakam Aprp_28d
   kāraṇaṃ śravaṇādīnāṃ Aprp_28a	kAraNam SravaNa-AdInAm Aprp_28a
   kāraṇād atiricyate Aprp_40d	kAraNAt atiricyate Aprp_40d
   kāryeṣu pravirohati Aprp_35b	kAryezu pravirohati Aprp_35b
   kālaḥ paricchedakaro Aprp_24c	kAlaH paricCeda-karaH Aprp_24c
   kiṃcitkartṛtvakāraṇam Aprp_24b	kiMcitkartRtva-kAraNam Aprp_24b
   kiṃ pramāṇāir varākais taiś Aprp_12a	kim pramANAiH varAkEH tEH Aprp_12a
   kṛtaś cainmathite dhāmni Aprp_47a	kRtaH ca-EnmaTite DAmni Aprp_47a
   kriyāśakteḥ sphuṭaṃ vapuḥ Aprp_34b	kriyASakteH sPuwam vapuH Aprp_34b
   kriyecchājñānaśaktīnāṃ Aprp_32a	kriyA-icCA-jQAna-SaktInAm Aprp_32a
   kṣakārāntākṣarātmakaḥ Aprp_16d	kzakAra-anta-akzara-AtmakaH Aprp_16d
   grāhyaṃ tanmātrapañcakam Aprp_28b	grAhyam tanmAtra-paQcakam Aprp_28b
   caturdaśakalātmani Aprp_44b	caturdaSa-kalA-Atmani Aprp_44b
   catvāraḥ parato varṇāḥ Aprp_33a	catvAraH paratas varNAH Aprp_33a
   carantau sthitihetave Aprp_37d	carantO sTiti-hetave Aprp_37d
   cidānuprāṇitātmabhiḥ Aprp_12b	cidAnuprANita-AtmaBiH Aprp_12b
   cid eva pariśiṣyate Aprp_8b	cit eva pariSizyate Aprp_8b
   jaḍatāpi nivartate Aprp_7d	jaxatA-api nivartate Aprp_7d
   jayati bahuśaḥ spandākārā parā cid anuttarā Aprp_50c	jayati bahuSas spanda-AkArA parA cit anuttarAH Aprp_50c
   jīvo bhoktaiva dṛśyate Aprp_22d	jIvaH BoktA-eva dRSyate Aprp_22d
   jñatvakartṛtvapūrṇatva- Aprp_23a	jQa-tva-kartR-tva-pUrNa-tva Aprp_23a
