   akarot pṛthivīruhān api Ragh_8.70c	akarot pRTivIruhAn api RaG_8.70c
   akarot sa tadaurdhvadaihikaṃ Ragh_8.26a	akarot sa tad OrDvadEhikam RaG_8.26a
   akarod acireśvaraḥ kṣitau Ragh_8.20a	akarot acireSvaraH kzitO RaG_8.20a
   akarod indumatīm ivāparām Ragh_8.1d	akarot indumatIm iva aparAm Rau _8.1d
   akāmaṃ tvāṃ tapasvinam Ragh_10.20b	akAmam tvAm tapasvinam RaG_10.20b
   akāmopanateneva Ragh_10.40c	akAma upanatena iva RaG_10.40c
   akāryacintāsamakālam eva Ragh_6.39a	akArya cintA sama kAlam eva RaG_6.39a
   akālajaladodayaḥ Ragh_4.61d	akAla jalada udayaH Rau _4.61d
   akālajño maobhavaḥ Ragh_12.33d	akAla jQaH maoBavaH Rau _12.33d
   akāle bodhito bhrātrā Ragh_12.81a	akAle boDitaH BrAtrA RaG_12.81a
   akiṃcanatvaṃ makhajaṃ vyanakti Ragh_5.16b	akiMcana tvam maKa jam vyanakti RaG_5.16b
   akṛtakavidhi sarvāṅgīṇam ākalpajātaṃ Ragh_18.52c	akRtaka viDi sarva aFgINam Akalpa jAtam RaG_18.52c
   akṛtaśrīparigrahe Ragh_12.16b	akRta SrI parigrahe RaG_12.16b
   akṣabhījavalayena nibabhau Ragh_11.66a	akza BIja valayena nibaBO RaG_11.66a
   akṣoṭaiḥ sārdham ānatāḥ Ragh_4.69d	akzowEH sArDam AnatAH Rau _4.69d
   akṣobhyaḥ sa navo 'py āsīd Ragh_17.44c	akzoByaH sa navaH api AsIt RaG_17.44c
   akhilaṃ cārimaṇḍalaṃ Ragh_4.4d	aKilam cAri maNxalam RaG_4.4d
   agacchad aṃśena guṇābhilāṣiṇī Ragh_3.36c	agacCat aMSena guNa aBilAziNI RaG_3.36c
   agamat kaitakaṃ rajaḥ Ragh_4.55b	agamat kEtakam rajaH RaG_4.55b
   agastyacihnād ayanāt samīpaṃ Ragh_16.44a	agastya cihnAt ayanAt samIpam RaG_16.44a
   agastyācaritām āśām Ragh_4.44c	agastya AcaritAm ASAm RaG_4.44c
   agādhasattvo magadhapratiṣṭhaḥ Ragh_6.21b	agADa sattvaH magaDa pratizWaH RaG_6.21b
   agṛdhnur ādade so 'rtham Ragh_1.21c	agRDnuH Adade saH arTam RaG_1.21c
   agnivarṇam abhiṣicya rāghavaḥ Ragh_19.1a	agni varNam aBizicya rAGavaH RaG_19.1a
   agnisākṣika ivātisṛṣṭavān Ragh_11.48d	agni sAkzikaH iva atisRzwavAn Rau _11.48d
   agrajena prayuktāśīs Ragh_15.8a	agrajena prayukta ASIH RaG_15.8a
   agresarair vājibhir utthitāni Ragh_6.33b	agresarEH vAjiBiH utTitAni RaG_6.33b
   aṅkam aṅkaparivartanocite Ragh_19.13a	aFkam aFka parivartana ucite RaG_19.13a
   aṅkuśaṃ dviradasyeva Ragh_4.39c	aFkuSam dviradasya iva RaG_4.39c
   aṅkuśākārayāṅgulyā Ragh_12.41c	aFkuSa AkArayA aFgulyAH Rau _12.41c
   aṅke nikṣiptacaraṇam Ragh_10.8c	aFke nikzipta caraNam RaG_10.8c
   aṅke nirviśatīṃ bhayāt Ragh_12.38b	aFke nirviSatIm BayAt RaG_12.38b
   aṅgadaṃ candraketuṃ ca Ragh_15.90a	aFgadam candraketum ca RaG_15.90a
   aṅganā iva rajasvalā diśo Ragh_11.60c	aFganAH iva rajasvalAH diSaH Rau _11.60c
   aṅganās tam adhikaṃ vyalobhayann Ragh_19.10c	aFganAH tam aDikam vyaloBayan RaG_19.10c
   aṅgasattvavacanāśrayaṃ mithaḥ Ragh_19.36a	aFga sattva vacana ASrayam miTas RaG_19.36a
   aṅgāraśeṣasya hutāśanasya Ragh_7.43c	aFgAra Sezasya hutASanasya RaG_7.43c
   aṅgināṃ tamasevobhau Ragh_10.39c	aFginAm tamasevA uBO RaG_10.39c
   aṅgulīkisalayāgratarjanaṃ Ragh_19.17a	aFgulI kisalaya agra tarjanam RaG_19.17a
   aṅgulīkṣaraṇasannavartikaḥ Ragh_19.19d	aFgulI kzaraNa sannavartikaH Rau _19.19d
   aṅgulīyaṃ dadau kapiḥ Ragh_12.62b	aFgulIyam dadO kapiH RaG_12.62b
   aṅgulīvivaracāriṇaṃ śaraṃ Ragh_11.70c	aFgulI vivara cAriNam Saram RaG_11.70c
   aṅgulīvoragakṣatā Ragh_1.28d	aFgulI iva uraga kzatAH Rau _1.28d
   aṅguṣṭhamāulārpitasūtraśeṣā Ragh_7.10d	aFguzWa mAula arpita sUtra SezAH RaG_7.10d
   acintanīyas tu tava prabhāvo Ragh_5.33c	acintanIyaH tu tava praBAvaH RaG_5.33c
   acintayitvā guruṇāham uktaḥ Ragh_5.21b	acintayitvA guruNA aham uktaH RaG_5.21b
   acirād vajvabhir bhāgaṃ Ragh_10.46a	acirAt vajvaBiH BAgam RaG_10.46a
   aciropanatāṃ sa medinīṃ Ragh_8.7c	acira upanatAm sa medinIm RaG_8.7c
   ajanmane 'kalpata janmabhīruḥ Ragh_18.33d	ajanmane akalpata janma BIruH Rau _18.33d
   ajayad ekarathena sa medinīm Ragh_9.10a	ajayat eka raTena sa medinIm RaG_9.10a
   ajasya gṛhṇato janma Ragh_10.25a	ajasya gRhNataH janmaH RaG_10.25a
   ajasradīkṣāprayatasya madguroḥ Ragh_3.44c	ajasra dIkzA prayatasya mad guroH RaG_3.44c
   ajasradīkṣāprayataḥ sa madguruḥ Ragh_3.65c	ajasra dIkzA prayataH sa mad guruH RaG_3.65c
   ajasram āhūtasahasranetraḥ Ragh_6.23b	ajasram AhUta sahasra netraH RaG_6.23b
   ajitam asti nṛpāspadam ity abhūd Ragh_9.15c	ajitam asti nRpa Aspadam iti aBUt RaG_9.15c
