   BhP_03.01.001/0 śrī-śuka uvāca	BhP_03.01.001/0 SrI-SukaH uvAca
   BhP_03.01.001/1 evam etat purā pṛṣṭo maitreyo bhagavān kila	Bhu-_03.01.001/1 evam etat purA pRzwaH mEtreyaH BagavAn kila
   BhP_03.01.001/2 kṣattrā vanaṃ praviṣṭena tyaktvā sva-gṛham ṛddhimat	Bhu-_03.01.001/2 kzattrA vanam pravizwena tyaktvA sva--gRham RdDimat-
   BhP_03.01.002/1 yad vā ayaṃ mantra-kṛd vo bhagavān akhileśvaraḥ	Bhu-_03.01.002/1 yat vE ayam mantra--kRt vaH BagavAn aKila-ISvaraH
   BhP_03.01.002/2 pauravendra-gṛhaṃ hitvā praviveśātmasāt kṛtam	Bhu-_03.01.002/2 pOrava-indra--gRham hitvA praviveSa-AtmasAt kRtam
   BhP_03.01.003/0 rājovāca	BhP_03.01.003/0 rAjA-uvAca
   BhP_03.01.003/1 kutra kṣattur bhagavatā maitreyeṇāsa saṅgamaḥ	Bhu-_03.01.003/1 kutra kzattuH BagavatA mEtreyeNa-Asa saFgamaH
   BhP_03.01.003/2 kadā vā saha-saṃvāda etad varṇaya naḥ prabho	Bhu-_03.01.003/2 kadA vA saha--saMvAdaH etat varNaya naH praBo
   BhP_03.01.004/1 na hy alpārthodayas tasya vidurasyāmalātmanaḥ	Bhu-_03.01.004/1 na hi alpa-arTa-udayaH tasya vidurasya-amala-AtmanaH
   BhP_03.01.004/2 tasmin varīyasi praśnaḥ sādhu-vādopabṛṃhitaḥ	Bhu-_03.01.004/2 tasmin varIyasi praSnaH sADu--vAda-upabRMhitaH
   BhP_03.01.005/0 sūta uvāca	BhP_03.01.005/0 sUtaH uvAca
   BhP_03.01.005/1 sa evam ṛṣi-varyo 'yaṃ pṛṣṭo rājñā parīkṣitā	Bhu-_03.01.005/1 saH evam Rzi--varyaH ayam pRzwaH rAjQA parIkzitA
   BhP_03.01.005/2 praty āha taṃ subahu-vit prītātmā śrūyatām iti	Bhu-_03.01.005/2 prati Aha tam su-bahu-vid prIta-AtmA SrUyatAm iti
   BhP_03.01.006/0 śrī-śuka uvāca	BhP_03.01.006/0 SrI-SukaH uvAca
