   saptama ucchvāsaḥ	saptamaH ucCvAsaH
   aṅganavedī vasudhā kulyā jaladhiḥ sthalī ca pātālam /	aFgana-vedI vasuDA kulyA jalaDiH sTalI ca pAtAlam /
   valmīkaśca sumeruḥ kṛtapratijñasya vīrasya // 7.1 //	valmIkaH-ca sumeruH kRta-pratijQasya vIrasya // 7.1 //
   dhṛtadhanuṣi bāhuśālini śailā na namanti yattadāścaryam /	DRta-Danuzi bAhu-SAlini SElAH na namanti yat-tat-AScaryam /
   ripusaṃjñakeṣu gaṇanā kaiva varākeṣu kākeṣu // 7.2 //	ripu-saMjQakezu gaNanA kA-eva varAkezu kAkezu // 7.2 //
   atha vyīteṣu ca keṣuciddivaseṣu mauhūrtikamaṇḍalena śataśaḥ sugaṇite	aTa vyItezu ca kezucid-divasezu mOhUrtika-maNxalena SataSas su-gaNite
   supraśaste 'hani datte catasṛṇāmapi diśāṃ vijayayogye daṇḍayātrālagne	su-praSaste ahani datte catasRNAm-api diSAm vijaya-yogye daNxa-yAtrA-lagne
   salilamokṣaviśāradaiḥ śāradairivāmbhodharaiḥ kāladhautaiḥ śātakaumbhaiśca	salila-mokza-viSAradEH SAradEH-iva-amBoDarEH kAla-DOtEH SAtakOmBEH-ca
   kumbhaiḥ snātvā viracayya paramayā bhaktyā bhagavato	kumBEH snAtvA viracayya paramayA BaktyA BagavataH-
   nīlalohitasyārcāmudarciṣaṃ hutvā pradakṣiṇāvartaśikhākalāpamāśuśukṣaṇiṃ,	nIlalohitasya-arcAm-udarcizam hutvA pradakziNa-Avarta-SiKA-kalApam-ASu-SukzaNiM,
   dattvā dvijebyo ratnavanti rājatāni jātarūpamayāni ca	dattvA dvijebyaH ratnavanti rAjatAni jAtarUpa-mayAni ca
   sahasraśastilapātrāṇi kanakapatralatālaṅkṛtaśaphaśṛṅgaśikharā	sahasraSas-tila-pAtrANi kanaka-patra-latA-alaFkRta-SaPa-SRFga-SiKarA
   gāścārbudaśaḥ, samupaviśya vitatavyāghracarmaṇi bhadrāsane vilipya	gAH-ca-arbudaSaH, samupaviSya vitata-vyAGra-carmaNi BadrAsane vilipya
