   // śrīḥ //	// SrIH //
   śukasaptatiḥ //	SukasaptatiH //
   "vinodinī' saṃskṛta-hindī-vyākhyopetā //	"vinodinI-a saMskRta-hindI--vyAKyA-upetAH //
   START Suk 1:	START Suc 1:
   praṇamya śāradāṃ devīṃ divyavijñānaśālinīm /	praNamya SAradAm devIm divya-vijQAna-SAlinIm /
   vacmi cetovinādārthamuddhāraṃ kīrasammateḥ // Suk_1.1 (=1) //	vacmi cetaH-vinAda-arTam-udDAram kIra-sammateH // Suc-_1.1 (=1) //
   asti candrapuraṃ nāma nagaram /	asti candrapuram nAma nagaram /
   tatra vikramaseno nāma rājā babhūva /	tatra vikramasenaH nAma rAjA baBUva /
   tasminnagare haridatto nāma śreṣṭhī tasya bhāryā śṛṅgarasundarīnāmnī /	tasminnagare haridattaH nAma SrezWI tasya BAryA SRFgarasundarI-nAmnI /
   tatputro madanāvinodanāmā babhūva /	tad-putraH madana-avinoda-nAmA baBUva /
   tasya patnī prabhāvatī /	tasya patnI praBAvatI /
   sā somadattaśreṣṭhinaḥ kanyā /	sA somadatta-SrezWinaH kanyA /
   madanavinodastu atīvaviṣayāsaktaḥ kuputraḥ pituḥ śikṣāṃ na śṛṇoti /	madanavinodaH-tu atIva-vizaya-AsaktaH ku-putraH pituH SikzAm na SRNoti /
   tasya dyūtamṛgayāveśyāmadyādiṣu atīva āsaktiḥ /	tasya dyUta-mRgayA-veSyA-madya-Adizu atIva AsaktiH /
   kumārgacāriṇaṃ taṃ kuputraṃ dṛṣṭvā tatpitā haridattaḥ sapatnīkaḥ atīva	kumArga-cAriNam tam ku-putram dRzwvA tad-pitA haridattaH sa-patnIkaH atIva
   duḥkhitaḥ sañjātaḥ /	duHKitaH san-jAtaH /
   taṃ haridattaṃ kuputraduḥkhena pīḍitaṃ dṛṣṭvā tasya sakhā trivikramanāmā	tam hari-dattam ku-putra-duHKena pIxitam dRzwvA tasya saKA trivikrama-nAmA
   dvijaḥ svagṛhato nītinipuṇaṃ śukaṃ sārikāṃ ca gṛhītvā tadgṛhe gatvā	dvijaH sva-gRhataH nIti-nipuNam Sukam sArikAm ca gRhItvA tad-gRhe gatvA
   prāha-"sakhe haridatta! enaṃ śukaṃ sapatnīkaṃ putravattvaṃ paripālaya /	prAha--"saKe haridatta! enam Sukam sa-patnIkam putravat-tvam paripAlaya /
   etatsaṃrakṣaṇena tava duḥkhaṃ dūrībhaviṣyati' /	etad-saMrakzaNena tava duHKam dUrIBavizyati-a /
   haridattastu taṃ śukaṃ gṛhītvā putrāya samarpayāmāsa /	haridattaH-tu tam Sukam gRhItvA putrAya samarpayAmAsa /
   madanavinodena śayanamandire svarṇapañjarasthaḥ sthāpitaḥ paripoṣitaśca /	madanavinodena Sayana-mandire svarNa-paQjara-sTaH sTApitaH paripozitaH-ca /
   athaikadā rahasi śuko madanaṃ prāha-	aTa-ekadA rahasi SukaH madanam prAha-
   he sakhe!	he saKe!
   pitroste duḥkhinorduḥkhātpatatyaśrucayo bhuvi /	pitroH-te duHKinoH-duHKAt-patati-aSru-cayaH Buvi /
   tena pāpena te vatsa patanaṃ devaśarmavat // Suk_1.2 (=2) //	tena pApena te vatsa patanam devaSarma-vat // Suc-_1.2 (=2) //
   sa prāha-"kathametat?' śuka āha-asti pañcapuraṃ nāma nagaram /	sa prAha-"kaTam-etatas-a SukaH Aha-asti paQcapuram nAma nagaram /
   tatra satyaśarmā brāhmaṇaḥ /	tatra satyaSarmA brAhmaNaH /
   tadbhāryā dharmaśīlānāmnī putrastu devaśarmā /	tad-BAryA Darma-SIlA-nAmnI putraH-tu devaSarmA /
   sa ca adhītavidyaḥ pitṛpracchannavṛttyā deśāntaraṃ gatvā bhāgīrathītīre	sa ca aDIta-vidyaH pitR-pracCanna-vRttyA deSa-antaram gatvA BAgIraTI-tIre
   tapaḥ kṛtavān /	tapaH kRtavAn /
   ekadā sa tapasvī gaṅgātīre japārthamupaviṣṭaḥ /	ekadA sa tapasvI gaFgA-tIre japa-arTam-upavizwaH /
   tasminkāle kayācit balākayā uḍḍīyamānayā tadaṅgopari purīṣotsargaḥ kṛtaḥ /	tasmin-kAle kayAcid balAkayA uxxIyamAnayA tad-aFga-upari purIza-utsargaH kRtaH /
   sa ca tapasvī krodhākulitanetraḥ yāvadūrdhvaṃ paśyati tāvattatkrodhāgninā	sa ca tapasvI kroDa-Akulita-netraH yAvat-UrDvam paSyati tAvat-tad-kroDa-agninA
   bhasmībhūtāṃ balākāṃ bhūmau patitāṃ dṛṣṭvā [balākāṃ dagdhvā]	BasmIBUtAm balAkAm BUmO patitAm dRzwvA [balAkAm dagDvA]
   nārāyaṇadvijagṛhe bhikṣārthaṃ yayau /	nArAyaNa-dvija-gRhe BikzA-arTam yayO /
   svabhartṛśuśrūṣāparayā tatpatnyā kopābhiviṣṭo nirbhartsitaḥ	sva-BartR-SuSrUzA-parayA tad-patnyA kopa-aBivizwaH nirBartsitaH
   satpakṣihāyamuktaśca- "nāhaṃ balākeva tvatkopasthānam' /	sat-pakzi-hAya-muktaH-ca "nA-aham balAkA-iva tvad-kopa-sTAnam-a /
   sa ca pracchannapātakajñānādbhīto vismitaśca, preṣitaśca tayā	sa ca pracCanna-pAtaka-jQAnAt-BItaH vismitaH-ca, prezitaH-ca tayA
   dharmavyādhapārśva vāraṇasīṃ nagarīṃ yayau /	DarmavyADa-pArSva vAraNasIm nagarIm yayO /
   tatra raktāktahastaṃ yamapratibhaṃ māṃsavikrayaṃ vidadhānaṃ taṃ dṛṣṭvā	tatra rakta-akta-hastam yama-pratiBam mAMsa-vikrayam vidaDAnam tam dRzwvA
   dṛśāmantaḥsthitaḥ /	dRSAm-antar-sTitaH /
   vyādhena svāgatapraśnapūrvakaṃ svagṛhaṃ nītvā nijapitarau sabhaktikaṃ	vyADena svAgata-praSna-pUrvakam sva-gRham nItvA nija-pitarO saBaktikam
   bhojayitvā paścāttasya bhojanaṃ dattam /	BojayitvA paScAt-tasya Bojanam dattam /
