   ******************** ADHYAYA 1 ********************	******************** ADHYAYAH 1 ********************
   yatpadāmbhoruhadhyānavidhvastāśeṣakalmaṣaḥ /	yad pada amBoruha DyAna viDvasta aSeza kalmazaH /
   vastutām upayāto 'haṃ yāmuneyaṃ namāmi tam //	vastu tAm upayAtaH aham yAmunA iyam namAmi tam //
   śriyaḥ patiḥ, nikhilaheyapratyanīkakalyāṇaikatānaḥ,	SriyaH patiH, niKila heya pratyanIka kalyANa ekatAnaH,
   svetarasamastavastuvilakṣaṇānantajñanānandaikasvarūpaḥ,	sva itara samasta vastu vilakzaNa ananta jQana Ananda eka svarUpaH,
   svābhāvikānavadhikātiśayajñānabalāiśvaryavīryaśaktitejaḥprabhṛtyasaṃkhyeyakalyāṇaguṇagaṇamahodadhiḥ,	svABAvikAna vaDika atiSaya jQAna balAi Svarya vIrya Sakti tejaH praBRti asaMKyeya kalyANa guNa gaNa mahodaDiH,
   svābhimatānurūpaikarūpācintyadivyādbhutanityaniravadyaniratiśayāujjvalyasaundaryasaugandhyasaukumāryalāvaṇyayauvanādyanantaguṇanidhidivyarūpaḥ,	sva aBimata anurUpa eka rUpa acintya divya adButa nitya niravadya niratiSayAujjvalya sOndarya sOganDya sOkumArya lAvaNya yOvana Adi ananta guNa niDi divy
   svocitavividhavicitrānantāścaryanityaniravadyāparimitadivyabhūṣaṇaḥ,	sva ucita viviDa vicitra ananta AScarya nitya niravadya aparimita divya BUzaNaH,
   svānurūpāsaṃkhyeyācintyaśaktinityaniravadyaniratiśayakalyāṇadivyāyudhaḥ,	sva anurUpA saMKyeya acintya Sakti nitya niravadya niratiSaya kalyANa divya AyuDaH,
   svābhimatānurūpanityaniravadyasvarūparūpaguṇavibhavāiśvaryaśīlādyanavadhikātiśayāsaṃkhyeyakalyāṇaguṇagaṇaśrīvallabhaḥ,	sva aBimata anurUpa nitya niravadya sva rUpa rUpa guNa viBavAi Svarya SIla Adi anavaDika atiSaya asaMKyeya kalyANa guNa gaNa SrIvallaBaH,
   svasaṅkalpānuvidhāyisvarūpasthitipravṛttibhedāśeṣaseṣataikaratirūpanityaniravadyaniratiśayajñānakriyāiśvaryādyanantaguṇagaṇāparimitasūribhir	sva saFkalpa anuviDAyi svarUpa sTiti pravRtti Beda aSeza sezatA eka rati rUpa nitya niravadya niratiSaya jQAna kriyAiSvarya Adi ananta guNa gaNa aparimit
   anavaratābhiṣṭutacaraṇayugalaḥ, vāṅmanasāparicchedyasvarūpasvabhāvaḥ	anavarata aBizwuta caraNa yugalaH, vAc manasA aparicCedya svarUpa svaBAvaH
