   PADA MARKERS	PADAH MARKERS
   For a four pada verse:	FoH a fouH  pada verse:
   For a six pada verse:	FoH a six pada verse:
   vāgarthāv iva saṃpṛktau $ vāgarthapratipattaye &	vAc arTO iva saMpRktO $ vAc arTa pratipattaye &
   jagataḥ pitarau vande % pārvatīparameśvarau // Ragh_1.1 //	jagataH pitarO vande % pArvatI parameSvarO // RaG_1.1 //
   kva sūryaprabhavo vaṃśaḥ $ kva cālpaviṣayā matiḥ &	kva sUrya praBavaH vaMSaH $ kva ca alpa vizayA matiH &
   titīrṣur dustaram mohād % uḍupenāsmi sāgaram // Ragh_1.2 //	titIrzuH dustaram mohAt % uxupena asmi sAgaram // RaG_1.2 //
   mandaḥ kaviyaśaḥ prārthī $ gamiṣyāmy upahāsyatām &	mandaH kavi yaSaH prArTI $ gamizyAmi upahAsyatAm &
   prāṃśulabhye phale lobhād % udbāhur iva vāmanaḥ // Ragh_1.3 //	prAMSulaBye Pale loBAt % udbAhuH iva vAmanaH // RaG_1.3 //
   #a: (prepsur C)	#a: (prepsuH C)
   #c: (mohād ct C S^t V)	#c: (mohAt ct S S^t V)
   atha vā kṛtavāgdvāre $ vaṃśe 'smin pūrvasūribhiḥ &	aTa vA kRta vAc dvAre $ vaMSe asmin pUrva sUriBiH &
   maṇau vajrasamutkīrṇe % sūtrasyevāsti me gatiḥ // Ragh_1.4 //	maNO vajra samutkIrNe % sUtrasya iva asti me gatiH // RaG_1.4 //
   so 'ham ājanamaśuddhānām $ āphalodayakarmaṇām &	saH aham Ajanam aSudDAnAm $ APala udaya karmaNAm &
   āsamudrakṣitīśānām % ānākarathavartmanām // Ragh_1.5 //	Asamudra kzitISAnAm % AnAka raTa vartmanAm // RaG_1.5 //
   yathāvidhihutāgnīnāṃ $ yathākāmārcitārthinām &	yaTA viDi huta agnInAm $ yaTAkAma arcita arTinAm &
   yathāparādhadaṇḍānāṃ % yathākālaprabhodhinām // Ragh_1.6 //	yaTA aparADa daNxAnAm % yaTAkAla praBoDinAm // RaG_1.6 //
   tyāgāya saṃbhṛtārthānāṃ $ satyāya mitabhāṣiṇām &	tyAgAya saMBRta arTAnAm $ satyAya mita BAziNAm &
   yaśase vijigīṣuṇāṃ % prajāyai gṛhamendhinām // Ragh_1.7 //	yaSase vijigIzuNAm % prajAyE gRhamenDinAm // RaG_1.7 //
   śaiśave 'bhyastavidyānāṃ $ yauvane viṣayaiṣiṇām &	SESave aByasta vidyAnAm $ yOvane vizaya eziNAm &
   vārdhhake munivṛttīnāṃ % yogenānte tanutyajām // Ragh_1.8 //	vArDhake muni vRttInAm % yogena ante tanutyajAm // RaG_1.8 //
   raghūṇām anvayaṃ vakṣye $ tanuvāgvibhavo 'pi san &	raGUNAm anvayam vakzye $ tanu vAc viBavaH api san &
   tadguṇaiḥ karṇam āgatya % cāpalāya pracoditaḥ // Ragh_1.9 //	tad guNEH karNam Agatya % cApalAya pracoditaH // RaG_1.9 //
   #d: (^ṇoditaḥ N P)(^tāritaḥ C)	#d: (^NA uditaH N P)(^tAritaH C)
   taṃ santaḥ śrotum arhanti $ sadasadvyaktihetavaḥ &	tam santaH Srotum arhanti $ sat asat vyakti hetavaH &
   hemnaḥ saṃlakṣyate hy agnau % viśuddhiḥ śyāmikāpi vā // Ragh_1.10 //	hemnaH saMlakzyate hi agnO % viSudDiH SyAmikA api vA // RaG_1.10 //
   vaivasato manur nāma $ mānanīyo manīṣiṇām &	vEvasataH manuH nAma $ mAnanIyaH manIziNAm &
   āsīn mahīkṣitām ādyaḥ % praṇavaś chandasām iva // Ragh_1.11 //	AsIt mahIkzitAm AdyaH % praNavaH CandasAm iva // RaG_1.11 //
   #c: (^bhṛtām V^p Ak)	#c: (^BRtAm V^p Ak)
   tadanvaye śuddhimati $ prasūtaḥ śuddhimattaraḥ &	tad anvaye SudDimati $ prasUtaH SudDimattaraH &
   dilīpa iti rājendur % induḥ kṣīranidhāv iva // Ragh_1.12 //	dilIpaH iti rAja induH % induH kzIra niDO iva // RaG_1.12 //
   #a: (śuddhamatiḥ C)	#a: (SudDa matiH C)
   #b: (^tamaḥ Am)	#b: (^tamaH Am)
   #c: (^endra V)	#c: (^endraH V)
   vyūḍhorasko vṛṣaskandhaḥ $ śālaprāṃśur mahābhujaḥ &	vyUXa uraskaH vRza skanDaH $ SAla prAMSuH mahA BujaH &
   ātmakarmakṣamaṃ dehaṃ % kṣātro dharma ivāśritaḥ // Ragh_1.13 //	Atma karma kzamam deham % kzAtraH DarmaH iva ASritaH // RaG_1.13 //
   #d: (āsthitaḥ C)	#d: (a AsTitaH C)
   sarvātiritasāreṇa $ sarvatejo'bhibhāvinā &	sarva atirita sAreNa $ sarva tejaH aBiBAvinA &
   sthitaḥ sarvonnatenorvīṃ % krāntvā merur ivātmanā // Ragh_1.14 //	sTitaH sarva unnatena urvIm % krAntvA meruH iva AtmanA // RaG_1.14 //
   ākārasadṛśaprajñaḥ $ prajñayā sadṛśāgamaḥ &	AkAra sadRSa prajQaH $ prajQayA sadRSa AgamaH &
   āgamaiḥ sadṛśārambha[ḥ] % ārambhasadṛśodayaḥ // Ragh_1.15 //	AgamEH sadRSa AramBa[H] % AramBa sadRSa udayaH // RaG_1.15 //
   #d: (prārambha^ S V)	#d: (prAramBa^ S V)
   bhīmakāntair nṛpaguṇaiḥ $ sa bhabhūvopajīvinām &	BIma kAntEH nRpa guNEH $ sa BaBUva upajIvinAm &
   adhṛṣyaś cābhi gamyaś ca % yādhoratnair ivārṇavaḥ // Ragh_1.16 //	aDRzyaH ca aBi gamyaH ca % yA aDaH ratnEH iva arNavaH // RaG_1.16 //
   #c: (^ādhi C V^n)	#c: (^ADi C V^n)
   rekhāmātram api kṣuṇṇād $ ā manor vartmanaḥ param &	reKA mAtram api kzuNNAt $ A manoH vartmanaH param &
   na vyatīyuḥ prajās tasya % niyantur nemivṛttayaḥ // Ragh_1.17 //	na vyatIyuH prajAH tasya % niyantuH nemi vRttayaH // RaG_1.17 //
   #b: (ātmano C V)	#b: (a AtmanaH C V)
   prajānām eva bhūty arthaṃ $ sa tābyho balim agrahīt &	prajAnAm eva BUti arTam $ sa tAbyhaH balim agrahIt &
   sahasraguṇam utsraṣṭum % ādatte hi rasaṃ raviḥ // Ragh_1.18 //	sahasraguNam utsrazwum % Adatte hi rasam raviH // RaG_1.18 //
   #a: (bhṛty^ C^t)	#a: (BRti ^ C^t)
   #d: (ān C)	#d: (An C)
   senā paricchadas tasya $ dvayam evārthasādhanam &	senA paricCadaH tasya $ dvayam eva arTa sADanam &
   śāstreṣv akuṇṭhitā buddhir % maurvī dhanuṣi cātatā // Ragh_1.19 //	SAstrezu akuNWitA budDiH % mOrvI Danuzi ca AtatA // RaG_1.19 //
   #a: (ā^ C S V^n)	#a: (A^ C S V^n)
   #c: (^eṣu vyāvṛtā V)(^eṣu vyāpṛtā M^v)(e c'; āvyāhatā C)	#c: (^ezu vyAvRtAH V)(^ezu vyApRtAH M^v)(e ca; AvyAhatA C)
   tasya saṃvṛtamantrasya $ gūdhākāreṅgitasya ca &	tasya saMvRta mantrasya $ gUDa AkAra iFgitasya ca &
   phalānumeyāḥ prārambhāḥ % saṃskārāḥ prāktanā iva // Ragh_1.20 //	Pala anumeyAH prAramBAH % saMskArAH prAktanAH iva // RaG_1.20 //
   jugopātmānam atrasto $ bheje dharmam anāturaḥ &	jugopa AtmAnam atrastaH $ Beje Darmam anAturaH &
   agṛdhnur ādade so 'rtham % asaktaḥ sukham anvabhūt // Ragh_1.21 //	agRDnuH Adade saH arTam % asaktaH suKam anvaBUt // RaG_1.21 //
   #c: (ān C V Kd Kk^12 Kn Sd^12)	#c: (An C V Kd Kc ^12 Kn Sd^12)
   jñāne maunaṃ kṣamā śaktau $ tyāge ślāghāviparyayaḥ &	jQAne mOnam kzamA SaktO $ tyAge SlAGA viparyayaH &
