   Pariccheda 2	Pari=-CedaH 2
   kāvya-śobhā-karān dharmān $ alaṃ-kārān pra-cakṣate &	kAvya--SoBA-karAn DarmAn $ alaM-kArAn pra-cakzate &
   te cā7dyā7pi vi-kalpyante % kas tān kārtsnyena vakṣyati // 2.1 //	te ca-a7dyA7pi vi-kalpyante % kaH tAn kArtsnyena vakzyati // 2.1 //
   kiṃ-tu bījaṃ vi-kalpānāṃ $ pūrvā3-cāryaiḥ pra-darsitam &	kiM-tu bIjam vi-kalpAnAm $ pUrvA3-cAryEH pra-darsitam &
   tad eva prati-saṃs-kartum % ayam asmat-pari-śramaḥ // 2.2 //	tat eva prati-saMs-kartum % ayam asmat--pari-SramaH // 2.2 //
   kāś-cin mārga-vi-bhāgā1rtham $ uktāḥ prāg apy alaṃ-kriyāḥ &	kAS-cid mArga--vi-BAga-A1rTam $ uktAH prAk api alaM-kriyAH &
   sā3-dhāraṇam alaṃ-kāra- % jātam anyat pra-darśyate // 2.3 //	sA3-DAraNam alaM-kAra % jAtam anyat pra-darSyate // 2.3 //
   sva-bhāvā3-khyānam upa-mā $ rūpakaṃ dīpakā3vṛttiḥ &	sva-BAva-a3-KyAnam upa-mA $ rUpakam dIpakA3-vRttiH &
   ā-kṣepo 'rthā1ntara-ny-āso % vy-ati-reko vi-bhāvanā // 2.4 //	A-kzepaH arTa-a1ntara-ny-AsaH % vy-ati-rekaH vi-BAvanAH // 2.4 //
   sam-āsā3ti-śayo3t-pre3kṣā $ hetuḥ sūkṣmo lavaḥ kramaḥ &	sam-Asa-a3ti-Sa-yo3t--pre3kzAH $ hetuH sUkzmaH lavaH kramaH &
   preyo rasa-vad ūrjas-vi % pary-āyo1ktaṃ sam-ā-hitam // 2.5 //	preyaH rasa-vat Urjas-vi % pary-AyaH-1ktam sam-A-hitam // 2.5 //
   ud-ā-ttā1pa-hnuti-śleṣa- $ vi-śeṣās tulya-yogitā &	ud-A-ttA1-pa-hnuti--Sleza $ vi-SezAH tulya--yogitAH &
   vi-rodhā1-pra-stuta-stotre % vy-āja-stuti-ni-darśane // 2.6 //	vi-roDA1--pra-stuta-stotre % vy-Aja--stuti--ni-darSane // 2.6 //
