   śrīdevy uvāca |=20	SrI-devI uvAca |=20
   anuttaraṃ kathaṃ deva svataḥ kaulikasiddhidam |	anuttaram kaTam deva svatas kOlika-sidDi-dam |
   yena vijñātamātreṇa khecarīsamatāṃ vrajet || 1 ||	yena vijQAta-mAtreNa KecarI-sama-tAm vrajet || 1 ||
   etad guhyaṃ mahāguhyaṃ kathayasva mama prabho |	etat guhyam mahA-guhyam kaTayasva mama praBo |
   hṛdayasthā tu yā śaktiḥ kaulinī kulanāyikā || 2 ||	hRdaya-sTA tu yA SaktiH kOlinI kula-nAyikAH || 2 ||
   tām me kathaya deveśa yena tṛptiṃ vrajāmy aham |	tAm me kaTaya deveSa yena tRptim vrajAmi aham |
   śrībhairava uvāca |	SrI-BEravaH uvAca |
   śṛṇu devi mahābhage uttarasyāpy anuttaram || 3 ||	SRNu devi mahA-Bage uttarasya-api anuttaram || 3 ||
   kathayāmi na saṃdehaḥ sadyaḥ kaulikasiddhidam |	kaTayAmi na saMdehaH sadyas kOlika-sidDi-dam |
   kauliko 'yaṃ vidhir devi mama hṛdvyomny avasthitaḥ || 4 ||	kOlikaH ayam viDiH devi mama hRd-vyomni avasTitaH || 4 ||
   athādyās tithayaḥ sarve svarā bindvavasānakāḥ |	aTa-AdyAH tiTayaH sarve svarAH bindu-avasAnakAH |
   tadantaḥ kālayogena somasūryau prakīrtitau || 5 ||	tad-antar kAla-yogena soma-sUryO prakIrtitO || 5 ||
   pṛthivyādīni tattvāni puruṣāntāni pañcasu |	pRTivI-AdIni tattvAni puruza-antAni paQcasu |
   kramāt kādiṣu vargeṣu makārānteṣu suvrate || 6 ||	kramAt ka-Adizu vargezu makAra-antezu suvrate || 6 ||
   vāyvagnisalilendrāṇāṃ dhāraṇānāṃ catuṣṭayam |	vAyu-agni-salila-indrANAm DAraNAnAm catuzwayam |
   tadūrdhve śādivikhyātam purastād brahmapañcakam || 7 ||	tad-UrDve SAdi-viKyAtam purastAt brahmapaQcakam || 7 ||
   amūlā tatkramā jñeyā kṣāntā sṛṣṭir udāhṛtā |	amUlA tad-kramA jQeyA kzAntA sRzwiH udAhRtA |
   sarveṣāṃ caiva mantrāṇāṃ vidyānāṃ ca yaśasvini || 8 ||	sarvezAm ca-eva mantrANAm vidyAnAm ca yaSasvini || 8 ||
   iyaṃ yoniḥ samākhyātā sarvatantreṣu sarvadā |	iyam yoniH samAKyAtA sarva-tantrezu sarvadA |
   caturdaśayutaṃ bhadre tithīśāntasamanvitam |	caturdaSa-yutam Badre tiTI-ISAnta-samanvitam |
   tṛtīyam brahma suśroṇi hṛdayam bhairavātmanaḥ || 9 ||	tRtIyam brahma suSroNi hRdayam BErava-AtmanaH || 9 ||
   etan nā yoginījāto nā rudro labhate sphuṭam |	etat nA yoginI-jAtaH nA rudraH laBate sPuwam |
   hṛdayaṃ devadevasya sadyo yogavimokṣadam || 10 ||	hRdayam devadevasya sadyas yoga-vimokza-dam || 10 ||
   asyoccāre kṛte samyaṅ mantramudrāgaṇo mahān |	asya-uccAre kRte samyak mantra-mudrA-gaNaH mahAn |
   sadyaḥ sanmukhatām eti svadehāveśalakṣaṇam || 11 ||	sadyas sat-muKa-tAm eti sva-deha-AveSa-lakzaNam || 11 ||
   muhūrtaṃ smarate yas tu cumbake nābhimudritaḥ |	muhUrtam smarate yaH tu cumbake nABi-mudritaH |
   sa badhnāti tadā dehaṃ mantramudrāgaṇaṃ naraḥ || 12 ||	sa baDnAti tadA deham mantra-mudrA-gaNam naraH || 12 ||
   atītānāgatānarthān pṛṣṭo 'sau kathayaty api |	atIta-anAgatAn-arTAn pRzwaH asO kaTayati api |
   praharād yad abhipretaṃ devatārūpam uccaran || 13 ||	praharAt yat aBipretam devatA-rUpam uccaran || 13 ||
   sakṣāt paśyaty asaṃdigdham ākṛṣṭaṃ rudrasaktibhiḥ |	sakzAt paSyati asaMdigDam AkRzwam rudra-saktiBiH |
