   atha śabdādhyāyaḥ //	aTa Sabda-aDyAyaH //
   nyā. pa. śa. 1 athānumodayaṃ smṛtyā hetutvenāpi saṃsthitm /	nyA. pa. Sa. 1 aTa-anumodayam smRtyA hetu-tvena-api saMsTitm /
   madhye tayorihetadānīṃ mānaṃ śabdaṃ pracakṣmahe //	maDye tayoH-ihetadAnIm mAnam Sabdam pracakzmahe //
   anāptānuktavākyajanitaṃ tadarthavijñānaṃ tat pramāṇam;	anApta-anukta-vAkya-janitam tad-arTa-vijQAnam tat pramANam;
   kāraṇadoṣabādhakādarśanāt /	kAraNa-doza-bADaka-adarSanAt /
   nacānāptoktavākyaṃ pramāṇaṃ, kāraṇadoṣabādhakadarśanāt, na ca	nacAn-Apta-ukta-vAkyam pramANaM, kAraNa-doza-bADaka-darSanAt, na ca
   vākyatvādibhirbādhaḥ; svavacanavirodhāt /	vAkya-tva-AdiBiH-bADaH; sva-vacana-viroDAt /
   yadi bādhakopanyāsavākyamayathārthaṃ, tadā kathaṃ bādhaḥ /	yadi bADaka-upanyAsa-vAkyam-ayaTArTaM, tadA kaTam bADaH /
   atha yathārtham, tasyāpi pakṣīkāre tadbādhaḥ /	aTa yaTArTam, tasya-api pakzIkAre tad-bADaH /
   bahiṣkāre tenaivānaikāntyam /	bahizkAre tena-eva-anEkAntyam /
   na cātiprasaṅgaḥ; bhrāntādivākyānāṃ doṣamūlatvasya durapahnavatvāt /	na ca-atiprasaFgaH; BrAnta-Adi-vAkyAnAm doza-mUla-tvasya durapahnava-tvAt /
   atra tu tadabhāvāt /	atra tu tad-aBAvAt /
   utsvapnāyitaghuṇakṣatākṣarādīnāṃ tu viśiṣṭatātparyaviraheṇa	utsvapnAyita-GuNa-kzata-akzara-AdInAm tu viSizwa-tAtparya-viraheNa
   bodhakatvepyanāśvasanīyatvāt, vyabhicāradarśanācca /	boDaka-tvepi-anASvasanIya-tvAt, vyaBicAra-darSanAt-ca /
   nityepi vede nityeśvaraśāsanātmani tattadarthatātparyānapāyāt /	nityepi vede nityeSvara-SAsana-Atmani tad-tad-arTa-tAtparyAna-pAyAt /
   tasya cātrābhāvāt, kvācitkadoṣadarśanasya ca pratyakṣādāvapi asamatvāt,	tasya ca-atra-aBAva-at, kvAcitka-doza-darSanasya ca pratyakza-AdO=-api asamatvAt-,
   svataḥ parato vā prāmāṇye ca tato viśeṣābhāvāt //	svatas paratas vA prAmANye ca tatas viSeza-aBAvAt //
   nyā. pa. śa. 2 tacca vedyāṃśe pratyakṣātiriktam, asākṣātkāritvāt,	nyA. pa. Sa. 2 tat-ca vedya-aMSe pratyakza-atiriktam, asAkzAtkAri-tvAt,
   anumānavat /	anumAna-vat /
   anumānātiriktaṃ, pakṣaliṅgaparāmarśādyadṛṣṭeḥ, padavākyatatsaṃbandhādīnāṃ	anumAna-atiriktaM, pakza-liFga-parAmarSa-Adi-adRzweH, pada-vAkya-tad-saMbanDa-AdInAm
   ca viśiṣṭavākyārthaṃ pratyasiddhavyāptikatvenāliṅgatvāt,	ca viSizwa-vAkya-arTam pratyasidDa-vyAptika-tvena-AliFga-tvAt,
   dṛṣṭāntābhyupagame sarvatrāviśeṣāt, vyutpattau ca svatantratayaiva	dRzwAnta-aByupagame sarvatra-aviSezAt, vyutpattO ca svatantra-tayA-eva
   bodhakatvasiddheḥ /	boDaka-tva-sidDeH /
   ata eva vaktṛjñānānumānābhyupagamepi śabdaprāmāṇyaṃ siddham /	atas eva vaktR-jQAna-anumAna-aByupagamepi Sabda-prAmANyam sidDam /
   āgamikabuddhiranumā, pratyakṣetarapramititvāt, saṃpratipannavaditi cenna,	Agamika-budDiH-anumA, pratyakza-itara-pramiti-tva-at, saMpratipanna-vat-iti ced-na,
   uktottaratvāt /	ukta-uttara-tvAt /
   anyathā śabdarasagandhādi buddhiranumā, acākṣuṣapramititvāt,	anyaTA Sabda-rasa-ganDa-Adi budDiH-anumA, acAkzuza-pramiti-tva-at,
   saṃpratipannavat, ityapi prasaṅgāt /	saMpratipannavat, iti-api prasaFgAt /
   "pratyakṣamanumānaṃ ca śāstraṃ ca vividhāgamam /	"pratyakzam-anumAnam ca SAstram ca viviDa-Agamam /
   dṛṣṭānumānāgamajam" iti manvādimaharṣisaṃmateśca	dRzwa-anumAna-Agama-jam" iti manu-Adi-mahA-Rzi-saMmateH-ca
   śabdānumānayorbhedodṛśyate /	Sabda-anumAnayoH-Beda-udRSyate /
   na cātra gobalīvardanayaḥ; antarbhāvādarśanāt /	na ca-atra go-balI-vardanayaH; antarBAva-adarSanAt /
   āgāmonumānaṃ, saṃbandhagrahaṇe satyeva bodhakatvāditi cenna; bodhya	AgAmonumAnaM, saMbanDa-grahaNe sati-eva boDaka-tvAt-iti ced-na; boDya
   bodhakabhāvātiriktasaṃbandhagrahaṇāpekṣiṇyanumānatvaniyamāt /	boDaka-BAva-atirikta-saMbanDa-grahaNa-apekziNI-anumAna-tva-niyamAt /
   na cātra tadatiriktaḥ saṃbandhaḥ, yadgrahaṇaṃ niyamenāpekṣyeta /	na ca-atra tad-atiriktaH saMbanDaH, yat-grahaNam niyamena-apekzyeta /
   anyathā saṃbandhasāpekṣatayā tayoḥ pratyakṣatvasyāpi susādhatvāditi //	anyaTA saMbanDa-sApekza-tayA tayoH pratyakza-tvasya-api su-sADa-tvAt-iti //
   na ca smṛtiḥ; apūrvaviṣayatvāt /	na ca smRtiH; apUrva-vizaya-tvAt /
   padasaṃdohaviśeṣo vākyam /	pada-saMdoha-viSezaH vAkyam /
   prāmāṇikapadavyavahāraviṣayaḥ padam /	prAmANika-pada-vyavahAra-vizayaH padam /
   tasya suptiṅantatvādikalpanayāpi vyaktiḥ kriyate /	tasya suptiFanta-tva-Adi-kalpanayA-api vyaktiH kriyate /
   ata eva hyanyathānyathā prakṛtipratyayādikaṃ vyākaraṇāntareṣu kalpyate /	atas eva hi-anyaTA-anyaTA prakRti-pratyaya-Adikam vyAkaraNa-antarezu kalpyate /
   tacca na sāṃketikam; saṃketayitṛpuruṣāsaṃbhavāt /	tat-ca na sAMketikam; saMketayitR-puruza-asaMBavAt /
   ata eva na bhāṣāntaravat tatklaptiḥ, nityavedagatatvācca /	atas eva na BAzA-antara-vat tad-klaptiH, nitya-veda-gata-tvAt-ca /
   yāni vaidikāni padāni tānyeva laukikanīti "vedaśabdebhya evādau"	yAni vEdikAni padAni tAni-eva lOkikanI-iti "veda-SabdeByaH eva-AdO"
   ityādivacanādapi siddham /	ityAdi-vacanAt-api sidDam /
