   Devīgītā	DevI-gItA
   atha prathamo 'dhyāyaḥ -	aTa praTamaH aDyAyaH -
   saptamaḥ skandhaḥ	saptamaH skanDaH
   atha ekatriṃśo 'dhyāyaḥ	aTa ekatriMSaH aDyAyaH
   janamejaya uvāca	janamejayaH uvAca
   dharādharādhīśa maulāvāvirāsītparaṃ mahaḥ /	DarADarADISa mOlA=-AvirAsIt-param mahaH /
   yaduktaṃ bhavatā pūrvaṃ vistarāttadvadasva me // Dg_1.1 = DbhP_7,31.1 //	yat-uktam BavatA pUrvam vistarAt-tat-vadasva me // Dk-_1.1  DBP_7,31.1 //
   ko virajyeta matimānpibañchaktikathāmṛtam /	kaH virajyeta matimAn-piban-Sakti-kaTA-amRtam /
   sudhāṃ tu pibatāṃ mṛtyuḥ sa naitacchṛṇvato bhavet // Dg_1.2 = DbhP_7,31.2	suDAm tu pibatAm mRtyuH sa na-etat-SRNvataH Bavet // Dk-_1.2  DBP_7,31.2
   vyāsa uvāca	vyAsaH uvAca
   dhanyo 'si kṛtakṛtyo 'si śikṣito 'si mahātmabhiḥ /	DanyaH asi kRtakRtyaH asi SikzitaH asi mahAtmaBiH /
   bhāgyavānasi yaddevyāṃ nirvyājā bhaktirasti te // Dg_1.3 = DbhP_7,31.3 //	BAgyavAn-asi yat-devyAm nirvyAjAH BaktiH-asti te // Dk-_1.3  DBP_7,31.3 //
   śṛṇu rājanpurā vṛttaṃ satīdehe 'gnibharjite /	SRNu rAjan-purA vRttam satI-dehe agni-Barjite /
   bhrāntaḥ śivastu babhrāma kvaciddeśe sthiro 'bhavat // Dg_1.4 =	BrAntaH SivaH-tu baBrAma kvacid-deSe sTiraH aBavat // Dk-_1.4 =
   DbhP_7,31.4 //	DBu-_7,31.4 //
   prapañcabhānarahitaḥ samādhigatamānasaḥ /	prapaQca-BAna-rahitaH samADi-gata-mAnasaH /
   dhyāyandevīsvarūpaṃ tu kālaṃ ninye sa ātmavān // Dg_1.5 = DbhP_7,31.5 //	DyAyan-devI-svarUpam tu kAlam ninye saH AtmavAn // Dk-_1.5  DBP_7,31.5 //
   saubhāgyarahitaṃ jātaṃ trailokyaṃ sacarācaram /	sOBAgya-rahitam jAtam trElokyam sa-carAcaram /
   śaktihīnaṃ jagatsarvaṃ sābdhidvīpaṃ saparvatam // Dg_1.6 = DbhP_7,31.6 //	Sakti-hInam jagat-sarvam sa-abDidvIpam sa-parvatam // Dk-_1.6  DBP_7,31.6 //
   ānandaḥ śuṣkatāṃ yātaḥ sarveṣāṃ hṛdayāntare /	AnandaH Suzka-tAm yAtaH sarvezAm hRdaya-antare /
   udāsīnāḥ sarvalokāścintājarjaracetasaḥ // Dg_1.7 = DbhP_7,31.7 //	udAsInAH sarva-lokAH-cintA-jarjara-cetasaH // Dk-_1.7  DBP_7,31.7 //
   sadā duḥkhodadhau magnā rogagrastāstadābhavan /	sadA duHKa-udaDO magnAH roga-grastAH-tadA-aBavan /
   grahāṇāṃ devatānāṃ ca vaiparītyena vartanam // Dg_1.8 = DbhP_7,31.8 //	grahANAm devatAnAm ca vEparItyena vartanam // Dk-_1.8  DBP_7,31.8 //
   adhibhūtādhidaivānāṃ satyabhāvānnṛpābhavan /	aDiBUta-aDidEvAnAm satyaBAvAt-nRpa-aBavan /
   atha 'sminneva kāle tu tārakākhyo mahasuraḥ // Dg_1.9 = DbhP_7,31.9 //	aTa asmin=-eva kAle tu tAraka-AKyaH mahasuraH // Dk-_1.9  DBP_7,31.9 //
   brahmadattavaro daityo 'bhavattrailokyanāyakaḥ /	brahma-datta-varaH dEtyaH aBavat-trElokya-nAyakaH /
   śivaurasastu yaḥ putraḥ sa te hantā bhaviṣyati // Dg_1.10 = DbhP_7,31.10	SivOrasaH-tu yaH putraH sa te hantA Bavizyati // Dk-_1.10  DBP_7,31.10
   iti kalpitamṛtyuḥ sa devadevairmahāsuraḥ /	iti kalpita-mRtyuH sa devadevEH-mahA-asuraH /
   śivairasasutābhāvājjagarja ca nananda ca // Dg_1.11 = DbhP_7,31.11 //	SivErasa-suta-aBAvAt-jagarja ca nananda ca // Dk-_1.11  DBP_7,31.11 //
   tena copadrutāḥ sarve svasthānātpracyutāḥ surāḥ /	tena ca-upadrutAH sarve sva-sTAnAt-pracyutAH surAH /
   śivairasasutābhāvāccintāmāpurduratyayām // Dg_1.12 = DbhP_7,31.12 //	SivErasa-suta-aBAvAt-cintAmApuH-duratyayAm // Dk-_1.12  DBP_7,31.12 //
   nāṅganā śaṅkarasyāsti kathaṃ tatsutasambhāvaḥ /	na-aFganA SaFkarasya-asti kaTam tad-suta-samBAvaH /
   asmākaṃ bhāgyahīnānāṃ kathaṃ kāryaṃ bhaviṣyati // Dg_1.13 = DbhP_7,31.13	asmAkam BAgya-hInAnAm kaTam kAryam Bavizyati // Dk-_1.13  DBP_7,31.13
   iti cintāturāḥ sarve jagmurvaikuṇṭhamaṇḍale /	iti cintA-AturAH sarve jagmuH-vEkuNWa-maNxale /
   śaśaṃsurharimekānte sa copāyaṃ jagāda ha // Dg_1.14 = DbhP_7,31.14 //	SaSaMsuH-harim-ekAnte sa ca-upAyam jagAda ha // Dk-_1.14  DBP_7,31.14 //
   kutaścintāturāḥ sarve kāmakalpadrumā śivā /	kutas-cintA-AturAH sarve kAma-kalpadrumA SivAH /
   jāgarti bhūvaneśānī maṇidvīpādhivāsinī // Dg_1.15 = DbhP_7,31.15 //	jAgarti BU-vaneSAnI maNidvIpA-aDivAsinI // Dk-_1.15  DBP_7,31.15 //
   asmākamanayādeva tadupekṣāsti nānyathā /	asmAkam-anayAt-eva tad-upekzA-asti na-anyaTA /
   śikṣaiveyaṃ jaganmātrā kṛtāsmacchikṣaṇāya // Dg_1.16 = DbhP_7,31.16 //	SikzA-eva-iyam jaganmAtrA kRtAsmad-SikzaNAya // Dk-_1.16  DBP_7,31.16 //
   lālane tāḍane māturnā kāruṇyaṃ yathārbhake /	lAlane tAxane mAtuH-nA kAruNyam yaTA-arBake /
   tadvadeva jaganmāturniyantrā guṇadoṣayoḥ // Dg_1.17 = DbhP_7,31.17 //	tadvat-eva jaganmAtuH-niyantrA guNa-dozayoH // Dk-_1.17  DBP_7,31.17 //
   aparādho bhavatyeva tanayasya pade pade /	aparADaH Bavati-eva tanayasya pade pade /
   ko 'paraḥ sahate loke kevalaṃ mātaraṃ vinā // Dg_1.18 = DbhP_7,31.18 //	kaH aparaH sahate loke kevalam mAtaram vinA // Dk-_1.18  DBP_7,31.18 //
   tasmadyūyaṃ parāmbāṃ tāṃ śaraṇaṃ yāta mā ciram /	tasmadyUyam para-ambAm tAm SaraNam yAta mA ciram /
   nirvyājayā cittavṛttyā sā vaḥ kāryaṃ vidhāsyati // Dg_1.19 = DbhP_7,31.19	nirvyAjayA citta-vRttyA sA vaH kAryam viDAsyati // Dk-_1.19  DBP_7,31.19
   ityādiśya surānsarvānmahāviṣṇuḥ svajāyayā /	iti-AdiSya surAn-sarvAn-mahA-vizNuH sva-jAyayA /
   saṃyuto nirjagāmāśu devaiḥ saha surādhipaḥ // Dg_1.20 = DbhP_7,31.20 //	saMyutaH nirjagAma-ASu devEH saha surADipaH // Dk-_1.20  DBP_7,31.20 //
   ājagāma mahāśailaṃ himavantaṃ nagādhipam /	AjagAma mahA-SElam himavantam naga-aDipam /
   abhavaṃśca surāḥ sarve puraścaraṇakarmiṇaḥ // Dg_1.21 = DbhP_7,31.21 //	aBavan=-ca surAH sarve puraScaraNa-karmiNaH // Dk-_1.21  DBP_7,31.21 //
   ambāyajñavidhānajñā ambāyajñaṃ ca cakrire /	ambA-yajQa-viDAna-jQAH ambA-yajQam ca cakrire /
   tṛtīyādivratānyāśu cakruḥ sarve surā nṛpa // Dg_1.22 = DbhP_7,31.22 //	tRtIya-Adi-vratAni-ASu cakruH sarve surAH nRpa // Dk-_1.22  DBP_7,31.22 //
   kecitsamādhiniṣṇātāḥ kecinnāmaparāyaṇāḥ /	kecid-samADi-nizNAtAH kecid-nAma-parAyaNAH /
   kecitsūktaparāḥ kecinnāmapārāyaṇotsukāḥ // Dg_1.23 = DbhP_7,31.23 //	kecid-sUkta-parAH kecid-nAma-pArAyaNa-utsukAH // Dk-_1.23  DBP_7,31.23 //
   mantrapārāyaṇaparaḥ kecitkṛcchrādi kāriṇaḥ /	mantra-pArAyaNa-paraH kecid-kRcCra-Adi kAriNaH /
   antaryāgaparāḥ kecitkecinnyāsaparāyaṇāḥ // Dg_1.24 = DbhP_7,31.24 //	antar-yAga-parAH kecid-kecid-nyAsa-parAyaNAH // Dk-_1.24  DBP_7,31.24 //
   hṛllekhayā parāśakteḥ pūjāṃ cakruratandritāḥ /	hRd-leKayA parASakteH pUjAm cakruH-atandritAH /
   ityevaṃ bahuvarṣāṇi kālo 'gājjanamejaya // Dg_1.25 = DbhP_7,31.25 //	iti-evam bahu-varzANi kAlaH agAjjanam-ejayaH // Dk-_1.25  DBP_7,31.25 //
   akasmāccaitramāsīyanavamyāṃ ca bhṛgordine /	akasmAt-cEtramAsIya-navamyAm ca BRgoH-dine /
   prādurbabhūva puratastanmahaḥ śrutibodhitam // Dg_1.26 = DbhP_7,31.26 //	prAdurbaBUva puratas-tat-mahaH Sruti-boDitam // Dk-_1.26  DBP_7,31.26 //
   caturdikṣu caturvedairmūrtimadbhirabhiṣṭutam /	catur-dikzu catur-vedEH-mUrtimadBiH-aBizwutam /
   koṭisūrypratīkāśaṃ candrakoṭisuśītalam // Dg_1.27 = DbhP_7,31.27 //	kowi-sUrypratIkASam candra-kowi-suSItalam // Dk-_1.27  DBP_7,31.27 //
   vidyutkoṭisamānābhamaruṇaṃ tatparaṃ mahaḥ /	vidyut-kowi-samAna-ABam-aruNam tat-param mahaH /
