   Vidyākaraśānti: Tarkasopāna	VidyAkara-SAnti: Tarka-sopAna
   (Ts 275)	(TH 275)
   namo mañjuśriye //	namaH maQju-Sriye //
   saṃsārasarasi kolatuIyam ajñānabhedinaḥ /	saMsAra-sarasi kolatuIyam ajQAna-BedinaH /
   smaraṇaṃme hevajrasya vartatāṃ hṛdi vaściram //	smaraNaMme hevajrasya vartatAm hRdi vaH-ciram //
   1. hitāhitaprāptiparihārahetur niyamena pramāṇam iti saṃkṣepatas tad	1. hita-ahita-prApti-parihAra-hetuH niyamena pramANam iti saMkzepataH tat-
   vyutpādyate // pramāṇam avisaṃvādi jñānam / visaṃvadanaṃ visaṃvādaḥ / na	vyutpAdyate // pramANam avisaMvAdi jQAnam / visaMvadanam visaMvAdaH / na
   visaṃvādo 'visaṃvādaḥ / sa yasyāsti tad avisaṃvādi / saṃvādy evetyarthaḥ	visaMvAdaH avisaMvAdaH / sa yasya-asti tat avisaMvAdi / saMvAdI eva-iti-arTaH
   // avisaṃvādaḥ punar upadarśitārthapratibaddhārthakriyāprāpaṇam / prāpaṇam	// avisaMvAdaH punar upadarSita-arTa-pratibadDa-arTa-kriyA-prApaNam / prApaNam
   api prāpakatvaṃ tadyogyatā ca / avyavahitāyām arthakriyāyāṃ pramāṇasya	api prApaka-tvam tad-yogya-tA ca / avyavahitAyAm arTa-kriyAyAm pramANasya
   prāpakatvam eva / vyavahitāyāṃ pravartakatvam api / prāpakatvaṃ	prApaka-tvam eva / vyavahitAyAm pravartaka-tvam api / prApaka-tvam
   copadarśakatvam eva / karaṇadharmasyopadarśakatvasya grahaṇād	ca-upadarSaka-tvam eva / karaNa-Darmasya-upadarSaka-tvasya grahaNAt-
   gṛhītagrahiṇām akaraṇatvena vyudāsān nātivyāpitā / ata evācāryo	gRhIta-grahiNAm akaraNa-tvena vyudAsAt na-ati-vyApitA / atas eva-AcAryaH-
   dharmottaro 'py āha // yenaiva prathamam upadarśitārthas tenaiva	Darma-uttaraH api Aha // yena-eva praTamam upadarSita-arTaH tena-eva
   pravartitaḥ puruṣaḥ prāpitaś cārthaḥ kim anyenādhikaṃ kāryam /	pravartitaH puruzaH prApitaH ca-arTaH kim anyena-aDikam kAryam /
   marīcikājalajñānādīny upadarśitārthapratibaddhārthakriyāprāpaṇāsaṃbhavād	marIcikA-jala-jQAna-AdIni upadarSita-arTa-pratibadDa-arTa-kriyA-prApaNa-asaMBavAt-
   eva nirastānīti / jñānagrahaṇena cājñānasya indriyāder nirāsaḥ /	eva nirastAni-iti / jQAna-grahaNena ca-ajQAnasya indriya-AdeH nirAsaH /
   karaṇavihitapratyayena ca gṛhītagrāhiṇaḥ / tena yad	karaNa-vihita-pratyayena ca gRhIta-grAhiNaH / tena yat-
   abhimatārthakriyāsamarthārthaprāpaṇayogyam apūrvaviṣayaṃ jñānaṃ tat	aBimata-arTa-kriyA-samarTa-arTa-prApaNa-yogyam apUrva-vizayam jQAnam tat-
   pramāṇam //	pramANam //
   (Ts 276)	(TH 276)
   2. tad dvividham / pratyakṣam anumānaṃ ca /	2. tat dviviDam / pratyakzam anumAnam ca /
   3. pratigatam āśritam akṣaṃ pratyakṣam / atyādayaḥ krāntādyarthe	3. pratigatam ASritam akzam pratyakzam / atyAdayaH krAnta-Adi-arTe
