   ṣaṣṭhaḥ paricchedaḥ	zazWaH paricCedaH
   evaṃ dhvaniguṇībhūtavyaṅgyatvena kāvyasya bhedadvayamuktvā	evam Dvani guNIBUta vyaFgya tvena kAvyasya Beda dvaya muktvA
   punardṛśyaśravyatvena bhedadvayamāha  	punar dRSya Sravya tvena Beda dvayam Aha  
   dṛśyaśravyatvabhedena punaḥ kāvyaṃ dvidhā matam /	dRSya Sravya tva Bedena punar kAvyam dviDA matam /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ka) śravyaṃ kāvyamuktvā nāṭyātmakaṃ dṛśyakāvyaṃ	(vi, ka) Sravyam kAvyam uktvA nAwya Atmakam dRSya kAvyam
   vaktumāha  evaṃ   dhvanīti /	vaktum Aha  evaM   DvanI iti /
        Locanā:	LocanA:
        (lo, a) paricchedasaṅgatimāha   evamiti /	(lo, a) paricCeda saFgatim Aha   evam iti /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   dṛśyaṃ tatrābhineyaṃ  	dRSyam tatra aBineyaM  
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, kha) abhineyaṃ nāṭyam /	(vi, Ka) aBineyam nAwyam /
        Locanā:	LocanA:
        (lo, ā) dṛśyaṃ darśanīyapradhānam /	(lo, A) dRSyam darSanIya praDAnam /
        śravyaṃ śrotavyamātram /	Sravyam Srotavya mAtram /
        abhineyaṃ naṭairaṅgādibhiriti śeṣaḥ /	aBineyam nawEH aFga AdiBiH iti SezaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tasyarūpakasaṃjñāhetumāha  	tasya rUpaka saMjQA hetum Aha  
   tadrūpāropātturūpakam // VisSd_6.1 //	tad rUpa AropAt turUpakam // VisSd _6.1 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Locanā:	LocanA:
        (lo, i) anyasya rāmādeḥ rūpeṇānyān naṭān rūpayatīti rūpakam /	(lo, i) anyasya rAma AdeH rUpeNa anyAn nawAn rUpayati iti rUpakam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   taddṛśyaṃ kāvyaṃ naṭe rāmādisvarūpāropādrūpakamityucyate /	tat dRSyam kAvyam nawe rAma Adi svarUpa AropAt rUpakam iti ucyate /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ga) nāṭyaṃ rūpakamiti paryāyādrūpasaṃjñāhetuṃ	(vi, ga) nAwyam rUpakam iti paryAyAt rUpa saMjQA hetum
   vaktumāha   tasyeti rāmādisvarūpāropaṇāditi veśābhinayābhyāṃ	vaktum Aha   tasya iti rAma Adi svarUpa AropaNAt iti veSa aBinayAByAm
   tadāropasyānena bodhanādityarthaḥ /	tadAropasya anena boDanAt iti arTaH /
