   (Vaidya 93)	(VEdyaH 93)
   Svalpākṣarā prajñāpāramitā |	Svalpa-akzarA prajQApAramitA |
   namaḥ sarvabuddhabodhisattvebhyaḥ ||	namaH sarva-budDa-boDisattveByaH ||
   evaṃ mayā śrutam | ekasmin samaye bhagavān rājagṛhe viharati sma	evam mayA Srutam | ekasmin samaye BagavAn rAjagRhe viharati sma
   gṛdhrakūṭe parvate mahatā bhikṣusaṃghena sārdhaṃ	gRDrakUwe parvate mahatA Bikzu-saMGena sArDam
   dvādaśasāhasrapañcaśatairbodhisattvakoṭiniyutaśatasahasraiḥ sārdhaṃ	dvAdaSa-sAhasra-paQca-SatEH-boDisattva-kowi-niyuta-Sata-sahasrEH sArDam
   viharati sma, lokapālādidevakoṭiniyutasahasraiḥ parivṛtaḥ puraskṛtaḥ	viharati sma, lokapAla-Adi-deva-kowi-niyuta-sahasrEH parivRtaH puraskRtaH
   śrīsiṃhāsane viharati sma ||	SrI-siMhAsane viharati sma ||
   atha khalu bodhisattvo mahāsattvo āryāvalokiteśvaro utthāya	aTa Kalu boDisattvaH mahAsattvaH Arya-avalokita-ISvaraH utTAya
   āsanādekamaṃsamuttarāsaṅgaṃ kṛtvā dakṣiṇaṃ jānumaṇḍalaṃ pṛthivyāṃ	AsanAt-ekam-aMsam-uttarAsaFgam kRtvA dakziNam jAnu-maNxalam pRTivyAm
   pratiṣṭhāpya yena bhagavāṃstenāñjaliṃ praṇamya prahasitavadano bhūtvā	pratizWApya yena BagavAn=-tena-aQjalim praNamya prahasita-vadanaH BUtvA
   bhagavantametadavocat - deśayatu bhagavān prajñāpāramitāṃ svalpākṣarāṃ	Bagavantam-etat-avocat  deSayatu BagavAn prajQApAramitAm su-alpa-akzarAm
   mahāpuṇyām, yasyāḥ śravaṇamātreṇa sarvasattvāḥ sarvakarmāvaraṇāni	mahA-puNyAm, yasyAH SravaNa-mAtreNa sarva-sattvAH sarva-karma-AvaraNAni
   kṣapayiṣyanti, niyataṃ ca bodhiparāyaṇā bhaviṣyanti | ye ca sattvā	kzapayizyanti, niyatam ca boDi-parAyaNAH Bavizyanti | ye ca sattvA
   mantrasādhane udyuktāsteṣāṃ cāvighnena mantrāḥ sidhyanti ||	mantra-sADane udyuktAH-tezAm ca-aviGnena mantrAH siDyanti ||
   atha khalu bhagavān āryāvalokiteśvarāya bodhisattvāya mahāsattvāya	aTa Kalu BagavAn Arya-avalokita-ISvarAya boDisattvAya mahAsattvAya
   mahākaruṇikāya sādhukāramadāt - sādhu sādhu kulaputra, yastvaṃ	mahAkaruNikAya sADukAram-adAt  sADu sADu kula-putra, yaH-tvam
   sarvasattvānāmarthāya hitāya sukhāya pradhānāya ca dīrgharātraṃ niyuktaḥ |	sarva-sattvAnAm-arTAya hitAya suKAya praDAnAya ca dIrGarAtram niyuktaH |
   tena hi tvaṃ kulaputra śṛṇu, sādhu ca suṣṭhu ca manasi kuru | bhāṣiṣye	tena hi tvam kula-putra SRNu, sADu ca suzWu ca manasi kuru | BAzizye
   'haṃ te prajñāpāramitāṃ svalpākṣarāṃ mahāpuṇyām, yasyāḥ śravaṇamātreṇa	aham te prajQApAramitAm su-alpa-akzarAm mahA-puNyAm, yasyAH SravaNa-mAtreNa
   sarvasattvāḥ sarvakarmāvaraṇāni kṣapayiṣyanti, niyataṃ ca bodhiparāyaṇā	sarva-sattvAH sarva-karma-AvaraNAni kzapayizyanti, niyatam ca boDi-parAyaNA
   bhaviṣyanti | ye ca sattvā mantrasādhane udyuktāsteṣāṃ cāvighnenaḥ mantrāḥ	Bavizyanti | ye ca sattvAH mantra-sADane udyuktAH-tezAm ca-aviGnenaH mantrAH
   sidhyanti ||	siDyanti ||
   atha khalu āryāvalokiteśvaro bodhisattvo mahāsattvo bhagavantametadavocat	aTa Kalu Arya-avalokita-ISvaraH boDisattvaH mahAsattvaH Bagavantam-etat-avocat-
   - tena hi sugata bhāṣatu sarvasattvānāmarthāya hitāya sukhāya ca ||	 tena hi sugata BAzatu sarva-sattvAnAm-arTAya hitAya suKAya ca ||
   atha khalu bhagavāṃstasyāṃ velāyāṃ sarvaduḥkhapramocano nāma samādhiṃ	aTa Kalu BagavAn=-tasyAm velAyAm sarvaduHKapramocanaH nAma samADim
   samāpadyate sma, yasya ca samādhiṃ samāpannasya bhagavata	samApadyate sma, yasya ca samADim samApannasya Bagavata
   ūrṇākośavivarāllavādanekāni raśmikoṭiniyutaśatasahasrāṇi niścaranti sma |	UrNA-koSa-vivarAt-lavAt-anekAni raSmi-kowi-niyuta-Sata-sahasrANi niScaranti sma |
   taiśca raśmibhiḥ sarvabuddhakṣetrāṇi parisphuṭānyabhūvan | ye ca	tEH-ca raSmiBiH sarva-budDa-kzetrANi parisPuwAni-aBUvan | ye ca
   sattvāstayā prabhayā spṛṣṭāḥ, te sarve niyatā abhūvannanuttarāya	sattvAH-tayA praBayA spRzwAH, te sarve niyatAH aBUvan=-anuttarAya
   samyaksaṃbodhau | yāvannārakāḥ sattvāḥ * * *sarve ca buddhakṣetrāṇi	samyaksaMboDO | yAvat-nArakAH sattvAH * * *sarve ca budDa-kzetrANi
   ṣaḍvikāraṃ praviceluḥ | divyāni ca candanacūrṇavarṣāṇi tathāgatapādamūlaṃ	zaz-vikAram praviceluH | divyAni ca candana-cUrNa-varzANi taTAgata-pAda-mUlam
   vavarṣuḥ ||	vavarzuH ||
   atha khalu bhagavāṃstasyāṃ velāyāṃ prajñāpāramitāṃ bhāṣate sma | tadyathā	aTa Kalu BagavAn=-tasyAm velAyAm prajQApAramitAm BAzate sma | tat-yaTA
   - bodhisattvena mahāsattvena samacittena bhavitavyam | sarvasattveṣu	 boDisattvena mahAsattvena sama-cittena Bavitavyam | sarva-sattvezu
   maitracittena bhavitavyam | kṛtajñena bhavitavyam | kṛtavedinā ca	mEtra-cittena Bavitavyam | kRtajQena Bavitavyam | kRtavedinA ca
   bhavitavyam | sarvapāpaviratacittena bhavitavyam | idaṃ ca	Bavitavyam | sarva-pApa-virata-cittena Bavitavyam | idam ca
   prajñāpāramitāhṛdayamāgrahītavyam - namo ratnatrayāya | namaḥ śākyamunaye	prajQApAramitA-hRdayam-AgrahItavyam  namaH ratnatrayAya | namaH SAkya-munaye
   tathāgatāya arhate samyaksaṃbuddhāya | tadyathā - oṃ mune mune mahāmunaye	taTAgatAya arhate samyaksaMbudDAya | tat-yaTA  om mune mune mahA-munaye
   svāhā || asyāḥ prajñāpāramitāyā lābhāt mayā anuttarā	svAhA || asyAH prajQApAramitAyAH lABAt mayA anuttarA
   samyaksaṃbodhiranuprāptā | sarvabuddhāśca ato niryātāḥ || mayā api iyameva	samyaksaMboDiH-anuprAptAH | sarva-budDAH-ca atas niryAtAH || mayA api iyam-eva
   (Svalp, Vaidya 94) prajñāpāramitā śrutā mahāśākyamunestathāgatasya sākṣāt	(Svalp, VEdyaH 94) prajQApAramitA SrutAH mahA-SAkya-muneH-taTAgatasya sAkzAt-
   | tena hi tvaṃ sarvabodhisattvānāmagrato buddhatve ca vyākṛtaḥ -	| tena hi tvam sarva-boDisattvAnAm-agratas budDa-tve ca vyAkRtaH -
   bhaviṣyasi tvaṃ māṇava anāgate 'dhvani sa(mantaraśmisamu)dgataḥ	Bavizyasi tvam mANava anAgate aDvani sa(manta-raSmi-samu)dgataH
   śrīkūṭarājā nāma tathāgato 'rhan samyaksaṃbuddho vidyācaraṇasaṃpannaḥ	SrIkUwarAjA nAma taTAgataH arhan samyaksaMbudDaH vidyA-caraNa-saMpannaH
   sugato lokavid anuttaraḥ puruṣadamyasārathiḥ śāstā devānāṃ ca manuṣyāṇāṃ	sugataH loka-vid anuttaraH puruza-damya-sAraTiH SAstA devAnAm ca manuzyANAm
   ca buddho bhagavān | [badiyamapi?] ye idaṃ nāmadheyaṃ śroṣyanti	ca budDaH BagavAn | [badiyam-api?] ye idam nAmaDeyam Srozyanti
   dhārayiṣyanti vācayiṣyanti likhayayiṣyanti, parebhyaśca vistareṇa	DArayizyanti vAcayizyanti liKayayizyanti, pareByaH-ca vistareNa
   saṃprakāśayiṣyanti, pustakalikhitamapi kṛtvā gṛhe dhārayiṣyanti	saMprakASayizyanti, pustaka-liKitam-api kRtvA gRhe DArayizyanti
   pūjayiṣyanti, te sarve alpopāyena alpaśravaṇena ca tathāgatā bhaviṣyanti |	pUjayizyanti, te sarve alpa-upAyena alpa-SravaNena ca taTAgatAH Bavizyanti |
   tadyathā - oṃ jeya jeya padmābhe avame avame sarasaraṇi dhiridhiri devatā	tat-yaTA  om jeya jeya padma-ABe avame avame sarasaraNi DiriDiri devatA
   anupālani yuddhottāriṇi paracakranivāriṇi pūraya pūraya bhagavati sarva	anupAlani yudDa-uttAriNi para-cakra-nivAriNi pUraya pUraya Bagavati sarva
   āśā mama ca sarvasattvānāṃ ca | sarvakarmāvaraṇāni viśodhaya,	ASA mama ca sarva-sattvAnAm ca | sarva-karma-AvaraNAni viSoDaya,
   buddhādhiṣṭhite svāhā || iyaṃ sā kulaputra paramārthaprajñāpāramitā	budDa-aDizWite svAhA || iyam sA kula-putra parama-arTa-prajQApAramitA
   sarvabuddhānāṃ jananī bodhisattvamātā (bodhidātrī) pāpahārakā |	sarva-budDAnAm jananI boDisattva-mAtA (boDidAtrI) pApa-hArakAH |
   sarvabuddhairapi na śaknoti asyānuśaṃsā vaktuṃ yāvatkalpakoṭiśatairapi |	sarva-budDEH-api na Saknoti asya-anuSaMsA vaktum yAvat-kalpa-kowi-SatEH-api |
   anayā paṭhitamātreṇa sarvaparṣanmaṇḍalābhiṣiktā bhavanti, sarve ca mantrāḥ	anayA paWita-mAtreNa sarva-parzad-maNxala-aBiziktAH Bavanti, sarve ca mantrAH
   abhimukhā bhavanti ||	aBimuKAH Bavanti ||
   atha āryāvalokiteśvaro bodhisattvo mahāsattvo bhagavantametadavocat - kena	aTa Arya-avalokita-ISvaraH boDisattvaH mahAsattvaH Bagavantam-etat-avocat  kena
   kāraṇena bhagavan iyaṃ svalpākṣarā prajñāpāramitā? bhagavānāha -	kAraNena Bagavan iyam su-alpa-akzarA prajQApAramitA? BagavAn-Aha -
   alpopāyatvāt | ye 'pi sattvā mandāsvādāḥ, te 'pi imāṃ prajñāpāramitāṃ	alpa-upAya-tvAt | ye api sattvAH manda-AsvAdAH, te api imAm prajQApAramitAm
   svalpākṣarāṃ dhārayiṣyanti vācayiṣyanti likhiṣyanti likhayiṣyanti, te	su-alpa-akzarAm DArayizyanti vAcayizyanti liKizyanti liKayizyanti, te
   sarve alpopāyena bodhiparāyaṇā bhaviṣyanti | anena kāraṇena kulaputra iyaṃ	sarve alpa-upAyena boDi-parAyaNAH Bavizyanti | anena kAraNena kula-putraH iyam
   saṃkṣiptā svalpākṣarā prajñāpāramitā ||	saMkziptA su-alpa-akzarA prajQApAramitA ||
   evamukte āryāvalokiteśvaro bodhisattvo mahāsattvo bhagavantametadavocat -	evam-ukte Arya-avalokita-ISvaraH boDisattvaH mahAsattvaH Bagavantam-etat-avocat -
   āścaryaṃ bhagavan, paramāścaryaṃ sugata, yāvadeva bhagavān	AScaryam Bagavan, parama-AScaryam sugata, yAvat-eva BagavAn
   sarvasattvahitāya ayaṃ dharmaparyāyo bhāṣito mandapudgalānāmeva arthāya	sarva-sattva-hitAya ayam Darma-paryAyaH BAzitaH manda-pudgalAnAm-eva arTAya
   hitāya sukhāya ceti ||	hitAya suKAya ca-iti ||
   idamavocadbhagavān | āttamanā āryāvalokiteśvaro bodhisattvo mahāsattvaḥ,	idam-avocat-BagavAn | Atta-manAH Arya-avalokita-ISvaraH boDisattvaH mahAsattvaH,
   te ca bhikṣavaste ca bodhisattvāḥ sā ca sarvāvatī parṣat	te ca BikzavaH-te ca boDisattvAH sA ca sarvAvatI parzad-
   sadevamānuṣāsuragandharvaśca loko bhagavato bhāṣitamabhyanandanniti ||	sa-deva-mAnuza-asura-ganDarvaH-ca lokaH BagavataH BAzitam-aByanandan=-iti ||
   svalpākṣarā prajñāpāramitā samāptā ||	su-alpa-akzarA prajQApAramitA samAptAH ||
