   Var-v § 0 -	Var-u § 0 -
   Var-v § 1 -	Var-u § 1 -
   Var-v § 1.1.a buddho bhagavāṃ śrāvastyāṃ varṣā upagato jetavane	Var-u § 1.1.a budDaH BagavAm SrAvastyAm varzAH upagataH jetavane
   'nāthapiṇḍadasyārāme.	anATapiNxadasya-ArAme.
   Var-v § 1.1.b -	Var-u § 1.1.B -
   Var-v § 1.1.c bhagavān āha. tasmād anujānāmi bhikṣuṇā varṣā upagantavyaṃ.	Var-u § 1.1.c BagavAn Aha. tasmAt anujAnAmi BikzuNA varzAH upagantavyaM.
   Var-v § 1.2 uktaṃ bhagavatā bhikṣuṇā varṣā upagantavyam iti. bhikṣavo na	Var-u § 1.2 uktam BagavatA BikzuNA varzAH upagantavyam iti. BikzavaH na
   jānate kathaṃ varṣā upagantavyam iti.	jAnate kaTam varzAH upagantavyam iti.
   Var-v § 1.2.1 bhagavān āha ...	Var-u § 1.2.1 BagavAn Aha ...
   Var-v § 1.2.2 tataḥ paścāt śayanāsanagrāhako bhikṣuḥ saṃmantavyaḥ.	Var-u § 1.2.2 tatas paScAt Sayana-Asana-grAhakaH BikzuH saMmantavyaH.
   Var-v § 1.2.2.a pañcabhir dharmaiḥ samanvāgataḥ śayanāsanagrāhako bhikṣur	Var-u § 1.2.2.a paQcaBiH DarmEH samanvAgataH Sayana-Asana-grAhakaH BikzuH-
   asaṃmato na saṃmantavyaḥ, saṃmataś cāvakāśayitavyaḥ. katamaiḥ pañcabhiḥ.	asaMmataH na saMmantavyaH, saMmataH ca-avakASayitavyaH. katamEH paQcaBiH.
   chandād gacchati, dveṣān mohād bhayād gacchati, grāhitāgrāhitaṃ ca	CandAt gacCati, dvezAt mohAt BayAt gacCati, grAhita-agra-ahitam ca
   śayanāsanaṃ na jānāti. ebhiḥ pañcabhir dharmaiḥ samanvāgataḥ	Sayana-Asanam na jAnAti. eBiH paQcaBiH DarmEH samanvAgataH
   śayanāsanagrāhako bhikṣur asaṃmato na saṃmantavyaḥ, saṃmataś	Sayana-Asana-grAhakaH BikzuH asaMmataH na saMmantavyaH, saMmata-S
   cāvakāśayitavyaḥ.	ca-avakASayitavyaH.
   Var-v § 1.2.2.b pañcabhir dharmaiḥ samanvāgataḥ śayanāsanagrāhako bhikṣur	Var-u § 1.2.2.B paQcaBiH DarmEH samanvAgataH Sayana-Asana-grAhakaH BikzuH-
   asaṃmataḥ saṃmantavyaḥ. saṃmataś ca nāvakāśayitavyaḥ. katamaiḥ pañcabhiḥ.	asaMmataH saMmantavyaH. saMmataH ca na-avakASayitavyaH. katamEH paQcaBiH.
   na chandād gacchati, na dveṣān na mohān na bhayād gacchati,	na CandAt gacCati, na dvezAt na mohAt na BayAt gacCati,
   grāhitāgrāhitaṃ ca śayanāsanaṃ jānāti. ebhiḥ pañcabhir dharmaiḥ	grAhita-agra-ahitam ca Sayana-Asanam jAnAti. eBiH paQcaBiH DarmEH
   samanvāgataḥ śayanāsanagrāhako bhikṣur asaṃmataḥ saṃmantavyaḥ, saṃmataś ca	samanvAgataH Sayana-Asana-grAhakaH BikzuH asaMmataH saMmantavyaH, saMmataH ca
   nāvakāśayitavyaḥ.	na-avakASayitavyaH.
   Var-v § 1.2.3 evaṃ ca punaḥ saṃmantavyaḥ. śayanāsanaprajñaptiṃ kṛtvā	Var-u § 1.2.3 evam ca punar saMmantavyaH. Sayana-Asana-prajQaptim kRtvA
   gaṇḍīm ākoṭya pṛṣṭavācikayā bhikṣūn samanuyujya sarvasaṃghe saṃniṣaṇṇe	gaNxIm Akowya pRzwa-vAcikayA BikzUn samanuyujya sarva-saMGe saMnizaNNe
   saṃnipatite pūrvaṃ tāvad utsāhayitavyaḥ.	saMnipatite pUrvam tAvat utsAhayitavyaH.
   utsahase tvam evaṃnāmā saṃghasya vārṣikaṃ śayanāsanaṃ grāhayitum iti.	utsahase tvam evaMnAmA saMGasya vArzikam Sayana-Asanam grAhayitum iti.
   tena vaktavyam. utsahe iti.	tena vaktavyam. utsahe iti.
   Var-v § 1.2.4 tataḥ paścād ekena bhikṣuṇā jñaptiṃ kṛtvā karma kartavyaṃ.	Var-u § 1.2.4 tatas paScAt ekena BikzuNA jQaptim kRtvA karma kartavyaM.
   śṛṇotu bhadantāḥ saṃghaḥ. ayam evaṃnāmā śayanāsanagrāhako bhikṣuḥ utsahate	SRNotu BadantAH saMGaH. ayam evaMnAmA Sayana-Asana-grAhakaH BikzuH utsahate
   saṃghasya vārśikaṃ śayanāsanaṃ grāhayituṃ.	saMGasya vArSikam Sayana-Asanam grAhayituM.
   sacet saṃghasya prāptakālaṃ kṣametānujānīyāt saṃgho yat saṃgha evaṃnāmānaṃ	saced saMGasya prApta-kAlam kzameta-anujAnIyAt saMGaH yat saMGaH evaMnAmAnam
