   Abhidharmasamuccayabhāṣyam	ABiDarma samuccaya BAzyam
   I [lakṣaṇasamuccayo nāma prathamaḥ samuccayaḥ]	I [lakzaNa samuccayaH nAma praTamaH samuccayaH]
   oṃ namo ratnatrayāya /	om namaH ratnatrayAya /
   kimarthamidaṃ śāstramārabdham / skandhādīnārabhya kati kasmādityevamādiṣu	kimarTam idam SAstram ArabDam / skanDa AdIn AraBya kati kasmAt iti evamAdizu
   cintāsthāneṣu kauśalyakaraṇārtham / tathāhyanena kauśalyena dvividho	cintA sTAnezu kOSalya karaNa arTam / taTA hi anena kOSalyena dviviDaH 
   'nuśaṃso labhyate   manaskārānuśaṃsaṃḥ sāṃkathyaviniścayānuśaṃsaśca /	anuSaMsaH laByate  manaskAra anuSaMsanH sAMkaTya viniScaya anuSaMsaH ca /
   tatra manaskārānuśaṃsaḥ śamathānukūlyādvipaśyanāvṛddhayānukūlyācca	tatra manaskAra anuSaMsaH SamaTa AnukUlyAt vipaSyanA vRdDayA AnukUlyAt ca
   veditavyaḥ / śamathānukūlyaṃ punareṣu sthāneṣu kṛtakauśalasya	veditavyaH / SamaTa AnukUlyam punar ezu sTAnezu kRta kOSalasya
   niḥsaṃdehatayā yatheṣṭamālaṃbane aikāgrayayogena sukhaṃ cittasamādhānataḥ	niHsaMdeha tayA yaTezwam AlaMbane EkAgraya yogena suKam citta samADAnataH
   / vipaśyanāvṛddhayānu kūlyaṃ bahubhiḥ prakāraiḥ jñeyaparīkṣayā	/ vipaSyanA vRdDayA anu kUlyam bahuBiH prakArEH jQeya parIkzayA
   prajñāprakarṣagamanataḥ / sāṃkathyaviniścayānuśaṃsa eṣu sthāneṣu kuśalasya	prajQA prakarza gamanataH / sAMkaTya viniScaya anuSaMsaH ezu sTAnezu kuSalasya
   sarvapraśnavyākaraṇaśaktiyogādvaiśāradyapratilaṃbhato draṣṭavyaḥ //	sarva praSna vyAkaraNa Sakti yogAt vESAradya pratilaMBataH drazwavyaH //
   pañcākārātmavastūdbhāvanatāmupādāyetyatracaturākāramātmano	paQca AkAra Atma vastu udBAvana tAm upAdAya iti atra caturAkAram AtmanaH 
   vastvityātmavastu / pañcamaṃ tvātmalakṣaṇameva vastvityātmavastviti	vastu iti Atma vastu / paQcamam tu Atma lakzaNam eva vastu iti Atma vastu iti
   veditavyam / saparigrahadehagrahaṇena bāhyasyādhyātmikasya ca	veditavyam / sa parigraha deha grahaNena bAhyasya ADyAtmikasya ca
   rūpaskandhasya grahaṇaṃ veditavyam / vedanādīnāmupabhogāditvaṃ	rUpa skanDasya grahaNam veditavyam / vedanA AdInAm upaBoga Adi tvam
   tallakṣaṇanirdeśe jñāpayiṣyate / tadāśrayātmasvavastu vijñānam, teṣāṃ	tad lakzaNa nirdeSe jQApayizyate / tad ASraya Atma svavastu vijQAnam, tezAm
   saparigrahadehādīnāmāśrayamātmalakṣaṇaṃ vastvityarthaḥ / tathāhi loke	sa parigraha deha AdInAm ASrayam Atma lakzaNam vastu iti arTaH / taTA hi loke
   prāyeṇa vijñāne ātmagrāhaḥ, śeṣeṣvātmīyagrāha iti //	prAyeNa vijQAne Atma grAhaH, Sezezu AtmIya grAhaH iti //
   dehaparigrahābhyāmiti cakṣu[rādī] ndriyaṣaṭkena rūpādiviṣayaṣaṭkena ca /	deha parigrahAByAm iti cakzu[rAdI] ndriya zawkena rUpa Adi vizaya zawkena ca /
   ṣaḍākāro 'tīto vartamānaścopabhogo vijñānaṣaṭkam, tasya	zaz AkAraH atItaH vartamAnaH ca upaBogaH vijQAna zawkam, tasya
   dhāraṇamāśrayālaṃbana bhāvataḥ / ityevaṃ taddhā raṇatvena	DAraNam ASraya AlaMbana BAvataH / iti evam tat hA raNa tvena
   dvādaśānāmindriyaviṣayāṇāṃ dhātutvam / (Abhidh s bh 2) vijñānānāṃ	dvAdaSAnAm indriya vizayANAm DAtu tvam / (a aBiD s B 2) vijQAnAnAm
   punarupabhogalakṣaṇa dhāraṇatvena dhātutvaṃ veditavyam /	punar upaBoga lakzaNa DAraNa tvena DAtu tvam veditavyam /
   yathātītapratyutpannāḥ cakṣurādaya upabhogalakṣaṇadhārakā naivamanāgatāḥ  	yaTA atIta pratyutpannAH cakzuH Adaye upaBoga lakzaNa DArakAH na evam anAgatAH  
   āyadvāramātratvādindriyārthamātragrahaṇena dvādaśaivāyatanāni vyavasthā	Aya dvAra mAtra tvAt indriya arTa mAtra grahaNena dvAdaSa eva AyatanAni vyavasTA
   pitāni, na tūpabhogalakṣaṇaṃ vijñānaṣaṭkamiti //	pitAni, na tu upaBoga lakzaNam vijQAna zawkam iti //
   upādānaṃ chando rāgaśca / tatra chando 'bhilāṣaḥ, rāgo 'dhyavasānam /	upAdAnam CandaH rAgaH ca / tatra CandaH aBilAzaH, rAgaH aDyavasAnam /
   chandenānāgatamātmabhāvamabhilāṣamukhenopādatte, yenānāgatān	Candena anAgatam Atma BAvam aBilAza muKena upAdatte, yena anAgatAn
   skandhānabhinirvarttayati / rāgena	skanDAn aBinirvarttayati / rAgena
   vartamānamātmabhāvamadhyavasānamukhenopādatte, yena vartamānān skandhānna	vartamAnam Atma BAva maDyavasAna muKena upAdatte, yena vartamAnAn skanDAn na
   parityajati / tasmādetadeva dvayamupādānamityucyate / tatra	parityajati / tasmAt etat eva dvayam upAdAnam iti ucyate / tatra
   skandhavannirdeśa iti / upādānena yuktāstasmātsopādānadharmā iti	skanDa vat nirdeSaH iti / upAdAnena yuktAH tasmAt sopAdAna DarmAH iti
   veditavyam //	veditavyam //
   sparśena rūpāṇāmanyathībhāvo veditavyaḥ / yā deśe ityabhi mukhapradeśe /	sparSena rUpANAm anyaTIBAvaH veditavyaH / yAH deSe iti aBi muKa pradeSe /
   idaṃ cedaṃ cetyasthiśaṃkalādikaṃ jñeyavastusabhāgaṃ pratibimbam / evaṃ	idam ca idam ca iti asTi SaMkala Adikam jQeya vastu saBAgam pratibimbam / evam
   caivaṃ ceti varṇasaṃsthānabhedaiḥ citrīkārateti tathāsaṃjñā / śubhānāṃ	ca evam ca iti varNa saMsTAna BedEH citrIkAra tA iti taTA asaMjQA / SuBAnAm
   karmaṇāṃ sukho 'nubhavaḥ phalavipākaḥ / aśubhānāṃ duḥkhaḥ /	karmaNAm suKaH anuBavaH Pala vipAkaH / aSuBAnAm duHKaH /
   ubhayeṣāmaduḥkhāsukhaḥ / tathāhi śubhānāmaśubhānāṃ vā vipāka ālayavijñānaṃ	uBayeza Am a duHKa asuKaH / taTA hi SuBAnAm aSuBAnAm vA vipAkaH Alaya vijQAnam
   nityamupekṣayaiva saṃprayuktaṃ bhavati / saiva cātropekṣā vipākaḥ /	nityam upekzayA eva saMprayuktam Bavati / sA eva ca atra upekzA vipAkaH /
