   abhidharmadīpaḥ	aBiDarma dIpaH
   vibhāṣāprabhāvṛttisahitaḥ |	viBAzA praBA vRtti sahitaH |
   prathamo 'dhyāyaḥ |	praTamaH aDyAyaH |
   prathamaḥ pādaḥ |	praTamaH pAdaH |
   om svasti | namaḥ sarvajñāya |	om svasti | namaH sarvajQAya |
   yo duḥkhahetuvyupaśāntimārgaṃ pradarśayāmāsa narāmarebhyaḥ /	yaH duHKa hetu vyupaSAnti mArgam pradarSayAmAsa nara amareByaH /
   atra ṣaṣṭhīsamāsaparigrahe sati mārgasatyaṃ pradhānam | tathā coktam 	atra zazWI samAsa parigrahe sati mArga satyam praDAnam | taTA ca uktam 
   "mārgavidahaṃ mārgasya ..........." iti vistaraḥ | taduktaṃ bhavati  yo	"mArga vidaham mArgasya ..........." iti vistaraH | tat uktam Bavati yaH 
   devamanuṣyebhyo mārgaṃ pradarśitavāniti |	deva manuzyeByaH mArgam pradarSitavAn iti |
   samāhāralakṣaṇadvandvaparikalpe tu caturṇāmapyāryasatyānāṃ prādhānyam |	samAhAra lakzaNa dvandva parikalpe tu caturNAm api Arya satyAnAm prADAnyam |
   tathā coktam  "idaṃ duḥkhasatyamiti bhikṣavaḥ pūrvamananuśruteṣu dharmeṣu	taTA ca uktam "idam duHKa satyam iti BikzavaH pUrvam ananuSrutezu Darmezu
   dharmacakṣurudapādi" iti vistaraḥ | taduktaṃ bhavati  yo	Darma cakzuH udapAdi" iti vistaraH | tat uktam Bavati yaH 
   devamanuṣyebhyaścatvāryāryasatyāni pradarśitavāniti |	deva manuzyeByaH catvAri Arya satyAni pradarSitavAn iti |
   tatra duḥkhasatyamekavidhamabhinirvṛttisvābhāvyāt | tathā coktam  "duḥkhā	tatra duHKa satyam ekaviDam aBinirvRtti svABAvyAt | taTA ca uktam "duHKA
   hi bhikṣavo bhavābhinirvṛttiḥ" iti | jātyādyaṣṭaprakāraṃ vā phalabhūtā	hi BikzavaH Bava aBinirvRttiH" iti | jAti Adi azwa prakAram vA Pala BUtA
   (Jaini_2) vā pañcopādānaskandhāḥ | athavā paurvāntikaṃ	(JEni_2) vA paQca upAdAna skanDAH | aTavA pOrvAntikam
   pañcāṅgamaparāntikaṃ dvyaṅgaṃ tadubhayamabhisamasya saptāṅgam |	paQcAFgam apara antikam dvi aFgam tat uBayam aBisamasya sapta aFgam |
   samudayasatyamekavidhaṃ tṛṣṇānirdeśāt | dvividhaṃ karmakleśātmakatvāt |	samudaya satyam ekaviDam tRzNA nirdeSAt | dviviDam karma kleSa Atmaka tvAt |
   pañcāṅgāni vā paurvāntikāparāntikāṅgasaṃgrahāt, hetubhūtā vā	paQcAFgAni vA pOrvAntikA parAntika aFga saMgraha at, hetu BUtA vA
   pañcopādānaskandhāḥ |	paQca upAdAna skanDAH |
   nirodhasatyamekaprakāramapratisandhijanmanirodhāt |	niroDa satyam eka prakAram apratisanDi janma niroDAt |
   satyadvayaprahānṇabhedād dvividham, sopadhinirupadhiśeṣadhātubhedādvā |	satya dvaya prahAnNa BedAt dviviDam, sa upaDi nirupaDi Seza DAtu BedAt vA |
   triprakāraṃ vā prahāṇavirāganirodhadhātubhedāt | catuṣprakāraṃ vā	tri prakAram vA prahANa virAga niroDa DAtu BedAt | catuzprakAram vA
   catuṣphalabhedāt |	catuzPala BedAt |
   mārgasatyamekaprakāraṃ samyagdṛṣṭinirdeśāt | dviprakāraṃ vā	mArga satyam eka prakAram samyak dRzwi nirdeSAt | dvi prakAram vA
   sāsravānāsrabhedāt, darśanabhāvanābhedādvā | triprakāraṃ	sa AsravAna asra Beda at, darSana BAvanA BedAt vA | tri prakAram
   śīlasamādhiprajñāskandhabhedāt catuṣprakāraṃ vā prayogāmārgādibhedāt |	SIla samADi prajQA skanDa BedAt catuzprakAram vA prayoga amArga Adi BedAt |
   pratipadbhedādvā | aṣṭaprakāraṃ samyagdṛṣṭyādyaṅgabhāvāt |	pratipad BedAt vA | azwa prakAram samyak dRzwi Adi aFga BAvAt |
   ityetāni catvāryāryasatyāni	iti etAni catvAri Arya satyAni
   parijñeyaprahātavyasākṣātkartavyabhāvayitavyānīti bhagavān pradarśayāmāsa	parijQeya prahAtavya sAkzAt kartavya BAvayitavyAni iti BagavAn pradarSayAmAsa
   narāmarebhyasteṣāṃ satyadarśanabhavyatvāttadarthamudbhūtatvāt | atastāneva	nara amareByaH tezAm satya darSana Bavya tvAt tad arTam udBUta tvAt | atas tAn eva
   mārgapradarśanakarmaṇābhipretān | atasteṣu saṃpradānābhidhāyinī caturthī |	mArga pradarSana karmaNA aBipretAn | atas tezu saMpradAna aBiDAyinI caturTI |
   (Jaini_3)	(JEni_3)
   taṃ satpathajñaṃ praṇipatya buddhaṃ śāstraṃ kariṣyāmyabhidharmadīpam //	tam sat paTa jQam praNipatya budDam SAstram karizyAmi aBiDarma dIpam //
   Abhidh d_1 //	ABiD t _1 //
   'tam'; iti yaḥ prativiśiṣṭaviśeṣaṇaparichinnayacchabdacodanayā parigṛhītaḥ	atam a; iti yaH prativiSizwa viSezaNa pariCinnayat Sabda codanayA parigRhItaH
   sa tacchabdena pūrvaprakṛtāpekṣopajanitayacchabdasaṃbandhena saṃspṛśyate |	sa tad Sabdena pUrva prakRta apekzA upajanitayat Sabda saMbanDena saMspRSyate |
   saṃścāsau panthāśca satpathaḥ | athavā satāṃ panthāḥ satpathaḥ | taṃ	san= ca asO panTAH ca sat paTaH | aTavA satAm panTAH sat paTaH | tam
   satpathaṃ jānīta iti satpathajñaḥ | 'taṃ satpathajñaṃ praṇipatya'; iti	sat paTam jAnIte iti sat paTa jQaH | atam sat paTa jQam praNipatya a; iti
   kāyavāṅmanaskarmabhirabhyarthyetyarthaḥ |	kAya vAc manaskarmaBiH aByarTya iti arTaH |
   'buddham'; iti viśiṣṭaviśeṣaṇaparicchinno 'pi	abudDam a; iti viSizwa viSezaNa paricCinnaH api
   buddhānusāripudgalapratipattyarthaṃ sākṣātpratītapadārthakena	budDa anusAri pudgala pratipatti arTam sAkzAt pratIta padArTakena
   nāmnāpadiśyate buddha iti | atra buddhaśabdasya prasiddhiḥ	nAmnA apadiSyate budDaH iti | atra budDa Sabdasya prasidDiH
   budherakarmakatvavivakṣāyāṃ kartari kto bhavati | sarve vā jñānārthā	buDera karmaka tva vivakzAyAm kartari ktaH Bavati | sarve vA jQAna arTA
   gatyarthā iti karmakartari ktavidhānam | abhidhānalakṣaṇatvācca	gati arTAH iti karma kartari kta viDAnam | aBiDAna lakzaNa tvAt ca
   kṛttaddhitasamāsānāmacodyam | dṛṣṭaṃ cedaṃ buddha ityabhidhānaṃ kartari	kRttadDita samAsAnAm acodyam | dRzwam ca idam budDaH iti aBiDAnam kartari
   loke prayujyamānam | tadyathā nidrāvigame padārthānubodhe 'vidyānirāse ca	loke prayujyamAnam | tat yaTA nidrA vigame padArTa anuboDe avidyA nirAse ca
   vibuddhaḥ prabuddho devadatta iti | evaṃ bhagavānapyavidyānidrāvigamāt,	vibudDaH prabudDaH devadattaH iti | evam BagavAn api avidyA nidrA vigamAt,
   sarvārthāvabodhācca buddho vibuddhaḥ prabuddha ityucyate | yathā vā	sarva arTa avaboDAt ca budDaH vibudDaH prabudDaH iti ucyate | yaTA vA
   paripākaviśeṣāt svayameva buddhaṃ padmamevaṃ bhagavānapi	paripAka viSezAt svayam eva budDam padmam evam BagavAn api
   prajñādiguṇaprakarṣaparipākād buddho vibuddhaḥ prabuddha iti |	prajQA Adi guNa prakarza paripAkAt budDaH vibudDaH prabudDaH iti |
   sarvaśiṣṭaprayogācca | dṛṣṭo hyatra śiṣṭaprayogaḥ | yathoktaṃ vyāsena |	sarva Sizwa prayogAt ca | dRzwaH hi atra Sizwa prayogaH | yaToktam vyAsena |
   "etadbuddhvā bhaved buddhaḥ kimanyad buddhalakṣaṇam" iti |	"etat budDvA Bavet budDaH kim anyat budDa lakzaNam" iti |
   tasmādaśiṣṭacodyeṣvanādaraḥ |	tasmAt aSizwa codyezu anAdaraH |
   atra punaḥ ślokasya pūrvārdhe parārthasaṃpādakaṃ vaiśāradyadvayaṃ	atra punar Slokasya pUrva arDe para arTa saMpAdakam vESAradya dvayam
   pradarśitam | tṛtīye pāde svārthasampaddyotakaṃ vaiśāradyadvayamāviṣkṛtam	pradarSitam | tRtIye pAde sva arTa sampad dyotakam vESAradya dvayam AvizkRtam
   | na hyakṣīṇāsravaḥ (Jaini_4) śakto mārgamākhyātumiti | na	| na hi akzINa AsravaH (JEni_4) SaktaH mArgam AKyAtum iti | na
   cāsamyaksaṃbuddhaḥ sarvadharmānabhisaṃboddhumalamiti | kathaṃ punareta	ca asamyaksaMbudDaH sarva Darma anaBisaMbodDum alam iti | kaTam punar eta
   digātmāno vaiśeṣikaparikalpitā asattvādeva naiva nityāḥ nānityāḥ |	diS AtmAnaH vESezika parikalpitAH asattvAt eva na eva nityAH na anityAH |
   asattvaṃ pūrvamāviṣkṛtam |	asattvam pUrvam AvizkRtam |
   sāṃkhyīyamapi pradhānaṃ na nityam | kutaḥ ? traiguṇyasya	sAMKyIyam api praDAnam na nityam | kutas ? trEguNyasya
   sattvādyananyathābhāve vyaktābhāvaḥ prasajyate /	sattva Adi ananyaTA aBAve vyakta aBAvaH prasajyate /
   tadvikārādvikāritvaṃ prakṛtestadabhedataḥ // Abhidh d_2 //	tad vikArAt vikAri tvam prakRteH tad aBedataH // ABiD t _2 //
   yadi sattvādayo guṇāḥ nānyathā bhavanti hrāsavṛddhibhāvena, na tarhi	yadi sattva AdayaH guNAH na anyaTA Bavanti hrAsa vRdDi BAvena, na tarhi
   kiñcittebhyo vyaktamutpadyate | athānyathā bhavanti, anityāstarhi	kiQcitteByaH vyaktam utpadyate | aTa anyaTA Bavanti, anityAH tarhi
   prāpnuvanti | karmavaśādadoṣa iti cet, atra brūmaḥ |	prApnuvanti | karma vaSAt adozaH iti cet, atra brUmaH |
   na karma svakatotsargāt	na karma sva kata utsargAt 
   yadi pratipuruṣaṃ karmāṇi buddhipūrvāṇyabuddhikṛtāni vā pradhāne vidyante	yadi prati puruzam karmANi budDi pUrvANi abudDi kRtAni vA praDAne vidyante
   sādhāraṇapradhānakalpanāvaiyarthyaṃ tarhi prāptamiti | kiñca,	sADAraNa praDAna kalpanA vEyarTyam tarhi prAptam iti | kiQca,
   jñavyaktātmakatā malāḥ /	jQa vyakta Atmaka tA malAH /
   prākpakṣe muktyabhāvaśca dvitīye 'nye 'pyupaplavāḥ // Abhidh d_3 //	prAk pakze mukti aBAvaH ca dvitIye anye api upaplavAH // ABiD t _3 //
   yadi tāni karmāṇi puruṣātmakāni nanvevaṃ sati mokṣābhāvaḥ prāpnoti |	yadi tAni karmANi puruza AtmakAni nanu evam sati mokza aBAvaH prApnoti |
   puruṣanityatve karmanityatvaprasaṅgāt | caśabdāt puruṣakartṛtvādidoṣāśca |	puruza nitya tve karma nitya tva prasaFgAt | caSabdAt puruza kartR tva Adi dozAH ca |
