   akatra prativāsinaḥ (?) K_892b	akatra prativAsinaH (?) K_892b
   akasmāt kāraṇaṃ vinā K_843d	akasmAt kAraNam vinA K_843d
   akāmam ananujñātam K_525a	akAmam ananujQAtam K_525a
   akāmād uddhṛtaṃ bhuvi K_811b	akAmAt udDRtam Buvi K_811b
   akāryakaraṇaṃ kṛtam K_482b	akArya-karaNam kRtam K_482b
   akāle 'pi bṛhaspatiḥ K_152d	akAle api bRhaspatiH K_152d
   akāle vāhayen naraḥ K_789b	akAle vAhayet naraH K_789b
   akurvatas tu tad dhāni K_541c	akurvataH tu tat DAni K_541c
   akurvan daṇḍam arhati K_657d	akurvan daNxam arhati K_657d
   akurvaṃs tat tathā daṇḍyas K_673c	akurvan tat taTA daNxyaH K_673c
   akramoḍhāsutaś caiva K_862a	akrama-UXA-sutaH ca-eva K_862a
   akramoḍhāsutas tv ṛkthī K_863a	akrama-UXA-sutaH tu RkTI K_863a
   akrūro madhuraḥ snigdhaḥ K_065a	akrUraH maDuraH snigDaH K_065a
   akleśenārthine yas tu K_022a	akleSena-arTine yaH tu K_022a
   agṛhītaṃ pradāsyati K_184b	agRhItam pradAsyati K_184b
   agnyambusukṛtādibhiḥ K_237d	agni-ambu-sukRta-AdiBiH K_237d
   aṅgacchedī viyojyaḥ syāt K_968c	aFga=-CedI viyojyaH syAt K_968c
   aṅgacchede tad ardhaṃ tu K_964c	aFga=-Cede tat arDam tu K_964c
   acorād dāpitaṃ dravyaṃ K_821a	acorAt dApitam dravyam K_821a
   ajātaś cāsmi tatkāla K_169c	ajAtaH ca-asmi tad-kAla K_169c
   ajāteṣv eva sasyeṣu K_666a	ajAtezu eva sasyezu K_666a
   ajāśṛṅganibhaṃ śyāmaṃ K_446a	ajA-SRFga-niBam SyAmam K_446a
   ajñātārthe ca vastuni K_157b	ajQAta-arTe ca vastuni K_157b
   ajñānanāśitaṃ caiva K_596c	ajQAna-nASitam ca-eva K_596c
   ajñānoktau daṇḍayitvā K_741c	ajQAna-uktO daNxayitvA K_741c
   atathyaṃ tathyabhāvena K_295c	ataTyam taTya-BAvena K_295c
   atathyaṃ śrāvitaṃ rājā K_778a	ataTyam SrAvitam rAjA K_778a
   ataś ca sutadārāṇāṃ K_641a	atas ca suta-dArANAm K_641a
   ataḥ kriyā tadā proktā K_211c	atas kriyA tadA proktA K_211c
   atikrame 'payāte ca K_119a	atikrame apayAte ca K_119a
   atikrānte saptarātre K_194c	atikrAnte sapta-rAtre K_194c
   ato nānyena hīyate K_306d	atas na-anyena hIyate K_306d
   ato 'nyathā bhāvanīyāḥ K_383c	atas anyaTA BAvanIyAH K_383c
   ato 'nyeṣu vivādeṣu K_405c	atas anyezu vivAdezu K_405c
   ato 'nyeṣu sabhāmadhye K_435c	atas anyezu saBA-maDye K_435c
   ato 'nyair yat kṛtaṃ kāryam K_068a	atas anyEH yat kRtam kAryam K_068a
   ato yad anyad vibrūyur K_393c	atas yat anyat vibrUyuH K_393c
   ato 'rvākpaṇyadoṣas tu K_695a	atas arvAk-paNya-dozaH tu K_695a
   atyantaṃ śrīr niṣevate K_003d	atyantam SrIH nizevate K_003d
   atyalpam atibhūri ca K_173b	ati-alpam ati-BUri ca K_173b
   atyalpam atibhūri ca K_188b	ati-alpam ati-BUri ca K_188b
   atha kāryavipattis tu K_609a	aTa kArya-vipattiH tu K_609a
   atha cet pratibhūr nāsti K_117a	aTa ced pratiBUH na-asti K_117a
   atha cet sa dvibhāryaḥ syān K_908a	aTa ced sa dvi-BAryaH syAt K_908a
   atha daivavisaṃvādāt K_456a	aTa dEva-visaMvAdAt K_456a
   atha pañcatvam āpanno K_285a	aTa paQcatvam ApannaH K_285a
   atha prāg eva dattā syāt K_649a	aTa prAk eva dattA syAt K_649a
   atha vā kitavo rājñe K_939a	aTa vA kitavaH rAjQe K_939a
   atha viṃśativarṣāṇi K_300a	aTa viMSati-varzANi K_300a
   atha svahastenārūḍhas K_370a	aTa sva-hastena-ArUXaH K_370a
   athāvedya prayuktas tu K_763c	aTa-Avedya prayuktaH tu K_763c
   adaṇḍaṃ taṃ visarjayet K_826d	adaNxam tam visarjayet K_826d
   adattatyaktavikrītaṃ K_614c	adatta-tyakta-vikrItam K_614c
   adattvā tu mṛte dāpyas K_566c	adattvA tu mRte dApyaH K_566c
   adattvā tu mṛte dāpyas K_654c	adattvA tu mRte dApyaH K_654c
   adattvaiva diśaṃ vrajet K_507b	adattvA-eva diSam vrajet K_507b
   adarśayan sa taṃ tasmai K_535c	adarSayan sa tam tasmE K_535c
   adāyikaṃ rājagāmi K_931a	adAyikam rAja-gAmi K_931a
   aduṣṭam eva kāle tu K_686c	aduzwam eva kAle tu K_686c
   aduṣṭasyaiva yo doṣān K_774a	aduzwasya-eva yaH dozAn K_774a
   aduṣṭāṃ yoṣitaṃ hatvā K_806c	aduzwAm yozitam hatvA K_806c
   adṛṣṭāśrāvitaṃ ca yat K_292b	adRzwa-aSrAvitam ca yat K_292b
   adeyaṃ syād ato 'nyathā K_640d	adeyam syAt atas anyaTA K_640d
   adeśakāladattāni K_437a	adeSa-kAla-dattAni K_437a
   adhamottamamadhyānāṃ K_665a	aDama-uttama-maDyAnAm K_665a
   adharmataḥ pravṛttaṃ tu K_074a	aDarmataH pravRttam tu K_074a
   adharmāya yadā rājā K_078a	aDarmAya yadA rAjA K_078a
   adhikān śodhayed arthān K_130a	aDikAn SoDayet arTAn K_130a
   adhikāracyutaṃ ca yat K_944b	aDikAra-cyutam ca yat K_944b
   adhikāro 'bhiyuktasya K_090a	aDikAraH aBiyuktasya K_090a
   adhikā saṃprakalpitā K_498b	aDikA saMprakalpitA K_498b
   adhiṣṭhātā ṛṇaṃ dāpyas K_568c	aDizWAtAH RNam dApyaH K_568c
   adhiṃ yaḥ karma kārayet K_525b	aDim yaH karma kArayet K_525b
   adhyagnyadhyāvāhanikaṃ K_894a	aDyagni-aDyAvAhanikam K_894a
   adhyāvahanikaṃ caiva K_896c	aDyAvahanikam ca-eva K_896c
   anabhijño jito mocyo K_941a	anaBijQaH jitaH mocyaH K_941a
   anākālabhṛto dāsyān K_731c	anAkAla-BRtaH dAsyAn K_731c
   anākṣāritapūrvo yas tv K_804c	anAkzArita-pUrvaH yaH tu K_804c
   anāthās te tu nirdiṣṭās K_962c	anATAH te tu nirdizwAH K_962c
   anāpadisthaḥ śaktaḥ san K_729c	anApadi-sTaH SaktaH san K_729c
   anāmnā tāni kāryāṇi K_951a	anAmnA tAni kAryANi K_951a
   anicchantaṃ ca dāpayet K_504d	anicCantam ca dApayet K_504d
   aniyamyāṃśakartṝṇāṃ K_637c	aniyamya-aMSa-kartLNAm K_637c
   aniyuktas tu kāryārtham K_653a	aniyuktaH tu kArya-arTam K_653a
   aniruddho yathākālaṃ K_755c	anirudDaH yaTAkAlam K_755c
