   akartā nityayajñānāṃ YSS_2.9a	akartA nitya-yajQAnAm YSH-_2.9a
   agniṃ praviśya śudhyanti YSS_1.25c	agnim praviSya SuDyanti YSH-_1.25c
   aṅgeṣu vyaktadeśeṣu YSS_2.55a	aFgezu vyakta-deSezu YSH-_2.55a
   acodito hanti narastriyaṃ vā YSS_1.50c	acoditaH hanti nara-striyam vA YSH-_1.50c
   ajadantaṃ suśobhanaṃ YSS_2.66b	ajadantam su-SoBanam YSH-_2.66b
   ajñānād aindavadvayam YSS_1.14d	ajQAnAt Endava-dvayam YSS_1.14d
   ajñānād aindavaṃ smṛtaṃ YSS_1.33d	ajQAnAt Endavam smRtam YSH-_1.33d
   ato bālatarasyāsya YSS_1.21a	atas bAlatarasya-asya YSH-_1.21a
   atyarthaṃ vedayaṃś caiva YSS_2.57a	atyarTam vedayan ca-eva YSH-_2.57a
   atha bhavaty eva pāpam YSS_2.74c	aTa Bavati eva pApam YSH-_2.74c
   adharmadaṇḍasāhasaṃ YSS_2.14b	aDarma-daNxa-sAhasam YSH-_2.14b
   adhītañ ca dvijādibhiḥ YSS_2.28b	aDItan ca dvija-AdiBiH YSH-_2.28b
   aniṣṭvā ca hutāśanaṃ YSS_2.33b	anizwvA ca hutASanam YSH-_2.33b
   anutsṛṣṭā hi lokasya YSS_2.19c	anutsRzwAH hi lokasya YSH-_2.19c
   antyād ajñānato bhuktvā YSS_1.6a	antyAt ajQAnataH BuktvA YSH-_1.6a
   anyaprāṇilayaṃ kurvan YSS_1.24a	anya-prANi-layam kurvan YSH-_1.24a
   anvaṣṭakām aṣṭakāṃ vā YSS_2.50a	anvazwakAm azwakAm vA YSH-_2.50a
   apatyaṃ tanmayo dvijaḥ YSS_2.63b	apatyam tad-mayaH dvijaH YSH-_2.63b
   apasnāto divāsnātaḥ YSS_2.12a	apasnAtaH divAsnAtaH YSH-_2.12a
   apāṅktyānāṃ tv akalyāṇāṃ YSS_2.69a	apAFktyAnAm tu akalyANAm YSH-_2.69a
   apūpam annaṃ māṃsañ ca YSS_2.45a	apUpam annam mAMsan ca YSH-_2.45a
   apūrṇaṣoḍaśābdasya YSS_1.20a	apUrNa-zoxaSa-abdasya YSH-_1.20a
   apṛcchann ṛṣayo gatvā YSS_1.1c	apRcCan RzayaH gatvA YSH-_1.1c
   apraśastās tu taṃ spṛṣṭvā YSS_1.17c	apraSastAH tu tam spRzwvA YSH-_1.17c
   amedhyena tu saṃspṛṣṭo YSS_1.4Aa	ameDyena tu saMspRzwaH YSH-_1.4Aa
   amedhyena sadā śuci YSS_1.4b	ameDyena sadA Suci YSH-_1.4b
   avivāhyāḥ sutāś caiva YSS_1.38c	avivAhyAH sutAH ca-eva YSH-_1.38c
   aśītir yasya varṣāṇi YSS_1.19a	aSItiH yasya varzANi YSH-_1.19a
   aśvasya hantā puruṣasya hantā YSS_1.40a	aSvasya hantA puruzasya hantA YSH-_1.40a
   asatyavādinaṃ vāde YSS_2.32a	asatya-vAdinam vAde YSH-_2.32a
   asavarṇāsu nārīṣu YSS_1.37Aa	asavarNAsu nArIzu YSH-_1.37Aa
