   akṣahīno 'pi karṣakaḥ KirT_3.11d	akza-hInaH api karzakaH KirT_3.11d
   akṣobhyatvāttathā māyā KirT_4.18c	akzoBya-tvAt-taTA mAyA KirT_4.18c
   acetanatvātpreryā sā KirT_4.17a	acetana-tvAt-preryA sA KirT_4.17a
   ajñatvānna ca doṣo 'sti KirT_6.11c	ajQa-tvAt-na ca dozaH asti KirT_6.11c
   ajñatvānna tuṭiḥ prabhuḥ KirT_5.18b	ajQa-tvAt-na tuwiH praBuH KirT_5.18b
   ajñānaguṇatāṃ gataḥ KirT_2.24b	ajQAna-guNa-tAm gataH KirT_2.24b
   ataḥ sunirmalaṃ jñeyaṃ KirT_4.12a	atas su-nirmalam jQeyam KirT_4.12a
   adṛṣṭatvātkathaṃ vada KirT_6.15d	adRzwa-tvAt-kaTam vada KirT_6.15d
   adhikanyūnaśūnyatvāt KirT_5.13a	aDika-nyUna-SUnya-tvAt KirT_5.13a
   adhikanyūnasambandhād KirT_5.12c	aDika-nyUna-sambanDAt KirT_5.12c
   adhikārānniyogo 'sya KirT_4.4c	aDikArAn-niyogaH asya KirT_4.4c
   anantasya na yujyate KirT_4.5d	anantasya na yujyate KirT_4.5d
   anantasya pare balam KirT_4.14b	anantasya pare balam KirT_4.14b
   ananto 'syāḥ pracodakaḥ KirT_4.17d	anantaH asyAH pracodakaH KirT_4.17d
   anādikarmasambandhāc KirT_5.14c	anAdi-karma-sambanDAt KirT_5.14c
   anādi malakāraṇam KirT_3.2b	anAdi mala-kAraNam KirT_3.2b
   anādimalamuktatvāt KirT_2.2c	anAdi-mala-mukta-tvAt KirT_2.2c
   anādimalamuktasya KirT_2.17a	anAdi-mala-muktasya KirT_2.17a
   anādimalasambandhāt KirT_2.2a	anAdi-mala-sambanDAt KirT_2.2a
   anekabhavikaṃ karma KirT_6.20a	aneka-Bavikam karma KirT_6.20a
   anena kramayogena KirT_5.29a	anena krama-yogena KirT_5.29a
   anyathā na sukhetaram KirT_5.12b	anyaTA na suKa-itaram KirT_5.12b
   anyathā sthitibhaṅgaḥ syāt KirT_6.13c	anyaTA sTiti-BaFgaH syAt KirT_6.13c
   anyasmiṃstattirohitam KirT_2.25d	anyasmin=-tat-tirohitam KirT_2.25d
   anyeṣāṃ sannikṛṣṭāpi KirT_4.2a	anyezAm sannikRzwA-api KirT_4.2a
   abhāvāttatsamatvasya KirT_5.16c	aBAvAt-tad-samatvasya KirT_5.16c
   abhilāṣastanau satyāṃ KirT_3.2c	aBilAza-stanO satyAm KirT_3.2c
   abhilāṣānna kiṃ bhavet KirT_3.1b	aBilAzAt-na kim Bavet KirT_3.1b
   amūrtaṃ hi viṣaṃ yathā KirT_6.26b	amUrtam hi vizam yaTA KirT_6.26b
   avidyā hyāvṛtirmūrchā KirT_2.20a	avidyA hi-AvRtiH-mUrCA KirT_2.20a
   aśaktatvādviśodhayet KirT_6.11b	aSakta-tvAt-viSoDayet KirT_6.11b
   aśaktānāṃ balaṃ param KirT_4.13d	aSaktAnAm balam param KirT_4.13d
